ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57
Table Number,443699613,443530152,443493935,443362132,443073822,443044786,443024071,442941057,442356323,442095871,442005150,442005710,441899144,441887382,441812896,441519445,441412491,441340285,441278597,441230682,440981708,440978972,440958610,440676504,440175021,440174401,440141738,440036382,440023811,439942118,439832399,439675484,439567470,439507195,439393251,439284076,439020364,438829630,438770525,438760464,438331449,436036993,435781132,435366714,434974083,433551934,432865949,431356594,430526833,429213142,422619886,417255169,356959263,348302073,344838144,322628136,318673641
Move,9,9,6,27,21,36,7,67,18,37,28,26,55,66,37,45,78,56,51,38,75,7,43,36,19,24,116,60,62,18,96,22,56,58,53,93,55,120,99,52,45,101,11,62,43,12,20,8,18,28,277,620,1066,2018,1306,3751,3060
Clues,"['Creuser', 'fa', 'Nains', 'enfant', 'charbon', 'charbon']","['Ornithologie', 'olsen', 'soeurs', 'lorgnette', 'Soeur', 'soeur']","['Arbre', 'Groupement', 'Vert', 'Oxyg\\u00e8ne', 'Interdite', 'Broceliande']","['Salad', 'Horticulture', 'secret', 'Variety', 'Rose', 'Rose']","['Biggest', 'Mammal', 'Sea', 'Sperm']","['Code', 'Serrure', 'Casier', 'verrouill\\u00e9', 'Clef', 'Cl\\u00e9']","['Projector', 'privacy', 'television', 'television']","['Respect', 'tie', 'tie', 'NA']","['Breakfast', 'Breakfast.', 'Evening', '7AM', 'evening', 'night']","['Enseigne', 'Navire', 'chef', 'Crochet', 'N\\u00e9mo', 'America']","['Bobcat', 'Wildcat', 'American', 'housewife', 'Puma', 'Puma']","['eremite', 'Tarot', 'recluse', 'Alone', 'Alone']","['shampooing', 'Alop\\u00e9cie', 'Coiffeur', 'ANGE', 'Lisser', 'Roux']","['Buck', 'Grain', 'Thins', 'Flour', 'gluten', 'Triticum']","['Garten', 'Gartenutensil', 'Beet', 'Slapstick', 'Rechen', 'Rechen']","['deluge', 'drop', 'torrential', 'november', 'precipitation', 'precipitation']","['penny', 'money', 'Pence', 'Trevi', 'Forge', 'tail']","['Deflt', 'scrabble', ""Bathroom's"", 'Floor', 'Ceramic', 'Grout']","['apparel', 'formal', 'same', 'likeness']","['Femme', '\\u00c2g\\u00e9e', 'Chat', 'sauvage']","['thermique', 'Chevaux', 'vroum', 'Quantique', 'Cylindr\\u00e9e', 'm\\u00e9canique']","['Melted', 'Burn', 'Wax', 'Wax']","['Io', 'Ganymede', 'Werewolf', 'Wax', 'Buttcheeks', 'Sailor']","['Caprese', 'Potato', 'Caesar', 'Rucola', 'lettuce', 'Lettuce']","['facetiousness', 'wit', 'Dark', 'Comedy', 'Satire', 'Sarcasm']","['Bunny', 'Ears', 'Cottontail', 'Flopsy', 'Hase', 'Hare']","['B\\u00e9gonia', 'Jonquille', 'lys', 'Lotus', 'Bouquet', 'Narcisse']","['Mother', 'Lick', 'Muscle', 'Twister', 'Taste', 'Taste']","['Lift', 'Forklift', 'Derrick', 'Karate', 'Bird', 'Bird']","['Scorch', 'Ember', 'Flicker', 'Eternal', 'thrower', 'thrower']","['Christ', 'enthusiastic', 'Lust', 'lust', 'Fruit', 'Fruit']","['Cave', 'Santa', 'Santas', 'Christmas']","['shelled', 'Hare', 'Terrestrial', 'desert', 'terrapin', 'terrapin']","['Stalk', 'Frond', 'blower', 'Clover', 'clover']","['Vocalization', 'Poetry', 'Musical', 'Musical']","['play', 'Arcade', 'Over', 'Catan', 'Xbox', 'Activity']","['Lightning', 'photography', 'Light', 'dash', 'Thunder', 'Thunder']","['Parure', 'barbe', 'Perles', 'Pendentif', 'antipuce', 'laisse']","['Orca', 'Watching', 'Baleen', 'Largest', 'Beluga', 'Jonah']","['Tschaikowsky', 'G\\u00e4nseleben', 'Ballet', 'Ballettst\\u00fcck']","['scape', 'schmuck', 'Greatest', 'Alltime']","['Tube', 'Panty', 'Nozzle', 'Equestrian', ""Fireman's"", 'Fire']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Gallows', 'Sarcasm', 'Sense', 'Of', 'lachen', 'witz']",[],"['Couleur', 'couleurs', 'Transparent', 'Lezard', 'l\\u00e9zard', 'L\\u00e9zard']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Chill', 'relax', 'Bloody', 'rest']","['0', 'X', 'browser', 'Browser']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Hand', 'springs', 'Tree', 'tree']","['Fruit', 'Musk', 'Water', 'honeydew', 'Honeydew', 'Honeydew']","['Sting', 'Pinchers', 'whip', 'horoscope', 'King', 'Pathetic-Animated-Rock']","['Merveille', 'Louvre', '\\u00c9gypte', 'Triangle', 'Gizeh', 'Gizeh']","['Sleep', 'hallucinate', 'nightmare', 'nightmare']","['Sundin', 'Tea', 'hokage', 'Tree', 'Konoha']","['order', 'Degustation', 'File', 'Lunch', 'List']"
Mystery Word,Mineur,Jumelles,For\u00eat,Garden,Whale,Cadenas,Screen,Bow,Morning,Capitaine,Cougar,Hermit,Cheveux,Wheat,Harke,Rain,Coin,Tile,Uniform,Cougar,Moteur,Candle,Moon,Salad,Humor,Rabbit,Fleur,Tongue,Crane,Flame,Passion,Grotto,Tortoise,Leaf,Song,Game,Flash,Collier,Whale,Schwanensee,Goat,Hose,Poil,Humor,Professor,Cam\u00e9l\u00e9on,Lamb,Sunday,Safari,Rock,Palm,Melon,Scorpion,Pyramide,Dream,Leaf,Menu
Guess,mine,Jumelles,For\u00eat,Garden,Whale,cadenas,Movie,artist,Morning,Capitaine,Cougar,hermit,Cheveux,wheat,Harke,rain,coin,Tile,tuxedo,beaut\u00e9,Moteur,,Moon,salad,Humor,Rabbit,Fleur,tongue,Rank,Burn,Spirit,story,Tortoise,Leaf,Music,Game,Flash,collier,whale,Schwanensee,goat,Hose,Poil,Humour,,Blanc,,igiveup,,Rock,Hot,Mellon,scorpion,Pyramide,dream,Leaf,Menu
