ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74
Table Number,488438398,488195735,487420404,487715360,487547477,487504595,487446545,487328683,487079534,486988616,486753041,486430446,486366786,486295767,486272828,486281543,485651419,485786319,485625896,485628314,485019261,483967058,484989975,484600474,484588472,484682575,484435490,484426235,484195799,484065329,483944277,483703728,483353040,483310386,482593659,482880706,482707285,482797082,482658995,481844555,481747388,481279662,481212678,481021567,480162112,480965835,479677325,478712941,478269717,475857014,473319518,473890082,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,445297184,444471586,443775902,431028987,426921218,405054016,317609821,314360735,312552889
Move,['5'],['67'],['6'],['31'],['9'],['14'],['18'],['33'],['27'],['73'],['18'],['72'],['46'],['37'],['41'],['26'],['75'],['52'],['75'],['64'],['42'],['21'],['63'],['73'],['73'],['96'],['55'],['55'],['16'],['71'],['47'],['101'],['50'],['43'],['56'],['83'],['92'],['60'],['67'],['49'],['43'],['58'],['30'],['48'],['19'],['99'],['82'],['69'],['80'],['10'],['36'],['9'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['42'],['57'],['1566'],['815'],['551'],['1615'],['1701'],['3066'],['2171']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,Français,Français,English,Français,Français,Deutsch,Français,English,English,Français,Français,English,Français,English,Deutsch,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,Français,English,English,Deutsch,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,Deutsch,English,Français,English,English,English,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Pacific', '\\u00c9tendue', 'mer', 'atlantique']","['Nest', 'Magic', 'Dove', 'Bird', 'letter']","['victory', 'sign', 'Accord', 'Tolstoy', 'calm', 'quiet']","['Amerika', 'Wirbel', 'Kuh', 'drehen', 'Naturereignis', 'Wasser']","['photography', 'lens', 'f-stop', 'Kodak', 'Action', 'Kodax']","['\\u30ab\\u30e9\\u30aa\\u30b1', 'sing', '\\u30d2\\u30c3\\u30c8', '\\u30c6\\u30eb\\u30fc']","['Monster', 'Ness', 'Placid', 'Erie', 'Michigan', 'Michigan']","['mung', 'Belgium', 'Bud', 'Brussels', 'Germinate', 'Bean']","['oxygen', 'bark', 'Roots', 'Pine', 'branches', 'Branch']","['Doug', 'Henning', 'penn', 'teller', 'Tarot', 'I']","['Block', 'Meat', 'Meat', 'Meat', 'slaughterhouse', 'Slaughter']","['Pachyderme', 'Mammouth', 'Animal', 'Patte', 'Ganesh', 'Dumbo']","['confections', 'Delicious', 'Food', 'Sahara', 'Pudding', 'Pudding']","['RockyouHurricane', 'desert', 'King', 'venomous', 'Pincers', 'pincers']","['Red', 'Potato', 'Salad', 'Ingredient']","['Metallic', 'Knight', 'Defense', 'Defence']","['Glucose', 'ingredient', 'Candy', 'Granulated', 'Cane', 'Cane']","['Coop', 'Dinner', 'Poultry', 'Roast', 'Fried', 'Eggs']","['Ph\\u00e8dres', 'Plante', 'Andromaque', 'Rhizome', 'Jean', 'Carr\\u00e9']","['urgentiste', 'Pimpon', 'Sapeur', '18', 'sapeur', '18']","['Windsor', 'Warwick', 'Turret', 'Moat', 'Turret', 'Moat']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['Impr\\u00e9cis', 'Film', 'Tsunami', 'Rouleau', 'Ressac', 'Nette']","['Hundenahrung', 'Bellum', 'Buchstabieralphabet', 'Kleopatraliebhaber', 'Lorbeerkranz', 'AsterixUndObelix']","['M\\u00e9tro', 'salive', 'L\\u00e8vre', 'Cousue', 'Egout', 'Egout']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Couleuvre', 'Reptile', 'boa', 'Venin', 'Queue', 'Cobra']","['Caraibes', 'Perroquet', 'Corsair', 'Tipiac', 'Corsaire']","['Conveyance', 'Bike', 'Horseback', 'Travel']","['Taraud', 'mara', 'Dentiste', 'Baie', 'Rouge', 'rouge']","['Support', 'Stallion', 'Piercing', 'Breeder', 'hunk', 'finder']","['Stehen', 'Polizeistation', 'Lagerfeuer', 'Gef\\u00e4ngnis', 'Gef\\u00e4ngnis']","['Card', 'Fob', 'Padlock', 'Door', 'Peele', 'Crucial']","['Of', 'Liberty', 'TheThinker', 'Lincoln']","['Shatter', 'Rearview', 'Handheld', 'glass', 'Reflection', 'reflection']","['Soprano', 'Sopranos', 'Organisation', 'Russian', 'Corleone', 'Corleone']","['Grinding', 'wind', 'stone', 'stone']","['Popov', 'Jester', 'Bozo', 'Bozo', 'Pennywise', 'Pennywise']","['Orbit', 'Burn', 'Ray', 'Capri', 'Celestial']","['animal', 'web', 'Charlotte', 'Bitsy', 'Morales', 'Chelicerate']","['Greece', 'Mineralization', 'Female', 'Gorgons', 'fossilize', 'evil']","['Coulture', 'Week', 'Pavelski', 'Couture', 'water', 'tiger']","['Connemara', 'Ness', 'Lancelot', 'Tignes']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Mountain', 'Billy', 'animal', 'Biles', 'Messi', 'mustache']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Frappe', 'Clous', 'Construction', 'Requin', 'Outils', 'Outils']","['Fast', 'strobe', 'Blink', 'Camera', 'Camera']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Spitzel', 'Geheim', 'Geheimagent', 'Abh\\u00f6ren']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Plafond', 'Bouche', 'Brongniart', 'Bourbon']","['Services', 'Urgent', '911', 'crisis']","['tree', 'Oil', 'reading', 'Reader']","['security', 'prison', 'Block', 'Shield']","['Guerre', 'paratonnerre', 'Thor', 'Coup', 'Zeus', 'Zeus']","['Ermintrude', 'Mammal', 'cattle', 'Milk', 'Milk', 'milk']","['Beanie', 'toque', 'Headdress', 'sombrero', 'Sombrero']"
Mystery Word,Oc\u00e9an,Pigeon,Peace,Tornado,Camera,Song,Lake,Sprout,Tree,Magician,Butcher,\u00c9l\u00e9phant,Dessert,Scorpion,Tomato,Shield,Sugar,Chicken,Racine,Pompier,Castle,Chaussette,Vague,Caesar,Bouche,Quarter,Root,Serpent,Pirate,Ride,Fraise,Stud,Wache,Key,Statue,Mirror,Mafia,Mill,Clown,Sun,Spider,Medusa,Shark,Lac,Fire,Goat,Guard,Marteau,Flash,Science,Puder,Dress,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Spion,Vegetable,Palais,Emergency,Palm,Guard,Foudre,Cow,Hat
Guess,Oc\u00e9an,pigeon,Peace,Tornado,Camera,song,Lake,Beer,Tree,magic,Party,\u00c9l\u00e9phant,Dessert,Scorpion,Onion,lance,Sugar,chicken,Racine,pompier,Castle,Chaussettes,Vague,Caesar,bouche,mix,,Serpent,Pirate,Ride,,Cow,Bulle,Key,Statue,Mirror,,Mill,,Sun,Spider,Medusa,Shark,Lac,iron,Goat,guard,Marteau,Flash,Science,Russ,,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Spion,Vegetable,palais,Emergency,Sap,Guard,Eclair,Cow,Hat
