ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76
Table Number,489863383,489457635,489672109,489499928,489036043,488977589,489254625,489194416,488988350,489075210,489024456,488975321,488806011,488449025,488438398,488319897,488032029,488192857,487703450,487627404,487415329,487559215,487457382,487334270,487207650,487059449,486753041,486357111,486246019,486010207,486281543,486070683,485539344,486015935,485722052,485387226,484606827,485019261,485185231,483967058,484682575,484435490,481212678,480162112,479677325,479232973,478910455,475857014,474045761,473319518,473890082,470247957,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,455837502,444471586,422619886,396307534,381826421,381777020,374138794,356959263,348302073,322726720
Move,['9'],['8'],['19'],['18'],['15'],['13'],['10'],['26'],['42'],['27'],['12'],['5'],['78'],['54'],['36'],['18'],['16'],['65'],['19'],['44'],['51'],['57'],['22'],['36'],['47'],['90'],['46'],['51'],['94'],['45'],['47'],['111'],['28'],['94'],['46'],['93'],['21'],['68'],['59'],['21'],['96'],['55'],['36'],['19'],['82'],['1248'],['85'],['10'],['67'],['36'],['9'],['576'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['743'],['57'],['590'],['457'],['768'],['1198'],['1384'],['1473'],['2536'],['1182']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,Deutsch,English,English,English,English,English,Français,English,Français,English,English,English,Deutsch,Français,English,Français,English,Français,English,Français,Français,Français,English,English,English,English,English,Deutsch,English,English,Français,English,Français,English,Français,Deutsch,English,English,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,Français,English,English,English,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Tempest', 'hurricane', 'Tornado', 'squall', 'Chaser', 'windy']","['Unzertrennliche', 'Schuhe', 'Doppel', 'Zwei', 'Ehe.']","['Ouch', 'Police', 'Ray', 'Singer', 'Nettle', 'Hornet']","['And', 'Shoulders', 'Al', 'Snow', 'Boss', 'Teacher']","['complain', 'ferment', 'Merlot', 'Red']","['rises', 'top', 'coffee', 'milk-like', 'whipping', 'sour']","['K\\u00f8ge', 'Kystlinje', 'Vand', 'Omkranset']","['zohan', 'metier', 'coupe-tif', 'tondeuses']","['redcoats', 'Industrial', 'Rotation', 'Rotation']","['Mercredi', 'Samedi', 'Jeudi', 'Jeudi']","['Jurassic', 'Park', 'stegosaurus', 'triceratops', 'Apex', 'Rex']","['Moresby', 'fortified', 'Wine', 'wine']","['Muppets', 'Captain', 'Pike', 'Bork-bork', 'Swedish', 'Swedish']","['falscher', 'Warnruf', 'Nina', 'Cobra', 'anlage', 'Atomknopf']","['ampoule', 'lumi\\u00e8re', 'Courant', 'Panneaux-solaires']","['Babe', 'Rooster', 'Tiny', 'Avian', 'egg', 'yellow']","['Vieille', 'Crochu', 'Sort', 'Femme']","['ferocious', 'Amur', 'Hobbes', 'Survivor', 'Tank', 'Orange']","['Cacahu\\u00e8te', 'Cocktail', 'Entr\\u00e9e', 'pastis', 'Ricard', 'Tapas']","['Shot', 'Pellet', 'ammo', 'gun', 'Train', 'Japan']","['Mbappe', 'Grade', 'haddock', 'Haddock']","['Onduler', 'Frisottis', 'Cercle', 'Ceinture', 'Crolles', 'ceinture']","['Viande', 'Mechoui', 'pascal', 'Silence']","['Ruler', 'Coronation', 'jack', 'queen', 'Chess', 'Stephen']","['crowbar', 'elderly', 'Raising', 'walking', 'sugar', 'Sugar']","['fox', 'coat', 'Stoat', 'ferret', 'pelt', 'pelt']","['Shot', 'Theory', 'Chitty', 'Gunshot', 'AJR', 'Gun']","['sesame', 'Kernel', 'embryo', 'Semen', 'Growth']","['Kamin', 'Kochstelle', 'W\\u00e4rme', 'H\\u00e4nsel', 'W\\u00e4rmeerzeuger', 'W\\u00e4rmeerzeuger']","['Resbaloso', 'ba\\u00f1o', 'Enjuagar', 'Recoger', 'Espumoso', 'espuma']","['boar', 'crimea', 'World', 'Conflict']","['Speedy', 'Rat', 'Clic', 'Jerry', 'Clavier', 'Petite']","['batman', 'lighthouse', 'lighthouse', 'Lighthouse']","['Rangement', 'Carton', 'Discoth\\u00e8que', 'Pandore', 'Discoth\\u00e8que', 'Pandore']","['spelunk', 'Stalagmites', 'Hole', 'in', 'Bat', 'bats']","['PECHE', 'Antifer', 'paquebot', 'Bateau', 'Dockers', 'Fdp']","['Wasser', 'Eimer', 'Wasservorrat', 'Tief']","['Rat', 'Pipes', 'Drain', 'Poo', 'Waste', 'Waste']","['Castle', 'lair', 'Dragon', 'Mancave']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Brief', 'Wine', 'Carrying', 'storage', 'Suit', 'Suit']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['CharlesIII', 'Queen', 'checkmate', 'Regicide']","['orbit', 'earth', 'crescent', 'nasa', 'flash', 'butt']","['Newton', 'lab', 'biology', 'biology']","['Sp\\u00e4tn\\u00e9', 'Obraz', 'Macocha', 'Timberlake']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['bamboo', 'Red', 'Po', 'Express', 'Takenoko', 'Adorable']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Jambon', 'Achille']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Fishing', 'Stick', 'Pointy', 'Pointy']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['toilet', 'Orville', 'Quack', 'quack']","['Sky', 'Nighttime', 'Hollywood', 'Gleaming']","['reveal', 'tv', 'Agricultural', 'Pony']","['Engvall', 'Money', 'Ohnomr', 'Friendless', 'TEd', 'Gates']","['Volcan', 'Feu', 'vaisselle', 'linge', 'Vaisselle', 'Linge']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']"
Mystery Word,Storm,Paar,Sting,Head,Wine,Cream,Bay,Coiffeur,Revolution,Vendredi,Dinosaur,Port,Chef,Alarm,\u00c9lectricit\u00e9,Chick,Sorci\u00e8re,Tiger,Ap\u00e9ritif,Bullet,Capitaine,Boucle,Agneau,King,Cane,Fur,Bang,Seed,Ofen,Soap,War,Souris,Beacon,Bo\u00eete,Cave,Port,Brunnen,Sewer,Dungeon,Chaussette,Quarter,Root,Case,Fire,Guard,King,Moon,Science,Mirror,Puder,Dress,Panda,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Talon,Vegetable,Spear,Couscous,Duck,Star,Show,Bill,Lave,Seam
Guess,storm,Paar,Sting,Head,wine,cream,Bugt,Coiffeur,Revolution,Jour,Tyrannosaurus,Port,Chef,alarm,\u00c9lectricit\u00e9,Chick,Sorci\u00e8re,Tiger,Ap\u00e9ritif,bullet,Capitaine,Boucle,Agneau,King,cane,Fur,Bang,Seed,Ofen,Soap,War,Souris,superhero,Bo\u00eete,Cave,port,,Sewer,Dungeon,Chaussettes,mix,,case,iron,guard,King,moon,Science,Mirror,Russ,,Panda,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Talon,Vegetable,Rod,fufu,duck,Star,show,Wealth,Lave,Zip
