ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78
Table Number,488449025,488523085,487877056,488490959,488314790,488214126,488253195,488032029,488216820,487889271,487182744,487420404,487627404,487415329,487559215,487491591,487457382,487328683,486994743,487110978,487191685,486867778,486990084,486780884,486124151,485832443,485960603,485885498,485458901,485628314,485536550,485292173,485267928,483967058,484989975,484814911,484679550,484682575,484435490,484195799,484351909,483994780,483944277,483588725,483310386,482880706,482658995,481823302,480162112,479677325,478910455,478518095,475857014,474943349,474111019,473319518,473890082,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,444471586,396307534,381777020,357001162,341401520,322726720,317609821
Move,['9'],['17'],['14'],['15'],['18'],['9'],['55'],['5'],['5'],['29'],['39'],['12'],['18'],['29'],['48'],['49'],['10'],['46'],['16'],['104'],['47'],['18'],['102'],['19'],['36'],['49'],['59'],['40'],['105'],['64'],['45'],['82'],['52'],['21'],['73'],['91'],['101'],['96'],['55'],['16'],['65'],['33'],['47'],['52'],['43'],['92'],['67'],['101'],['19'],['82'],['66'],['56'],['10'],['100'],['55'],['36'],['9'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['57'],['457'],['1182'],['1849'],['2703'],['1182'],['1701']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,Deutsch,Français,English,English,Français,Deutsch,English,Français,English,Français,Deutsch,English,English,Français,Français,Français,Français,English,Deutsch,Français,Français,English,English,English,English,English,English,English,English,Français,English,Français,English,Français,Français,Français,English,English,English,Français,Français,English,Français,Français,English,English,English,English,English,English,English,Deutsch,English,Deutsch,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Bodenlockerung', 'Gartenwerkzeug', 'Slapstick', 'Entlaubung', 'Furchenzieher', 'Rechen']","['Kheops', 'Egypte', 'Rams\\u00e8s', 'Rams\\u00e8s']","['Opera', 'Millowitsch', 'Schauspieler', 'Schauspiel']","['structure', 'pyramid', 'Angkot', 'Wat']","['Couleur', 'Juteux', 'Clementine', 'Mandarine', 'Fruit', 'Fruit']","['Stall', 'Pferd', 'Pferdchen', 'klein', 'Shetland...', 'Shetland']","['Snerydning', 'Grave', 'Jord', 'Redskab']","['Escalier', 'Cascade', 'Tomber', 'Tomber']","['heavy', 'feather', 'shining', 'lamp']","['Rubik', 'Film', 'm3', 'Parallepipede', 'D\\u00e9', 'D\\u00e9']","['Poppinsgegenstand', 'Schutz', 'Knirps', 'Knirps', 'Knirps', 'Knirps']","['fang', 'wisdom', 'and', 'nail', 'Bite', 'Dentist']","['S', '7', 'Night', 'Elite', 'Golf', 'stick']","['Nuage', 'Bleu', 'Arc', 'arc']","['qui\\u00e9tude', 'utopie', 'onu', 'Colombe', 'Colombe', 'Colombe']","['Tryba', 'Regarder', 'Microsoft', 'Onglet', 'Velux', 'Velux']","['Fiat', 'Goya', 'Ours', 'Bamboo']","['Money', 'Pound', 'Iron', 'Braavos', 'Federal', 'Reserve']","['Vogelbeobachtungsger\\u00e4t', 'Opernglas', 'Binokel', 'Feldstecher', 'Feldstecher']","['Galadriel', 'Cupidon', 'Cieux', 'Aur\\u00e9ole', 's\\u00e9raphin', 'S\\u00e9raphin']","['Dormir', 'Plumard', 'Sommier', 'Draps', 'Baldaquin', 'Baldaquin']","['African', 'George', 'Habitat', 'Amazon', 'Habitat', 'Amazonian']","['snowshoe', 'Lift', 'Slopes', 'slalom', 'Slalom']","['charcuterie', 'Ouija', 'Diving', 'Game', 'Particle', 'plank']","['Caterpillar', 'Monarch', 'Flutter', 'swallowtail', 'crysalis', 'Metamorphosis']","['Fantastic', 'Recyclable', 'Surgery', 'bag']","['Benjamins', 'law', 'William', 'payments', 'murray', 'beak']","['chopsticks', 'Instant', 'linguine', 'ramen', 'Ramen']","['head', 'Bow', 'compass', 'pointer', 'Vector']","['urgentiste', 'Pimpon', 'Sapeur', '18', 'sapeur', '18']","['Container', 'Bottle', 'insulation', 'flagon', 'Thermos', 'Laboratory']","['Dents', 'Dent', 'Clochette', 'Clochette']","['Messi', 'Manners', 'wipe', 'Wipe']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['Nudistes', 'C\\u00f4te', 'Nonza', 'Espiguette', 'Etendue', 'Copacabana']","['Round', 'jab', 'Uppercut', 'Anglaise', 'combat', 'Ring']","['knockout', 'Hawaiian', 'Fruit', 'sucker', 'Kick', 'Kick']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Caraibes', 'Perroquet', 'Corsair', 'Tipiac', 'Corsaire']","['Magritte', 'Tabac', 'Calumet', 'd\\u00e9', 'Fourreau']","['Ital', 'Alkoholos', 'Hord\\u00f3', 'Sz\\u0151l\\u0151']","['Taraud', 'mara', 'Dentiste', 'Baie', 'Rouge', 'rouge']","['Gobelet', 'Eau', 'A', 'Vin']","['Card', 'Fob', 'Padlock', 'Door', 'Peele', 'Crucial']","['Toaster', 'Kitchen', 'Bun', 'Kiln', 'Bake', 'Bake']","['Popov', 'Jester', 'Bozo', 'Bozo', 'Pennywise', 'Pennywise']","['Predatory', 'Puma', 'milf', 'sex', 'feline', 'Feline']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['floppy', 'ears', 'carrot', 'animal', 'bunny', 'hop']","['Idee', 'Einfall', 'Verloren', 'In...']","['Newton', 'lab', 'biology', 'biology']","['Wolle', 'Flauschig', 'Tierhaarkleid', 'Pelz', 'Pelz']","['Spray', 'Condiment', 'Salt', 'And']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['Carmen', 'Vivaldi', 'Phantom', 'Phantom']","['Device', 'bunny', 'corn', 'eustachian', 'Listening', 'listen']","[""Grey's"", 'Emergency', 'Sharp', 'Kaiser', 'Surgical', 'Surgeon']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']","['Guerre', 'paratonnerre', 'Thor', 'Coup', 'Zeus', 'Zeus']"
Mystery Word,Harke,Pharaon,Theater,Temple,Orange,Pony,Shovel,Chute,Light,Cube,Regenschirm,Tooth,Club,Ciel,Paix,Fen\u00eatre,Panda,Bank,Fernglas,Ange,Lit,Jungle,Ski,Board,Butterfly,Plastic,Bill,Noodle,Arrow,Pompier,Flask,F\u00e9e,Napkin,Chaussette,Plage,Boxe,Punch,Quarter,Root,Pirate,Pipe,Wine,Fraise,Verre,Key,Oven,Clown,Cougar,Fire,Guard,Rabbit,Gedanke,Science,Fell,Pepper,Puder,Dress,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Vegetable,Couscous,Opera,Ear,Hospital,Seam,Foudre
Guess,Harke,Pyramide,Theater,Temple,orange,Pony,Skovl,Escalier,light,Cube,Regenschirm,tooth,Club,Ciel,Paix,Fen\u00eatre,Animal,Coin,,Ange,Matelas,Jungle,ski,board,butterfly,plastic,bill,Noodles,Arrow,pompier,,Fee,Captain,Chaussettes,Plage,boxe,punch,mix,,Pirate,Pipe,Wine,,Verre,Key,oven,,cougar,iron,guard,rabbit,,Science,Fell,pepper,Russ,,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Vegetable,fufu,Antonio,Ear,Hospital,Zip,Eclair
