ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48
Table Number,600930140,600965950,600910452,600542578,600698229,600204755,599770582,600241706,599888757,600348695,600252712,599829860,599706656,599347653,599378058,599297095,598754884,598156225,598088068,597465914,597327929,597343758,597279295,597241166,596707966,596428838,594231413,593042174,592616952,591616850,590604519,589780936,588554150,588506587,586324912,577852826,577180892,576762350,567406997,551312356,536949914,528822756,528022855,489266717,489194416,470247957,387173467,374138794
Move,['9'],['55'],['8'],['7'],['49'],['25'],['9'],['19'],['9'],['6'],['14'],['37'],['25'],['18'],['46'],['40'],['59'],['18'],['75'],['68'],['64'],['72'],['75'],['52'],['56'],['53'],['87'],['75'],['59'],['67'],['32'],['47'],['66'],['155'],['69'],['50'],['91'],['26'],['415'],['734'],['202'],['485'],['466'],['69'],['1508'],['3084'],['2865'],['2503']
Mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,Français,English,English,English,Français,Français,Français,English,English,Français,Français,Français,English,Français,Français,English,English,Français,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite
Clues,"['Fart', 'mind', 'skull', 'scarecrow', 'Smart', 'cerebellum']","['Capishe', 'badabing', 'Trenchcoat', 'Godfather', 'boss', 'italy']","['tattoo', 'Boat', 'Presentator', 'Zwaar', 'zwaargewicht']","['Chips', 'Crinkle', 'Potatoes', 'Curly']","['Artemis', 'Werewolf', 'December', 'rabbit', 'eclipse', 'crescent']","['Vapor', 'MARLBORO', 'pollution', 'Cigar', 'Cigar']","['urn', 'Vulnerable', 'Cloisonne', 'bouquet', 'porcelain', 'Porcelain']","['headless', 'french', 'beheading.', 'device.', 'execute', 'decapitate']","['Solstice', 'Month', 'Yuletide', 'Twelve', 'Mariah', 'Christmas']","['trawling', 'net', 'waiting', 'reeling', 'river', 'boat']","['Mail', 'penpal', 'Pocket', 'Cards']","['Costume', 'Militaire', 'Tenue', 'Militaire', 'Militaire', 'Tenue']","['Allergy', 'Shell', 'goober', ""planter's"", 'pea', 'nut']","['Tok', 'Vlees', 'Ei', 'Cluck', 'Haan', 'Toktok']","['altar', 'Face', 'Zeus', 'glasses', 'God', 'clergy']","['macaroni', 'Udon', 'danger', 'pool', 'egg']","['Weekend', 'church', 'Bloody', 'Lazy']","['Groove', 'Golden', 'pipe', 'toothpaste']","['Long', 'superstition', 'roof', 'Climbing', 'Chutes', 'Chute']","['drinnen', 'Puschen', 'Schluppen', 'Pantoffeln', 'Pantoffel', 'Pantoffeln']","['Auditorium', 'opener', 'performance', 'Stage', 'Music', 'Orchestra']","['Mythology', 'Perseus', 'snakes', 'Gorgon', 'Stone', 'Stone']","['Bunyan', 'Deodorant', 'dart', 'Lumberjack', 'Spray', 'Tool']","['Nicotine', 'Dried', 'Smoking', 'Chew', 'Cigar', 'Cigar']","['Dell', 'Microsoft', 'Laptop', 'Macintosh']","['voyage', 'cong\\u00e9s', 'f\\u00eates', 'repos']","['Yellow', 'queen', 'Drone', 'Stripes', 'buzz', 'Spelling']","['Gatherer', 'biden', 'Tracker', 'Gaston', 'Predator', 'Predator']","['muscat', 'fruit', 'green', 'red', 'Raisins', 'Vineyard']","['Pomme', 'P\\u00e2te', 'Tatin', 'Bris\\u00e9', 'Fraise', 'Claque']","['Livre', 'For\\u00eat', 'Arbre', 'Animaux']","['Magasin', 'Cher', 'Citi', 'Rompoyn']","['Artillery', 'battle', 'Vietnam', 'Combat', 'Bloody', 'Peace']","['Saucer', 'coffee', 'measuring', 'Measuring']","['Vaisselle', 'R\\u00e9curer', 'Carr\\u00e9', 'Bob', 'Bob', 'Bob']","['Cochon', 'Th\\u00e9', 'Abri', 'Maison', 'Bateaux', 'Bateau']","['tuichi', 'George', 'Liane', 'Mowgli']","['kleenex', 'Therapist', 'Soft', 'Mucus', 'Skin', 'Apchi']","['Nemo', 'Savon', 'Poisson', 'BD']","['Bouton', 'L\\u00e8vres', '40', 'Atchhhhhoum', '39', 'Temp\\u00e9rature']","['Hoist', 'Tower', 'Bird', 'tall', 'Construction', 'construction']","['Oil', 'radish', 'Carrot', 'carrot']","['Ennemi', 'Quotidien', 'Matin', 'Sonne']","['itchy', 'Bug']","['George', 'de-la', 'GNR', 'Welcome-to']","['Ramses', 'Egypt', 'Hatshepsut', 'Royalty', 'Nefertiti', 'Sphinx']","['Dunes', 'barren', 'Siberian', 'Antarctica', 'Atacama', 'Sand']","['fragrance', 'spray', 'scent', 'Scent']"
Mystery Word,Brain,Mafia,Anchor,Fries,Moon,Smoke,Vase,Guillotine,December,Fishing,Envelope,Uniforme,Peanut,Chicken,Temple,Noodle,Sunday,Tube,Ladder,Hausschuh,Concert,Medusa,Axe,Tobacco,Computer,Vacances,Bee,Hunter,Grape,Tarte,Jungle,Carrefour,War,Cup,\u00c9ponge,Port,Jungle,Tissue,Bulle,Fi\u00e8vre,Crane,Vegetable,R\u00e9veil,Mosquito,Jungle,Pharaoh,Desert,Perfume
Guess,Brain,,Ark,Fries,Moon,Smoke,vase,guillotine,December,fishing,letter,D\u00e9guisement,Peanut,Chicken,worship,Noodle,Sunday,Tube,Ladder,,theater,Medusa,Axe,tobacco,computer,Vacances,Bee,Hunter,wine,Tarte,jungle,Carrefou,War,Mug,\u00e9ponge,cabane,Jungle,Tissue,Bulle,Fi\u00e8vre,Crane,Vegetable,R\u00e9veil,Mosquito,Jungle,pharoah,Desert,perfume
