ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69
Table Number,487058906,487319669,486911772,487079534,487030853,486775251,486430446,486415686,486357111,486340249,486070683,486015935,485824861,485573351,485019261,484942083,483967058,485015411,484814911,484600474,484363493,484682575,484435490,484249693,483944277,484078046,484101197,483588725,483353040,483013357,482880706,482707285,482658995,482548589,482440414,481844555,481212678,481021567,480601865,479677325,478712941,478269717,475857014,473319518,473890082,465912719,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,455837502,444471586,423771261,420552674,417255169,387173467,381826421,358827793,324381970,317609821
Move,['40'],['24'],['37'],['27'],['63'],['18'],['63'],['16'],['26'],['51'],['65'],['65'],['20'],['52'],['42'],['44'],['21'],['75'],['73'],['73'],['84'],['96'],['55'],['72'],['47'],['53'],['30'],['42'],['50'],['72'],['83'],['92'],['67'],['65'],['92'],['49'],['30'],['48'],['90'],['82'],['69'],['80'],['10'],['36'],['9'],['29'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['688'],['57'],['1890'],['588'],['1528'],['1344'],['753'],['1994'],['1769'],['1701']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only
Language,Deutsch,Français,Français,English,English,English,Français,English,English,Français,Français,Français,English,Français,English,Français,Français,English,Français,Deutsch,Deutsch,English,English,Français,Français,English,English,Français,Deutsch,English,English,English,English,Deutsch,English,English,English,Français,English,English,Français,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,Français,English,Deutsch,English,English,English,English,Français,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Hafer', 'Gerste', '\\u00c4hren', 'Korn', 'Korn']","['clou', 'repr\\u00e9sentation', 'Enfant', 'Scene', 'Concert', 'Artistes']","['Saponification', 'Lavage', 'nettoyeur', 'charbon', 'Engueulade', 'Toilette']","['oxygen', 'bark', 'Roots', 'Pine', 'branches', 'Branch']","['Calamari', 'Tentacles', 'Paprika', 'Ink', 'Eight', 'Eight']","['constrictor', 'Rattle', 'Nokia', 'Game', 'Slithering', 'Reptile']","['Crotin', 'Soignon', 'Seguin', 'Seguin', 'Crottin', 'Seguin']","['Riot', 'Fight', 'Politics', 'Change']","['vaulted', 'desk', 'Gaming', 'Dinner', 'chart']","['Bougies', 'Comm\\u00e9moration', 'Joyeux', 'Naissance']","['Indien', 'Juillet', 'Canicule', 'Ao\\u00fbt', 'Saison', 'saison']","['Ca\\u00efpirinha', 'Bar', 'Tomate', 'PinaColada', 'Mojito', 'Mojito']","['Congo', 'Tropical', 'Book', 'Mowgli']","['Trident', 'Manger', 'Doigts', 'Yeux', 'Sabot', 'Poisson']","['Windsor', 'Warwick', 'Turret', 'Moat', 'Turret', 'Moat']","['Enchant\\u00e9e', 'Zut', 'Champagne', 'instrument', 'pan', 'bec']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['Crash', 'Sheep', 'Horned', 'Dodge', 'Dodge', 'Dodge']","['Magasin', 'lumineux', 'Miel', 'Lin\\u00e9aire', 'diametre', 'Crayon']","['Hundenahrung', 'Bellum', 'Buchstabieralphabet', 'Kleopatraliebhaber', 'Lorbeerkranz', 'AsterixUndObelix']","['B\\u00fcrste', 'Bart', 'Spliss', 'braun', 'Dauerwelle', 'dauerwelle']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['tocsin', 'r\\u00e9veil', 'Sonner', 'Voiture', 'sir\\u00e8ne', 'sir\\u00e8ne']","['Taraud', 'mara', 'Dentiste', 'Baie', 'Rouge', 'rouge']","['waltz', 'Strictly', 'shoes', 'Dancing', 'Foxtrot', 'Foxtrot']","['mafia', 'honcho', 'CEO', 'President', 'Undercover', 'Baby']","['artique', 'Pacifique', 'indien', 'Indien']","['Stehen', 'Polizeistation', 'Lagerfeuer', 'Gef\\u00e4ngnis', 'Gef\\u00e4ngnis']","['Kayman', 'Nile', 'florida', 'Dundee']","['Shatter', 'Rearview', 'Handheld', 'glass', 'Reflection', 'reflection']","['Soprano', 'Sopranos', 'Organisation', 'Russian', 'Corleone', 'Corleone']","['Popov', 'Jester', 'Bozo', 'Bozo', 'Pennywise', 'Pennywise']","['Bluffen', 'geld', 'Flush', 'Karten', 'Kartenspiel', 'Kartenspiel']","['Holy', 'Utters', 'udders', 'dairy', 'milk', 'Female']","['Orbit', 'Burn', 'Ray', 'Capri', 'Celestial']","['Coulture', 'Week', 'Pavelski', 'Couture', 'water', 'tiger']","['Connemara', 'Ness', 'Lancelot', 'Tignes']","['Dictionary', 'novel', 'Reading', 'Title', 'Chapter', 'chaptures']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Frappe', 'Clous', 'Construction', 'Requin', 'Outils', 'Outils']","['Fast', 'strobe', 'Blink', 'Camera', 'Camera']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Egypt', 'Tutankhamun', 'EGYPTIAN', 'Egyptian']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Belle-H\\u00e9l\\u00e8ne', 'Louis-Philippe', 'Perry', 'Williams', 'Lavement', 'Pyrus']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Zapdos', 'Kraftwerk', 'Blitz', 'Licht', 'Pikachu']","['ammunition', 'bill', 'armor', 'piercing', 'Bite', 'The']","['Slimy', 'Gary', 'mail', 'Mucin', 'slug', 'Shell']","['I.need.it', 'roadtrip', 'BoraBora', 'Travel', 'Airplane', 'SpringBreak']","['Luggage', 'trunki', 'holiday', 'trunks']","['dolipranes', 'suppositoire', 'Vendu', 'Pharmacie']","['2000', 'Dedas', 'Illusion', 'Desert', 'illusion', 'd\\u00e9sert']","['Guerre', 'paratonnerre', 'Thor', 'Coup', 'Zeus', 'Zeus']"
Mystery Word,Getreide,Spectacle,Savon,Tree,Octopus,Snake,Ch\u00e8vre,Revolution,Table,Anniversaire,\u00c9t\u00e9,Cocktail,Jungle,Fourchette,Castle,Fl\u00fbte,Chaussette,Ram,Rayon,Caesar,Haar,Quarter,Root,Alarme,Fraise,Ballroom,Boss,Oc\u00e9an,Wache,Crocodile,Mirror,Mafia,Clown,Poker,Cow,Sun,Shark,Lac,Book,Guard,Marteau,Flash,Science,Puder,Dress,Pharaoh,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Poire,Vegetable,Elektrizit\u00e4t,Bullet,Snail,Vacation,Baggage,M\u00e9dicament,Mirage,Foudre
Guess,Getreide,Spectacle,Savon,Tree,Octopus,snake,,Revolution,Table,Anniversaire,\u00c9t\u00e9,Cocktail,jungle,Fourchette,Castle,Fl\u00fbte,Chaussettes,rams,rayon,Caesar,Haar,mix,,Alarme,,ballroom,Boss,Oc\u00e9an,Bulle,Crocodile,Mirror,,,Poker,Cow,Sun,Shark,Lac,Book,guard,Marteau,Flash,Science,Russ,,Pyramid,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,poire,Vegetable,Elektrizit\u00e4t,Bullet,Snail,Vacation,suitcase,Medicaments,sport,Eclair
