ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67
Table Number,460469609,460420010,460334417,460339424,460224298,460149033,460111782,459917174,459717393,459341737,459349513,459300493,459072522,459000971,458894035,458835837,458716764,458650457,458631532,458595887,458503392,458386934,458186656,458069807,457884605,457749670,457506305,457434713,457287935,457272728,457064795,456915945,456908720,456881453,456808852,456727197,456672100,456630520,456615164,456395238,455963409,455847032,455499460,455330446,455303315,455166323,455143990,455042660,454586755,453839362,451217602,450758314,449727973,448202573,446514318,446155644,441488112,417255169,411382679,405054016,393621459,363390977,358827793,357001162,348838927,344838144,314877288
Move,['7'],['67'],['5'],['15'],['5'],['73'],['9'],['37'],['39'],['21'],['12'],['14'],['45'],['39'],['51'],['72'],['18'],['37'],['41'],['29'],['37'],['55'],['74'],['28'],['57'],['37'],['73'],['73'],['97'],['49'],['9'],['37'],['18'],['101'],['30'],['36'],['63'],['11'],['7'],['77'],['87'],['64'],['84'],['56'],['57'],['73'],['45'],['56'],['11'],['82'],['66'],['73'],['65'],['40'],['20'],['36'],['102'],['964'],['626'],['1106'],['928'],['1339'],['1649'],['1799'],['1403'],['1478'],['3314']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,Français,English,English,Français,English,Français,English,English,English,English,English,Français,English,English,Français,English,Deutsch,English,Français,Français,English,English,Deutsch,English,Français,English,English,English,English,English,Français,English,English,English,Français,English,English,English,Deutsch,English,English,English,Français,Français,Français,English,English,English,English,English,English,Deutsch,English,English,English,English,English,Français,English,Français,English,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Crimson', 'Trefoil', 'Lucky', 'Lucky']","['keratin', 'cuticle', 'Fingertips', 'Crucifixion']","['Birdhome', 'Fowlhome', 'Empty', 'Empty']","['Venimeux', 'Venin', 'parfum', 'Parfum']","['Female', 'bovine', 't-bone', 'milk']","['Mink', 'Coat', 'Fuzz', 'Mammal', 'Pelt', 'Pelt']","['Tonton', 'Camping', 'Abri', 'risque', 'Sardine', 'sardine']","['Consuming', 'Brigade', 'engine', 'arson', 'flames', 'flame']","['protection', 'Assurance', 'Survie', 'Chaud', 'Plaid', 'Plaid']","['Flakes', 'Grinder', 'Spray', 'habanero']","['Leo', 'Mufasa', 'africa', 'cat', 'Witch', 'Wardrobe']","['Glide', 'roller', 'Rollerblade', 'Board']","['Puppet', 'Pair', 'Tube', 'Clothing', 'Footware', 'footwear']","['Darker', 'cigarette', 'Zippo', 'Faded', 'Match', 'Candle']","['tesla', 'courant', '\\u00e9nergie', 'Edison']","['Bouldering', 'mountain', 'Mount', 'ascend', 'ascend']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Nuit', 'nyctalope', 'Nocturne', 'Sympa', 'Super', 'Facteur']","['High', 'Education', 'Teacher', 'elementary', 'Economics', 'economics']","['Schwarzer', 'Kar', 'Black', 'Wochenende']","['Blood', 'Pump', 'soul', 'cardiac', 'Ventricle', 'ventricle']","['Biberon', 'Boisson', 'Mamelles', 'maternel', '\\u00c9cr\\u00e9m\\u00e9', 'Chaud']","['pleurer', 'tissu', 'pliable', 'Sopalin', 'Morve', 'Kleenex']","['moo', 'Dairy', 'Skim', 'Squeeze']","['Alice', 'mycelium', 'Schtroumpfs', 'yellowfoot', 'Toad', 'toad']","['Asthma', 'Schlager', 'ersticken', 'HeleneFischer', 'HeleneFischer', 'Ersticken']","['Personal', 'Hairdresser', 'Curator', 'Beauty', 'hair', 'Hair']","['eau', 'foule', 'douche', 'Savon', 'Mousse', 'moussant']","['Time', 'Timex', 'Fitbit', 'Observe', 'chronograph']","['Grind', 'grinding', 'stone', 'Puppy', 'Powder']","['Horns', 'Jersey', 'Beelzebub', 'lived', 'Dirt', 'Mephistopheles']","['pulling', 'string', 'Discord', 'forum', 'needle', 'needle']","['monocle', 'eyewear', 'tumblers', 'spectacles', 'spectacles', 'spectacles']","['Viande', 'Steak', 'Bourguignon', 'Ure', 'Vache', 'Vache']","['Oyster', 'Wisdom', 'Krabs', 'Daughter', ""Diver's"", 'treasure']","['Filming', ""Photographer's"", 'Nikon', 'shoot']","['Plow', 'Stardew', 'homestead', 'Mcdonald', 'Animal', 'Livestock']","['Couleuvre', 'Reptile', 'Naguini', 'Aspic', 'aspic']","['companion', 'Tessarect', 'hexahedron', 'box']","['Rocketeer', 'Armstrong', 'Helmet', 'Gagarin', 'NASA', 'Tereshkova']","['Roll', 'Sickle', 'Turkey', 'Wrench', 'curved', 'semicircle']","['Zigarette', 'Weih', 'Bombe', 'signale']","['yearly', 'annual', 'hospital', 'age', 'Candle', 'candles']","['Swatter', 'Plane', 'teetse', 'gnat', 'Soar', 'Pegasus']","['Rabbit', 'DBD', 'Train', 'Euro', 'Vision', 'Vision']","['Manche', 'Montparnasse', 'Echec', 'Raiponce', 'Echecs', 'Echecs']","['Caverne', 'Lascaut']","['Condiment', 'Amora', 'Mayonnaise', 'jaune', 'savora', 'Dijon']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['oink', 'Wilbur', 'trotter', 'Guinea', 'Peppa', 'pork']","['accoutrement', 'armament', 'lethal', 'knife', 'Anything', 'Staff']","['oven', 'custard', 'Chart', 'Baked', 'dough']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Electrical', 'Tesla', 'Life', 'AAA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Yahtzee', 'scrabble', 'Thrones', 'Activity', 'Time', 'Board']","['Clinton', 'gates', 'Dolla', 'Ted', 'Pay']","['Soda', 'nutrition', 'Atkins', 'Atkins']","['Charles', 'Cheveux', 'ponce', 'manta', 'Manta']","['Lilliputian', 'Sneezy', 'Midget', 'Dopey', 'Star']","['V8', 'GTI', 'sous', 'capot']","['Up', 'prison', 'pad', 'down', 'Smith', 'smith']","['Porte', 'Abba', '\\u00c9change', 'Deutschemark', 'Pi\\u00e9cettes', 'Funny']","['Nile', 'Euphrates', 'Danube', 'Danube']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Clover,Nail,Nest,Scorpion,Cow,Fur,Tente,Fire,Couverture,Pepper,Lion,Skate,Sock,Lighter,\u00c9lectricit\u00e9,Climb,Pearl,Chouette,School,Freitag,Heart,Lait,Mouchoir,Milk,Mushroom,Atemlos,Stylist,Bain,Watch,Mill,Devil,Thread,Glasses,B\u0153uf,Pearl,Camera,Farm,Serpent,Cube,Astronaut,Crescent,Rauch,Birthday,Fly,Tunnel,Tour,Grotte,Moutarde,Crescent,Museum,Pig,Weapon,Pie,Grape,Meerjungfrau,Battery,Anchor,Game,Bill,Diet,Raie,Dwarf,Moteur,Lock,Monnaie,River,Circle
Guess,Cross,nail,Birdhouse,Serpent,Cow,Fur,Tente,gasoline,Couverture,Pepper,lion,Skate,Sock,lighter,\u00e9lectricit\u00e9,climbing,mussel,chouette,school,Freitag,Heart,Lait,Mouchoir,Milk,,Atemlos,assistant,Bain,Watch,Mill,Devil,,glasses,Boeuf,Pearl,Camera,Farm,Serpent,cube,astronaut,,Rauch,Birthday,Fly,tunnel,tour,Grotte,Moutarde,Crescent,,pig,Weapon,Pie,,Meerjungfrau,Battery,,Game,bill,Mineral,Raie,Dwarf,Moteur,Jumpsuit,Money,river,Circle
