ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79
Table Number,489828316,489708035,489388089,489672109,488756060,489534385,489393325,489286029,489321705,488971242,489021056,488879114,488588237,489158294,489075210,488975321,488805223,488553096,488923850,488569471,488443426,488443714,488521575,488523085,488319897,487442469,487940879,487600598,487420404,487504595,487501220,487457382,487334270,487254305,487120916,486780884,486366786,486357111,486246019,486010207,486124151,485832443,485539344,485798012,485536550,485271970,484606827,483967058,484682575,484435490,484078046,480162112,479677325,478154857,475857014,474045761,473319518,473890082,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,455837502,444471586,396307534,381826421,374138794,337346134,322726720
Move,['6'],['5'],['6'],['19'],['9'],['9'],['14'],['20'],['43'],['27'],['19'],['15'],['30'],['12'],['21'],['5'],['26'],['30'],['36'],['27'],['21'],['14'],['26'],['28'],['18'],['46'],['30'],['73'],['24'],['45'],['57'],['22'],['36'],['103'],['85'],['28'],['83'],['51'],['94'],['38'],['64'],['85'],['28'],['93'],['64'],['99'],['21'],['21'],['96'],['55'],['80'],['19'],['82'],['41'],['10'],['67'],['36'],['9'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['738'],['57'],['457'],['768'],['1384'],['3948'],['1182']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only
Language,Français,Français,English,English,Deutsch,English,English,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,Français,Français,English,English,Français,English,English,English,Deutsch,English,English,English,English,English,English,Français,Deutsch,Français,English,English,English,English,English,Français,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,Français,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Dijon', 'Nez', 'Graines', 'Jaune', 'condiment', 'Condiment']","['Poche', 'Litt\\u00e9rature', 'Bouquin', 'Bouquin']","['allure', 'charm', 'Magnetic', 'Affinity', 'Magnetism', 'Interest']","['Ouch', 'Police', 'Ray', 'Singer', 'Nettle', 'Hornet']","['Die', 'dreieckig', 'Metalldreieck', 'Ding', 'Instrument', 'Musik']","['Purring', 'Feline', 'Scratch', 'Meow', 'Purr', 'Siamese']","['Tug', 'Hitch', 'RV', 'Airstream']","['Channel', 'Star', 'Transistor', 'WLTW', 'Marconi', 'Marconi']","['mouth', 'inside', 'sea', 'snail']","['quest', 'supercluster', 'Cosmos', 'Type-cD', 'Space', 'Cosmo']","['cherry', 'Roma', 'ketchup', 'sauce', 'Heinz', 'Condiment']","['Blue', 'Cherub', 'Castiel', 'Celestial']","['Bermuda', 'Crusoe', 'thousand', 'Hawaii']","['D\\u00e9rang\\u00e9', 'Beaut\\u00e9', 'Sable', 'C\\u00e9r\\u00e9ales', 'Nourriture', 'Folie']","['Portable', 'T\\u00e9l\\u00e9vision', 'Cin\\u00e9ma', 'T\\u00e9l\\u00e9phone']","['Moresby', 'fortified', 'Wine', 'wine']","['Gastric', 'Tattoo', 'Saltines', 'Shirt', 'roll']","['Green', 'Life', 'Tarzan', 'Congo', 'Amazon', 'Wilderness']","['kindling', 'Red', 'blaze', 'Fire', 'Fire', 'Blaze']","['Gas', 'jam', 'Balloon', 'up', 'Air', 'Air']","['Cloud', 'portobello', 'Toadstool', 'Toadstool']","['Hockey', 'Cheap', 'Stingray', 'rink']","['C\\u00e2ble', 'Filin', 'Ficelle', 'Sauter']","['Tour', 'Contour', 'Photo', 'Photo']","['Babe', 'Rooster', 'Tiny', 'Avian', 'egg', 'yellow']","['Chain', 'Fob', 'piano', 'Card', 'holder', 'door']","['Underage', 'moll', 'Child', 'young', 'Child', 'younger']","['Airplane', 'Takeoff', 'Supersonic', 'Concord', 'aerial', 'Expedia']","['papa', 'equine', 'Muffin', 'Strong', 'beam', 'finder']","['Xing', '\\u304d\\u3061\\u3087\\u3046\\u3072\\u3093', '\\u30b4\\u30f3\\u30b4\\u30f3', '\\u304a\\u3069\\u308b']","['DGSE', '007', 'mouchard', 'Taupe', 'Bond', 'Bond']","['Viande', 'Mechoui', 'pascal', 'Silence']","['Ruler', 'Coronation', 'jack', 'queen', 'Chess', 'Stephen']","['Midnight', 'ML', 'VIA', 'Passenger', 'practice', 'practice']","['sterling', 'Montre', 'bijou', 'Breloque', 'Menotte']","['Piston', 'arm', 'Cover', 'coat', 'shirt', 'Beer']","['cluck', 'bird', 'Squawk', 'coward', 'McNuggets', 'Nugget']","['sesame', 'Kernel', 'embryo', 'Semen', 'Growth']","['Kamin', 'Kochstelle', 'W\\u00e4rme', 'H\\u00e4nsel', 'W\\u00e4rmeerzeuger', 'W\\u00e4rmeerzeuger']","['Defensor', 'Objection', 'corte', 'Notaria', 'Ley', 'Leyes']","['wii', 'Strike', 'Lane', 'Alley', 'alley', 'Alley']","['Horton', 'Dumbo', 'Grey', 'Ivory']","['batman', 'lighthouse', 'lighthouse', 'Lighthouse']","['luggage', 'Suitcase', 'Eyes', 'airport', 'Travel', 'travel']","['Diplodocus', 'large', 'Cretaceous', 'Prehistoric', 'Teradactyl', 'Stegasaurus']","['Chambre', 'Salon', 'sou', 'centime', 'cuisine', 'cellier']","['Wasser', 'Eimer', 'Wasservorrat', 'Tief']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Parcel', 'cube', 'Cube', 'cube', 'Container', 'Container']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Plougastel', 'Confiture', 'fruits', 'rouge']","['Newton', 'lab', 'biology', 'biology']","['Sp\\u00e4tn\\u00e9', 'Obraz', 'Macocha', 'Timberlake']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['T\\u00eate', 't\\u00eate']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['toilet', 'Orville', 'Quack', 'quack']","['reveal', 'tv', 'Agricultural', 'Pony']","['smitty.werbenjagermanjensen', 'Graveyard', 'ded', 'Graveyard', 'Ded']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']"
Mystery Word,Moutarde,Livre,Attraction,Sting,Triangel,Cat,Trailer,Radio,Tongue,Galaxy,Tomato,Angel,Island,Grain,\u00c9cran,Port,Sleeve,Jungle,Flame,Pump,Mushroom,Skate,Corde,Cadre,Chick,Key,Minor,Flight,Stud,Jewel,Espion,Agneau,King,Train,Bracelet,Sleeve,Chicken,Seed,Ofen,Attorney,Bowling,Elephant,Beacon,Baggage,Dinosaur,Pi\u00e8ce,Brunnen,Chaussette,Quarter,Root,Box,Fire,Guard,Fraise,Science,Mirror,Puder,Dress,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Cr\u00e2ne,Vegetable,Couscous,Duck,Show,Cemetery,Seam
Guess,Moutarde,Roman,Attract,Sting,Triangel,Cat,Trailer,Radio,tongue,galaxy,tomato,angel,Island,Grain,Ecran,Port,Sleeve,Tree,fire,helium,mushroom,Ice,Chaine,d\u00e9tour,Chick,Key,Minor,Flying,Stud,jewelry,Agent,Agneau,King,Train,Bracelet,Sleeve,Chick,Seed,Ofen,lawyer,bowling,Elephant,superhero,Baggage,Dinosaur,Pi\u00e8ce,,Chaussettes,mix,,,iron,guard,Cr\u00eapes,Science,Mirror,Russ,,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Cr\u00e2ne,Vegetable,fufu,duck,show,whodat,Zip
