ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62
Table Number,455510648,455340110,455303315,455274224,455238293,455175285,455143990,454896238,454698112,454546304,454359529,454312867,453868231,453780568,453700165,453630167,453417314,453329629,453288851,453261139,453260378,453244918,453157825,453055936,452994435,452980323,452895295,452780156,452543488,452306141,451564924,451153700,451007848,450855996,450831069,450758314,450709954,450600836,450530103,450259336,449496845,448792679,448763906,448202573,446585119,446514318,446492382,444843544,443958521,442941057,441488112,441032575,440978972,440676504,423771261,411382679,393621459,353362991,341401520,337346134,331907183,314877288
Move,['6'],['6'],['12'],['14'],['46'],['12'],['9'],['9'],['55'],['48'],['46'],['36'],['37'],['25'],['85'],['11'],['84'],['27'],['73'],['65'],['57'],['57'],['18'],['81'],['94'],['59'],['43'],['47'],['65'],['56'],['44'],['61'],['111'],['78'],['109'],['43'],['74'],['64'],['90'],['36'],['83'],['66'],['102'],['40'],['51'],['20'],['79'],['54'],['75'],['67'],['102'],['16'],['7'],['118'],['1065'],['594'],['862'],['1496'],['2284'],['3320'],['866'],['3314']
Mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,Français,English,Français,Français,English,Français,English,Deutsch,English,English,Deutsch,Français,Français,English,English,English,English,Français,English,English,English,English,English,Deutsch,Français,English,English,English,English,Deutsch,English,English,English,English,English,Deutsch,English,English,English,Français,English,English,English,English,Deutsch,Deutsch,English,Deutsch,English,English,English,English,English,Deutsch,English,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['run', 'for', 'dustjacket', 'duvet', 'Spy', 'Alias']","['Biere', 'Marin', 'Matelot', 'Piscine', 'bulles', 'Bulles']","['Swedish', 'kitchen', 'kiss', 'Cook', 'cook', 'cook']","['vendange', 'p\\u00e9pin', 'vigne', 'col\\u00e8re']","['FFp2', 'Dali', 'Zorro', 'Plong\\u00e9e', 'Splennnnnndide', 'Loup']","['fil-a', 'hatch', 'Infant', 'Avian', 'baby', 'baby']","['Brouillard', 'incendie', 'Vapeur', 'feu', 'saumon', 'Saumon']","['Cooker', 'station', 'Petrol', 'Unleaded', 'Fuel', 'Fuel']","['ASh', 'Starter', 'Ualisson', 'Fu\\u00dfballer', 'gelb', 'Smartphone-App-Viech']","['chemistry', 'experiment', 'Alcohol', 'Heated', 'liquid', 'Vial']","['ruse', 'wand', 'Halloween', 'Treat', 'Euchre', 'prank']","['Fellpflege', 'Friseurutensil', 'Klo', 'Haarstriegler', 'Zahn', 'Zahnschrubber']","['Friends', 'Kaamelott', 'Alf', 'Tv', 'Suite', 'suite']","['Casse', 'Scratch', 'Rongeur', 'Rongeur']","['Badge', 'sword', 'Protection', 'protector', 'Protect']","['Panes', 'Translucent', 'glass', 'view']","['Rake', 'Animals', 'McDonald', 'table', 'tractor', 'Tractor']","['Poinsettia', 'orchid', 'reproduction', 'Wisteria', 'Power', 'patch']","['P\\u00e2ques', 'campanaire', 'grelot', '\\u00c9glise', 'Matine', 'suspicion']","['Suck', 'Teeth', 'helsing', 'strahd', 'Slayer', 'Blood']","['Stradivari', 'Strings', 'strings', 'string', 'String']","['Celestial', 'Shadow', 'New', 'Cheese', 'Cheese']","['Love', 'Emotion', 'Fervor', 'Romance', 'Christ', 'Fruit']","['Evolved', 'mammoth', 'Asian', 'trunk', 'Nose', 'Mammal']","['K\\u00fcnstlernachname', 'Kubismus', 'Citroen-Modell', 'Pablo', 'Formenwirrwarr', 'Gem\\u00e4lde']","['Menstruation', 'Menstruelle', 'Loi', '\\u00e9querre']","['joker', 'Ace', 'Pokemon', 'Playing']","['dengue', 'Annoying', 'Anopheles', 'malaria', 'malaria', 'malaria']","['Iridescent', 'Ariel', 'Dinglehopper', 'Fiji', 'Ursula', 'Fishtail']","['London', 'bell', 'Wakenreth', 'Pisa', 'Rapunzel', 'Turret']","['gr\\u00fcn', 'kleiner', 'gr\\u00fcner', 'Feige', 'W\\u00fcste', 'W\\u00fcste']","['Spinning', 'Blades', 'Blade', 'Aviation', 'Vertical', 'Take-off']","['Cable', 'Tesla', 'inductor', 'Radiator', 'helix', 'helix']","['Tree', 'Reading', 'Arecaceae', 'Springs', 'hand', 'Arbo']","['wizard', 'Magic', 'illusion', 'Hoax', 'Spades', 'bridge']","['Rail', 'Point', 'Petticoat', 'coupling', 'Train', 'Pipe']","['Sonne', 'Meteorologe', 'Voraussage', 'Nachrichten', 'Vorhersage']","['lamp', 'fire', 'Magma', 'magma']","['Rogaine', 'spray', 'dye', 'lice', 'Prince']","['Margaritifera', 'Mollusk', 'necklace', 'necklace', 'oyster', 'oyster']","['Alladin', 'Paillasson', 'Aladin', 'Volant', 'volant', 'Volant']","['Chamomile', 'rosemary', 'Plant', 'Spices', 'Basil', 'basil']","['Lycra', 'stretchy', 'pliant', 'bands', 'Waistband', 'Band']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Igneous', 'Sedimentary', 'And', 'Roll', 'hard', 'stone']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Sprechmuschel', 'Stimmenverst\\u00e4rker', 'Tonabnehmer', 'Karaoke']","['Beautician', 'Hairdresser', 'Beauty', 'Consultant', 'Appearance', 'Manufacturer']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['Touch', 'Green', 'Television', 'Monitor', 'projection', 'Presenn']","['Requisiten', 'Broadway', 'Oper', 'Freilicht', '\\u00dcn\\u00f6']","['Tylenol', 'Acetaminophen', '101', 'symptom', 'saturday']","['tuba', 'RADE', 'Visage', 'Chirurgical', 'Fer']","['Biathalon', 'mask', 'balaclava', 'lift']","['Supper', 'News', 'Straightening', 'Smoothing', 'After', 'Afternoon']","['Indigenous', 'cigs', 'cancer', 'cigar', 'Spit']","['Searcher', 'trapper', 'Crocodile', 'Seeker', 'Gaston', 'Gatherer']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Cover,Mousse,Chef,Raisin,Masque,Chick,Fum\u00e9e,Gas,Pikachu,Flask,Trick,B\u00fcrste,S\u00e9rie,Noisette,Shield,Window,Farm,Flower,Cloche,Vampire,Violin,Moon,Passion,Elephant,Picasso,R\u00e8gle,Card,Mosquito,Mermaid,Tower,Kaktus,Helicopter,Coil,Palm,Trick,Junction,Wetterbericht,Lava,Hair,Pearl,Tapis,Herb,Elastic,Grape,Rock,Meerjungfrau,Mikrofon,Stylist,Nest,Bow,Anchor,Scale,Candle,Screen,B\u00fchne,Fever,Masque,Ski,Evening,Tobacco,Hunter,Circle
Guess,cover,mer,Chef,Raisin,Masque,Chick,Fum\u00e9e,Gasoline,Picachu,Beaker,Trick,B\u00fcrste,S\u00e9rie,Noisette,crest,Window,,flower,Cloche,Vampire,Violin,,passion,Elephant,Picasso,Regle,card,mosquito,Mermaid,Tower,Kaktus,Helicopter,motor,palm,trick,Junction,Wetterbericht,,Hair,oyster,Tapis,Herb,spandex,,Rock,Meerjungfrau,Mikrofon,Stylist,,artist,,,,screen,Theater,Fever,masque,ski,Evening,tobacco,Hunter,Circle
