ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64
Table Number,443808843,443699613,443530152,443493935,443203411,443073822,443044786,443024071,442941057,442878395,442847782,442379625,442356323,442304692,442095871,442066014,442005710,441899144,441887382,441812896,441519445,441488112,441412491,441278597,441230682,440981708,440978972,440958610,440934043,440676504,440225058,440175021,440174401,440141738,440023811,439942118,439675484,439507195,439284076,439225258,439177364,438829630,438770525,438760464,438331449,438048273,436807393,436036993,435781132,435366714,434974083,433551934,432865949,431356594,430526833,429213142,422619886,405054016,356959263,348302073,344838144,337346134,323499397,322628136
Move,10,9,9,6,6,21,36,7,67,55,54,14,18,43,37,40,26,55,66,37,45,30,78,51,38,75,7,43,50,36,77,19,24,116,62,18,22,58,93,105,91,120,99,52,45,64,101,101,11,62,43,12,20,8,18,28,277,861,1066,2018,1306,3108,4123,3751
Clues,"['Underground', 'Dirty', 'TMNT', 'home']","['Creuser', 'fa', 'Nains', 'enfant', 'charbon', 'charbon']","['Ornithologie', 'olsen', 'soeurs', 'lorgnette', 'Soeur', 'soeur']","['Arbre', 'Groupement', 'Vert', 'Oxyg\\u00e8ne', 'Interdite', 'Broceliande']","['Mikimoto', 'Earrings', 'Orbs', 'Diver', 'oyster', 'Oyster']","['Biggest', 'Mammal', 'Sea', 'Sperm']","['Code', 'Serrure', 'Casier', 'verrouill\\u00e9', 'Clef', 'Cl\\u00e9']","['Projector', 'privacy', 'television', 'television']","['Respect', 'tie', 'tie', 'NA']","['robber', 'Arr', 'caribbean', 'skull', 'Doubloon', 'ship']","['louvre', 'archaeology', 'Educational', 'curator', 'Metropolitan', 'night']","['Lieutenant', 'Copilot', 'Picard', 'Nemo', 'pirate', 'Hook']","['Breakfast', 'Breakfast.', 'Evening', '7AM', 'evening', 'night']","['Jail', 'nucleus', 'amoeba', 'amoeba']","['Enseigne', 'Navire', 'chef', 'Crochet', 'N\\u00e9mo', 'America']","['Intersection', 'Edge', '-stone', 'control', 'starmall']","['eremite', 'Tarot', 'recluse', 'Alone', 'Alone']","['shampooing', 'Alop\\u00e9cie', 'Coiffeur', 'ANGE', 'Lisser', 'Roux']","['Buck', 'Grain', 'Thins', 'Flour', 'gluten', 'Triticum']","['Garten', 'Gartenutensil', 'Beet', 'Slapstick', 'Rechen', 'Rechen']","['deluge', 'drop', 'torrential', 'november', 'precipitation', 'precipitation']","['germ', 'Whole', 'Bread', 'Cereals', 'Creamed', 'Triticum']","['penny', 'money', 'Pence', 'Trevi', 'Forge', 'tail']","['apparel', 'formal', 'same', 'likeness']","['Femme', '\\u00c2g\\u00e9e', 'Chat', 'sauvage']","['thermique', 'Chevaux', 'vroum', 'Quantique', 'Cylindr\\u00e9e', 'm\\u00e9canique']","['Melted', 'Burn', 'Wax', 'Wax']","['Io', 'Ganymede', 'Werewolf', 'Wax', 'Buttcheeks', 'Sailor']","['Cartoonist', 'Beautician', 'aesthetician', 'Aesthetician']","['Caprese', 'Potato', 'Caesar', 'Rucola', 'lettuce', 'Lettuce']","['Choose', 'optiins', 'price', 'Tasting', 'Placemat', 'Tapas']","['facetiousness', 'wit', 'Dark', 'Comedy', 'Satire', 'Sarcasm']","['Bunny', 'Ears', 'Cottontail', 'Flopsy', 'Hase', 'Hare']","['B\\u00e9gonia', 'Jonquille', 'lys', 'Lotus', 'Bouquet', 'Narcisse']","['Lift', 'Forklift', 'Derrick', 'Karate', 'Bird', 'Bird']","['Scorch', 'Ember', 'Flicker', 'Eternal', 'thrower', 'thrower']","['Cave', 'Santa', 'Santas', 'Christmas']","['Stalk', 'Frond', 'blower', 'Clover', 'clover']","['play', 'Arcade', 'Over', 'Catan', 'Xbox', 'Activity']","['Joined', 'accord', 'Azeroth', 'Axis', 'Axis']","['Eight', 'Sphere', 'snow', 'Wiffle', 'Gala', 'soccer']","['Parure', 'barbe', 'Perles', 'Pendentif', 'antipuce', 'laisse']","['Orca', 'Watching', 'Baleen', 'Largest', 'Beluga', 'Jonah']","['Tschaikowsky', 'G\\u00e4nseleben', 'Ballet', 'Ballettst\\u00fcck']","['scape', 'schmuck', 'Greatest', 'Alltime']","['Cube', 'Rubbermaid', 'Shipping', 'Container', 'Cardboard', 'Cardboard']","['Hypothalamus', 'cerebrum', 'Organ', 'Scarecrow', 'smart', 'Drain']","['Tube', 'Panty', 'Nozzle', 'Equestrian', ""Fireman's"", 'Fire']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Gallows', 'Sarcasm', 'Sense', 'Of', 'lachen', 'witz']",[],"['Couleur', 'couleurs', 'Transparent', 'Lezard', 'l\\u00e9zard', 'L\\u00e9zard']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['Chill', 'relax', 'Bloody', 'rest']","['0', 'X', 'browser', 'Browser']","['Igneous', 'Dwayne', 'Stone', 'pebble', 'classic', 'Roll']","['Hand', 'springs', 'Tree', 'tree']","['shot', 'spectacles', 'bifocals', 'champagne']","['Sting', 'Pinchers', 'whip', 'horoscope', 'King', 'Pathetic-Animated-Rock']","['Merveille', 'Louvre', '\\u00c9gypte', 'Triangle', 'Gizeh', 'Gizeh']","['Sleep', 'hallucinate', 'nightmare', 'nightmare']","['Ips', 'sapporo', 'wheat', 'ale', 'Hold.your.brown']","['Cane', 'powdered', 'Sweet', 'brown', 'Beet', 'Ray']","['Sundin', 'Tea', 'hokage', 'Tree', 'Konoha']"
Mystery Word,Sewer,Mineur,Jumelles,For\u00eat,Pearl,Whale,Cadenas,Screen,Bow,Pirate,Museum,Captain,Morning,Cell,Capitaine,Corner,Hermit,Cheveux,Wheat,Harke,Rain,Wheat,Coin,Uniform,Cougar,Moteur,Candle,Moon,Stylist,Salad,Menu,Humor,Rabbit,Fleur,Crane,Flame,Grotto,Leaf,Game,Alliance,Ball,Collier,Whale,Schwanensee,Goat,Box,Brain,Hose,Poil,Humor,Professor,Cam\u00e9l\u00e9on,Lamb,Sunday,Safari,Rock,Palm,Glasses,Scorpion,Pyramide,Dream,Beer,Sugar,Leaf
Guess,sewer,mine,Jumelles,For\u00eat,Pearl,Whale,cadenas,Movie,artist,Pirate,museum,Captain,Morning,cell,Capitaine,,hermit,Cheveux,wheat,Harke,rain,wheat,coin,tuxedo,beaut\u00e9,Moteur,,Moon,Stylist,salad,Meal,Humor,Rabbit,Fleur,Rank,Burn,story,Leaf,Game,Group,ball,collier,whale,Schwanensee,goat,Tote,Brain,Hose,Poil,Humour,,Blanc,,igiveup,,Rock,Hot,Glasses,scorpion,Pyramide,dream,beer,Sugar,Leaf
