ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73
Table Number,488382581,488032029,488192857,487889271,487770108,487715360,487627404,487559215,487440083,487491591,487328683,486994743,487191685,486911772,486867778,486937481,486295767,485539344,485880478,485885498,485916580,485628314,485271970,485387226,485185691,485292173,483967058,484957793,484588472,484682575,484435490,484195799,483994780,483944277,484078046,483707849,483352966,483394067,482880706,480718657,480162112,480601865,480442221,479677325,478910455,478518095,475857014,474943349,474111019,473319518,473890082,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,462438853,444471586,396307534,381777020,357001162,341401520,322726720,314360735
Move,['22'],['5'],['38'],['29'],['49'],['49'],['18'],['48'],['39'],['49'],['46'],['16'],['47'],['75'],['18'],['67'],['55'],['21'],['54'],['40'],['37'],['64'],['81'],['65'],['109'],['82'],['21'],['39'],['91'],['96'],['55'],['16'],['33'],['47'],['71'],['95'],['75'],['35'],['92'],['48'],['19'],['99'],['71'],['82'],['66'],['56'],['10'],['100'],['55'],['36'],['9'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['542'],['57'],['457'],['1182'],['1849'],['2709'],['1182'],['3072']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,Français,English,Deutsch,English,Français,Français,Français,English,Deutsch,Français,Français,English,English,English,English,English,English,English,Français,Français,Français,Français,Français,Français,English,Français,English,English,Français,English,Français,English,English,Français,Français,English,Français,English,English,Deutsch,English,English,Deutsch,English,Deutsch,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,Français,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['brainy', 'Hawking', 'Mensa', 'einstein', 'Intelligent', 'Coyote']","['Escalier', 'Cascade', 'Tomber', 'Tomber']","['Blitz', 'Music', 'Palace', 'Masquerade', 'dance', 'Dancing']","['Rubik', 'Film', 'm3', 'Parallepipede', 'D\\u00e9', 'D\\u00e9']","['Whale', 'Aviator', 'Formula1', 'Qantas', 'profession', 'Profession']","['Hilfe', 'Backup', 'Rotkreuz', 'Plan', 'Alarm', 'Feueralarm']","['S', '7', 'Night', 'Elite', 'Golf', 'stick']","['qui\\u00e9tude', 'utopie', 'onu', 'Colombe', 'Colombe', 'Colombe']","['lievre', 'lent', 'Galapagos', 'Cowabunga', 'Fable', 'Ninja']","['Tryba', 'Regarder', 'Microsoft', 'Onglet', 'Velux', 'Velux']","['Money', 'Pound', 'Iron', 'Braavos', 'Federal', 'Reserve']","['Vogelbeobachtungsger\\u00e4t', 'Opernglas', 'Binokel', 'Feldstecher', 'Feldstecher']","['Dormir', 'Plumard', 'Sommier', 'Draps', 'Baldaquin', 'Baldaquin']","['Carbone', 'Polir', 'Tourne-disque', '\\u00c9meraude', 'Eternel', '\\u00e9ternel']","['African', 'George', 'Habitat', 'Amazon', 'Habitat', 'Amazonian']","['Space', 'NASA', 'Aldrin', 'Spacesuit', 'Buzz', 'Buzz']","['glacier', 'Tip', 'Titanic', 'Floating', 'lettuce', 'Lettuce']","['stitches', 'in', 'hem', 'joining']","['Black', 'Pocket', 'Yelnats', 'mine', 'dug', 'Dug']","['chopsticks', 'Instant', 'linguine', 'ramen', 'Ramen']","['button', 'Umbilical', 'umbilical', 'Umbilical', 'Umbilicus', 'Umbilicus']","['urgentiste', 'Pimpon', 'Sapeur', '18', 'sapeur', '18']","['Marquise', 'Lartiste', 'P\\u00e9pites', 'Lindt', 'douceur', 'bras']","['dor\\u00e9', 'Base-jump', 'Confiture', 'Militaire', 'Avion', 'Avion']","['cour', 'Roseraie', 'azul', 'terasse', 'Potager', 'potager']","['Dents', 'Dent', 'Clochette', 'Clochette']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['yazoo', 'spiderman', 'Star', 'Plant', 'oil', 'tall']","['Drague', 'Pelle', 'Fourchette', 'Feuilles', 'Feuilles', 'Fourchette']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Caraibes', 'Perroquet', 'Corsair', 'Tipiac', 'Corsaire']","['Ital', 'Alkoholos', 'Hord\\u00f3', 'Sz\\u0151l\\u0151']","['Taraud', 'mara', 'Dentiste', 'Baie', 'Rouge', 'rouge']","['Nonflowering', 'Soft', 'damp', 'Vegetation', 'rootless', 'kate']","['Sicily', 'Consigliere', 'don', 'Fedora', 'Ndrangheta', 'Godfather']","['sandwich', 'Amoureux', 'Quelconque', 'isoc\\u00e8le', 'isocele', 'Isoc\\u00e8le']","['Sortir', 'Alice', 'D\\u00e9dale', 'M\\u00e9andres']","['Toaster', 'Kitchen', 'Bun', 'Kiln', 'Bake', 'Bake']","['Pierre', 'tombale', 'columbarium', 's\\u00e9pulture']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Elected', 'Washington', 'Eisenhower', 'leader', 'Roosevelt', 'vice']","['Reformationstag', 'Horrorfilm', 'K\\u00fcrbisleuchte', 'K\\u00fcrbisfrazze']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['floppy', 'ears', 'carrot', 'animal', 'bunny', 'hop']","['Idee', 'Einfall', 'Verloren', 'In...']","['Newton', 'lab', 'biology', 'biology']","['Wolle', 'Flauschig', 'Tierhaarkleid', 'Pelz', 'Pelz']","['Spray', 'Condiment', 'Salt', 'And']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Cong\\u00e9s', 'Camping', 'Ard\\u00e8che', 'Moustoir', 'Scolaire', 'Plage']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['Carmen', 'Vivaldi', 'Phantom', 'Phantom']","['Device', 'bunny', 'corn', 'eustachian', 'Listening', 'listen']","['AUKUS', 'Union', 'Pact', 'Friend', 'NATO', 'Nato']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']","['grian', 'goodtimeswithscar', 'Recluse', 'Crab', 'Recluse', 'Crab']"
Mystery Word,Genius,Chute,Ballroom,Cube,Pilot,Notfall,Club,Paix,Tortue,Fen\u00eatre,Bank,Fernglas,Lit,Diamant,Jungle,Astronaut,Iceberg,Seam,Hole,Noodle,Navel,Pompier,Chocolat,Parachute,Jardin,F\u00e9e,Chaussette,Sunflower,R\u00e2teau,Quarter,Root,Pirate,Wine,Fraise,Moss,Mafia,Triangle,Labyrinthe,Oven,Cimeti\u00e8re,Fire,President,Halloween,Guard,Rabbit,Gedanke,Science,Fell,Pepper,Puder,Dress,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Vacances,Vegetable,Couscous,Opera,Ear,Alliance,Seam,Hermit
Guess,Clever,Escalier,Ballroom,Cube,Pilot,Rettung,Club,Paix,tortue,Fen\u00eatre,Coin,,Matelas,diamant,Jungle,Astronaut,Iceberg,Seam,Holes,Noodles,Shirt,pompier,chocolat,Parachute,Palais,Fee,Chaussettes,kryptonite,,mix,,Pirate,Wine,,,Mob,Triangle,Labyrinthe,oven,sarcophage,iron,President,Luther,guard,rabbit,,Science,Fell,pepper,Russ,,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Vacances,Vegetable,fufu,Antonio,Ear,Alliance,Zip,Username
