ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71
Table Number,491356305,491052585,490555540,490070257,490501898,490546152,490516485,490427053,489821243,489457635,489708035,489367216,489534385,489054748,489221823,489036043,489101634,489167856,489021056,489005659,488873495,488762139,488396760,488480710,488443714,488152355,488192857,487275447,487491591,486994743,486867778,486226243,486659123,486549446,486124151,485758263,485530531,485439810,484682575,484435490,484195799,483994780,484078046,480162112,480638723,479677325,478658601,475857014,474045761,473319518,473890082,471793759,470247957,466086694,466081205,466083684,466084384,465731184,465664137,465664095,465664206,465664286,465668656,465435499,445297184,444471586,426921218,405054016,387173467,381777020,348302073
Move,['63'],['5'],['18'],['29'],['19'],['19'],['10'],['29'],['6'],['16'],['22'],['59'],['27'],['40'],['7'],['25'],['74'],['32'],['55'],['19'],['51'],['62'],['16'],['55'],['29'],['94'],['93'],['24'],['85'],['32'],['48'],['45'],['52'],['83'],['83'],['81'],['64'],['58'],['96'],['55'],['23'],['42'],['111'],['19'],['16'],['82'],['63'],['10'],['67'],['36'],['9'],['74'],['603'],['42'],['48'],['49'],['46'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['47'],['57'],['572'],['1671'],['1362'],['1205'],['2555']
Mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Real-time • Fast paced (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+
Language,Français,Français,English,Deutsch,English,English,Français,Français,Français,Deutsch,Français,English,English,English,Français,English,Français,English,English,English,English,English,English,Français,English,English,English,English,Français,Deutsch,English,Deutsch,English,English,English,English,Deutsch,English,English,English,Français,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['piquante', 'Couleur', 'Fleur', '\\u00c9pine', '\\u00e9pines', 'fleur']","['Effet', 'Noeud', 'Monarque', 'Chrysalide']","['It', 'DUMBO', 'autito', 'maquillado', 'Circo', 'Chalupa']","['Sonne', 'Senf', 'Zitrone', 'sucht', 'Sonnenfarbe', 'Farbe']","['HandyAndy', 'hanker', 'needles', 'Tree', 'cone', 'Cones']","['bulbasaur', 'mapple', 'hidden', 'Autumn', 'tea', 'Tea']","['Vaisselle', 'Mer', 'Bob', 'Absorber']","['Masqu\\u00e9', 'Graduation', 'Promo', 'Chateau']","['Douce', 'D\\u00e9tente', 'Zen', 'Lisse', 'Roche', 'Roche']","['Phantom', 'Therater', 'Othello', 'Dramaturgie', 'Pavarotie']","['macadamia', 'P\\u00e9can', 'cajou', 'Cajoux']","['Magma', 'Eruption', 'Molten', 'molten']","['Evergreen', 'Coniferous', 'Knotty', 'Squirrel', 'Yearn', 'apple']","['Infant', 'Pregnancy', 'nappy', 'bottle', 'Dummy']","['Vicky', 'Casper', 'Paranormal', 'Spectre']","['chief', 'Ramsay', 'cook', 'Cook']","['Brochette', 'Propane', 'Sauce', 'Charbon', 'Grillade', 'grillade']","['plastic', 'Luffy', 'wrapper', 'last', 'Camel']","['Italy', 'fruit', 'honeydew', 'Water', 'cantaloupe', 'Cantalope']","['green', 'Cucumbers', 'photosynthesis', 'kale', 'salad', 'Salad']","['Leaf', 'Chewing', 'Cigar', 'Ashes', 'Kentucky', 'Marlboro']","['brussel', 'sprig', 'Tiny', 'Emergent', 'Whale', 'Water']","['Tee', 'Cart', 'Club', 'Club']","['Crustac\\u00e9', 'Poignard', 'opinel', 'Lame', 'Suisse', 'Suisse']","['Airplane', 'whirlybird', 'Rotor', 'Hover']","['fluffy', 'Cumulus', 'Nine', 'White', 'storage', 'storage']","['Miller', 'Pabst', 'IPA', 'Pint', 'Hops', 'Cerveisiae']","['Manicure', 'Pedicure', 'Fastener', 'Roofing', 'Hammer', 'Coffin']","['Cin\\u00e9ma', 'travelling', 'Zoom', 'surveillance', 'cach\\u00e9e', 'Souvenirs']","['Jeany', 'Musiker', '\\u00d6sterreicher', 'Amadeus', 'Jeanny']","['Beanstalk', 'Fum', 'Big', 'Enlarged', 'Massive', 'Ogre']","['Schwarzbraun', 'Hannelore', 'Brille', 'blond', 'S\\u00e4nger', 'Sonnenbrille']","['Black', 'Bread', 'Clay', 'Shape']","['Pendleton', 'Sleep', 'Quilt', 'Fort', 'beach', 'weighted']","['American', 'Food', 'shepherds', 'apple', 'Cherry', 'Cherry']","['Pastry', 'Pie', 'Apron', 'creator', 'chef', 'Hollywood']","['Triller', 'Sherlock', 'Schiedsrichter', 'Schiedsrichter', 'Schiedsrichter']","['farmer', 'iron', 'Leaf', 'Tool']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Cendr\\u00e9e', 'Oiseau', 'Cendr\\u00e9e', 'Oiseau', 'Cendr\\u00e9e']","['Fa', 'H\\u00e1z', 'Fa', 'H\\u00e1z']","['Deodorant', 'Tool', 'hatchet', 'lumberjack', 'Chopper', 'chopping']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['blue', 'passcode', 'Hart', 'Smith']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Haystack', 'Pins', 'thread', 'Thread', 'vaccine', 'Vaccine']","['Newton', 'lab', 'biology', 'biology']","['Sp\\u00e4tn\\u00e9', 'Obraz', 'Macocha', 'Timberlake']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Counting', 'Shaun', 'Dog', 'herd', 'Catan', 'Dolly']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['spicy', 'l\\u00e4nglich', 'rot', 'rot']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['FODDER', 'ball', 'War', 'Boom']","['cheese', 'tire', 'Fortune', 'Spokes']","['Wooden', 'Up', 'economics', 'Stairway', 'Rung', 'Rung']","['Mead', 'Nectar', 'Hive', 'Hive']","['cake', 'biscuit', 'Clafoutis', 'Brownie', 'P\\u00e2tisserie', 'Gourmandise']"
Mystery Word,Rose,Papillon,Clown,Gelb,Pine,Leaf,\u00c9ponge,Bal,Galet,Oper,Noix,Lava,Pine,Baby,Fant\u00f4me,Chef,Barbecue,Straw,Melon,Vegetable,Tobacco,Sprout,Golf,Couteau,Helicopter,Cloud,Beer,Nail,Cam\u00e9ra,Falco,Giant,Heino,Mold,Blanket,Pie,Baker,Pfeife,Rake,Quarter,Root,Grue,Beam,Axe,Fire,Lock,Guard,Needle,Science,Mirror,Puder,Dress,Cage,Sheep,Club,Coin,Bar,Stone,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Chili,Vegetable,Cannon,Wheel,Ladder,Honey,G\u00e2teau
Guess,,Papillon,Payaso,Gelb,pine,,Eponge,bal,Massage,Oper,Noix,Volcano,Forest,Baby,Fant\u00f4me,cook,Barbecue,Rubber,Ketchup,Salad,tobacco,Sprout,Golf,Couteau,Helicopter,Cloud,brewing,Nail,Cam\u00e9ra,Falco,Giant,Heino,Mould,Blanket,Pie,Bake,Pfeife,Rake,mix,,,Vicces,Axe,iron,lock,guard,needle,Science,Mirror,Russ,,cage,Sheep,Club,Coin,Bar,Stone,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chilli,Vegetable,Cannon,Wheel,Ladder,Honey,G\u00e2teau
