ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75
Table Number,489054748,488971242,489028056,489024456,488975321,488552586,488876703,488876913,488480710,488152355,487877056,488490959,488379380,488438398,488032029,488032258,487940879,487297911,487504595,487110978,487079534,486624292,486753041,486529433,486366786,485832443,485796025,485809716,485625896,484741001,485019261,483967058,484682575,484435490,483688321,483588725,483353040,483394067,482313791,482955686,480162112,480770866,479677325,479396884,479232973,478910455,478694363,477794751,475857014,473319518,473890082,468164131,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,444471586,443775902,426921218,405054016,396307534,357001162,337346134,328236739,322726720,321888448
Move,['8'],['9'],['6'],['6'],['5'],['9'],['16'],['16'],['37'],['36'],['21'],['30'],['10'],['21'],['5'],['24'],['30'],['16'],['31'],['113'],['55'],['16'],['28'],['54'],['73'],['70'],['50'],['81'],['85'],['103'],['55'],['21'],['96'],['55'],['90'],['57'],['76'],['51'],['30'],['51'],['19'],['86'],['82'],['77'],['1169'],['72'],['478'],['83'],['10'],['36'],['9'],['55'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['57'],['1592'],['557'],['1641'],['457'],['1849'],['3939'],['3481'],['1182'],['3332']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+
Language,English,English,English,English,English,English,English,English,Français,English,English,English,Français,Français,Français,English,English,English,English,Français,English,English,English,English,English,English,Français,English,Français,English,English,Français,English,English,English,Français,Deutsch,Français,Français,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,Français,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Archeologist', 'Tomb', 'Daddy', 'Sarcophagus', 'Parent']","['Love', 'Jesus', 'Fruit', 'Night', 'intensity', 'fervent']","['muppet', 'hand', 'show', 'scale', 'marionette', 'manchuria']","['Daisy', 'Daffy', 'hoisin', 'peking', 'Donald', 'Donald']","['Moresby', 'fortified', 'Wine', 'wine']","['Dictionaries', 'building', 'Borrow', 'Bodleian', 'Card', 'Research']","['aspiration', 'happiness', 'catcher', 'Fantasy', 'REM']","['Juice', 'satsuma', 'Clementine', 'citrus', 'Citrus']","['Binocle', 'Krys', 'Jumelles', 'Myope', 'Opticien', 'Opticien']","['Hippocratic', 'Amoxicillin', 'cure', 'Pharmacy', 'injection', 'Injection']","['versteinern', 'Perseus', 'Schlangenfrisur', 'Mythology']","['security', 'Queen', 'protection', 'Protector']","['Circonflexe', 'marseill\\u00e9', 'Qu\\u00e9b\\u00e9cois', 'r\\u00e9gion', 'Patois', 'aigu']","['train', 'quai', 'Station', 'Tgv']","['Escalier', 'Cascade', 'Tomber', 'Tomber']","['Stop', 'Driver', 'vehicle', 'monster', 'Garbage', 'Auto']","['Underage', 'moll', 'Child', 'young', 'Child', 'younger']","['Larry', 'Cake', 'Throne', 'Koopa', 'Louis']","['King', '\\u30e2\\u30fc\\u30b8', '\\u305f\\u3066\\u304c\\u307f', '\\u306d\\u3053\\u304b']","['Cheval', '\\u00c9quitation', 'Poly', 'Petit', 'Petit', 'Poly']","['Checkerboard', 'move', 'Pawn', 'Bishop', 'checkmate', 'checkmate']","['Small', 'Prawn', 'Prawns', 'Shell']","['Afternoon', 'night', 'Morning', 'Gown', 'Dinner', 'Dusk']","['mammal', 'Milking', 'Animal', 'heifer', 'Moo', 'moo']","['Neck', 'swallow', 'esophagus', 'esophagus', 'esophagus', 'Swallow']","['Fogo', 'Rival', 'reservation', 'Hostess']","['boite', 'Squelette', 'cavit\\u00e9', 't\\u00eate']","['butterfly', 'edge', 'Paring', 'Kitchen', 'Pocket']","['Injection', 'Intraveineuse', 'Moustique', 'Pincement', 'Seringue', 'seringue']","['profession', 'Clue', 'Hound', 'Batman', 'investigator', 'Investigator']","['Weight', 'Boa', 'Flight', 'Wing', 'Quill', 'Quill']","['Pantoufles', 'Sous-v\\u00eatements', 'Pied', 'V\\u00eatements']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Nemo', 'river', 'Chips', 'carp', 'Gold']","['Boulot', 'Dodo', 'transport', 'souterrain']","['Wald', 'H\\u00e4uschen', 'Alm', 'Hagrid', 'Tom']","['Hiver', 'Chaud', 'Indien', 'Solstice']","['P\\u00eache', 'magret', 'Wc', 'WC']","['Gardiens', 'Lact\\u00e9e', 'Univers', 'Voielact\\u00e9e']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['Greens', 'Chlorophyll', 'Green', 'Autumn', 'Photosynthesis', 'Blower']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['photography', 'Superhero', 'Superhero']","['Dance', 'Venue', 'banquet', 'hotel']","['fairy', 'baton', 'spell', 'stick', 'magic', 'staff']","['Gem', 'Cold', 'Rock', 'Rock']","['Phrase', 'Penny', 'Heads', 'Token', 'Purse', 'kr\\u00fcgerrand']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Wind', 'Regen', 'Weer', 'Bliksem']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['guggenheim', 'gr\\u00e9vin', 'Orsay', 'orsay']","['fragrance', 'scent', 'aromatic', 'cologne']","['sunrise', 'breakfast', 'Rooster', 'Dawn']","['Semolina', 'polished', 'carbohydrate', 'African', 'Wheat', 'wheat']","['Device', 'bunny', 'corn', 'eustachian', 'Listening', 'listen']","['Size.of.your.ballsack', 'clitoris', 'Legume', 'butter', 'butter']","['Piece', 'Azul', 'roof', 'Ceramic', 'plate']","['Sewing', 'Join', 'Clothes', 'Clothing', 'Edge', 'Edge']","['Singing', 'In', 'Umbrella', 'Weather', 'drizzle', 'precipitation']"
Mystery Word,Mummy,Passion,Puppet,Duck,Port,Library,Dream,Orange,Lunettes,Medicine,Medusa,Guard,Accent,Gare,Chute,Truck,Minor,King,Lion,Poney,Chess,Shrimp,Evening,Cow,Throat,Restaurant,Cr\u00e2ne,Knife,Piq\u00fbre,Detective,Feather,Chaussette,Quarter,Root,Fish,M\u00e9tro,H\u00fctte,\u00c9t\u00e9,Canard,Galaxie,Fire,Leaf,Guard,Flash,Ballroom,Wand,Stone,Coin,Science,Puder,Dress,Storm,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Vegetable,Mus\u00e9e,Perfume,Morning,Couscous,Ear,Peanut,Tile,Seam,Rain
Guess,Mummy,Passion,doll,duck,Port,library,Dream,Orange,Lunettes,Hospital,Medusa,,accent,Gare,Escalier,truck,Minor,King,Lion,Poney,chess,Shrimp,Evening,cow,Vampire,restaurant,Mort,Knife,Piqure,Detective,Feather,Chaussettes,mix,,Fish,Train,,\u00c9t\u00e9,Canard,Galaxie,iron,Plants,guard,camera,Hall,wand,,Coin,Science,Russ,,Onweer,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,Vegetable,Mus\u00e9e,Perfume,Morning,fufu,Ear,bulb,tile,Zip,Rain
