ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71
Table Number,481337396,481209403,481176076,480718657,480807749,480692720,480611246,479916058,480267668,479724764,479718854,479731613,479040339,479108774,479430817,479396884,478758693,479166434,479108112,478910455,479070679,478870521,478747392,478599863,478625404,478362907,478416865,478541269,478422662,478232420,478046635,478065343,477589321,477598990,477457314,477431939,476826099,476678071,476993868,476721565,476494809,475857014,476251140,476173213,475763612,473845441,473319518,473874977,473890082,473135618,470484755,466842311,466086884,466084294,465621249,465661217,465665616,463714023,462438853,460084195,457064795,451463411,423771261,422619886,420552674,402108912,396307534,387173467,341401520,328236739,319065151
Move,['9'],['12'],['31'],['5'],['21'],['42'],['6'],['22'],['13'],['57'],['47'],['37'],['46'],['29'],['36'],['29'],['65'],['46'],['43'],['18'],['51'],['43'],['25'],['55'],['31'],['18'],['48'],['47'],['39'],['49'],['47'],['61'],['75'],['25'],['76'],['55'],['118'],['18'],['58'],['104'],['93'],['10'],['76'],['86'],['32'],['65'],['36'],['28'],['9'],['96'],['89'],['93'],['42'],['38'],['70'],['37'],['39'],['57'],['470'],['72'],['36'],['40'],['1717'],['526'],['540'],['1129'],['437'],['1280'],['2615'],['3346'],['393']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,Français,English,English,Français,Français,English,English,English,English,English,English,Français,Deutsch,English,English,English,English,English,English,English,English,English,Français,Français,Français,English,Français,Deutsch,English,English,English,Français,Français,English,English,English,Français,English,English,Français,English,English,English,English,Français,English,Deutsch,Français,English,English,English,English,English,English,Français,English,English,Français,Français,Deutsch,English,English,Deutsch,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['NCIS', 'D\\u00e9rivation', 'killer', 'Lost', 't\\u00e9l\\u00e9', 'Dexter']","['sycamores', 'deer', 'Battle', 'Teutoberg', 'Germany', 'Black']","['Horns', 'DDR', 'charge', 'headbutting', 'Aries', 'Aries']","['limace', 'bave', 'lent', 'lent']","['socquette', 'v\\u00eatement', 'Chemin\\u00e9e', 'No\\u00ebl']","['Oasis', 'Storm', 'Sonhora', 'Barren']","['Flea', 'Barter', 'Stock', ""Farmer's"", 'Buyers', 'Sellers']","['Neumann', 'Laptop', 'Robot', 'Motherboard']","['Movember', 'Dali', 'handlebar', 'beard', 'TomSelleck', 'Liphair']","['Hatchery', 'breeding', ""hornet's"", 'refuge', 'birdhouse', 'Empty']","['Hole', 'Legend', 'Door', 'Board', 'Lock', 'padlock']","['Mort', 'Ange', 'Enfer', 'Mal', 'lucifer', 'Lucifer']","['Befehlshaber', 'Gentleman', 'General', 'Major', 'Armeegrad', 'Hauptmann']","['Licorice', 'maraschino', 'blossom', 'Pie', 'cola', 'okanagan']","['Master', 'Dragons', 'Detention', 'Alcatraz', 'underground', 'prison']","['Eminem', 'Tractor', 'Cargo', 'Tow']","['Beach', 'Rhianna', 'Hagrid', 'Parasol', 'Rihanna', 'rihanna']","['Pub', 'Cheers', 'Candy', 'Local', 'Kirin', 'Bell']","['Rib', 'Dry', 'femur', 'Femur']","['Flipper', 'puppet', 'fish', 'jump', 'porpoise', 'intelligent']","['Grey', 'Animal', 'Trunk', 'African']","['Lenses', 'mirrors', 'Trifocals', 'Lens']","['Microscopique', 'Reproduction', 'Grise', 'Chambre']","['Ronde', 'Manger', 'Arthur', 'Multiplication', 'h\\u00f4te', 'Chaise']","['cire', 'allum\\u00e9e', 'Edf', 'Cand\\u00e9labre', 'Flamme', 'Senteur']","['war', 'forward', 'Fee', 'Price', 'AE', 'token']","['Chandail', 'P\\u00e9riode', 'Pelle', 'Poign\\u00e9e', 'Set', 'Set']","['stimm', 'stapler', 'Zinkenesswerkzeug', 'Heu-']","['Tangerine', 'Cuties', 'Citrus', 'Juice']","['brace', 'Incredibles', 'STretchy', 'Stretchy', 'Rubber', 'Rubber']","['phantom', 'Aida', 'Show', 'Cake', 'Music', 'Tosca']","['Tonnerre', 'Temp\\u00eate', 'D\\u00e9sespoir', '\\u00c9clair', 'Eclair', '\\u00c9clair']","['Biberon', 'Maman', 'Landeau', 'enfant', 'cadum', 'Cadum']","['Simi', 'Island', 'Gibraltar', 'Xita', 'Animal', 'Animal']","['Meerschaum', 'plumber', 'Smoke', 'Popeye', 'Cylinder', 'Bag']","['show', 'Italian', 'Phantom', 'Singing', 'singer', 'Singer']","['Chirurgien', 'commando', 'medecin', 'rhinoplastie', 'Chirurgie', 'Chirurgie']","['Eeyore', 'Mule', 'Shrek', 'Stubborn', 'Lanky', 'Kong']","['yardwork', 'Cad', 'Leaves', 'tool', 'pile', 'Prongs']","['t\\u00e9tra\\u00e8de', 'Maslow', 'pharaon', 'Keops', 'mausol\\u00e9e', 'polygone']","['Artwork', 'Skin', 'Tat', 'Body', 'Body', 'body']","['Newton', 'lab', 'biology', 'biology']","['Sine', 'Bermuda', 'ping', 'shape', '3', 'three']","['organ', 'Pumping', 'purple', 'suit', 'Beat', 'Spade']","['Oncle', 'Canadienne', 'Camping', 'Abri']","['Painting', 'Photo', 'Easel', 'School', 'tarp', 'Blank']","['staubig', 'Pulver']","['Cercle', 'Seigneur', 'Bague', 'Bague']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Trunk', 'Trumpeting', 'Ears', 'Grey', 'pachyderm', 'tusks']","['Garlic', 'Vidalia', 'vegetable']","['Surf', 'Sea', 'Hello', 'hand', 'Sound', 'Water']","['Cooperative', 'Tricktaker', 'Tricky', 'Seas']","['Birthday', 'Dessert', 'Going', 'Thedistance']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['Vadis', 'Tycoon', 'We', 'Bought']","['Not', 'Offense', 'Ofthe', 'Darkarts']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Mac\\u00e9o', 'D\\u00e9chu', 'Cupidon', 'C\\u00e9leste', 'D\\u00e9mon', 'Gabriel']","['Sauerstoffzelt', 'Fischer', 'Luftnot', 'Luftnot']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['Kleid', 'Abschluss', 'aportieren', 'Disco', 'Foot']","['Gun', 'Explode', 'Sound', 'sound']","['lego', 'pollution', 'polymer', 'pte', 'fake', 'fork']","['Messaging', 'Goodfeathers', 'Fearow', 'hole', 'Messenger', 'messenger']","['Camera', 'Wall', 'border', 'contain', 'Picture', 'Picture']","['NotDaddy', 'Pyramids', 'dead-ish', 'Sprogged', 'Egypt', 'Decrepit']","['Flugel', 'Rhino', 'Ram', 'Drinking', 'French', 'Trumpet']","['digger', '1942-2023', 'Yard', 'Tomb', 'Tomb']","['977477766', 'Grwoing', 'Gibbous', 'Waxing']"
Mystery Word,S\u00e9rie,Forest,Ram,Escargot,Chaussette,Desert,Market,Computer,Mustache,Nest,Key,Diable,Offizier,Cherry,Dungeon,Trailer,Umbrella,Bar,Bone,Dolphin,Elephant,Glasses,Cellule,Table,Bougie,Charge,Manche,Gabel,Orange,Elastic,Opera,Orage,B\u00e9b\u00e9,Monkey,Pipe,Opera,Op\u00e9ration,Donkey,Rake,Pyramide,Tattoo,Science,Triangle,Heart,Tente,Canvas,Puder,Anneau,Dress,Elephant,Onion,Wave,Sail,Cake,Patron,Zoo,Defense,Bouclier,Ange,Atemlos,Fox,Ninja,Ball,Bang,Plastic,Pigeon,Frame,Mummy,Horn,Grave,Crescent
Guess,S\u00e9rie,forest,viking,mucus,Chaussette,Desert,market,Computer,Mustache,nest,Key,D\u00e9mon,Offizier,Cherry,Dungeon,Truck,Umbrella,restaurant,Bone,dolphin,elephant,Glasses,,table,Bougie,charge,Manche,Gabel,Orange,Superhero,Opera,Orage,b\u00e9b\u00e9,Monkey,pipe,Opera,Op\u00e9ration,donkey,Rake,Pyramide,Tattoo,Science,Triangle,heart,Tente,canvas,Russ,Couronne,,Elephant,onion,wave,Crew,Cake,Coin,Zoo,Defense,Chevalier,Ange,Singen,Fox,,party,dynamite,Plastic,pidgeon,frame,Mummy,Horn,grave,moon
