ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44
Table Number,560206739,559801874,559437174,559299159,559237731,559186700,558891617,558983329,558853742,558744776,558481236,558603272,557490269,558327376,558178570,558150368,557241068,557205402,557343316,557384837,557195132,557225871,556172890,556269424,555420350,555810732,555376965,555066907,554457695,553700790,551617180,544337775,542060223,540361426,539937223,528022855,522327882,517125895,508130373,481212678,478910455,338553253,336562502,313533300
Move,['6'],['8'],['17'],['32'],['27'],['36'],['25'],['5'],['37'],['68'],['32'],['52'],['12'],['36'],['53'],['31'],['73'],['51'],['91'],['47'],['66'],['18'],['67'],['44'],['57'],['66'],['37'],['38'],['77'],['63'],['72'],['57'],['41'],['485'],['40'],['184'],['545'],['380'],['1494'],['328'],['348'],['2175'],['2157'],['4796']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,Français,Français,English,English,English,English,Deutsch,English,English,Français,English,Français,English,Français,English,Deutsch,Deutsch,English,English,English,Français,English,English,English,Français,English,English,Français,English,Français,English,English,Deutsch,Français,Français,English,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['oing', 'bacon', 'Babe', 'Ounk', 'Four-legged', 'Meat']","['clove', 'Bread', 'bram', 'Vampire', 'vampire']","['putter', 'Danse', 'golf', 'Golf']","['Pompei', 'Crat\\u00e8re', 'Eruption', 'Vezuve', 'V\\u00e9suve']","['Lighter', 'Result', 'Olympic', 'Eternal', 'The', 'Broiler']","['Plantain', 'Yellow', 'Minion', 'peel', 'Minion', 'Peel']","['Crucifixion', 'Red', 'Criss', 'Applesauce', 'Hot', 'Buns']","['K\\u00e9p', 'Te', 'T\\u00fckr\\u00f6z\\u0151d\\u00e9s', 'F\\u00e9s\\u00fclget\\u00e9s']","['Besucher', 'Familienausflug', 'Tiere', 'Tiere']","['Hargreeves', 'Rihanna', 'Academy', 'academy']","['Sarcophagus', 'Plagues', 'Title', 'Moses', 'Nemes']","['Liti\\u00e8re', 'Matou', 'Animal', 'Miaule', 'ronronner']","['Jewish', 'Building', 'Sanctuary', 'worship', 'Jesus', 'cleared']","['chevalier', 'lame', 'Arme', 'Escrime']","['hidden', 'Island', 'Chest', 'Find', 'X', 'X']","['priv\\u00e9', 'association', 'discotheque', 'golf']","['Foliage', 'Coals', '...leaves', 'yard', 'dredge', 'gather']","['Musikgruppe', 'Schnur', 'Rammstein', 'Deichkind']","['Enzian', 'Sonnenbrillentr\\u00e4ger', 'Hannelore', 'M\\u00fcnstereifel', 'Hannelore', 'M\\u00fcnstereifel']","['Home', 'Hatchling', 'egg', ""sparrow's"", 'Twigs', 'Twigs']","['split', 'Tree', 'Bank', 'bank']","['Rungs', 'climb', 'climbing', 'corporate', 'Jacob\\u2019s', 'snake']","['Frime', 'occiput', 'Cerveau', 'Os', 'Squelette', 'Tete']","['tray', 'Ungendered', 'waitron', 'Waitstaff']","['baby', 'Germinate', 'Sapling', 'Brussels']","['sky', 'safety', 'plummeting', 'leisurely', 'Giant', 'Yarmulke']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Southwest', 'helicopter', 'controller', 'sky', 'Driver', 'driver']","['Mouth', 'Taste', 'Lick', 'Lick']","['Di\\u00e8te', 'Poids', 'amincissement', 'cure', 'Bananes', 'Bananes']","['beanstalk', 'Gargantuan', 'Goliath', 'Goliath']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['reading', 'Scans', 'shoujo', 'comics']","['Performance', 'Pavarotti', 'Phantom', 'Phantom']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['pasteque', 'orange', 'porto', 'serrano']","['gr\\u00e9gorien', 'Anniversaire', 'Horaire', 'Avent', 'Mois', 'Mois']","['Puddle', 'Olympic', 'Boy', 'Floatie', 'Spa', 'Car']","['Huey', 'newborn', 'Pacifier', 'Sprog', 'Infant', 'Infant']","['Green', 'Grass', 'Garden', 'Tube', 'Water', 'Water']","['vehicle', 'guts', 'vroom', 'BIKE', 'cycle', 'cycle']","['illusion', 'Turn', 'Taking', 'Treat', 'Cheap']","['Gu\\u00e9pard', 'Jaguar', 'lion', 'rayure', 'L\\u00e9opard', 'L\\u00e9opard']","['caster', 'tire', 'Axle', ""Stealer's"", 'reinvent', 'reinvent']"
Mystery Word,Pig,Garlic,Club,Volcan,Flame,Banana,Cross,Mirror,Zoo,Umbrella,Pharaoh,Chat,Temple,\u00c9p\u00e9e,Treasure,Club,Rake,Band,Heino,Nest,Branch,Ladder,Cr\u00e2ne,Server,Sprout,Parachute,Noisette,Pilot,Tongue,R\u00e9gime,Giant,Anneau,Manga,Opera,Asterix,Melon,Calendrier,Pool,Baby,Hose,Motor,Trick,Tigre,Wheel
Guess,pig,Garlic,gambader,Volcan,flame,banana,Cross,Mirror,Zoo,Umbrella,Pharaoh,chat,Mosque,Epee,treasure,club,Rake,Band,heino,chick,Branch,Ladder,cr\u00e2ne,,Sprout,parachute,Noisette,Pilot,Tongue,Maigrir,giant,Anneau,manga,Opera,Asterix,Melon,Calendrier,Pool,Baby,Hose,engine,Trick,Tigre,Wheel
