ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43
Table Number,573530837,574205270,574076914,573546126,573703857,573748748,573723893,573661744,573478692,573452033,573613679,573134841,572999742,573034091,572604061,572223118,572483594,572255722,571302579,571195661,571529653,571281050,570662345,570930435,570059062,569765107,569664890,568716970,567969300,567805289,567606043,567157193,567090385,567137024,566409377,564815758,562524435,562133986,559608546,558785511,528822756,374138794,356959263
Move,['6'],['6'],['6'],['6'],['18'],['27'],['18'],['47'],['9'],['14'],['5'],['27'],['31'],['40'],['25'],['19'],['92'],['51'],['6'],['36'],['42'],['47'],['55'],['30'],['57'],['49'],['53'],['66'],['98'],['42'],['58'],['24'],['37'],['105'],['47'],['70'],['17'],['11'],['133'],['84'],['334'],['2271'],['2245']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+
Language,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,English,English,English,English,Français,English,Deutsch,Français,English,Deutsch,English,English,Français,English,English,English,English,English,English,English,English,Français,English,Français,English,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite
Clues,"['work', 'Attire', 'Sports', 'Mandatory', 'Clothes', 'Clothing']","['yellow', 'Star', 'Bright', 'Hot', 'big', 'Big']","['Stretch', 'Buckle', 'Pants', 'longish', 'Leather', 'leather']","['bent', 'border', 'Scratch', 'Pocket', 'vacuum', ""can't""]","['Loud', 'Music', 'Guest', 'Subwoofer', 'Orator', 'Orator']","['art', 'touristy', 'artifact', 'Louvre', 'Smithsonian', 'Smithsonian']","['Spielekonsole', 'Xbox', 'Controller', 'Tekken', 'Sony', 'Sony']","['Arbre', 'Fruit', ""D'adam"", 'Spartan']","['Factor', 'nebraska', 'Trailer', 'beam', 'Farming', 'farm']","['Garden', 'Pinking', 'Cutting', 'Wool']","['Hollywood', 'Film', 'Sins', 'Marvel']","['Organization', 'Crime', 'Italian', 'organized', 'Mob', 'mob']","['cherry', 'hot-house', ""Bu\\u00f1ol's"", 'festival', 'San', 'Marzano']","['Peppermint', 'striped', 'Candy', 'candy']","['Lettuce', 'Healthy', 'Caesar', 'Vegetables', 'Garden', 'Macaroni']","['Sunkist', 'autumn', 'Navel', 'marmalade', 'citrus', 'citrus']","['Suit', 'Clip-on', 'Draw', 'Knot']","['LeD', 'Aladdin', 'lumi\\u00e8re', 'r\\u00e9verb\\u00e8re', 'Siffle']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Morte', 'Volante', 'A5', 'OCB']","['Smoked', 'nicotine', 'vape', 'Pipe', 'Chewing', 'Chew']","['Nasereiben', 'Schiff', 'Norden', 'Nordm\\u00e4nner', 'Obelix', 'Helm']","['Slice', 'Lattice', 'Apple', 'Pumpkin', 'Rhubarb', 'Veyo']","['caddy', 'Sport', 'Clubs', 'Greens']","['Chaleur', 'Micro-ondes', 'Cuisson', 'Cuisson', 'Cuisson']","['booze', 'bootleg', 'Hot', 'Drinks', 'Whisky', 'Thermos']","['Blend', 'Karma', 'colours', 'Colors', 'colors', 'Colour']","['Rolling', 'Weight', 'Masonry', 'Flint', 'Age']","['Cork', 'loose', 'Insert', 'top']","['Sumatran', 'Orange', 'Feline', 'Carnivore', 'Stripes', 'Stripes']","['single', 'penny', 'eh', '`', 'drawl', 'drawl']","['brain', 'hair', 'kopf', 'Top', 'Yuanling', 'Jinchizhanglao']","['Olympic', 'tree-sheep', 'start-with-R', 'Half-elven', 'Terra-Mystica', 'Compete']","['feu', '18', 'borne', 'Uniforme', 'Bal', 'Incendie']","['arachnid', 'web', 'charlotte', 'Eight']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Ar\\u00eates', 'Mammif\\u00e8re', 'Baba', 'Squelette']","['Bellagio', 'spray', 'youth', 'chocolate', 'Soda', 'Bubbler']","['Robin', 'Food', 'wiggly', 'dance']","['bird', 'death', 'coldplay', 'beach']","['Protecting', 'Cherbourg', 'Rihanna', 'Academy', 'rihanna', 'Academy']"
Mystery Word,Uniform,Sun,Belt,Corner,Speaker,Museum,PlayStation,Pomme,Tractor,Shears,Cinema,Mafia,Tomato,Cane,Salad,Orange,Tie,Lampe,Medicine,Rose,Feuille,Tobacco,Wikinger,Pie,Golf,Four,Flask,Chameleon,Stone,Screw,Tiger,Accent,Head,Race,Pompier,Spider,Pluie,Galaxy,Os,Fountain,Worm,Paradise,Umbrella
Guess,helmet,Sun,Jeans,Corner,trumpet,Museum,Playstation,Pomme,Tractor,shears,Avengers,mafia,Tomato,candy,Salad,Orange,Tie,Lampe,Medicine,Rose,feuille,tobacco,Vikinger,Pie,Golf,Cuisine,Alcohol,Rainbow,stone,,Tiger,Cent,head,religion,Pompier,Spider,pluie,galaxy,poisson,fountain,Worm,black,Crusade
