ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57
Table Number,467284252,467142106,466977825,466907236,466789661,466713018,466705809,466664757,466297017,466176497,466105020,466084294,466042467,466036389,465699067,465613095,465389100,465227883,465187133,465108118,464654046,464438406,464429204,464150236,463974258,463960979,463935918,463741555,463549979,462743369,462571609,462572935,461078968,460427655,459645657,459349513,459279309,459200060,458716764,457749670,457698776,457037078,456395675,455700764,454586755,453839362,449716212,449145581,446155644,421549329,405054016,358827793,349338828,344838144,324806575,323499397,314360735
Move,['40'],['7'],['6'],['5'],['6'],['16'],['30'],['9'],['37'],['5'],['15'],['5'],['20'],['18'],['21'],['45'],['49'],['36'],['8'],['13'],['65'],['63'],['29'],['29'],['92'],['100'],['42'],['66'],['53'],['74'],['106'],['100'],['19'],['74'],['60'],['66'],['39'],['52'],['19'],['83'],['61'],['48'],['57'],['96'],['11'],['82'],['90'],['72'],['36'],['95'],['1232'],['1711'],['4650'],['1486'],['1643'],['4810'],['2893']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,Français,English,English,Français,English,English,Français,Deutsch,English,English,English,English,English,Deutsch,Deutsch,English,Deutsch,English,English,English,English,Français,English,English,English,English,English,English,English,English,Deutsch,Deutsch,Deutsch,English,Français,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Milk', 'custard', 'Ribena', 'juice']","['Pages', '\\u00e9critures', '\\u00c9crivain', 'Biblioth\\u00e8que']","['Amour', 'Verouiller', 'Cha\\u00eene', 'Fermer', 'Verrouillage', 'Cl\\u00e9']","['Limp', 'Support', 'raising', 'citizen']","['washing', 'flakes', 'Lather', 'Ivory', 'Bar', 'Shampoo']","['Navigation', 'Transport', 'Navire', 'Trimaran']","['Float', 'yacht', 'Floaty', 'Dinghy', 'Sail', 'sail']","['Beatles', 'mariachi', 'wedding', 'Rubber', 'Orchestra', 'Live']","['Raccommoder', 'Patron', 'Fil', 'Aiguille', 'Aiguille', 'Aiguille']","['Satelit', 'S\\u00e4ngerin', 'Meyer-landruth', 'Satellite']","['Choices', 'Desserts', 'Food', 'Selection']","['wall', 'board', 'nail', 'into']","['Nectar', 'Elixir', 'Canada', 'Sweet']","['Frost', 'follows', 'fall', 'Snowflakes', 'Season', 'Season']","['tgv', 'Orient-Express', 'coal', 'Steam', 'Locomotive', 'Wagons']",['Fracktier'],"['Vorname', 'ESC', 's\\u00e4ngerin', 'Landrut', 'Bandscheibenvorfall', 'Ex-Kollegin']","['tent', 'STRETCHED', 'Modules', 'Hemp', 'Painting', 'Painting']","['Insekten', 'Zirpen', 'Holzkohle', 'Maiskolben', 'Lotus']","['sleep', 'camping', 'fabric', ""Scout's"", 'shelter', 'Shelter']","['foam', 'Stuffed', 'Bolster', 'Comfortable', 'Sleep', 'Sleep']","['Greenback', 'bills', 'Dollar', 'Yen', 'Exchange', 'Cash']","['Subwoofer', 'Loud', 'Presenter', 'Keynote']","['aile', ""D'Aix"", 'CLOCHETTE', 'clochette']","['kitty', 'pocket', 'maize', 'turn', 'intersection', 'Nook']","['Paper', 'bush', 'Foliage', 'new', 'Green', 'Green']","['time', 'rolex', 'wrist', 'pocket']","['knight', 'trench', 'Driveway', 'spade', 'dig', 'Digger']","['Morning', ""Baby's"", 'Inhale', 'Exhale']","['man', 'Buckleys', 'Pharmacy', 'Tablets', 'Pills', 'Cure']","['thoroughbred', 'Bad', 'shadowfax', 'mammal', 'Neigh', 'NoName']","['Performance', 'Recital', 'loud', 'Crowd', 'Festival', 'Band']","['Wirbels\\u00e4ulenende', 'Schal', 'Rollkragen', 'K\\u00f6rperteil']","['Verd\\u00fcnnen', 'Pfannkuchentopping', 'Zucker', 'Saftkonzentrat', 'Konzentrat']","['Mogwai', '1984', 'Horrorfilm', 'Zweif\\u00e4ltig']","['wedding', 'bride', 'finger', 'Lord', 'circle', 'circle']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Tahoe', 'Swan', 'Water', 'Water']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Stein', 'Fluss', 'Split', 'Bodenbedeckend', 'Steinchen', 'Steinchen']","['two', 'tier', 'water', 'Spring', 'youth', 'Youth']","['savory', 'stink', 'Breath', 'Gilroy', 'vampire', 'Vampire']","['NineSword', 'Brussels', 'Offshoot', 'Grow', 'Shoot']","['knowledge', 'Hunt', 'X', 'Booty', 'Island', 'Island']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['bud', 'Thorns', 'Briar', 'Red', 'Titanic', 'Stood']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","['Surf', 'Skate', 'tabletop', 'games']","['milieu', 'Graine', 'cerise', 'Cerise']","['Ollie', 'rink', 'Board', 'Figure', 'Roller']","['putter', 'association', 'Discotheque', 'Golf']","['Tin', 'Bearer', 'Diva', 'Tankard', 'Measuring', 'Measuring']","['Rapunzel', 'Orthanc', 'london', 'Skyscraper', 'Dark', 'observation']","['Council', 'General', 'Votes', 'Democratic', 'politics', 'ballot']"
Mystery Word,Carton,Livre,Cadenas,Cane,Soap,Bateau,Boat,Band,Couture,Lena,Menu,Stud,Syrup,Winter,Train,Pinguin,Lena,Canvas,Grillen,Tent,Pillow,Currency,Speaker,F\u00e9e,Corner,Leaf,Watch,Shovel,Breath,Medicine,Horse,Concert,Hals,Sirup,Gremlins,Ring,Bande,Lake,Pearl,Kiesel,Fountain,Garlic,Sprout,Treasure,Crescent,Museum,Rose,Dungeon,Battery,Rooster,Board,Noyau,Skate,Club,Cup,Tower,Election
Guess,drink,Livre,Cadenas,Crutches,Soap,Bateau,Boat,Music,couture,Bl\u00fcmchen,Menu,Stud,honey,Winter,train,Pinguin,Lena,,Grillen,Sleepingbag,Pillow,Money,Speaker,Montgolfi\u00e8re,,,Watch,moat,breath,Medicine,Horse,Concert,Hals,Sirup,Gremlins,Ring,,Lake,mussel,Kiesel,Fountain,garlic,sprout,Aim,Crescent,,rose,dungeon,Battery,DJ,board,Tige,Skate,club,Cup,Tower,Government
