ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61
Table Number,512758549,513169750,513171788,513106138,512804262,513099344,513073539,512881776,512593105,512598970,512633377,512330060,512467489,512031584,512212397,511473406,511604096,511287549,511077102,511070791,511129871,510567154,510734812,510824814,510522677,510439731,510218293,509634591,510051909,509624361,509531723,509348231,508912001,508968080,508721495,508740938,508231776,508161670,508116165,505741993,505196983,504721368,504876059,498938279,496712411,493769667,493662581,488379380,484123113,462438853,426921218,420552674,405054016,358827793,341401520,338553253,337346134,336562502,322726720,314360735,312552889
Move,['9'],['7'],['9'],['12'],['36'],['9'],['34'],['16'],['11'],['28'],['26'],['39'],['48'],['31'],['37'],['25'],['65'],['58'],['45'],['15'],['15'],['62'],['93'],['50'],['16'],['65'],['42'],['57'],['76'],['55'],['72'],['122'],['55'],['45'],['66'],['42'],['109'],['36'],['66'],['65'],['82'],['67'],['24'],['1129'],['271'],['57'],['49'],['79'],['457'],['1023'],['770'],['763'],['2217'],['2250'],['3312'],['1921'],['4494'],['1855'],['1263'],['3299'],['2304']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,Français,English,English,English,Français,Deutsch,Français,English,English,English,Français,Deutsch,English,English,English,English,Français,English,English,English,Deutsch,Français,English,English,English,Français,English,English,English,English,English,Français,English,Français,English,English,English,Français,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['rescue', 'Bird', 'detain', 'Zoo', 'nicolas', 'ufc']","['Thermomix', 'Trobo', 'Nono', 'Instrument']","['Disposable', 'Wipe', 'Cloth', 'towel', 'Folding', 'fold']","['Tuba', 'Antler', 'Gabriel', 'Beep', 'Bugle', 'Bugle']","['Beetle', 'Polkadot', 'small', 'bird']","['Bees', 'paintings', 'Yellow', 'Yellow', 'Plant', 'Plant']","['humpback', 'Blowhole', 'Pod', 'beluga', 'Beluga']","['Grippe', 'Grippes', 'Covid-19', 'COVID-19']","['Alimentation', 'Fruit', 'Singe', 'Singe']","['Deepdish', 'Chicago', 'Pepperoni', 'MeatFeast', 'Italian', 'italian']","['Cocoa', 'Sweet', 'bonbon', 'bar', 'Toblerone', 'DairyMilk']","['House', 'Airborne', 'Wings', 'Fire', 'swat', 'Bug']","['\\u3073\\u3063\\u304f\\u308a', '\\u30e9\\u30fb\\u30b0\\u30e9\\u30f3\\u30cf', '\\u30d6\\u30ec\\u30fc\\u30e1\\u30f3', '\\u30a4\\u30fc\\u30e8\\u30fc', 'animal']","['deadbolt', 'bicycle', 'secure', 'John', 'Pad', 'Smith']","['Steps', 'Jacobs', 'up', 'Climbing', 'step', 'chutes']","['basket', 'Enclosed', 'Frame', 'brief', 'Brief']","['Sida', 'Hacker', 'Ebola', 'Ebola']","['Laces', 'Kipper', 'Rope', 'draw', 'Draw']","['Elon', 'Einstein', 'IQ', 'savant', 'Mensa', 'mastermind']","['Ancient', 'Execute', 'behead', 'Behead']","['Fragrance', 'Dior', 'effluve', 'agr\\u00e9able']","['Filter', 'Laster', 'St\\u00e4ngel', 'Nikotin', 'Malboro', 'Marlboro']","['Cheveux', 'Natte', 'Dodo', '...', 'Edredon', 'Edredon']","['Halloween', 'sour', 'confection', 'SWEET', 'Sweets']","['Range', 'Jumbo', 'Denali', 'Thunder', 'goat']","['money', 'waiter', 'Generous', 'Restaurant', 'Top', 'Pro']","['Fruit', 'Amour', 'Fruit', 'Amour', 'Fruit', 'Amour']","['Passion', 'Hobby', 'Liebe', 'Gef\\u00fchl', 'Feier', 'Aufregung']","['Flour', 'grain', 'Rumor', 'Netherlands', 'grinding', 'Grind']","['Stroke', 'Worshipper', 'Shine', 'Corona', 'flower', 'burn']","['fish', 'roller', 'Torville', 'Glide', 'Hawk']","['Gravedigger', 'spade', 'spade', 'Spade']","['Huile', 'Ol\\u00e9agineuse', 'Singe', 'Ap\\u00e9ritif', 'Cosse', 'Arachide']","['ossuary', 'Plot', 'Tombstone', 'mausoleum', 'hyperthyroidism', 'Serious']","['Nicolas', 'macaw', 'Bird', 'Enclos', 'Diving', 'Jail']","['Whale', 'Stranded', 'UV-A', 'coast', 'bikini', 'volleyball']","['Striegeln', 'streicheln', 'flauschig', 'Tierhaar', 'Behaarung', 'Tierhaare']","['D\\u00e9but', 'Contraire', 'd\\u00e9nouement', 'ach\\u00e8vement', 'mince', 'terme']","['Megan', 'Sourgrapes', 'news', 'Coyote']","['Chantrel', 'porcini', 'Fungi', 'cap', 'Chanterelle', 'chanterelle']","['Flight', 'Commander', 'captain', 'license', 'Honda']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['flowing', 'water', 'Amazon', 'Mississippi', 'Rapids', 'Pocahontas']","['Sound', 'Sheriff', 'Bullet', 'Onomatapia', 'chittychitty', 'pop']","['Gym', 'Amazon', 'Fever', 'Bungle', 'Lion', 'Sleeps']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Computer', 'LCD', 'Fly', 'Genetic', 'Oled', 'Spf50']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['water', 'nymph', ""Copenhagen's"", 'statue', 'Ariel', 'Splash']","['Voeux', 'Plan', 'Routi\\u00e8re', 'Roi', 'Vitale', 'Bleue']","['Smallest', 'Seed', 'Colonel', 'Cludo']","['bikini', 'beach', 'burkini', 'clothing', 'fastskin', 'outfit']","['Puff', 'Train', 'Smaug', 'Smaug']","['Etre', 'Dans', 'cumulonimbus', 'cumulus']","['Spade', 'Diamond', 'chakra', 'sutra', 'Worms', 'Burn']","['Hogwarts', 'Moat', 'Neuschwanstein', 'palace', 'Fortress']","['U.dont.dress.like.this', 'wing', 'buzz', 'soar', 'Flying']","['Cube', 'Extr\\u00e9mit\\u00e9', 'canard', 'cri', 'Cri', 'Canard']","['Asia', 'Bear', 'Eyes', 'Animal', 'Bamboo', 'Bamboo']","['Hair', 'Designer', 'Hairdresser', 'Beautician', 'fashion', 'clothing']","['Lethal', 'phaser', 'Dagger', 'concealed', 'Flail']"
Mystery Word,Cage,Robot,Napkin,Horn,Ladybug,Sunflower,Whale,Virus,Banane,Pizza,Chocolate,Fly,Donkey,Lock,Ladder,Case,Virus,Tie,Genius,Guillotine,Parfum,Zigarette,Couette,Candy,Mountain,Tip,Passion,Leidenschaft,Mill,Sun,Skate,Shovel,Cacahu\u00e8te,Grave,Cage,Beach,Fell,Fin,Fox,Mushroom,Pilot,Vache,River,Bang,Jungle,Spider,Screen,Poup\u00e9e,Mermaid,Carte,Mustard,Swimsuit,Dragon,Nuage,Heart,Castle,Fly,Coin,Panda,Stylist,Weapon
Guess,cage,Robot,Tissue,Horn,bug,Honey,,Virus,cerise,Pizza,Chocolate,Fly,donkey,lock,ladder,gift,Virus,leash,Genius,guillotine,Parfum,Zigarette,Couette,Lemonheads,mountain,Tip,Catastrophe,Hochzeit,Windmill,Sun,Skate,undertaker,Cacahu\u00e8te,grave,,Beach,Fell,Fin,immigrant,Mushroom,Pilot,Vache,river,Bang,jungle,Spider,Screen,Poup\u00e9e,Mermaid,Carte,sprout,Swimsuit,Smoke,Nuage,Ring,Castle,fly,Ar\u00eate,,Style,weapon
