ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45
Table Number,559983312,559495932,559496271,559656399,559093392,558693075,559186700,558749473,559111285,559077275,558983329,558744776,557504133,558481236,558603272,558298438,558178570,558150368,557858471,557209002,557578622,557491718,557384837,557215422,557334313,556634582,556181685,556269424,555855880,555376965,552920188,550240089,544337775,542060223,539675526,539937223,535201906,528022855,521199099,517125895,481212678,478910455,431028877,336562502,324381970
Move,['6'],['7'],['7'],['10'],['9'],['22'],['36'],['23'],['27'],['68'],['5'],['68'],['8'],['32'],['52'],['46'],['53'],['31'],['25'],['47'],['31'],['37'],['47'],['89'],['86'],['110'],['74'],['44'],['76'],['37'],['101'],['62'],['57'],['41'],['1373'],['40'],['48'],['184'],['520'],['380'],['328'],['348'],['1492'],['2157'],['2067']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+
Language,English,English,English,English,English,Deutsch,English,Deutsch,English,English,English,English,English,English,Français,English,English,Français,Français,Deutsch,English,English,English,English,English,English,English,English,English,Français,English,English,Français,English,Français,Deutsch,English,Français,Français,English,English,English,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Table', 'arena', 'Cutting', 'Game', 'game', 'Game']","['Anti-personnel', 'Handheld', 'Boom', 'Explosive']","['Breath', 'Mushu', 'Mythical', 'Mythical']","['figaro', 'ceremony', 'matrimonial', 'partnership']","['cake', 'Casting', 'Stain', 'asthma', 'Shape', 'shape']","['Springfield', 'Marge', 'Bart', 'Zeichentrickserie']","['Plantain', 'Yellow', 'Minion', 'peel', 'Minion', 'Peel']","['Eis', 'Arktis', 'Wasser']","['Hook', 'Tiananmen-Square-Protests', 'GSAT', '5000years', 'Sima-Qian', '7-letters']","['matryoshka', 'play', 'Ken', 'Baby', 'Ken', 'baby']","['K\\u00e9p', 'Te', 'T\\u00fckr\\u00f6z\\u0151d\\u00e9s', 'F\\u00e9s\\u00fclget\\u00e9s']","['Hargreeves', 'Rihanna', 'Academy', 'academy']","['SquarePants', 'baby', 'pie', 'yellow', 'Absorb']","['Sarcophagus', 'Plagues', 'Title', 'Moses', 'Nemes']","['Liti\\u00e8re', 'Matou', 'Animal', 'Miaule', 'ronronner']","['animal', 'Gecko', 'Camouflage', 'Acrodonta', 'dissapear', 'reptile']","['hidden', 'Island', 'Chest', 'Find', 'X', 'X']","['priv\\u00e9', 'association', 'discotheque', 'golf']","['rangement', 'Scriptorium', 'Salle', 'Livre']","['Aufpasser', 'Beruf', 'Konstabler', 'Nacht...']","['Jewelry', 'Bangle', 'beads', 'Arm', 'friendship', 'Wrist']","['manhole', 'Sewage', 'Toilet', 'IT', 'rats', 'Rats']","['Home', 'Hatchling', 'egg', ""sparrow's"", 'Twigs', 'Twigs']","['canned', 'crowded', 'Small', 'Fish', 'Fish', 'Fish']","['Kilimanjaro', 'Vesuvius', 'Giant', 'Rock', 'Appalachian', 'Andies']","['Vacation', 'Season', 'Holidays', 'holiday', 'holiday', 'Season']","['Superb', 'Barn', 'Tawny', 'night', 'Hedwig', 'Hedwig']","['tray', 'Ungendered', 'waitron', 'Waitstaff']","['rag', 'Figure', 'Baby', 'Toy', ""Livin'"", 'Barbie']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Carrey', 'catcher', 'Cover', 'covid', 'Hidden', 'phantom']","['Jack', 'Sparrow', 'Yo', 'Ho', 'Grog', 'canedrink']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['reading', 'Scans', 'shoujo', 'comics']","['Enfer', 'Horrible', 'Yuei', 'Seirin', 'Prison', 'Enfant']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['military', 'private', 'Brand', 'Clothes', 'school', 'school']","['pasteque', 'orange', 'porto', 'serrano']","['Omelette', 'Poule']","['Puddle', 'Olympic', 'Boy', 'Floatie', 'Spa', 'Car']","['Green', 'Grass', 'Garden', 'Tube', 'Water', 'Water']","['vehicle', 'guts', 'vroom', 'BIKE', 'cycle', 'cycle']","['Swallow', 'Larynx', 'Strepsils', 'lozenge', 'sore', 'sore']","['Gu\\u00e9pard', 'Jaguar', 'lion', 'rayure', 'L\\u00e9opard', 'L\\u00e9opard']","['chevet', 'magique', 'mite', 'frontale', 'Frotter', 'Voeux']"
Mystery Word,Board,Grenade,Dragon,Marriage,Mold,Simpson,Banana,Pinguin,History,Doll,Mirror,Umbrella,Sponge,Pharaoh,Chat,Chameleon,Treasure,Club,Biblioth\u00e8que,Wache,Bracelet,Sewer,Nest,Sardine,Mountain,Summer,Owl,Server,Doll,Noisette,Mask,Rum,Anneau,Manga,\u00c9cole,Asterix,Uniform,Melon,Oeuf,Pool,Hose,Motor,Throat,Tigre,Lampe
Guess,,Grenade,Dragon,Marriage,film,Simpsons,banana,Snow,History,Doll,Mirror,Umbrella,Sponge,Pharaoh,chat,lizard,treasure,club,Biblioth\u00e8que,Wache,Bracelet,Pipe,chick,Sardines,Mountain,Beach,Owl,,Doll,Noisette,mask,Pirate,Anneau,manga,\u00c9cole,Asterix,Soldier,Melon,Oeuf,Pool,Hose,engine,,Tigre,lampe
