ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61
Table Number,467183516,467188432,466870090,466789661,466664757,466613333,466480271,466358935,466297017,466176497,466105020,466084294,466036389,465778782,465729657,465699067,465549889,465472491,465320903,465246185,465020709,464654046,464519577,464429204,464150236,464003509,463974258,463935918,463741555,463549979,463249084,463089471,462892733,461863604,461863322,461807447,461507101,461359677,461078968,460937557,460369474,459645657,459628715,459349513,459279309,458716764,457749670,457698776,457134947,457037078,456395675,455700764,454586755,453839362,449716212,449145581,446155644,423771261,421549329,344838144,312552889
Move,['12'],['113'],['8'],['6'],['9'],['5'],['14'],['13'],['37'],['5'],['15'],['5'],['18'],['65'],['37'],['21'],['47'],['25'],['38'],['40'],['63'],['65'],['67'],['29'],['29'],['67'],['92'],['42'],['66'],['53'],['91'],['87'],['71'],['84'],['51'],['74'],['52'],['83'],['19'],['84'],['119'],['60'],['101'],['66'],['39'],['19'],['83'],['61'],['86'],['48'],['57'],['96'],['11'],['82'],['90'],['72'],['36'],['1419'],['95'],['1486'],['2055']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Real-time • Normal speed (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,English,English,English,Deutsch,Deutsch,Français,Deutsch,English,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,Français,Deutsch,English,English,English,English,Français,Français,Français,English,English,Deutsch,English,Français,Deutsch,English,English,Deutsch,English,English,Français,English,Deutsch,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite
Clues,"['nueva', 'de', 'miel', 'sat\\u00e9lite', 'menguante', 'menguante']","['sweet', 'Dunker', 'food', 'Doggy', 'cookie', 'cookie']","['Skill', 'Oak', 'Grow', 'Fir', 'Fir']","['washing', 'flakes', 'Lather', 'Ivory', 'Bar', 'Shampoo']","['Beatles', 'mariachi', 'wedding', 'Rubber', 'Orchestra', 'Live']","['Dwight', 'Pluvial', 'Droplets', 'Clouds']","['englisch', 'Superheld', 'Laufwerk', 'Gordon']","['Saft', 'Kuchen', 'Kerne', 'Pferdeschei\\u00dfe', 'Mac', 'Newton']","['Raccommoder', 'Patron', 'Fil', 'Aiguille', 'Aiguille', 'Aiguille']","['Satelit', 'S\\u00e4ngerin', 'Meyer-landruth', 'Satellite']","['Choices', 'Desserts', 'Food', 'Selection']","['wall', 'board', 'nail', 'into']","['Frost', 'follows', 'fall', 'Snowflakes', 'Season', 'Season']","['Layers', 'Shallot', 'cry', 'Allium']","['Bark', 'Sapling', 'Deciduous', 'Maple', 'Oak', 'Forest']","['tgv', 'Orient-Express', 'coal', 'Steam', 'Locomotive', 'Wagons']","['Wash', 'Foaming', 'Antibacterial', 'Castile', 'Suds', 'saponification']","['Blechblasintro', 'Signalfolge', 'Signalkarakter', 'T\\u00f6ne', 'Signaltonst\\u00fcck', 'Anblasen']","['Charbon', 'creuseur', 'Majeur', 'terril', 'Saboteur', 'Justice']","['coordi', 'Person', 'food', 'Beautician', 'Designer', 'artist']","['Meadow', 'barn', 'Harvest', 'crops', 'McDonald', ""Old'mcdonald""]","['foam', 'Stuffed', 'Bolster', 'Comfortable', 'Sleep', 'Sleep']","['circuit', 'Statick', 'volt', 'Pikachu', 'Pikachu', 'Pikachu']","['Subwoofer', 'Loud', 'Presenter', 'Keynote']","['aile', ""D'Aix"", 'CLOCHETTE', 'clochette']","['Springen', 'Langlauf', 'Alpin', 'Apr\\u00e8s', 'Winter', 'Wintersportger\\u00e4t']","['kitty', 'pocket', 'maize', 'turn', 'intersection', 'Nook']","['time', 'rolex', 'wrist', 'pocket']","['knight', 'trench', 'Driveway', 'spade', 'dig', 'Digger']","['Morning', ""Baby's"", 'Inhale', 'Exhale']","['Flatulence', 'Bourrasque', 'instrument', 'Z\\u00e9phir', 'sirocco', 'Sirocco']","['Bras', 'mendiant', 'set', 'Boutonni\\u00e8re', 'Mer', 'Tunnel']","['artillerie', 'imprimante', 'Arme', 'boulet']","['Nautilus', 'turtle', 'carapace', 'cockle', 'Conch', 'beach']","['Gastropod', 'Small', 'Slow', 'Shell']","['Schadstoff', 'Dioxin', 'Rizin', 'Amanitin', 'Fliegenpilz', 'Skorpion']","['Leader', 'Who', 'Battle', 'Baby', 'Hugo', 'Hugo']","['Blanc', 'Pr\\u00e9dateur', 'marteau', 'Poisson', 'Spielberg', 'squale']","['Wirbels\\u00e4ulenende', 'Schal', 'Rollkragen', 'K\\u00f6rperteil']","['Watch', 'Timepiece', 'sundial', 'Broken', 'cuckoo', 'cuckoo']","['Desert', 'Transport', 'animal', 'humps', 'Toe', 'Toe']","['Mogwai', '1984', 'Horrorfilm', 'Zweif\\u00e4ltig']","['emu', 'Cuckoo', 'Avian', 'Sparrow', 'Chirp', 'Owl']","['wedding', 'bride', 'finger', 'Lord', 'circle', 'circle']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Stein', 'Fluss', 'Split', 'Bodenbedeckend', 'Steinchen', 'Steinchen']","['two', 'tier', 'water', 'Spring', 'youth', 'Youth']","['Italian', 'Hawaiian', 'hut']","['savory', 'stink', 'Breath', 'Gilroy', 'vampire', 'Vampire']","['NineSword', 'Brussels', 'Offshoot', 'Grow', 'Shoot']","['knowledge', 'Hunt', 'X', 'Booty', 'Island', 'Island']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['bud', 'Thorns', 'Briar', 'Red', 'Titanic', 'Stood']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Schwarz', 'behandlung', 'Alraunen', 'Zahn', 'Zahn']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","['putter', 'association', 'Discotheque', 'Golf']","['Conjuror', 'sleight', 'Hat', 'Illusionist', 'Illusionist']"
Mystery Word,Moon,Biscuit,Tree,Soap,Band,Rain,Flash,Apfel,Couture,Lena,Menu,Stud,Winter,Onion,Tree,Train,Soap,Fanfare,Mineur,Stylist,Farm,Pillow,Electricity,Speaker,F\u00e9e,Ski,Corner,Watch,Shovel,Breath,Vent,Manche,Canon,Shell,Snail,Gift,Boss,Requin,Hals,Clock,Camel,Gremlins,Bird,Ring,Bande,Pearl,Kiesel,Fountain,Pizza,Garlic,Sprout,Treasure,Crescent,Museum,Rose,Dungeon,Battery,Wurzel,Rooster,Club,Magician
Guess,luna,Treat,Tree,Soap,Music,rain,Flash,Apfel,couture,Bl\u00fcmchen,Menu,Stud,Winter,Onion,Canada,train,soap,Fanfare,mineur,stylist,wheat,Pillow,electricity,Speaker,Montgolfi\u00e8re,Ski,,Watch,moat,breath,Vent,Manche,Canon,Shell,Snail,Gift,,Requin,Hals,Clock,camel,Gremlins,bird,Ring,,mussel,Kiesel,Fountain,Pizza,garlic,sprout,Aim,Crescent,,rose,dungeon,Battery,Wurzel,DJ,club,magician
