ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85,Scrapnumber86,Scrapnumber87,Scrapnumber88,Scrapnumber89,Scrapnumber90,Scrapnumber91,Scrapnumber92
Table Number,490682524,491448352,491209348,491305856,491327147,490950810,490908341,490280100,490771660,490555540,490501898,490497665,490498748,490516485,490229920,490171816,490196833,489884111,489712176,489448701,489392689,489645812,489534385,489443486,489534209,489499928,489054748,489429921,489221823,489286029,489167856,488879114,488588237,488826031,488805223,488849876,488624573,488569471,488443426,488396760,488382581,488214126,487861448,487850448,487888790,487059129,486624292,486844060,486357111,485758263,485885498,485916580,485628314,484606827,484141066,483967058,484682575,484435490,483352966,483310386,482658995,482542862,480162112,480638723,479677325,478658601,478694363,475857014,473319518,471793759,465912719,466086694,466081205,466083684,466084384,465731184,465664137,465664095,465664206,465664286,465668656,465435499,445297184,444471586,431028877,420552674,374138794,348302073,337346134,319065151,317609821,314360735
Move,['12'],['9'],['5'],['9'],['18'],['12'],['18'],['36'],['32'],['28'],['46'],['38'],['12'],['21'],['55'],['40'],['27'],['37'],['38'],['51'],['99'],['48'],['37'],['49'],['45'],['42'],['56'],['102'],['13'],['74'],['49'],['46'],['80'],['67'],['75'],['66'],['51'],['55'],['36'],['16'],['87'],['66'],['26'],['87'],['54'],['56'],['32'],['76'],['59'],['91'],['82'],['83'],['120'],['26'],['186'],['27'],['96'],['55'],['112'],['68'],['103'],['101'],['19'],['16'],['82'],['63'],['574'],['10'],['36'],['74'],['51'],['42'],['48'],['49'],['46'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['47'],['57'],['835'],['613'],['1399'],['2561'],['4007'],['404'],['1711'],['3116']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode
Speed,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,Français,Français,English,English,Français,Français,English,English,Français,English,Français,English,Français,English,English,English,English,English,English,English,English,Français,English,English,English,Français,English,English,English,English,Français,English,English,English,English,English,English,English,Deutsch,English,Français,English,English,English,English,English,English,English,English,Français,Deutsch,English,Français,English,English,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,Français,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Uppercut', 'Ring', 'KO', 'Ring', 'Ko', 'Ring']","['Hole', 'milk', 'Blue', 'Havarti', 'Brie', 'Munster']","['King', 'Dynasty', 'Roman', 'Mayan']","['Chemin', 'INRI', 'X', 'Multiplication', 'Clous', 'rouge']","['Saut', 'ascensionnel', 'Avion', 'toile', 'dor\\u00e9', 'Confiture']","['sushi', 'raw', 'scaly', 'fatty-oil', 'mackerel', 'guppy']","['dispenser', 'bar', 'Lather', 'box', 'Opera', 'opera']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Belgique', 'Jaune', 'Belge', 'Mcdo', 'pomme-de-terre', 'huile']","['sol', 'miop\\u00eda', 'jeta', 'Objeto', 'aumento', 'Aumento']","['craft', 'hull', 'Catamaran', 'raft', 'Love', 'Ship']","['Conflit', 'Arm\\u00e9e', 'Troie', 'Territoire', 'Mondiale', 'Bataille']","['fire', 'light', 'shade', 'Light', 'Shade', 'light']","['Boite', 'Crane', 'Sheperd', 'Intelligence']","['carrier', 'Dove', 'Messenger', 'Toed', 'Bird', 'stool']","['Naissance', 'b\\u00e9b\\u00e9', 'epidural', 'Embryon', 'Gestation']","['flowers', 'pottery', 'Ceramic', 'Urn', 'Porcelain', '-line']","['City', 'Johnson', 'grey', 'Aggregate', 'roll', 'Roll']","['pendulum', 'sundial', 'timepiece', 'Cuckoo', 'grandfather', 'Grandfather']","['voltage', 'amperage', 'Static', 'Energy', 'energy']","['Blooms', 'Boing', 'flowers', 'Coiled', 'Coil', 'coil']","['aurora', 'Switch', 'shine', 'bright', 'sabre', 'flashing']","['Canopy', 'Tipi', 'Pup', 'marquee', 'Campsite', 'Camp']","['Loot', 'Gold', 'Island', 'Prize', 'Pirate', 'Pirate']","['BD', 'chewing-gum', 'savon', 'savon']","['Stump', 'Ships', 'Bellybutton', 'Umbilical', 'Umbilical', 'Umbilical']","['Skate', 'Playground', 'Spiral', 'Slippery', 'Slip']","['Ricin', 'Apple', 'Toxic', 'Lethal', 'Deadly', 'Deadly']","['d\\u00e9m\\u00e9nagement', 'Carton', 'Carton', 'D\\u00e9m\\u00e9nagement']","['triangular', 'geometry', 'Tetrahedron', 'Mayan', 'Giza', 'Giza']","['cerebrum', 'Pinky', 'Concussion', 'squiggly', 'Cerebellum']","['Dig', 'Spade', 'spade', 'Spade']","['prostitute', 'Treat', 'Taking', 'Pony']","['c\\u00e9phalopode', 'Kraken', 'Tentacules', 'Octopus', 'Marine', 'poulpe']","['Card', 'Rhein', 'joaquin', 'Nile', 'nile']","['Camels', 'Slims', 'butt', 'Relaxant', 'Carton']","['Transmit', 'Ray', 'load', 'bearing', 'stream', 'light']","['Scalped', 'Raffle', 'Keno', 'parking', 'Pass', 'Paper']","['Monolith', 'bust', 'Liberty', 'Monument']","['Tee', 'Cart', 'Club', 'Club']","['Fight', 'Fish', 'katana', 'Sharp', 'sabre', 'Hattori']","['Innenleben', 'Komposite', 'Torten', 'Daune', 'Zahnblombe', 'Inhalt']","['sahara', 'dune', 'Sand', 'Salty', 'DRY', 'ARID']","['renseignement', 'OSS', 'L\\u00e9gende', 'Bond', 'Informations', 'Secret']","['fluids', 'plastic', 'Spin', 'Fizzy', 'message', 'Message']","['Sushi', 'suckers', 'curious', 'Ocean', 'Ink', 'Ink']","['Fire', 'Services', 'Police', 'Police']","['nine', 'Cumulus', 'vapor', 'white', 'Stratus', 'storage']","['Teepee', 'Sleeping', 'triangle', 'Camping', 'camping']","['Fried', 'Popeyes', 'poultry', 'Nugget', 'Kiev', 'scared']","['mushroom', 'Fungus', 'Underground', 'Swine', 'Hog']","['Baby', 'ActionMan']","['Tr\\u00e8ve', 's\\u00e9r\\u00e9nit\\u00e9', 'S\\u00e9curit\\u00e9', 'colombe', 'R\\u00e9conciliation', 'Alliance']","['Seide', 'Verwandlung', 'Schmetterling', 'Schmetterling']","['Picking', 'Pop', 'Ranier', 'Red', 'Blossom', 'Compote']","['\\u00c9lectricit\\u00e9', 'Pales', 'Vent', '\\u00c9nergie']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['\\u00c9rection', 'pansement', 'Originale', 'velcro', 'Originale', 'Velcro']","['Bolt', 'Rod', 'Bottled', 'Rusteze', 'Strike', 'Strikes']","['Bungee', 'leap', 'Hop', 'Trampoline', 'Long', 'Long']","['Aspirin', 'Penicillin', 'Pharmacy', 'Flu', 'Antibiotics', 'Pill']","['Smoke', 'House', 'Earth', 'wind', 'Works', 'Pookie']","['blue', 'passcode', 'Hart', 'Smith']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Haystack', 'Pins', 'thread', 'Thread', 'vaccine', 'Vaccine']","['Desert', 'Bug', 'Stinger', 'Tail']","['Newton', 'lab', 'biology', 'biology']","['staubig', 'Pulver']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['Poker', 'Greeting', 'Hoyle', 'joker']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['spicy', 'l\\u00e4nglich', 'rot', 'rot']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['ballad', 'composition', 'Theatre', 'Pavarotti', 'Tosca', 'soprano']","['cafeteria', 'diners', ""mcdonald's"", ""wendy's"", 'Chineese', 'French']","['daniels', 'Soprendo', 'Penn', 'Teller']","['auberge', 'chambre', 'Ibis', 'Mercure', 'California', 'Dormir']","['Tow', 'travel', 'Mini.Movie', 'trash', 'poverty']","['...tail', 'dwarf', 'my', 'little']","['Ice', 'film', '3D', 'boite', 'Rubik', 'Rubik']","['Person', 'Sculpture', 'still', 'tall', 'Decoration', 'Art']"
Mystery Word,Boxe,Cheese,Emperor,Croix,Parachute,Fish,Soap,Valise,Frites,Glasses,Boat,Guerre,Lamp,Cerveau,Pigeon,Enceinte,Vase,Rock,Clock,Electricity,Spring,Light,Tent,Treasure,Bulle,Navel,Slide,Poison,Bo\u00eete,Pyramid,Brain,Shovel,Trick,Pieuvre,River,Cigarette,Beam,Ticket,Statue,Golf,Sword,F\u00fcllung,Desert,Espion,Bottle,Octopus,Emergency,Cloud,Tent,Chicken,Truffle,Doll,Paix,Kokon,Cherry,\u00c9olienne,Quarter,Root,Bande,Lightning,Jump,Medicine,Fire,Lock,Guard,Needle,Scorpion,Science,Puder,Cage,Card,Club,Coin,Bar,Stone,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Chili,Vegetable,Opera,Restaurant,Magician,H\u00f4tel,Trailer,Pony,Cube,Statue
Guess,Coup,cheese,Empire,Croix,parachute,fish,Soap,valise,frites,Anteojos,boat,Guerre,fireworks,Chien,Pigeon,accouchement,Vase,manchester,clock,electricity,spring,light,Tent,Pirate,Bulle,Naval,park,Cyanide,Carton,Prymid,Brain,Fossil,Trick,pieuvre,House,Cigarette,beam,Ticket,Statue,Golf,Samurai,F\u00fcllung,desert,espion,Bottle,fish,Emergency,Cloud,Tent,Chicken,Pig,Toy,paix,Konkon,strawberry,Eoliennes,mix,,sang,Lightning,Jump,medicine,iron,lock,guard,needle,Scorpion,Science,Russ,cage,CARD,Club,Coin,Bar,Stone,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chilli,Vegetable,opera,Restaurant,magician,H\u00f4tel,Trailer,Pony,Cube,Statue
