ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50
Table Number,583443864,583153790,582865844,582806135,582016019,581970799,582045523,581710448,581343883,581767722,581632003,581558822,581300078,581134916,580652069,580701548,580618187,579766807,579683076,578349815,579215113,578998654,577852826,576920182,576873341,575705821,576415268,576413622,575798268,575707797,571815545,571195661,570591778,570734438,569665701,568064462,567969300,566662988,559608546,551312356,550187728,546837128,542849457,539412516,528822756,517125895,481212678,466081205,464921867,336562502
Move,['5'],['12'],['6'],['19'],['33'],['60'],['34'],['47'],['15'],['9'],['31'],['50'],['60'],['58'],['48'],['63'],['43'],['45'],['36'],['48'],['25'],['101'],['25'],['10'],['24'],['33'],['38'],['19'],['20'],['86'],['89'],['37'],['459'],['38'],['62'],['57'],['197'],['56'],['202'],['511'],['365'],['386'],['1154'],['230'],['390'],['478'],['377'],['770'],['773'],['2325']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,Deutsch,English,Français,English,Français,Français,Français,English,English,English,English,Deutsch,English,English,English,Deutsch,Deutsch,English,English,Deutsch,English,English,Français,Français,Français,Français,English,English,English,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['choker', 'pearl', 'Chain', 'Pendant']","['spirit', 'afterlife', 'white', 'dead', 'White', 'Dead']","['Exposure', 'Fuji', 'Camera', 'Video', 'Record', 'Record']","['rotor', 'Wind', 'vortex', 'windy', 'Engine', 'engine']","['Shuffle', 'mushroom', 'Fungus', 'Cake', 'delicacy']","['Candle', 'Gone', 'Weathervane', 'Anemometer', 'Chinook', 'Gale']","['Bocce', 'Lucile', 'base', 'Sphere', 'Sphere']","['Love', 'Serve', 'Backhand', 'Racket', 'Federer', 'Federer']","['American', '1776', 'Rebel', 'Guillotine']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['memorials', 'burials', 'Rip', 'Tombstone', 'Grave', 'Gravestone']","['Show', 'Titrop', 'Carnie', 'Traveling', 'clowns', 'Ringling']","['glass', 'eye', 'espionage', 'Espionage', 'Espionage']","['Organisation', 'italie', 'Sicilienne', 'Corleone']","['Pharos', 'signal', 'light', 'flashing', 'Lighthouse', 'lighthouse']","['Wellington', 'Wagyu', 'Hamburger', 'Steak', 'Stroganoff', 'Angus']","['griechisch', 'quadriennal', 'Ringe', 'Gro\\u00dfereignis', 'Wettbewerb', 'Frankreich']","['Ceramic', 'Coffee', 'Face', 'Shot', 'face', 'shot']","['Bague', 'contrat', 'Mariage', 'mariage', 'badge', 'mariage']","['malaria', 'Culicoidea', 'Wooden-Wonder', 'Vector-borneDisease', 'annoying', 'vampire']","['Mickey', 'gris', 'Chat', 'chat']","['Pilier', 'taverne', 'Cocktails', 'Troquet', 'Poisson', 'Estaminet']","['Natte', 'Tresse', 'Dodo', 'Duvet', 'Queue', 'Cheval']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['Look', 'Rear', 'View', 'Witch', 'Reflection', 'Reflect']","['Fifth-wheel', 'Truck', 'Movie', 'Hitch', 'hitch']","['Alarm', 'Rising', 'Glory', 'early', 'sunrise', 'sunrise']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Jesus', 'Jewelery', 'Easter', 'Redemption']","['Rice', 'Aladdin']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Shelley', 'Beleben', 'Besteller', 'zusammengesetzt']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Cork', 'grapes', 'vineyard', 'moscato', 'Merlot', 'merlot']","['Lichtschein', 'K\\u00fcstenn\\u00e4he', 'Leuchtsignal', 'Ozean', 'W\\u00e4rter', 'W\\u00e4rter']","['championship', 'Jewelry', 'Toroidal', 'Bilbo', 'Engagement']","['Internet', 'Deacon', 'restaurant', 'computer', 'waitress', 'waiter']","['Sauter', 'Avion', 'Protection', 'H\\u00e9licopt\\u00e8re']","['Jaune', 'Ciel', 'Contraire', 'Coucher', 'Lune', 'Lune']","['Javelot', 'Cycliste', 'Roquette', 'Pierre', 'Armstrong', 'Armstrong']","['\\u00c9picerie', 'Boomin', 'STM', 'STM']","['Magma', 'Dormant', 'Eruption', 'Ash', 'Pompeii', 'Pompeii']","['Snus', 'Ingredient', 'plant', 'cigarette']","['Drink', 'Vessel', 'Hope', 'Water']","['Winter', 'Vine', 'Boob', 'Cucumber', 'Baller', 'Water']","['Bunch', 'Raisin', 'Vine', 'Fruit', 'Wine', 'Wine']","['Film', 'House', 'fancy', 'theater']","['for', 'less', 'to', 'impress']","['Crustac\\u00e9', 'Tempura', 'Petit', 'Rose', 'Gambas', 'Gambas']"
Mystery Word,Necklace,Ghost,Film,Turbine,Truffle,Wind,Ball,Tennis,Revolution,Medal,Cemetery,Circus,Spy,Mafia,Beacon,Beef,Olympiade,Mug,Alliance,Mosquito,Souris,Bar,Couette,Cup,Mirror,Trailer,Morning,Frankreich,Cross,Couscous,Sting,Rose,Frankenstein,Couch,Wine,Leuchtturm,Ring,Server,Parachute,Soleil,Lance,M\u00e9tro,Volcano,Tobacco,Cup,Melon,Grape,Cinema,Dress,Crevette
Guess,Necklace,Ghost,Photograph,Tornado,Truffle,wind,Ball,tennis,Revolution,medal,Funeral,Circus,telescope,Mafia,Lighthouse,Beef,Olympia,Mug,Mariage,mosquito,Souris,bar,Coiffe,,Mirror,Monster,Morning,Frankreich,cross,,Sting,Rose,Redbull,Couch,Wine,Leuchtturm,ring,,parachute,Soleil,Lance,metro,Volcano,Tobacco,Cup,Globe,Grape,Studio,Dress,Crevette
