ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84
Table Number,472730381,472728936,472681194,472573057,472424030,472397129,472350117,471793759,472079237,472041231,472070558,470574916,471665754,471605757,471657492,471555173,471123855,471384315,470924700,470985362,471168377,471224201,471263110,471065112,471021839,470981405,470762680,470653537,470582883,469750424,470319199,470400881,470505855,470247957,469575310,469792675,469607092,469203044,468937387,468833647,468122007,467988550,468125230,467656252,467293460,467108244,467002741,466884525,466728210,466086884,465730615,465732005,465619295,465661217,465664137,465664206,465665616,465668036,465668546,465319636,465197257,464921867,459609832,459279309,458716764,457064795,454586755,453839362,451463411,449145581,446155644,445297184,421549329,420552674,405054016,393621459,387173467,358827793,357001162,344838144,328236739,321888448,319065151,314360735
Move,['6'],['5'],['6'],['15'],['17'],['14'],['5'],['9'],['24'],['18'],['12'],['22'],['41'],['10'],['45'],['18'],['18'],['47'],['21'],['29'],['36'],['44'],['58'],['40'],['37'],['65'],['27'],['12'],['33'],['35'],['55'],['58'],['45'],['100'],['42'],['46'],['49'],['65'],['5'],['112'],['49'],['74'],['92'],['85'],['109'],['105'],['49'],['63'],['96'],['17'],['12'],['12'],['38'],['12'],['12'],['12'],['13'],['12'],['12'],['111'],['97'],['17'],['91'],['39'],['19'],['36'],['11'],['82'],['40'],['73'],['37'],['32'],['95'],['483'],['1309'],['1079'],['1160'],['1819'],['1824'],['1486'],['3226'],['3078'],['355'],['2943']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Deutsch,Français,Français,Deutsch,English,English,English,English,Français,English,English,Deutsch,English,English,Français,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,Français,English,English,Français,English,English,Français,English,English,English,Deutsch,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,Français,English,Français,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Rom', 'Moeller', 'Arena', 'Kampf', 'Crowe', 'Crowe']","['Blanche-Neige', 'Image', 'Reflet', 'Reflet']","['Envoie', 'Ballon', 'Arme', 'Jet', 'Jette', 'Javelot']","['W\\u00fcste', 'Nordafrika', 'Afrika', 'Sand']","['Filter', 'Fag', 'Break', 'Light']","['Autumn', 'flavour', 'spice', 'Baseball']","['Hole', 'Dig', 'Mine', 'Avocadoseed']","['bamboo', 'Po', 'Warrior', 'bear', 'Express', 'express']","['Dessert', 'Pancake', 'P\\u00e2te', 'Sauter', 'Suzette', 'Bretonne']","['Grape', 'chardonnay', 'beverage', 'Brandy', 'Grapes', 'grapes']","['World', 'Fight', '1914', '1939', 'Conflict', 'Battle']","['Kommunikation', 'Polnisch', 'slawisch', 'Chinesisch', 'japanisch', 'W\\u00f6rterbuch']","['Cancer', 'Rothmans', 'Tobacco', 'Nicotine', 'marlboro']","['Iago', 'Lory', 'repeat', 'Repeat']","['Soleil', 'Plage', 'Ombrelle', 'Ombrelle']","['grand', 'Foxtrot', 'boxers', 'Jockstrap', 'blitz', 'blitz']","['XL', 'matt', 'NTUGayChat', '183', '183', '183']","['Tooth', 'Duster', 'winged', 'Sugarplum', 'tale', 'Oberon']","['Truce', 'band', 'Team', 'Stormwind']","['Off', 'Theatre', 'Presentation', 'Display', 'TV', 'Tell']","['Tootsie', 'Raptor', 'House', 'snowy', 'hoot', 'hoot']","['Aventuriers', 'Sniffer', 'Coca\\u00efne', 'Cocaine']","['Butterfly', 'Protective', 'Caterpillar', 'insect', 'Swaddle']","['eyepatch', 'torrents', 'Blackbeard', 'Hook', 'Hook']","['Awake', 'Sunrise', 'Yawn', 'dawn', 'early', 'Am']","['Up', 'cob', 'Conduit', 'carb']","['games', 'Mankind', 'Nuclear', 'World', 'Conflict', 'Ukraine']","['Night', 'Sleep', 'Dress', 'Dinner', 'Good', 'dinnertime']","['Taula', 'esport', 'patinet', 'Tabla', 'Rodes', 'Rodes']","['Rock', 'Skipping', 'Rolling', 'Henge']","['Firework', 'Big', 'Pow', 'Loud', 'Sound', 'Boom']","['Deferre', 'cable', 'P\\u00eache', 'Couture', 'Ariane', 'Ariane']","['Seaside', 'Shell', 'shore', 'Daytona', 'sandy', 'coastline']","['bug', 'dengue', 'Malaria', 'proboscis', 'Itchy', 'Citronella']","['Gun', 'Gang', 'Loud', '-loud']","['wedding', 'engagement', 'saturn', 'gollum']","['Bola', 'Pendentif', 'bijou', 'cou', 'bijou', 'cou']","['Topping', 'Daiquiri', 'heart-shaped', 'shortcake', 'Shortcake', 'shortcake']","['Pm', 'Dusk', 'After', 'Afternoon']","['Jongleur', 'Loyal', '\\u00c9quilibriste', 'Acrobate', 'Gavarnie', 'Animaux']","['appendectomy', 'game', 'procedure', 'surgery', 'surgery', 'surgery']","['store', 'pass', 'Electricity', 'Wire', 'prong', 'Power']","['lorgnons', 'Monocle', 'Verres', 'T\\u00e9lescopes', 'Varilux', 'Toilettes']","['Twitter', 'embroidery', 'strand', 'Clothes', 'sewing', 'sewing']","['ancient', 'Textbook', 'class', 'Past', 'Books', 'Subject']","['Perfect', 'Wrapping', 'Day', 'Gift', 'Gift', 'gift']","['Kleidungsst\\u00fcck', 'Lang', 'Hochkrempeln', 'Hemd', 'Kanal', 'Kanal']","['Lob', 'incoming', 'Bomb', 'Shrapnel', 'Explosion', 'explosion']","['vannerie', 'Yoplait', 'basket', 'Chaperon', 'Osier', 'Osier']","['bated', '-last-', 'Pneuma', 'inhale']","['Barley', 'whole-', 'Wheat', 'wheat']","['Motorized', 'Plow', 'littlegreen', 'johndeer']","['Yellow', 'Condiment', 'Grey', 'Poupon', 'seed', 'colonel']","['-decay', 'snaggle-', 'Fairy', 'Incisor']","['pyroclastic', 'flow', 'volcano', 'fluid']","['golden', '-winning-', 'to', 'Ride']","['-filling', '3.14', 'cherry-', 'Cherry']","['Waltz', 'Blitz', 'Spherical', 'Quarters']","[""Farmer's"", 'Manipulation', 'Fresh', 'Boston']","['Paradiso', 'Odeon', 'sins', 'Movie', 'Movie', 'Movie']","['Blue', 'Waning', 'Io', 'Lunar', 'orbit']","['elixir', 'tipsy', 'bourbon', 'vodka']","['Feuerwerksk\\u00f6rper', 'V2', 'Ariane....', 'Mondtaxi', 'Saturn-5']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Cowboy', 'Filmgenre', 'eastwood', 'indianer']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","['june', 'july', 'Time', 'Glau', 'vivaldi', 'vacation']","['brussel', 'seedling', 'Bean', 'Flower']","['planeur', 'Mig', 'Airbus', 'stewart', 'crash']","['Luckynumbers', '4', 'Totally-Spies', 'Shamrock', 'Luck', 'Irish']","['5e', 'Carosse', 'bizzzzzzzz', 'piqures']","['Farming', 'Vehicle', 'farmer', 'wagob', 'Con', 'Ex']","['putter', 'association', 'Discotheque', 'Golf']","['Dundee', 'Skin', 'reptile', 'Lacoste', 'Lcoaste']","['Street', 'Illumination', 'Bedroom', 'Light', 'shade', 'tiffany']","['Vania', 'colegiata', 'sand', 'king']","['Hand', 'Surf', 'greeting', 'ocean', 'Goodbye', 'Goodbye']"
Mystery Word,Gladiator,Miroir,Lance,Sahara,Cigarette,Season,Pit,Panda,Cr\u00eape,Wine,War,Sprache,Cigarette,Parrot,Parasol,Ballroom,Club,Fairy,Alliance,Show,Owl,Rail,Cocoon,Pirate,Morning,Pipe,War,Evening,Skate,Stone,Bang,Fil,Beach,Mosquito,Bang,Ring,Collier,Strawberry,Evening,Cirque,Operation,Outlet,Lunettes,Thread,History,Present,\u00c4rmel,Grenade,Panier,Breath,Grain,Tractor,Mustard,Tooth,Lava,Ticket,Pie,Ballroom,Market,Cinema,Moon,Alcohol,Rakete,Bande,Pearl,Fox,Crescent,Museum,Ninja,Dungeon,Battery,Western,Rooster,Summer,Sprout,Avion,Clover,Moustique,Tractor,Club,Crocodile,Lamp,Castle,Wave
Guess,Gladiator,Miroir,lance,Sahara,Cigarette,pumpkin,Shovel,panda,cr\u00eape,Wine,war,Sprache,Cigarette,parrot,Bronzage,Underwear,Bar,Fairy,Ally,Show,Owl,,Cocoon,PIRATE,Morning,pipe,war,Evening,Snowboard,Stone,Bang,fil,Beach,Mosquito,Maffia,Ring,,strawberry,Evening,Cirque,operation,,Lunettes,Thread,History,,\u00c4rmel,Explosion,Panier,Breath,Grain,Tractor,mustard,Tooth,Lava,Ticket,Pie,Ballroom,Harvest,,Moon,Drink,Rakete,,mussel,Fox,Crescent,,,dungeon,Battery,Western,DJ,summer,Sprout,Avion,Clover,guepe,Tractor,club,crocodile,Lamp,Castle,Wave
