ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77
Table Number,446908205,446894938,446884101,446640850,446585119,446382635,446320163,446300693,446229776,446040420,446021293,446016670,446001550,445864849,445702967,445658593,445647568,445534312,445500987,445174771,445175321,445081488,445037554,444954361,444943370,444821935,444805939,444725155,444706980,444591116,444160201,444153920,443775902,443493318,443493935,443473095,443300228,443227164,443080096,443085305,443073822,442988521,442941057,442429430,442309455,441937754,441745463,441417317,441185330,441032575,441001083,440978972,440922135,440814245,440749952,440543522,440451879,440225058,438944087,438717097,435781132,434942915,432865949,431028877,430526833,411382679,402108912,381777020,366888891,357001162,356959263,348838927,346689693,337346134,319065151,314877288,312552889
Move,8,33,6,5,6,27,41,45,18,47,40,24,28,28,37,74,21,6,49,34,37,67,37,48,33,82,58,27,36,73,95,21,215,73,38,102,6,32,101,45,22,22,67,52,61,102,47,86,65,15,84,7,90,85,99,93,78,106,74,62,11,110,20,238,18,505,650,788,1068,1711,1102,1347,1896,3175,277,3314,1937
Clues,"['Tooth', 'dust', 'Godmother', 'Godmother', 'Dust']","['Chop', 'Wood', 'Chopper', 'cutter']","['Apfelgegner', 'Licht', 'Ribbeck', 'Helene', 'Obst', 'Obst']","['Female', 'Parent', 'undead', 'pyramid']","['wipe', 'cloth', 'Serviette', 'Table', 'paper', 'paper']","['kitten', 'dander', 'Mink', 'trapper', 'Elise', 'Elise']","['moat', 'drawbridge', 'Harold', 'Kumar', ""Man's"", 'home']","['area', 'tunnels', 'sexual', 'Pass', 'downtown', 'polis']","['eau', 'Bassin', 'brigitte', 'Cascade', 'Jouvence', 'jouvence']","['Sirens', 'Hospital', 'Ambulance', 'fire', 'Urgent', 'accident']","['Pinup', 'Mother', 'Tramp', 'Stamp']","['Songtitel', 'Putinwohnsitz', 'Duma', 'Basiliuskathedrale', 'Liebesgr\\u00fc\\u00dfe', 'Danilowkloster']","['Turn', 'War', 'Bolshevik', 'Wave', 'French', 'Overthrow']","['flower', 'tulip', 'incandescent', 'Garlic', 'incandescent', 'Garlic']","['belts', 'Taekwondo', 'sensei', 'kata', 'Miyagi', 'Dojo']","['Alarm', 'Mirrors', 'signal', 'Cigarete', 'cigarette', 'cigarette']","['Olympique', 'Seigneur', 'pr\\u00e9cieux', 'Plan\\u00e8te']","['Aid', 'Pogues', 'Rock', 'Group', 'Metal', 'Metal']","['Facility', 'Home', 'Livingroom', 'Frontdoor']","['innie', 'Fuzzy', 'lint', 'Orange', 'Birth']","['Pink', 'Food', 'Small', 'Prawn', 'seafood', 'cocktail']","['swing', 'Riche', 'VW', 'voiturette', 'Sport', 'Mini']","['Jackpot', 'Hasard', 'Magasin', 'Pari', 'Roulette', 'Royal']","['Date', 'Rest', 'Gallagher', 'tropical', 'Lagoon', 'Desert']","['Bottle', 'Shake', '-Y', 'Way']","['Hawai', 'Napolitano', 'Pepperoni', 'Dominos', 'margherita', 'crust']","['Sultan', 'Imperial', 'Knight', 'Building', 'Grand', 'Mansion']","['Aktien', 'Verm\\u00f6gen', 'Nasdaq', 'Austauschen', 'Wallstreet', 'Wallstra\\u00dfe']","['Pavilion', 'bivouac', 'circus', 'Circus', 'camping', 'camping']","['cookie', 'BN', 'Rond', 'Lu', 'Brossard', 'Prince']","['Zombies', 'Cerebellum', 'Thinker', 'Prinky', 'Cerebrum', 'Encephalogram']","['Thalamus', 'Hemispheres', 'Cerebellum', 'Lobes']","['intestin', 'esseul\\u00e9', 'ver', 'ver']","['equestrian', 'whinny', 'Mane', 'Quadruped', 'Pony', 'Race']","['Cercle', 'Pneu', 'Roule', 'Rond', 'Brouette', 'Libre']","['dance', 'Beret', 'Mariachi', 'spanish', 'Mexico', 'mexican']","['Steering', 'spoke', 'ferris', 'Of', 'Fortune', 'Fortune']","['Fahrradantrieb', 'Dekollet\\u00e9schmuck', 'Schmuckst\\u00fcck', 'Glieder']","['muscle', 'taste', 'Blue', 'Language', 'mouth', 'Lashing']","['S\\u00fcdpol', 'Happy', 'Feet', 'Kaiser', 'Vogel', 'Vogel']","['Biggest', 'Mammal', 'Sea', 'Sperm']","['Big', 'Oerknal', 'Begin', 'Explosie']","['Respect', 'tie', 'tie', 'NA']","['performer', 'prognosticator', 'Merlin', 'Shaman', 'wizard', 'Wizard']","['spring', 'spiral', 'ignition', 'Battery', 'slinky', 'Slinky']","['work', 'flatbed', 'forklift', 'Semi', 'Ford', 'Lorry']","['Cong\\u00e9s', 'Voyage', 'Farniente', 'Break']","['Minus', 'Kappe', 'Nord', 'Magnet', 'Arktis', 'Kalt']","['Tea', 'Ceramic', 'Coffee', 'Cup', 'Cup', 'coffee']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Kasparov', 'd\\u00e9faite', 'Cavalier', 'mat', 'mat', 'Mat']","['Melted', 'Burn', 'Wax', 'Wax']","['Moi', 'Craie', 'M.Hatton', 'tournesol', 'MEEF']","['asscher', 'band', 'Engaged', 'Engagement', 'Doorbell', 'Doorbell']","['Guitare', 'Rappel', 'raide', 'Escalade', 'Pendu', 'Pendu']","['gluten', 'Grain', 'Cereal', 'mill', 'Whole', 'grind']","['Kielbasa', 'Frank', 'Weiner', 'Casing']","['cloth', 'Square', 'Bib', 'Wipe', 'towelette', 'Towelette']","['medizinischer...', '-Sprechstunde', 'Retter', 'Ernstfall', 'Ungl\\u00fcck', '-ambulanz']","['Lonely', 'Meditation', 'Secluded', 'Loner', 'remote', 'Living']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['Mince', 'Cow', 'Meat', 'Cattle', 'Bovine', 'Argument']","['mutton', 'chops', 'animal', 'child', 'young', 'Gamey']","['magnets', 'Naked', 'Tourist', 'Magnetic', 'Connection', 'Tourism']","['0', 'X', 'browser', 'Browser']","['Caribbean', 'Japan', 'Coney', 'Mana', 'mana']","['four', 'hunting', 'spice', 'Summer', ""Vivaldi's"", 'Vivaldi']","['Mint', 'Asthma', 'Altoid', 'Lifesavers']","['Website', 'Browser', 'Gingerman', 'jar', 'monster', 'Monster']","['Laughing', 'Mammal', 'Porpoise', 'Bottle-nosed', 'Whale', 'Whale']","['Accidents', 'wards', 'Doctor', 'Operation', 'Dice', 'dice']","['fleuret', 'Belladonne', 'Gourdin', '\\u00c9gales', 'Blanche', 'Blanche']","['Kheopss', 'Gizehs', 'forme', 'd\\u00e9s4']","['noose', 'I.Wanna.Kill.Myself', 'Tied', 'climb', 'escape']","['Garrotxa', 'Pompeii', 'Peak', ""Dante's""]","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']","['forest', 'Yearn', 'Conifer', 'desire', 'Desire']"
Mystery Word,Fairy,Axe,Birne,Mummy,Napkin,Fur,Castle,Metro,Fontaine,Emergency,Tattoo,Moskau,Revolution,Bulb,Karate,Smoke,Anneau,Band,House,Navel,Shrimp,Golf,Casino,Oasis,Milk,Pizza,Palace,B\u00f6rse,Tent,Biscuit,Brain,Brain,Solitaire,Horse,Roue,Sombrero,Wheel,Kette,Tongue,Pinguin,Whale,Bang,Bow,Magician,Coil,Truck,Vacances,Pol,Mug,Scale,\u00c9chec,Candle,Professeur,Ring,Corde,Wheat,Sausage,Napkin,Notfall,Hermit,Poil,Beef,Lamb,Attraction,Safari,Island,Season,Breath,Cookie,Dolphin,Hospital,Arme,Pyramide,Rope,Volcano,Circle,Pine
Guess,dentist,Axe,Birne,Mummy,napkin,fur,castle,Underground,Piscine,Emergency,Tattoo,Moskau,Revolution,Bouquet,Karate,Security,Anneau,First,house,Belly,shrimp,Polo,casino,Island,,Pizza,Kingdom,B\u00f6rse,Tent,Biscuit,Brain,Brain,gr\u00eale,Horse,,Flamenco,Wheel,Kette,Tongue,,Whale,,artist,Wizard,Energy,Truck,Vacances,Pol,china,,\u00e9checs,,professeur,diamond,corde,Wheat,Sausage,,Notfall,Alone,Poil,Beef,,Attraction,,Island,season,Breath,honey,dolfin,hospital,Armes,pyramide,rope,Volcano,Circle,pine
