ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82
Table Number,498308832,498123851,498166671,497930718,497898386,497903290,497566435,497404905,497407451,497274140,497293911,496884758,497202908,496950019,496926213,496884958,496697932,496418420,496469143,496190594,496180958,495942525,496017157,495869189,495984241,495785333,496041089,495149454,494668877,494858490,494801385,494412075,494674952,494250174,494232956,493747598,493490598,493137606,493675456,493151089,493150387,493141378,493159831,491749709,491114338,490834543,491305856,490280100,489547867,488975321,488379380,484682575,484435490,484206945,482734999,479677325,473773078,471793759,465912719,465730124,465730355,465730615,465732005,465733714,465664095,465664286,465669875,465665695,465435499,464921867,444471586,443775902,426921218,402108912,381826421,374138794,358827793,348838927,338553253,322726720,319065151,314360735
Move,['6'],['8'],['5'],['6'],['16'],['11'],['32'],['30'],['9'],['14'],['21'],['30'],['39'],['12'],['18'],['54'],['44'],['18'],['42'],['64'],['31'],['18'],['11'],['27'],['36'],['64'],['50'],['59'],['49'],['92'],['42'],['48'],['71'],['112'],['50'],['102'],['32'],['30'],['7'],['78'],['30'],['103'],['26'],['81'],['72'],['67'],['39'],['37'],['33'],['37'],['37'],['98'],['55'],['96'],['43'],['82'],['442'],['74'],['72'],['48'],['43'],['43'],['43'],['48'],['44'],['43'],['42'],['43'],['366'],['51'],['57'],['1796'],['629'],['1387'],['812'],['1466'],['2066'],['1638'],['1831'],['1214'],['420'],['3172']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,Deutsch,English,English,English,English,English,English,Français,English,Deutsch,English,Deutsch,English,Deutsch,English,English,Français,English,English,Français,Français,Français,English,Deutsch,Français,English,English,English,Français,English,English,Français,Français,Français,English,English,English,Deutsch,Français,English,Deutsch,Français,English,English,Français,Français,Deutsch,English,Français,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,Français,English,English,English,English,Français,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Foul', 'Bird', 'Colorful', 'Colorful', 'Colorful', 'Bird']","['Thursday', 'Black', 'Payday', 'Casual', 'Weekday']","['Wolkenentladung', 'Donner', 'Entladung', 'hell']","['Twist', 'Foxtrot', 'samba', 'choreographed', 'Disco', 'School']","['shave', 'Masculinity', 'Santa', 'Lumberjack', 'Coach']","['Box', 'Pecs', 'Treasure', 'Treasure']","['Noggin', 'Protection', 'Protection', 'Head', 'Protection', 'Head']","['Virginity', 'Pop', ""Lola's"", 'Cola', 'mouth', 'stemtie']","['downpour', 'Acid', 'Weather', 'precipitation', 'Gauge', 'Purple']","['protection', 'plat', 'T\\u00e9l\\u00e9vision', 't\\u00e9l\\u00e9vision']","['dressing', 'fruits', 'caesar', 'ceasars']","['schwarzes', 'tiefes', '\\u00d6ffnung', 'Undichtigkeit', 'Schottland', 'K\\u00e4se']","['airborne', 'bird', 'conchords', 'passenger', 'Helicopter', 'transatlantic']","['Shetland', 'Galopp', 'Reiten', 'Kleinpferd', 'klein', 'Klein']","['sauce', 'mojito', 'Highball', 'Molotov', 'Martini', 'Martini']","['Tiefgeschoss', 'Souterrain', 'Tiefr\\u00e4ume', 'Waschraum', 'unterirdisch', 'unterirdisch']","['keylime', 'american', 'Circular', 'Pumpink']","['Magic', 'Shot', 'Mischief', 'Treat', 'Treat', 'Treat']","['Jette', 'Javelot', 'Harpon', 'Garoche']","['Teach', 'terminal', 'station', 'Via', 'Ticket', 'Conductor']","['Cola', 'fad', 'Avoid', 'Carbs', 'Atkins', 'atkins']","['Poudre', 'Origan', 'Safran', 'Curi', 'Assaisonnement', 'Recette']","['Cracheur', 'Komodo', 'Feu', 'Feu']","['cin\\u00e9ma', '\\u00c9cran']","['Spiral', 'winding', 'Heater', 'Slinky', 'spring', 'Spring']","['Gravur', 'Treuesymbol', 'Fangeisen', 'Gold', 'Trauschmuck', 'Hochzeitsschmuck']","['chateau', 'Dragon', 'tour', 'Tour']","['Heart', 'Action', 'tire', 'Sump']","['Rhein', 'Danube', 'joaquin', 'phoenix', 'Manasquan', 'Musconetcong']","['false', 'Hammer', 'File', 'hang', 'perfect', 'toe']","['inspecteur', 'Columbo', 'monk', 'colombo', 'Enqueteurs', 'Priv\\u00e9']","['ankerias', 'Pikatchu', 'Wire', 'Tesla', 'Current', 'Virta']","['Vermin', 'Earwig', 'pest', 'insect', 'pest', 'insect']","['Gambas', 'grise', 'Rose', 'krill', 'Paillet\\u00e9es', 'paillet\\u00e9es']","['Fardeau', 'Cha\\u00eene', 'Charge', 'Sph\\u00e9rique', 'Cheville', 'Prisonnier']","['Abdominale', 'Pantalon', 'Obi', 'R\\u00e9gime', 'serrer', 'p\\u00e9riph\\u00e9rique']","['N\\u00e9zz\\u00fck', 'R6', 'J\\u00e1tsz\\u00e1s', 'K\\u00e9perny\\u0151']","['pelt', 'fleece', 'Cat', 'Mink', 'Murder', 'Thick']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Peace', 'Taube', 'Westf\\u00e4lischer', 'ruhe', 'Bischen', 'bisschen']","['Meuble', 'Sur', 'Manger', 'Manger']","['red', 'Greetings', 'Yu-Gi-Oh', 'Tarot', 'Hallmark', 'Identification']","['Ironman', 'Schwimmen', 'Ausdauersport', 'Mehrkampf']","['Ariane', '\\u00c9lectrique', 'bobine', 'p\\u00eache', 'Dentaire', 'fer']","['Hooch', 'pub', 'Drinky', 'Methanol', 'Barrel']","['equine', 'baby', 'Steed', 'Foal', 'Timor']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['...Ganele', 'Frau', '23', 'Grammy', 'Sengerin', 'S\\u00e4ngerin']","['stinky', 'casserole', 'Sushi', 'Avodcado']","['vitr\\u00e9e', 'genevrier', 'Canneberge', 'Myrtille', 'myrtille']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['vampire', 'Cooking', 'Italian', 'Bread', 'breath', 'Breath']","['Gleit', 'Styling', 'Haarschmiere', 'Haar-', 'Festigend']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['bicycle', 'stock', 'House', 'Gate', 'chest', 'key']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['cap', 'water', 'Bath', 'Rainfall']","['Bird', 'KungFu', 'karate', 'kick']","['Titanic', 'ship', 'Killer', 'killer']","['Furry', 'bear', 'Two-toned', 'two-tone']","['Cashew', 'Brazil', 'squirrel', 'treat']","['Crimson', 'and', 'lucky', 'irish']","['Mean', 'Girls', 'kardashian', 'face']","['Dish', 'Liquid', 'sudsy', 'clean']","['Miniature', 'Prep', 'my', 'job']","['Great', 'desire', 'fruit', 'love']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Engagement', 'gold', 'circus', 'perimeter']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['orbital', 'p\\u00e9riodique', 'Ann\\u00e9e', 'Terrestre']","['Cloth', 'Tissue', 'handkerchief', 'table']","['Wearable', 'Code', 'rehearsal', 'outfit', 'maxi', 'gown']","['Street', 'Matt', 'Ted', 'Dozen']","['chop', 'head', 'French', 'blade']","['rhum', 'les-3-', 'Viaur', 'Mosson']","['Candia', 'R\\u00e9gi', 'Mammif\\u00e8re', 'Chocolat\\u00e9', 'Moche', 'Moche']","['Timepiece', 'hour', 'Grandfather', 'Ben', 'Cuckoo']","['Full', 'Square', 'Door', 'Terraced', 'Home', 'Home']","['3D', 'square', 'rubik', '^3']","['Ice', 'Double', 'Whipped', 'Clotted', 'cookies', 'and']"
Mystery Word,Parrot,Friday,Blitz,Dance,Beard,Chest,Helmet,Cherry,Rain,\u00c9cran,Salad,Loch,Flight,Pony,Cocktail,Keller,Pie,Trick,Lance,Train,Diet,\u00c9pice,Dragon,Film,Coil,Ehering,Donjon,Pump,River,Nail,D\u00e9tective,Electricity,Cockroach,Crevette,Boulet,Ceinture,Computer,Fur,Heat,Frieden,Table,Card,Triathlon,Fil,Alcohol,Pony,Baleine,Valise,Adele,Tuna,Baie,Quarter,Root,Garlic,Gel,Guard,Lock,Cage,Shower,Crane,Iceberg,Panda,Nut,Clover,Plastic,Soap,Painting,Passion,Poker,Ring,Vegetable,R\u00e9volution,Napkin,Dress,Baker,Guillotine,Rivi\u00e8re,Lait,Clock,House,Cube,Cream
Guess,Garbage,Friday,Blitz,dance,beard,Chest,,Cherry,rain,Tupperware,Salad,Loch,Flight,Pony,Cocktail,Keller,pie,Make,Lance,Train,,Epice,Dragon,Film,Spring,Ring,Princesse,Pump,river,Nail,Sherlock,electricity,pest,crevette,Boulet,ceinture,Videogame,Skin,,Friede,Vase,card,Triathlon,Fil,alcohol,Colt,Baleine,valise,,Tuna,baie,,,Garlic,Gel,guard,lock,cage,Shower,Crane,Lifeboat,Grizzly,Nut,Clover,Cosmetics,Soap,Paint,Passion,Poker,Ring,Vegetable,R\u00e9volution,napkin,Dress,baker,guillotene,Rivi\u00e8res,Lait,Clock,House,Cube,Cream
