ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60
Table Number,514565841,514167014,514339808,513492249,513784432,513582527,513280901,513416918,513070439,512804262,513077559,512980717,512757859,512638182,512633377,512339260,512035573,512197315,512208215,512115878,511473406,512079864,511786256,511489359,511679656,511280628,511070791,510943938,510824814,510075751,510269410,509085681,509348231,508908555,508151957,508116165,507832390,507294423,507052086,506453655,505741993,506189713,505623552,504783443,505196983,504721368,504876059,503370597,503273217,499939612,496712411,494478774,493769667,493662581,488379380,478910455,470247957,343894377,336562502,322726720
Move,['10'],['6'],['5'],['25'],['21'],['18'],['37'],['22'],['49'],['58'],['49'],['19'],['29'],['52'],['39'],['82'],['37'],['18'],['68'],['47'],['25'],['68'],['50'],['56'],['37'],['66'],['15'],['34'],['51'],['103'],['33'],['50'],['145'],['75'],['23'],['66'],['22'],['93'],['93'],['74'],['65'],['157'],['72'],['31'],['83'],['67'],['24'],['49'],['38'],['72'],['271'],['732'],['57'],['49'],['79'],['235'],['1223'],['2743'],['1862'],['1263']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,Deutsch,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,Français,Français,English,English,English,Deutsch,Français,Français,Français,English,English,Français,English,Deutsch,English,English,English,Deutsch,English,English,English,English,English,Français,English,English,English,English,English,Français,English,Français,Français,English,English,English,English,English,Français,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Agriculture', 'Paysan', 'V\\u00e9hicule', 'V\\u00e9hicule']","['Surgery', 'Secret', 'dexterity', 'classic', 'doctor', 'game']","['Laib', 'Korb', 'Siebenundsiebzig', '77']","['Esswerkzeug', 'Mist', 'Heu', 'Besteck', 'Besteck']","['Fijador', 'Gomina', 'Peluquer\\u00eda', 'Peinado', 'Peinado', 'Peinado']","['bite', 'Slither', 'Slytherin', 'Reptile', 'eve', 'Cottonmouth']","['Golden', 'Speeding', 'citation', 'Citation']","['alohomora', 'closure', 'secure', 'click']","['High', 'Balance', 'Scottie', 'light', 'Banister']","['Bronzong', 'chime', 'jingle', 'pepper']","['hole', 'SHINEE', 'Piano', 'Skeleton', 'Unlock']","['Silicone', 'G\\u00e2teau', 'Bouchot', 'Chatte', 'frite', 'coquillage']","['Fowl', 'Salt', 'Feathers', 'Drumstick']","['Hose', 'Vegetable', 'Eden', 'Eden']","['red', 'white', 'Festival', 'Cake', 'Seeds', 'Outside']","['pot', 'Darling', 'trap', 'Badger', 'Bear', 'Mead']","['Ravissante', 'Nagasaki', 'Latine', 'Explose', 'lacrymog\\u00e8ne', 'Sexy']","['Morville', 'Watson', 'th\\u00e8s\\u00e9', 'M\\u00e9decin', 'house', 'House']","['packaged', 'egg', 'milk', 'Cigarettes', 'Cigarettes']","['Toupee', 'Mat', 'Persian', 'Carpet', 'Shag', 'rats']","['basket', 'Enclosed', 'Frame', 'brief', 'Brief']","['Attraktion', 'Zuckerwatte', 'Wirbel', 'Kirmes', 'Jahrmarkt', 'Jahrmarkt']","['Coup', 'Cheval', 'Martinet', 'P\\u00e2tisserie']","['Moche', 'Conserve', 'Bonite', 'Bo\\u00eete', 'albacore', 'Albacore']","['airbus', 'Concorde', 'boeing', 'Boeing']","['street', 'shade', 'torch', 'Oil', 'illumination', 'Sconce']","['Ancient', 'Execute', 'behead', 'Behead']","['Ma\\u00eetre', 'MGEN', 'Lyc\\u00e9e', 'Tournesol', 'Tournesol']","['Halloween', 'sour', 'confection', 'SWEET', 'Sweets']","['Lateinamerika', 'Tanzart', 'Rose', 'Kriminal', 'Argentinisch', 'Argentino']","['Camoflauge', 'Outdoor', 'Person', 'food', 'Tracking', 'tracking']","['Deepdish', 'Circle', 'Margherita', 'Hawaiian']","['red', 'Algeria', 'croissant', 'Croissant']","['rauchen', 'gr\\u00fcn', 'Wiese', 'Halm', 'Halm', 'Halm']","['Hamer', 'Lakken', 'Pijnlijk', 'Gereedschap']","['Megan', 'Sourgrapes', 'news', 'Coyote']","['Groundcover', 'leaf', 'Lucky', 'lucky']","['skyjump', 'Skydiving', 'Ripcord', 'Brolly', 'Airplane', 'Golden']","['bow', 'Projectile', 'hea', 'Archer', 'Archery']","['fertile', 'P\\u00e2tisserie', 'Grandissant', 'Lune', 'Boulangerie', 'beurre']","['Chantrel', 'porcini', 'Fungi', 'cap', 'Chanterelle', 'chanterelle']","['thirsty', 'Lyme', 'Insect', 'Itchy', 'Bloodsucker', 'Bloodsucker']","['flesh', 'blob', 'duckling', 'fawn', 'infant', 'endearment']","['Cooker', 'Fan', 'Hot', 'Cooking']","['Flight', 'Commander', 'captain', 'license', 'Honda']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['flowing', 'water', 'Amazon', 'Mississippi', 'Rapids', 'Pocahontas']","['Coco', 'bavard', 'Menthe', 'Zoo', 'Ara']","['Nutella', 'Amande', '\\u00e9cureuil', 'nourriture']","['Swine', 'Wilbur', 'oink', 'oink']","['Gym', 'Amazon', 'Fever', 'Bungle', 'Lion', 'Sleeps']","['Cheese', 'Vermin', 'Animal', 'jerry', 'Pad']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Computer', 'LCD', 'Fly', 'Genetic', 'Oled', 'Spf50']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['Red', 'ant', 'spots', 'beetle', 'aphid', 'eater']","['Disney', 'Buttercup', 'Eugenie', 'Peach', 'Aurora', 'cut']","['Orange', 'Drink', 'Fruit', 'Box']","['B\\u00e9e', 'Coeur', 'Au-dessus', 'Menton', 'L\\u00e8vres', 'Langue']","['Asia', 'Bear', 'Eyes', 'Animal', 'Bamboo', 'Bamboo']"
Mystery Word,Tracteur,Operation,Brot,Gabel,Gel,Snake,Ticket,Lock,Beam,Bell,Key,Moule,Chicken,Garden,Strawberry,Honey,Bombe,Docteur,Carton,Rug,Case,Rummel,Fouet,Thon,Avion,Lamp,Guillotine,Professeur,Candy,Tango,Hunter,Pizza,Crescent,Gras,Nail,Fox,Clover,Parachute,Arrow,Croissant,Mushroom,Mosquito,Baby,Oven,Pilot,Vache,River,Perroquet,Noisette,Pig,Jungle,Mouse,Spider,Screen,Poup\u00e9e,Ladybug,Princess,Juice,Bouche,Panda
Guess,ferme,Operation,Brot,Gabel,Gel,Snake,Ticket,Lock,,Bell,key,moule,Chicken,Beat,Sunflower,Dear,Bombe,Docteur,carton,Rug,gift,,Torsade,,Avion,Light,guillotine,Professeur,Lemonheads,Tango,,pizza,france,Gras,Nails,immigrant,clover,Parachute,arrow,Croissant,Mushroom,mosquito,baby,fry,Pilot,Vache,river,Perroquet,Noisette,prg,jungle,mouse,Spider,Screen,Poup\u00e9e,ladybug,Princess,,bouche,
