ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64
Table Number,461497215,461373227,460920121,460804941,460791698,460696843,460667801,460522663,460501327,460462030,460443220,460097401,459935010,459870654,459717393,459604039,459470730,459341737,459349513,459160078,459042782,458928790,458853620,458716764,458711453,458294425,458186656,458082230,458069807,457906441,457749670,457506305,457434713,457368390,457101867,457036000,456915945,456808852,456727197,456395238,456191515,455330446,455143990,455042660,454586755,453839362,452201275,450216132,449955800,449727973,448202573,446514318,446155644,443775902,441488112,427449286,417255169,411382679,357001162,356959263,350481361,348838927,341401520,324381970
Move,['42'],['11'],['11'],['19'],['34'],['22'],['18'],['51'],['5'],['36'],['36'],['52'],['22'],['42'],['48'],['45'],['6'],['28'],['12'],['19'],['30'],['46'],['47'],['18'],['45'],['100'],['92'],['62'],['35'],['75'],['37'],['83'],['82'],['91'],['90'],['19'],['37'],['30'],['36'],['77'],['46'],['56'],['45'],['57'],['11'],['82'],['101'],['68'],['144'],['65'],['40'],['20'],['36'],['811'],['102'],['69'],['973'],['626'],['1799'],['1212'],['3979'],['1403'],['2351'],['1636']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+
Language,English,English,Français,English,Français,Français,English,English,Français,Français,Français,English,English,Français,Français,Français,English,English,English,English,Français,English,English,English,English,English,Français,Français,English,English,Deutsch,English,Français,English,English,English,English,English,English,English,English,English,Français,Français,English,English,Français,English,English,English,English,Deutsch,English,Français,English,English,English,English,English,English,English,Français,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['alcohol', 'test', 'kimetunoyaiba', 'waza']","['emperor', 'Rockhopper', 'Porg', 'tuxedo', 'Batman', 'Batman']","['Bond', 'p\\u00e9rilleux', 'Kangourou', 'cascade', 'Parachute', 'Parachute']","['Liberty', 'Bronze', 'clay', 'marble', 'sculpture', 'Sculpture']","['HP', 'Calculateur', 'Dell', '\\u00e9cran', 'Technologie']","['Comptine', 'Populaire', 'Paroles', 'M\\u00e9lodie']","['sick', 'Influenza', 'infection', 'flu', 'sickness', 'COVID-19']","['playoff', 'telenovela', 'World', 'number', 'sequence', 'sequence']","['etna', 'fusion', 'Volcan', 'Coul\\u00e9']","['concert', 'Orchestre', ""Rock'n'roll"", 'rossignol', 'Symphonie', 'Son']","['Excalibur', 'Katana', 'sabre', 'Fleuret', 'fleuret', 'Fleuret']","['Ka-chow', 'transport', 'Nissan', 'Toyota', 'Armored', 'Ferrari']","['Sprout', 'sesame', 'Plant', 'watermelon']","['Tipi', 'Camping', 'Protection', 'Piquet', 'Oncle']","['Tijuana', 'mexicain', 'Mexicain', 'Chapeau', 'Chapeau', 'Chapeau']","['egypte', 'R\\u00e2', 'Thoutmosis', 'Pschent', 'Ramses', 'Ramses']","['Week', 'Game', 'Worlds', 'Death', 'Aftiteling', 'Afgrond']","['Pond', 'Winding', 'Amazon', 'Nile']","['Leo', 'Mufasa', 'africa', 'cat', 'Witch', 'Wardrobe']","['Migration', 'White', 'Lynx', 'Africa', 'Animal', 'Farm']","['Villes', 'Champs', 'pingre', 'souris', 'Animal', 'Peste']","['Atomic', 'Diggity', 'threat', 'Explode', 'Explosion', 'explosive']","['Birthday', ""Valentine's"", 'Deck', 'Playing']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Leader', 'Hook', 'Crunch', 'Crunch']","['Gay', 'Restaurant', 'Nightclub', 'Saloon', 'Horizontal', 'cafe']","['Piquant', 'Chaleur', 'Dutronc', 'D\\u00e9sert', 'Agave', 'plante']","['Naitre', 'Legume', 'Surnom', 'salade', 'Soupe', 'soupe']","['tots', 'Taters', ""McDonald's"", 'Side']","['Sole', 'High', ""Achilles'"", 'Heighten', 'Kitten', 'sexy']","['Asthma', 'Schlager', 'ersticken', 'HeleneFischer', 'HeleneFischer', 'Ersticken']","['Cranberries', 'shamble', 'brain', 'apocalypse', 'Undead', 'undead']","['film', 'Genre', 'Morricone', 'Union', 'spaghetti', 'Spaghetti']","['Pontiff', 'Benedict', 'bishop', 'Christian', 'Vatican', 'Vatican']","['test', 'inner', 'toothpaste', 'river', 'vacuum', 'cathode-ray']","['Fore', 'par', 'Mini', 'Fairway', 'Wii', 'Mickelson']","['pulling', 'string', 'Discord', 'forum', 'needle', 'needle']","['Oyster', 'Wisdom', 'Krabs', 'Daughter', ""Diver's"", 'treasure']","['Filming', ""Photographer's"", 'Nikon', 'shoot']","['Rocketeer', 'Armstrong', 'Helmet', 'Gagarin', 'NASA', 'Tereshkova']","['sugar', 'springs', 'Olive', 'Frond', 'reader', 'Reading']","['Swatter', 'Plane', 'teetse', 'gnat', 'Soar', 'Pegasus']","['Caverne', 'Lascaut']","['Condiment', 'Amora', 'Mayonnaise', 'jaune', 'savora', 'Dijon']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['sabl\\u00e9', 'BN', 'Joconde', 'Beurre', 'Lu', 'g\\u00e2teau']","['Woods', 'Arboretum', 'TREES', 'Gump', 'Lush']","['conductor', 'enter', 'Entrance', 'Entry', 'railway', 'railpaper']","['oven', 'custard', 'Chart', 'Baked', 'dough']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Electrical', 'Tesla', 'Life', 'AAA']","['Supermarch\\u00e9', 'Soleil', 'diametre', 'moiti\\u00e9']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Cardamom', 'Saffron', 'Old', 'Girls', 'herb', 'flavoring']","['25', 'Partial', 'Pounder', 'Dollar', 'Coin', 'Coin']","['Clinton', 'gates', 'Dolla', 'Ted', 'Pay']","['Up', 'prison', 'pad', 'down', 'Smith', 'smith']","['cluster', 'Universe', 'chocolate', 'Samsung', 'spiral', 'spiral']","['Jericho', 'Cornucopia', 'bull', 'French']","['Porte', 'Abba', '\\u00c9change', 'Deutschemark', 'Pi\\u00e9cettes', 'Funny']","['Lukewarm', 'Disappointing', 'England', 'Spring', 'Bubble', 'Tub']","['mon', 'employeur', 'Jus', 'Agrume', 'feu', 'quartier']"
Mystery Word,Breath,Penguin,Saut,Statue,Ordinateur,Chanson,Virus,Series,Lave,Musique,\u00c9p\u00e9e,Car,Seed,Tente,Sombrero,Pharaon,End,River,Lion,Goat,Rat,Bomb,Card,Pearl,Captain,Bar,Cactus,Chou,Fries,Heel,Atemlos,Zombie,Western,Pope,Tube,Golf,Thread,Pearl,Camera,Astronaut,Palm,Fly,Grotte,Moutarde,Crescent,Museum,Biscuit,Forest,Ticket,Pie,Grape,Meerjungfrau,Battery,Rayon,Anchor,Spice,Quarter,Bill,Lock,Galaxy,Horn,Monnaie,Bath,Orange
Guess,patch,penguin,Saut,statue,Ordinateur,Chanson,Virus,series,Lave,musique,Epee,car,Seed,Tente,,Pharaon,End,river,lion,,rat,bomb,Cards,mussel,Captain,Bar,Cactus,Chou,Fries,Heel,Atemlos,Zombie,western,Pope,tube,Golf,,Pearl,Camera,astronaut,,Fly,Grotte,Moutarde,Crescent,,Biscuit,forest,Ticket,Pie,,Meerjungfrau,Battery,Rayon,,Spice,Quarter,bill,Jumpsuit,galaxy,Horn,Money,Bath,orange
