ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53
Table Number,506580010,506120988,506044627,505825213,505803967,505803319,505769929,505724592,504670748,505196983,505476685,505203278,505356470,505257725,505087962,505172808,505046095,504806668,504904627,504721368,504615502,504413971,504147099,504011203,504027482,503767286,503635713,503394382,503164125,503063996,502946233,502555488,502294455,500879536,500920253,500686195,499400159,499697763,498938279,495583488,493769667,493675456,491305856,490280100,488379380,484682575,466081205,426921218,374138794,341401520,337346134,313533300,312552889
Move,['8'],['10'],['35'],['11'],['24'],['18'],['25'],['37'],['16'],['33'],['28'],['37'],['27'],['58'],['37'],['21'],['26'],['80'],['85'],['66'],['26'],['46'],['68'],['36'],['80'],['46'],['74'],['27'],['37'],['36'],['49'],['42'],['92'],['23'],['94'],['72'],['73'],['81'],['631'],['83'],['57'],['7'],['39'],['37'],['79'],['98'],['80'],['723'],['1559'],['3138'],['4395'],['3988'],['2269']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,Français,English,Français,Français,English,English,English,English,English,Français,English,English,Français,English,Français,English,Français,Français,English,English,English,English,Français,English,Français,English,Français,English,English,English,Deutsch,Français,Français,English,Deutsch,English,Deutsch,English,English,Français,Français,Français,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['\\u3057\\u3093\\u3058\\u3087\\u3046\\u3064\\u3088\\u3057', '\\u30e9\\u30b9', 'BIG', '\\u3053\\u30fc\\u3072\\u30fc', 'coffee']","['yearly', 'Julian', 'Gregorian', 'Planner']","['Shelter', 'Glowworms', 'Spelunk', 'Dwelling']","['Gallagher', 'Lush', 'Fountain', 'Desert', 'Boisson', 'Boisson']","['Wheat', 'Clarkson', 'Tractors', 'Haybales', 'Working', 'Land']","['Eglise', 'Carillon', 'P\\u00e2ques', 'ding', 'Son', 'son']","['corons', 'majeur', 'Charbon', 'Extracteur']","['canape', 'Starter', 'starter', 'Starter']","['Colour', 'Iris', 'nuts', 'hazel']","['Cluster', 'Stars', 'quest', 'Milky', 'milky']","['Show', 'Megaplex', 'movie', 'Showtime', 'Cinemark', 'Spielberg']","['Undercover', 'Leader', 'signer', 'superior', 'Springsteen', 'Manager']","['Parking', 'Metro', 'billet', 'amoureux']","['Vegetable', 'incentive', 'Orange', 'Stick', 'Bunny', 'Bunny']","['Crops', 'Crows', 'chicken', 'Grow', 'cows', 'cow']","['Chocolatine', 'Augmentant', 'Lune', 'Lune']",['Vineyard'],"['Spectre', 'Casper', 'd\\u00e9sincarn\\u00e9', 'Drap']","['Electric', 'Hole', 'vent', 'Plug', 'Store', 'Store']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['Vetement', 'Carriere', 'Arlette', 'Patron', 'Machine', 'Fil']","['Funny', 'Hahahaha']","['North', 'Five', 'Twinkle', 'Little', 'Northern', '...bright']","['search', 'Nose', 'fungus', 'Fungus', 'pig', 'pig']","['underarm', 'bottomless', 'hole', 'Avocado']","['Flotte', 'Nuage', 'Averse', 'Gouttes']","['drive', 'Honda', 'Wheels', 'train', 'automobile', 'Sharing']","['avion', 'conducteur']","['money', 'Shekel', 'Yen', 'Yen']","['Baie', 'Baigner', 'Abandonn\\u00e9', 'Ch\\u00e2teau']","['Months', 'Yearly', 'Julian', 'Advent', 'wall', 'desk']","['Catheadon', 'Wisdom', 'Jer', 'Rowlet']","['Bath', 'Bob', 'holey', 'cellulose', 'Absorbent', 'SquarePants']","['Batman', 'Blitz', 'Mob', 'Superheld']","['Siberie', 'F\\u00e9lin', 'Orange', 'Chacal', 'Diego', 'Bengale']","['patissier', 'Artisan', 'p\\u00e9trir', 'Pain', 'P\\u00e9trin', 'P\\u00e9trin']","['solar', 'USB-C', 'Ion', 'Bill', 'Static']","['Ahorn...', 'Dickfl\\u00fcssig', 'Grafschafter', 'Fruchtkonzentrat', 'Arzneiform', 'Zuckerwasser']","['Fox', 'Clouds', 'stratosphere', 'blue', 'Scraper', 'Atmosphere']","['Kanonenmunition', 'Eis', 'Pistole', 'Bowling', 'Bahn']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Thermostat', 'Enforcement', 'Sun', 'Wave']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['pizza', 'half', '15', '15minutes']","['rip', 'cord', 'Paratrooper', 'Saver']","['Bangle', 'Armband', 'Friendship', 'Jewellery']","['sneeze', 'catch', 'paper', 'A']","['Screechy', 'Anderson', 'Fiddle', 'Instrument', 'Strings', 'Cello']","['bomb', 'you.need.one', 'u.need.it', 'soak', 'drink.it']","['love', 'us-open', 'Sampras', 'Federer', 'court', 'Court']","['Stop', 'villain', 'Achilles', 'Balm', 'obey']"
Mystery Word,Boss,Calendar,Cave,Oasis,Farm,Cloche,Mineur,Appetizer,Hazel,Galaxy,Cinema,Boss,Ticket,Carrot,Farm,Croissant,Grape,Fant\u00f4me,Outlet,Vache,Couture,Humor,Star,Truffle,Pit,Pluie,Car,Pilote,Currency,Plage,Calendar,Owl,Sponge,Flash,Tigre,Boulanger,Charge,Sirup,Sky,Kugel,Spider,Heat,Baleine,Valise,Poup\u00e9e,Quarter,Parachute,Bracelet,Tissue,Violin,Bath,Tennis,Heel
Guess,BOSS,Calendar,Cave,Oasis,Farm,Cloche,Mine,sit,Eye,Galaxy,Theater,Boss,Ticket,Carrot,Corn,Croissant,,fant\u00f4me,Outlet,Vache,Couture,joke,Star,hound,pit,Pluie,car,,dollar,Lac,Calendar,Owl,sponge,Flash,tigre,Boulanger,Electricity,Sirup,Sky,Kugel,Spider,,Baleine,valise,Poup\u00e9e,,Parachute,bracelet,tissue,Violin,pipe,tennis,Heel
