ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51
Table Number,581342951,581134916,581134697,581129445,580728159,580421125,580430263,580496854,580184888,580245345,580329935,580289498,580278506,580031260,580040147,579557069,579581512,579691585,578998654,578570399,578248303,578305134,578083576,577852826,576920182,577548956,577920932,577800926,576413622,575723606,574898042,575366215,571815545,571195661,569933167,570734438,569521605,567406997,566409377,566710584,564468602,562133986,560134917,551312356,543879156,539412516,496712411,480055062,420552674,374138794,363390977
Move,['6'],['14'],['35'],['19'],['18'],['27'],['24'],['9'],['12'],['18'],['37'],['36'],['48'],['50'],['29'],['63'],['43'],['58'],['65'],['76'],['49'],['36'],['24'],['25'],['10'],['53'],['109'],['68'],['19'],['25'],['59'],['49'],['81'],['37'],['74'],['38'],['90'],['291'],['93'],['63'],['143'],['11'],['314'],['487'],['241'],['214'],['1066'],['997'],['1208'],['2338'],['2669']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+
Language,English,Français,English,English,English,English,Français,English,Français,English,Français,English,English,English,English,English,English,English,Français,Français,English,English,English,Français,English,English,English,English,Deutsch,English,English,Français,English,Deutsch,English,English,Deutsch,Français,Français,English,English,English,English,Français,Français,English,English,Deutsch,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Starter', 'Restaurant', 'Before', 'Main', 'Horsedoovers', 'Soup']","['ara', 'Tropico', 'Cacato\\u00e8s', 'Cacato\\u00e8s']","['Aorta', 'ventrical', 'soul', 'arrhythmia']","['coarse', 'bristles', 'paint', 'cosmetic', 'With', 'Greatness']","['Wheat', 'round', 'Wheet', 'Field', 'Sand', 'sand']","['cover', 'Mujer', 'Elegante', 'Princesa', 'CorteA', 'floreado']","['narval', 'cheval', 'Imaginaire', 'cheval', 'imaginaire', 'imaginaire']","['Print', 'Commemorative', 'philately', 'collection', 'postage', 'envelope']","['Dexter', 'Charmed', 'Friends', 'Saisons', '\\u00c9pisodes', 'Feuilleton']","['Stretchy', 'Plastic', 'Waistband', 'Gumby', 'spandex', 'Spandex']","['roquette', 'sucrine', 'Mesclun', 'Fris\\u00e9e']","['Squirmy', 'Wiggle', 'Maggot', 'Nematodes', 'Bait', 'Bait']","['Cochlear', 'wig', 'Q-tips', 'hear', 'hear']","['Share', 'Soup', 'Lot', 'market']","['Crossing', 'structure', 'Pylon', 'Gap', 'Troll', 'troll']","['Bite', 'Corps', 'Cranberries', 'Cranberries', 'Rob', 'Rob']","['hoplite', 'Mint', 'Skewer', 'Pickle']","['Website', 'dough', 'Kastengel', 'Gingerman', 'Gingerbread', 'gingerbread']","['Cuir', 'Pochon', 'cac', 'Testicule', 'Cac40', 'Cac40']","['Aluminium', 'Cuivre', 'Plomb', 'maiden', 'Fusion', 'Fer']","['Cello', 'Stringed', 'Vanya', 'rosin', 'Fiddle', 'Fiddle']","['Quiet', 'freedom', 'White', 'Pipe', 'pidgeon', 'Tranquility']","['Ying-Ying', 'Cub', 'express', 'China', 'takenoko', 'Takenoko']","['Natte', 'Tresse', 'Dodo', 'Duvet', 'Queue', 'Cheval']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['jonah', 'sperm', 'Mammoth', 'Large', 'Beluga', 'beluga']","['Springsteen', 'Order', 'foreman', 'bully', 'Gov', 'Chief']","['slices', 'dices', 'Bowie', 'carving', 'twist', 'serrate']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Star', 'Venus', 'sunrise', 'prenoon']","['Spring', 'Salt', 'Yearly', 'Transitions', 'Autumn', 'Winter']","['Jean', 'De', 'Trevise', 'Fable', 'Eau', 'Jet']","['Magnets', 'Drawn', 'Magnetic', 'Pheromonal']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Vanhelsing', 'Transylvania', 'Twilight', 'Sucking', 'Undead', 'human-ish']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['B\\u00fchne', 'Portman', 'Wei\\u00df', 'Auff\\u00fchrung', 'Auff\\u00fchrung']","['Serpent', 'Tentacules', 'Gorgone', 'Mythologie']","['Drupe', 'Mangue', 'Pepin', 'Graine', 'Cerise', 'cerise']","['packed', 'tinned', 'Anchovy', 'anchovie']","['financial', 'establishment', 'ATM', 'Teller', 'standard', 'Chartered']","['Milky', 'Way', 'far', 'away']","['Sluggish', 'Slow', 'Shell', 'Whale']","['De', 'Amour', 'Instantan\\u00e9', 'Eclair', 'Coup', 'Coup']","['Casse', 'Huile', 'P\\u00e9can', 'Coco', 'Cajou', 'Cajou']","['Au.', 'metal', 'Midas', 'curse']","['Oratory', 'Bose', 'Woofer', 'Tweeter', 'Woofer', 'Tweeter']","['Sony', 'Gaming', 'Videospieleapparat', 'Walkmanerfinder', 'Spielestation', 'SuperMario']","['brand', 'oil', 'conch', 'snail', 'sea', 'lubricant']","['gratuity', 'advice', 'end', 'felt']","['VCU', 'Argonauts', 'Battering', 'dodge', 'Truck']"
Mystery Word,Appetizer,Perroquet,Heart,Brush,Grain,Dress,Licorne,Stamp,S\u00e9rie,Elastic,Salade,Worm,Ear,Stock,Bridge,Zombie,Spear,Cookie,Bourse,M\u00e9tal,Violin,Peace,Panda,Couette,Cup,Whale,Boss,Knife,Frankreich,Morning,Season,Fontaine,Attraction,Rose,Vampire,Couch,Schwanensee,M\u00e9duse,Noyau,Sardine,Bank,Galaxy,Snail,Foudre,Noix,Gold,Speaker,PlayStation,Shell,Tip,Ram
Guess,Entree,Mer,heart,Brush,berry,Dress,,Stamp,s\u00e9rie,Elastic,salade,worm,EAR,stock,Bridge,Zombie,Spear,cookies,Bourse,Metal,Violin,peace,Panda,Coiffe,,whale,boss,knife,Frankreich,morning,summer,Fontaine,chemistry,Rose,Vampire,Couch,Schwanensee,M\u00e9duse,noyau,Can,Bank,galaxy,Snail,Foudre,noix,Gold,speech,Nitendo,Shell,tip,ram
