ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74
Table Number,493087817,492652530,492336626,492327438,492177338,492103050,491996031,491794414,491207686,491879054,491137866,491237606,491259847,490950810,490911758,490751315,490280100,490601549,490501898,490229920,490359670,490171816,489821243,489879311,490098881,489596628,489593998,489534385,489443486,489219154,489036043,489024456,489005659,488975321,488569471,487877056,487861448,486549446,485530531,483967058,484400810,484682575,484435490,484206945,481747388,480638723,479677325,478910455,478658601,475857014,471793759,466086694,466081205,466083684,466084384,465731184,465664137,465664095,465664206,465664286,465668656,465435499,445297184,444471586,426921218,422619886,420552674,417255169,405054016,337346134,336562502,322726720,319065151,317609821
Move,['25'],['18'],['16'],['19'],['18'],['46'],['54'],['45'],['46'],['45'],['54'],['20'],['43'],['39'],['56'],['37'],['37'],['29'],['73'],['93'],['50'],['57'],['26'],['37'],['31'],['72'],['56'],['55'],['70'],['76'],['38'],['38'],['51'],['21'],['74'],['60'],['57'],['104'],['81'],['39'],['29'],['96'],['55'],['57'],['73'],['16'],['82'],['116'],['63'],['10'],['74'],['42'],['48'],['49'],['46'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['47'],['57'],['592'],['614'],['631'],['1628'],['1722'],['4041'],['1679'],['1189'],['404'],['1729']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,Français,English,English,Français,English,Français,Français,English,Deutsch,English,English,English,Français,Français,Français,English,English,English,English,Français,Français,English,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Français,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,English,English,English,Français,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Femur', 'Skeleton', 'Skeleton', 'Femur', 'skeleton']","['A.D.D.1.E.', 'generates', 'car', 'plug', ""Tesla's"", 'fascination']","['Levis', 'Viaduc', 'Millau', 'Aqueduc']","['siblings', 'Gemini', 'sisters', 'duplicate', 'Fraternal', 'identical']","['Ritz', 'Dog', 'buttermilk', 'Gravy', 'Cookie', 'Cookie']","['LuckyLuke', 'Wayne', 'film', 'Spaghetti', 'Eastwood', 'Eastwood']","['Salsa', 'Boogie', 'Foxtrot', 'Tango', 'Tango', 'Foxtrot']","['Torgnolle', 'Tourte', 'Quiche', 'Clafoutis', 'Tatin', 'tatin']","['Tennis', 'Chaise', 'Multiplication', 'Rallonge']","['Never', 'Forgets', 'Trumpet', 'Dumbo', 'gentle', 'pachyderm']","['Nektarine', 'Apfelgross', 'Weinberg', 'Gelbrundfrucht', 'Melba', 'Obst']","['introduce', 'accounted', 'attendance', 'Receive', 'Birthday', 'Birthday']","['Movie', 'Part', 'Stage', 'Props', 'Act', 'Ary']","['blouse', 'closure', 'Benjamin', 'cufflink', 'fastener', 'push']","['Rousse', 'Menton', 'ZZTOP', 'Moustache', 'Poils', 'Hipster']","['Grotte', 'Vin', 'Nick', 'bat', 'Sous-sol', 'Sous-sol']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['Illusionist', 'Tricks', 'performance', 'supernatural', 'Blaine', 'Copperfield']","['Annual', 'Celebration', 'suit', 'Candles', 'party', 'party']","['Vehicle', 'beam', 'Farm', 'beam', 'Beam', 'Farm']","['Alcatraz', 'Building', 'guard', 'crime', 'break', 'sentenced']","['chocolat', 'Raffin\\u00e9', 'bonbon', 'caramel', ""D'orge""]","['Legume', '\\u00c9chalotes', 'Larme', 'Jaune', 'Pleurer', 'Pleurer']","['performance', 'Tour', 'music', 'festival']","['Nickel', 'Currency', 'mint', 'cent', 'insert', 'quarter']","['Homing', 'urban', 'Dove', 'Rat', 'Dove', 'Rat']","['Sorbet', 'Pistache', 'Gel', 'Banquise', 'Miroir', 'miroir']","['Waddle', 'Lips', 'Quack', 'Cover', 'Donald', 'Anaheim']","['Toadstool', 'Enoki', 'mario', 'Sautee', 'topping', 'Topping']","['Amoeba', 'Mobile', 'Prison', 'Mitochondria', 'Mitochondria']","['symbio', 'taronga', 'displayed', 'creatures']","['Cinema', 'drama', 'Shakespeare', 'DunE', 'Play', 'play']","['Bag', 'Bottle', 'Waste', 'Materials', 'Polythene', 'rubber']","['Baking', 'caramel', 'is', 'it']","['Electricity', 'General', 'grinder', 'turbine', 'Wind', 'Factory']","['Anker', 'glied', 'Saw', 'Saw']","['lightning', 'loud', 'Chick', 'Hicks', 'pants', 'rumble']","['Anniversary', 'Tense', 'Gift', 'now', 'cash', 'Here']","['Nektar', 'klebrig', 'Bl\\u00fcten', 'Milch', 'PuderB\\u00e4r']","['R\\u00e9paration', 'Bricolage', 'Tournevis', 'Marteau']","['Qualmen', 'kippe']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Steps', 'Gown', 'Dancing', 'Waltz', 'Fancy', 'Foxtrot']","['sun', 'constellation', 'Movie', 'Astronomy', 'Polaris', 'Asterisk']","['blue', 'passcode', 'Hart', 'Smith']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['sea', 'trade', 'starboard', ""ships'nsailors"", 'au-Prince', 'Royal']","['Haystack', 'Pins', 'thread', 'Thread', 'vaccine', 'Vaccine']","['Newton', 'lab', 'biology', 'biology']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['spicy', 'l\\u00e4nglich', 'rot', 'rot']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['letter', 'Seal', 'stamp', 'Stamp']","['Sofa', 'Potato', 'Big', 'Comfy']","['sporting', 'manchester', 'card', 'suit', 'Card', 'Suit']","['Buffalo', 'Capitol', 'Clinton', 'William', 'Nye', 'Nye']","['Octopedal', 'Small', 'Shelob', 'arachnid']","['Study', 'Otterbox', 'Box', 'enclosure', 'phone']","['contenant', 'Jeroboam', 'Naduchodonozor', 'Biere', 'eau', 'Eau']","['Early', 'Sunrise', 'Am', 'Dawn', 'Glory', 'Wood']","['...tail', 'dwarf', 'my', 'little']","['Soleil', 'Baudouin', 'badouin', 'Oeufs', 'valet', 'Sceptre']"
Mystery Word,Bone,Electricity,Pont,Twins,Biscuit,Western,Dance,Tarte,Table,Elephant,Pfirsich,Present,Scene,Button,Barbe,Cave,Valise,Magician,Birthday,Tractor,Prison,Sucre,Oignon,Concert,Coin,Pigeon,Glace,Duck,Mushroom,Cell,Zoo,Theater,Plastic,Cake,Mill,Chain,Thunder,Present,Honig,Outil,Zigarette,Quarter,Root,Ballroom,Star,Lock,Guard,Port,Needle,Science,Cage,Club,Coin,Bar,Stone,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Chili,Vegetable,Envelope,Couch,Club,Bill,Spider,Case,Bouteille,Morning,Pony,Roi
Guess,Holiday,Spark,Pont,Twins,biscuit,Western,Dance,tarte,Table,Elephant,Pfirsich,present,Actor,Button,Barbe,,valise,Magician,Valentines,,Prison,Confiserie,Onion,Concert,Coin,Pigeon,glace,Duck,Mushroom,Cell,Zoo,Poem,plastic,Tart,Generator,Kette,thunder,present,Honig,Outil,Zigarette,mix,,Ballroom,Star,lock,guard,port,needle,Science,cage,Club,Coin,Bar,Stone,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chilli,Vegetable,envelope,couch,club,Bill,Spider,case,Bouteille,Morning,Pony,Roi
