ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54
Table Number,574697459,574146296,574192244,574001489,573546126,572825597,573133241,572939644,572869084,572978724,572632944,572691346,572496359,572483594,572378958,572183502,571302579,571195661,571529653,571565940,571461893,570662345,570826150,569933167,570327602,570316055,570285812,570414886,570059062,570126068,569521605,568877753,567969300,567247937,567928849,567805289,567606043,567157193,567090385,566409377,564865328,562524435,562133986,561337934,559608546,558785511,557419238,555318049,550187728,521199099,484123113,420552674,363390977,356959263
Move,['17'],['10'],['13'],['13'],['6'],['12'],['22'],['38'],['18'],['29'],['32'],['54'],['38'],['92'],['41'],['50'],['6'],['36'],['57'],['40'],['29'],['55'],['38'],['18'],['81'],['50'],['84'],['111'],['57'],['67'],['33'],['53'],['98'],['82'],['55'],['42'],['58'],['24'],['37'],['47'],['78'],['17'],['11'],['71'],['133'],['84'],['83'],['106'],['277'],['811'],['1435'],['1140'],['2618'],['2245']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Real-time • Normal speed (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,English,Deutsch,Français,Français,English,Deutsch,Français,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,English,English,English,Français,English,Français,English,Français,Français,English,Français,English,Français,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Cocon', 'Insekt', 'raupy', 'Nimmersatt', 'Nimmersatt']","['LED', 'head', 'oil', 'luminant', ""Aladdin's""]","['Oil', 'Clap', 'centre', 'gypsy', 'hand', 'hand']","['Fleeche', 'Koud', 'Jackson', 'Wol', 'kleed', 'warm']","['bent', 'border', 'Scratch', 'Pocket', 'vacuum', ""can't""]","['Church', 'Grave', 'Gated', 'Burial', 'Crypt', 'Place']","['Path', 'Dig', 'Underground', 'Underground']","['Tombe', 'Terre', 'Cercueil', 'Cercueil']","['peal', 'Alexander', 'Ben', 'ring', 'Ringer']","['King', 'Billie', 'Windsor', 'cake', 'Jewels', 'Coronation']","['Crater', 'dig', 'Opening', 'DONUT', 'Donut']","['Silence', 'books', 'Microfiche', 'Alexandria', 'Borrowing', 'Borrow']","['Party', 'beginning', '13th', 'Freaky', 'Calendar', 'fish']","['Suit', 'Clip-on', 'Draw', 'Knot']","['bolt', 'phillips', 'Driver', 'Metal', 'Bolts']","['Eschallot', 'bulb', 'Layers', 'Layers']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Pipeline', 'Poutine', 'butane', 'propane']","['Inspecteur', 'Priv\\u00e9', 'Holmes', 'Enqu\\u00eateur']","['Transport', 'Electric', 'motor', 'mazda', 'Van', 'Toyota']","['Nasereiben', 'Schiff', 'Norden', 'Nordm\\u00e4nner', 'Obelix', 'Helm']","['Chantier', 'Hauteur', 'Levage', 'Geranium']","['Ampere', 'charge', 'Pikachu', 'Sparks', 'Watt', 'zap']","['dead', 'mother', 'Childish', 'embalmed', 'zombie']","['terminal', 'Metro', 'Platform', 'Central']","['Raisiin', 'Pinky', 'Organ', 'Medulla', 'Stem']","['Hungry', 'Scream', 'Jaw', 'talker', 'Oral', 'dat']","['caddy', 'Sport', 'Clubs', 'Greens']","['Crossroad', 'Artritis', 'roundabout', 'matrimonio']","['Steuermann', 'Auto', 'Cockpit', 'Bruch', 'Co']","['Sony', 'Hardware', 'Freizeit', 'Technik', 'Mario', 'Spielen']","['Rolling', 'Weight', 'Masonry', 'Flint', 'Age']","['Dragon', 'Keeper', 'SM', 'BDSM']","['Straw', 'Cap', 'Bowler', 'Bobble', 'Stetson', 'toque']","['Cork', 'loose', 'Insert', 'top']","['Sumatran', 'Orange', 'Feline', 'Carnivore', 'Stripes', 'Stripes']","['single', 'penny', 'eh', '`', 'drawl', 'drawl']","['brain', 'hair', 'kopf', 'Top', 'Yuanling', 'Jinchizhanglao']","['feu', '18', 'borne', 'Uniforme', 'Bal', 'Incendie']","['lather', 'Detergent', 'hand', 'Opera', 'Suds']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Canne', 'Entass\\u00e9s', 'Cuisiner', 'Conserves', 'Poisson', 'Poissons']","['Ar\\u00eates', 'Mammif\\u00e8re', 'Baba', 'Squelette']","['Bellagio', 'spray', 'youth', 'chocolate', 'Soda', 'Bubbler']","['Graines', 'Jaune', 'fleur', '\\u00e9cale', 'professeur', 'Professeur']","['waltz', 'manspreading', 'Conference', 'gown', 'Underwear', 'Auditorium']","['Qui', 'Aimait', 'Double', 'Infiltration', 'Agent', 'Agent']","['Sommeil', 'Matin']","['postmark', 'address', 'letter', 'covering', 'addressed', 'manila']","['attractive', 'leopard', 'Older', 'Woman', 'mountain', 'lion']","['Spiderverse', 'Girasol', 'Seed', 'Moonweed', 'Gogh']","['Protecting', 'Cherbourg', 'Rihanna', 'Academy', 'rihanna', 'Academy']"
Mystery Word,Raupe,Lamp,Palm,Blanket,Corner,Cemetery,Tunnel,Cimeti\u00e8re,Bell,Crown,Hole,Library,Friday,Tie,Screw,Onion,Medicine,Rose,Gaz,D\u00e9tective,Car,Wikinger,Grue,Electricity,Mummy,Station,Brain,Mouth,Golf,Junction,Pilot,PlayStation,Stone,Dungeon,Hat,Screw,Tiger,Accent,Head,Pompier,Soap,Pluie,Galaxy,Sardine,Os,Fountain,Tournesol,Ballroom,Espion,R\u00e9veil,Envelope,Cougar,Sunflower,Umbrella
Guess,Schmetterling,lamp,,Blanket,Corner,Cemetary,,sepulture,bell,,hole,library,Friday,Tie,screw,Onion,Medicine,Rose,gaz,detective,car,Vikinger,grue,Lightning,Mummy,Station,Brain,Mouth,Golf,Ring,Pilot,Game,stone,Train,Hat,,Tiger,Cent,head,Pompier,Soap,pluie,galaxy,Armoires,poisson,fountain,Tournesol,Ballroom,espion,R\u00e9veil,Stamp,Panther,plant,Crusade
