ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85,Scrapnumber86
Table Number,485206219,485960603,485885498,485795559,485571771,485577781,485786319,485458901,485456904,485439810,485318094,485174836,484141066,485097561,483967058,484989975,484861209,484748420,484588472,484679550,484682575,484435490,484524962,484206945,484528897,484320329,483994780,484267829,484158116,484078046,483801692,484101197,483627458,483774430,483588725,483642390,483171105,482593659,482501943,481844555,481680435,481556552,480834703,481646065,481065681,481025697,480718657,480162112,480959759,480770866,480394644,479106712,479553934,479677325,478633691,478910455,478625404,478362907,478154857,478118502,476741983,475857014,475982973,474045761,474111019,473773078,473319518,473890082,471179574,466086694,466081205,466083684,466084384,465621249,465731184,465728930,465664137,465664095,465664206,465664286,465668656,465435499,463714023,451463411,343894377,313533300
Move,['7'],['9'],['8'],['18'],['25'],['26'],['12'],['32'],['38'],['11'],['61'],['20'],['29'],['42'],['11'],['27'],['19'],['19'],['37'],['56'],['96'],['55'],['29'],['29'],['61'],['18'],['16'],['36'],['72'],['44'],['67'],['30'],['29'],['66'],['20'],['49'],['61'],['26'],['32'],['49'],['101'],['74'],['81'],['73'],['83'],['75'],['26'],['13'],['90'],['63'],['62'],['58'],['78'],['82'],['59'],['48'],['61'],['48'],['31'],['94'],['56'],['10'],['97'],['62'],['38'],['265'],['36'],['9'],['75'],['42'],['48'],['49'],['46'],['70'],['38'],['405'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['40'],['2413'],['3690']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,Français,Deutsch,Deutsch,English,English,Français,English,English,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,Deutsch,Français,English,English,Deutsch,English,Français,English,English,English,Français,English,English,English,Deutsch,English,Français,Français,English,Français,English,Français,Français,English,English,English,English,English,Français,English,Français,English,Français,English,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,Deutsch,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite
Clues,"['Jewelry', 'Diamond', 'circus', 'Saturn']","['shock', 'static', 'zap', 'Tesla', 'voltage', 'Voltage']","['Snowy', 'pussycat', 'Barn', 'Hoot', 'Nighthawk']","['Tenue', 'R\\u00e9forme', 'Conformisme', 'Kaki', 'Militaire', 'militaire']","['Wohnort', 'Wasserstelle', 'Gr\\u00fcn', 'Palmen', 'Ruhepol', 'Leben']","['Eurostar', 'Gotthard', 'Unterf\\u00fchrung', 'Gotthardt']","['African', 'Named', 'Twice', 'quinoa', 'Rice', 'rice']","['FLOOD', 'Lightning', 'Camera', 'Superhero', 'superhero']","['Levain', 'brioche', 'Bagnat', 'Raisin', 'chocolatine', 'Tartine']","['Mallard', 'Pond', 'flippers', 'animal']","['Air', 'Muscat', 'Starboard', 'Wine', 'Dock', 'Dock']","['Bum', 'Odor', 'Smell', 'Flatulence', 'Fart', 'Esso']","['ago', 'Museum', 'subject', 'Past', 'Past', 'Past']","['Movie', 'Film', 'Opposite', 'Eastern', 'Cowboy', 'Cowboy']","['Herbe', 'Coupe', 'Pelouse', 'D\\u00e9sherber']","['Halal', 'Carnage', 'Artisanale', 'Sanzot', 'Charcuterie', 'Charcuterie']","['frond', 'Green', 'Autumn', 'Fall', 'Autumn', 'Fall']","['stiletto', 'wrestler', 'Hospital', 'shoe', 'Achilles', 'Achilles\\u2018']","['Fusil', 'Canon', 'Citoyens', 'L\\u00e9tale', 'munition', 'Munition']","['ribs', 'oink', 'Babe', 'Peppa', 'swine', 'Swine']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Sea', 'Himalayan', 'himalaya', 'crystal', 'Seasoning', 'Seasoning']","['Lawn', 'lucky', 'Honey', 'Irish', 'Green', 'Green']","['Mundgeruch', 'Blutsaugerabwehr', 'Stinkt', 'Vampire']","['hygi\\u00e8nique', 'd\\u00e9barbouillette', 'Hygi\\u00e9nique', 'Peignoir', 'Always', 'S\\u00e8che']","['Kem\\u00e9ny', 'Feh\\u00e9r', 'Halott', 'Sirhely']","['Wellington', 'Moo', 'Brisket', 'Veal', 'Cow', 'Chuck']","['Zuckerberg', 'Like', 'Internet', 'Meta', 'blau']","['Mayfield', 'dozen', 'Sweets', 'Breadmaker', 'pastries', 'pastries']","['Pain', 'farine', 'inde', 'C\\u00e9r\\u00e9ale', 'Argent', 'Cereale']","['mafia', 'honcho', 'CEO', 'President', 'Undercover', 'Baby']","['Gale', 'Mistral', 'breeze', 'blowing']","['processed', 'Valentine', 'dessert', '214', 'cacao', 'cacao']","['Star', 'Acad\\u00e9mie', 'Feuille', 'Ciseau']","['security', 'bartender', 'birthday', 'credit']","['Surfing', 'Hokusai', 'Goodbye', 'Crest']","['Large', 'Squid', 'Tentacled', 'Creature']","['Spezialpizza', 'Katze', 'Idefix', 'Nordsee', 'Dosenfisch', 'Fisch']","['Orbit', 'Burn', 'Ray', 'Capri', 'Celestial']","['M\\u00e9t\\u00e9o', 'Foudre', 'Tonnerre', 'Grondement', 'Odesespoir', 'Eclairs']","['brocolis', 'Handicap\\u00e9', 'vegan', 'Poivron', 'Aubergine']","['Javelin', 'Weapon', 'asparagus', 'Weapon', 'Asparagus']","['Urne', 'Cristal', 'Ming', 'Boue', 'Boue', 'Boue']","['Alphabet', 'Love', 'Stamp', 'envelope', 'Lowercase']","['Pacifique', 'Eau', 'Indien', 'Indien', 'indien', 'Indien']","['v\\u00eatement', 'infirmi\\u00e8re', 'scolaire', 'pingouin']","['Articles', 'Headlines', 'Print', 'Times', 'Constitution', 'Ajc']","['Offspring', 'Brussel', 'seedling', 'salmonella', 'Germination', 'Germinate']","['Silence', 'Encyclopedy', 'Presidential', 'Card-catalog', 'Tensorflow', 'Membership']","['Hump', 'Toe', 'Desert', 'Humps', 'Desert', 'Humps']","['Topographic', 'lagoon', 'cavern', 'Cavern']","['Fruit', 'bleuet', 'geni\\u00e8vre', 'Anges', 'Casseau', 'Hudson']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Chantons', 'Averse']","['IO', 'cute', 'Mema', 'Knitted', 'slither', 'slither']","['Bulbe', 'Gousse', 'Idiot', 'contre', 'Vampire', 'vampire']","['Beatles', 'Garden', 'sea', 'animal', 'Aquatic', 'Eight']","['Mexico', 'Protection', 'speedygonzales', 'pepito']","['Shampoo', 'Musical', 'Brush', 'grease', 'spray', 'Curly']","['Steve', 'Mad', 'Bunson', 'Burner']","['Newton', 'lab', 'biology', 'biology']","['Cavern', 'Stalactites', 'Bats', 'Troll', 'troll']","['Gas', 'vesm\\u00edrna', 'Railway', '\\u017eelezni\\u010dn\\u00e1']","['Church', 'Doom', 'Worship', 'Building']","['Roger', 'hat', 'Furry', 'carrot', 'White', 'fluffy']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['viral', 'Forehead', 'Chills', 'Pitch', 'baby']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Skillet', 'Neverland', 'Peter', 'Flute', 'Flute']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['Everest', 'Matterhorn', 'Climb', 'Every']","['Pasta', 'Udon', 'tagliatelle', 'brain', 'soba', 'pool']"
Mystery Word,Ring,Electricity,Owl,Uniforme,Oase,Tunnel,Couscous,Flash,Pain,Duck,Port,Gas,History,Western,Tondeuse,Boucherie,Leaf,Heel,Arme,Pig,Quarter,Root,Salt,Clover,Knoblauch,Serviette,Bone,Beef,Facebook,Baker,Bl\u00e9,Boss,Wind,Chocolate,Pierre,Card,Wave,Octopus,Sardine,Sun,Orage,L\u00e9gume,Spear,Vase,Letter,Oc\u00e9an,Uniforme,Newspaper,Sprout,Library,Camel,Grotto,Baie,Guard,Pluie,Snake,Ail,Octopus,Sombrero,Hair,Science,Science,Cave,Station,Temple,Rabbit,Puder,Dress,Fever,Club,Coin,Bar,Stone,Patron,Birthday,Pan,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Ninja,Mountain,Noodle
Guess,Ring,electricity,owl,Arm\u00e9e,Oase,Tunnel,Rice,Flash,pain,Duck,Port,gas,history,western,Tondre,Boucherie,,Heel,Arme,pig,mix,,Salt,clover,Knoblauch,Serviette,Tombstone,steak,Facebook,Baker,Bl\u00e9,Boss,Wind,chocolate,pierre,Card,wave,Octopus,Thunfisch,Sun,Orage,L\u00e9gume,,Vase,Letter,Oc\u00e9an,uniforme,Newspaper,Sprouts,Election,Corn,Caldera,Baie,guard,Pluie,snake,Ail,Octopus,Sombrero,hair,Scientist,Science,Cave,Station,Cathedral,rabbit,Russ,,Fever,Club,Coin,Bar,Stone,Coin,Birthday,Pan,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,,Mountain,noodle
