ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65
Table Number,596877131,597149314,596300652,596752478,596199709,595801990,595902710,595819539,595639777,595688088,595220862,595155986,594316217,594963593,594831974,594911349,594742107,594702668,593505125,594546031,594432894,594520795,594532216,594450966,594204059,593868255,593222093,592616952,590878816,590312067,590706170,590604519,589848410,590226956,589741275,589780936,589038539,588906643,588808188,588217302,588131818,585953739,585236668,585819367,585819657,581767722,577852826,577180892,576762350,576415268,575798268,571815545,563368518,560134917,546728758,536949914,528022855,522327882,517125895,517095134,489194416,381826421,374138794,356959263,336562502
Move,['7'],['9'],['11'],['20'],['25'],['38'],['18'],['12'],['13'],['10'],['68'],['24'],['25'],['66'],['83'],['59'],['28'],['23'],['28'],['28'],['37'],['46'],['84'],['29'],['35'],['36'],['66'],['59'],['40'],['67'],['50'],['17'],['43'],['54'],['50'],['47'],['73'],['91'],['69'],['112'],['97'],['50'],['75'],['38'],['42'],['9'],['50'],['91'],['26'],['101'],['65'],['90'],['187'],['489'],['650'],['202'],['405'],['1063'],['533'],['907'],['1456'],['1129'],['2472'],['2404'],['2452']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Friendly mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,Français,Deutsch,English,English,English,English,Français,English,English,English,English,English,Français,English,Deutsch,English,English,Français,English,English,English,Français,English,English,English,Deutsch,English,Deutsch,Français,English,English,English,Français,Deutsch,English,English,English,English,Deutsch,English,English,English,English,Français,Français,English,English,English,English,Français,English,English,English,Français,Français,English,Français,Français,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['SUGAR', 'Halloween', 'Sweets', 'Sweets']","['Girlfriend', 'Condor', 'Swan', 'Oriole', 'Early', 'ravenkeeper']","['london', 'train', 'underground', 'underground']","['Tatouage', 'Marin', 'Amarre', 'Bateau']","['Theaterspa\\u00df', 'Lustspiel', 'lachen', 'Kino', 'Liebe', 'Film']","['Sahara', 'Israel', 'Sandy', 'Mirage', 'Mirage', 'Mirage']","['Wyrm', 'Flying', 'Puff', 'Knight', 'Smaug', 'Smaug']","['Fifth', 'Week', 'The', '13th', 'End', 'Last']","['Lock', 'Ring', 'west', 'largo', 'skeleton', 'opener']","['gariguettes', 'fruit', 'Rouge', 'Confiture']","['Gringotts', 'Save', 'PNC', 'account', 'Holiday', 'credit']","['Weekend', 'Vlad', 'Twilight', 'Bloodsucking', 'Nosferatu', 'Nosferatu']","['Hen', 'Soup', 'cluck', 'afraid', 'Fried', 'Fried']","['flea', ""Farmer's"", 'place', 'Store', 'Stands', 'Agora']","['Plane', 'Maverick', 'Pontious', 'Episode', 'airplane', 'Flies']","['M\\u00e9moire', 'Bain', 'Nespresso', 'Nombril', 'Nombril']","['Skin', 'Tribal', 'prisoner', 'permanent', 'Ink', 'Ink']","['Rapunzel', 'Schach', 'Schach', 'Rapunzel', 'Rapunzel']","['gas', 'inflate', 'proton', 'iron', 'class', 'Breastfeeding']","['Ken', 'Barbie', 'Dame', 'Voodoo']","['Wayne', 'Indiens', 'ClintEstwood', 'Truand']","['Fan', 'Rotation', 'Creamer', 'Environmental', 'gyrate', 'Generator']","['Curry', 'Sage', 'Old', 'Arrakis', 'life', 'Paprika']","['climbing', 'Climb', 'rung', 'Rungs', 'top', 'Steps']","['M\\u00e9canisme', 'Rouage', 'M\\u00e9canique', 'Industrie']","['Flatulence', 'Station', 'fart', 'natural', 'hydrogen', 'Matter']","['Allurement', 'infatuation', 'sight', 'Romantic', 'Fatal', 'force']","['muscat', 'fruit', 'green', 'red', 'Raisins', 'Vineyard']","['Kohlwei\\u00dfling', 'Falter', 'raupe', 'Schwalbenschwanz', 'Schwalbenschwanz']","['White', 'rain', 'vapour', 'copilot', 'Fluffy', 'fluffy']","['Blondiert', 'Gebleicht', 'carambakaracho', 'Alt', 'Junge']","['Prison', 'Animal', 'Oiseau', 'Oiseau']","['Red', 'Medicine', 'Sundae', 'Garnish', 'Bounce', 'Vodka']","['Video', 'Lens', 'Device', 'Cannon', 'photograph', 'gopro']","['Coffee', 'Cocoa', 'Ceramic', 'Ceramic']","['Magasin', 'Cher', 'Citi', 'Rompoyn']","['John', 'K\\u00e4mpfer', 'Actionfilmreihe', 'Stallone', 'Schweineh\\u00e4lfte', 'Oldie']","['12', 'Christmas', 'Sagittarius', 'Month', 'Twelfth', 'today']","['Holed', 'Italy', 'postman', 'Squab', 'dove', 'dove']","['Alloy', 'Megadeth', 'conductivity', 'ore', 'material', 'Aluminum']","['Oil', 'vehicle', 'oik', 'Engine', 'Engine']","['Praxis', 'Krank', 'Arzt', 'Krankenhaus', 'Dolitlle', 'Fisch']","['midwife', 'wish', 'Increment', 'Happy...']","['shamrock', 'leaf', 'four', 'four']","['rhinos', 'contempt', 'chord', 'power']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Cochon', 'Th\\u00e9', 'Abri', 'Maison', 'Bateaux', 'Bateau']","['tuichi', 'George', 'Liane', 'Mowgli']","['kleenex', 'Therapist', 'Soft', 'Mucus', 'Skin', 'Apchi']","['sacred', 'Music', 'musicians', 'aid', 'camp', 'Camp']","['Floss', 'Tales', 'Pixie', 'Godmother']","['Prick', 'Wasp', 'bee', 'Mosquito']","['biblio', 'grimoire', '16', 'onces']","['Pepper', 'Summer', 'Series', 'Autumn']","['Loving', 'Spring', 'Vacation', 'Scott', 'Olaf', 'Season']","['Hoist', 'Tower', 'Bird', 'tall', 'Construction', 'construction']","['Chat', 'Schrodinger', 'Pandore', 'Lunch']","['babouin', 'Macaque', 'savane', 'Orang-outang', 'miguel', 'bonobo']","['Lava', 'Kerosene', 'Tiffany', 'Lightbulb', 'Shade', 'Shade']","['Nuisible', 'tristesse', 'Insecte', 'insecte']","['et', 'mat', 'et', 'mat']","['night', 'bulb', 'feather', 'Day']","['dracula', 'blood', 'teeth', 'bite']","['Green', 'quiet', 'lilly', 'hippie', 'Dove', 'Dove']","['entreprise', 'Couture', 'mod\\u00e8le', 'bistro', 'chef', 'Chef']"
Mystery Word,Candy,Bird,Metro,Ancre,Kom\u00f6die,Desert,Dragon,Friday,Key,Fraise,Bank,Vampire,Chicken,Market,Pilot,Mousse,Tattoo,Turm,Pump,Doll,Western,Turbine,Spice,Ladder,Machine,Gas,Attraction,Grape,Schmetterling,Cloud,Heino,Cage,Cherry,Camera,Mug,Carrefour,Rambo,December,Pigeon,Metal,Motor,Doktor,Birthday,Clover,Charge,Medal,Port,Jungle,Tissue,Band,Fairy,Sting,Livre,Season,Summer,Crane,Bo\u00eete,Singe,Lamp,Cafard,\u00c9chec,Light,Vampire,Peace,Patron
Guess,Candy,bird,Subway,Ancre,Kom\u00f6die,desert,Dragon,Friday,Key,Fraise,Bank,Vampire,Chicken,market,pilot,Mousse,Tattoo,,,Doll,Cowboy,windmill,Spice,Mountain,roulement,Gas,attraction,wine,Schmetterling,Cloud,Heino,cage,Cherry,Camera,Drink,Carrefou,Rambo,December,Pigeon,Metal,Engine,Doktor,Birthday,clover,poacher,medal,cabane,Jungle,Tissue,Band,fairy,Sting,Livre,Season,Summer,Crane,boite,Singe,Lamp,Emotion,,light,vampire,Peace,Patron
