ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81
Table Number,485206219,485796025,485885498,485571771,485798012,485458901,484865890,485362011,484606827,485318094,485174836,483967058,484233694,485012503,484964101,484814911,484748420,484233426,484682575,484435490,484524962,484206945,484351909,484320329,484065329,484101197,483627458,483512409,483714023,483588725,483717581,482558443,482501943,482219118,481827880,481680435,481556552,481625206,481646065,481025697,480718657,480162112,480959759,480601865,480770866,480394644,479553934,479677325,479396884,478625404,478118502,477238788,476741983,475857014,475982973,474943349,474045761,474111019,473319518,473890082,471179574,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,451463411,443775902,402108912,346689693,343894377,328236739,313533300
Move,['7'],['7'],['8'],['19'],['9'],['32'],['14'],['28'],['10'],['61'],['20'],['11'],['36'],['18'],['37'],['18'],['19'],['84'],['96'],['55'],['29'],['29'],['40'],['18'],['35'],['30'],['29'],['92'],['56'],['20'],['44'],['55'],['32'],['87'],['92'],['101'],['74'],['87'],['73'],['75'],['26'],['13'],['90'],['72'],['63'],['62'],['78'],['82'],['60'],['61'],['94'],['53'],['56'],['10'],['97'],['72'],['62'],['38'],['36'],['9'],['75'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['40'],['1496'],['1217'],['2735'],['2413'],['3429'],['3690']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,Français,English,Deutsch,English,English,Français,Deutsch,Deutsch,English,English,Français,English,Français,Français,Français,English,English,English,English,English,English,Français,Français,English,English,English,Deutsch,Deutsch,Français,English,English,Deutsch,English,English,Français,Français,English,Français,Français,Français,English,English,English,English,English,Français,English,English,Français,English,Deutsch,English,English,English,Deutsch,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,Français,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Jewelry', 'Diamond', 'circus', 'Saturn']","['Bergerac', 'perc\\u00e9s', 'Narines', 'P\\u00e9ninsule']","['Snowy', 'pussycat', 'Barn', 'Hoot', 'Nighthawk']","['Saloon', 'Eastwood', 'Pr\\u00e4rie', 'Genre', 'Tombstone', 'Winchester']","['ax', 'dagger', 'MP5', 'Missiles', 'Bullets', 'Gun']","['FLOOD', 'Lightning', 'Camera', 'Superhero', 'superhero']","['bijoux', 'roi', 'St\\u00e9phane', 'Diad\\u00e8me']","['Augsburg', 'Fremdgesteuert', 'Fadenpuppe', 'F\\u00e4den']","['Wunderknabe', 'Nachtmusik', 'Schokokugeln', 'Salzburgs']","['Air', 'Muscat', 'Starboard', 'Wine', 'Dock', 'Dock']","['Bum', 'Odor', 'Smell', 'Flatulence', 'Fart', 'Esso']","['Herbe', 'Coupe', 'Pelouse', 'D\\u00e9sherber']","['Singular', 'moth', 'Calgary', 'Eternal', 'torch', 'pointy']","['Carquois', 'Tell', 'Direction', 'Arc', 'Arc', 'Arc']","[""D'"", 'Air', 'Souffler', 'BD', 'Savon', 'Savon']","['Grisou', 'Charbon', 'Corons', 'Charbonnier', 'min\\u00e9raux', 'terril']","['stiletto', 'wrestler', 'Hospital', 'shoe', 'Achilles', 'Achilles\\u2018']","['Courage', 'heart', 'wardrobe', 'Share', 'Aslan', 'Pride']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Sea', 'Himalayan', 'himalaya', 'crystal', 'Seasoning', 'Seasoning']","['Lawn', 'lucky', 'Honey', 'Irish', 'Green', 'Green']","['California', 'Booking', 'Eagles', 'B\\u00e2timent', 'b\\u00e2timent']","['hygi\\u00e8nique', 'd\\u00e9barbouillette', 'Hygi\\u00e9nique', 'Peignoir', 'Always', 'S\\u00e8che']","['Stop', 'Dot', 'Punctuation', 'Menstruation']","['mafia', 'honcho', 'CEO', 'President', 'Undercover', 'Baby']","['Gale', 'Mistral', 'breeze', 'blowing']","['Isso', 'Normalit\\u00e4t', 'Tampon', 'Gebot', 'Vorschrift', 'Gesetz']","['Personentransport', 'Gelb', 'Fahrer', 'Droschke', 'Auto', 'Flughafentransfer']","['Star', 'Acad\\u00e9mie', 'Feuille', 'Ciseau']","['Ginger', 'Mammal', 'red', 'canine', 'Dingdingdingdingdingdingding', 'Wowpowpowpowpowpowpow']","['Animal', 'Horse', 'Horn', 'Cartoon']","['Spezialpizza', 'Katze', 'Idefix', 'Nordsee', 'Dosenfisch', 'Fisch']","['Miamia', 'Flipper', 'Mammals', 'Surfing', 'mammal', 'Mammal']","['Mischievous', 'Tinkerbell', 'Cottingley', 'Pixie', 'Godmother', 'godmother']","['M\\u00e9t\\u00e9o', 'Foudre', 'Tonnerre', 'Grondement', 'Odesespoir', 'Eclairs']","['brocolis', 'Handicap\\u00e9', 'vegan', 'Poivron', 'Aubergine']","['croupier', 'Royale', 'gambling', 'Monaco', 'Supermarket', 'baccarat']","['Urne', 'Cristal', 'Ming', 'Boue', 'Boue', 'Boue']","['Pacifique', 'Eau', 'Indien', 'Indien', 'indien', 'Indien']","['v\\u00eatement', 'infirmi\\u00e8re', 'scolaire', 'pingouin']","['Articles', 'Headlines', 'Print', 'Times', 'Constitution', 'Ajc']","['Offspring', 'Brussel', 'seedling', 'salmonella', 'Germination', 'Germinate']","['Nocturnal', 'blue', 'Waning', 'Beam', 'lunar', 'Io']","['Silence', 'Encyclopedy', 'Presidential', 'Card-catalog', 'Tensorflow', 'Membership']","['Hump', 'Toe', 'Desert', 'Humps', 'Desert', 'Humps']","['Fruit', 'bleuet', 'geni\\u00e8vre', 'Anges', 'Casseau', 'Hudson']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Power', 'Gobi', 'cactus', 'Camel']","['Bulbe', 'Gousse', 'Idiot', 'contre', 'Vampire', 'vampire']","['Shampoo', 'Musical', 'Brush', 'grease', 'spray', 'Curly']","['5', 'Giraffe', 'Autotour', 'Big5']","['Steve', 'Mad', 'Bunson', 'Burner']","['Newton', 'lab', 'biology', 'biology']","['Cavern', 'Stalactites', 'Bats', 'Troll', 'troll']","['Ruckedigu', 'Aschenputtel', 'Stieftochter', 'Bibidibabedibuuu', 'Goldener-Schuh']","['Gas', 'vesm\\u00edrna', 'Railway', '\\u017eelezni\\u010dn\\u00e1']","['Church', 'Doom', 'Worship', 'Building']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['viral', 'Forehead', 'Chills', 'Pitch', 'baby']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['Saison', 'Plage', '21', 'Juin']","['Girls', 'Chili', 'Old', 'nutmeg', 'Arrakis', 'Arrakis']","['de-bananes', 'des-retraites', 'weight-watchers', 'alimentaire']","['Everest', 'Matterhorn', 'Climb', 'Every']","['CR2032', 'energy', 'Lithium', 'charger', 'Charge']","['Pasta', 'Udon', 'tagliatelle', 'brain', 'soba', 'pool']"
Mystery Word,Ring,Nez,Owl,Western,Weapon,Flash,Couronne,Marionette,Mozart,Port,Gas,Tondeuse,Flame,Fl\u00e8che,Bulle,Mineur,Heel,Lion,Quarter,Root,Salt,Clover,H\u00f4tel,Serviette,Period,Boss,Wind,Regel,Taxi,Pierre,Fox,Unicorn,Sardine,Dolphin,Fairy,Orage,L\u00e9gume,Casino,Vase,Oc\u00e9an,Uniforme,Newspaper,Sprout,Moon,Library,Camel,Baie,Guard,Desert,Ail,Hair,Safari,Science,Science,Cave,Cinderella,Station,Temple,Puder,Dress,Fever,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Ninja,\u00c9t\u00e9,Spice,R\u00e9gime,Mountain,Battery,Noodle
Guess,Ring,Nez,owl,Western,weapon,Flash,couronne,Marionette,Mozart,Port,gas,Tondre,Flame,Fl\u00e8che,Bulle,Gaz,Heel,Lion,mix,,Salt,clover,Hotel,Serviette,period,Boss,Wind,Regel,Taxi,pierre,Fox,Unicorn,Thunfisch,dolphin,Fairy,Orage,L\u00e9gume,Casino,Vase,Oc\u00e9an,uniforme,Newspaper,Sprouts,Moon,Election,Corn,Baie,guard,Desert,Ail,hair,Madagaskar,Scientist,Science,Cave,Taube,Station,Cathedral,Russ,,Fever,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,,\u00c9t\u00e9,Spice,R\u00e9gime,Mountain,Battery,noodle
