ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62
Table Number,461717496,461709227,461169772,461120814,460990748,460920121,460791698,460788703,460435146,460397321,460233950,459932702,459935640,459860093,459747297,459737750,459690704,459470730,459349513,458993678,458931484,458856141,458716764,458613772,458603611,458069807,457899899,457749670,457623598,457180704,457134947,457036000,456881453,456727197,456630520,456558968,456487286,456222316,456191515,456126993,455330446,455143990,455042660,454586755,454552328,453839362,451721423,450259336,448202573,446514318,446155644,441488112,431028877,427449286,405054016,381826421,357001162,356959263,348838927,341401520,317609821,314360735
Move,['37'],['31'],['12'],['7'],['26'],['20'],['34'],['28'],['18'],['16'],['39'],['59'],['57'],['36'],['57'],['31'],['16'],['6'],['12'],['25'],['58'],['58'],['18'],['67'],['15'],['35'],['65'],['37'],['48'],['88'],['46'],['19'],['111'],['36'],['21'],['101'],['78'],['101'],['46'],['68'],['56'],['45'],['57'],['11'],['100'],['82'],['107'],['66'],['40'],['20'],['36'],['102'],['441'],['69'],['1122'],['601'],['1799'],['1212'],['1403'],['2351'],['1498'],['2822']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,Français,Français,Français,Français,Français,Français,English,Deutsch,English,Français,Français,Français,English,Français,Français,English,English,English,English,English,English,Deutsch,English,English,Français,Deutsch,English,Deutsch,English,English,Français,English,Français,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,Français,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Cuckoo', 'Grandfather', 'time', 'hour']","['figure', 'Blading', 'ice', 'roller']","['Animal', 'Pince', 'Venimeux', 'Arthropodes', 'Astrologie', 'Novembre']","['Nil', 'souverain', 'jeu', 'Roi']","['Math\\u00e9matique', 'Bistouri', 'multiplication', 'soustraction']","['Bible', 'Exp\\u00e9die', 'Lecture', 'Bouquin', 'Sterling', 'Sterling']","['HP', 'Calculateur', 'Dell', '\\u00e9cran', 'Technologie']","['Antenne', 'Peigne', 'Pelle', 'Pelle', 'Feuilles', 'Feuille']","['hand', 'frond', 'Buddha', 'nipa', 'olive', 'tropical']","['Schachfigur', 'Paris', 'Rapunzel', 'Rapunzel']","['Gratuity', 'Clue', 'spill', 'knockover', 'Server', 'Server']","['Mickey', 'Gus', 'musaraigne', 'Clic', 'Rat', 'Rat']","['oiseau', 'nocturne', 'Sympathique', 'Hulotte']","['Patchwork', '\\u00c9dredon', 'Plaid', 'Plaid', 'Couette', 'Couette']","['candy', 'walking', 'candy', 'walking']","['Lu', 'sabl\\u00e9', 'sec', 'lait', 'Gateau', 'gateau']","[""D'escampette"", 'Sucre', 'pistolet', 'farine']","['Week', 'Game', 'Worlds', 'Death', 'Aftiteling', 'Afgrond']","['Leo', 'Mufasa', 'africa', 'cat', 'Witch', 'Wardrobe']","['Scissors', 'Pants', 'Duo', 'twins']","['snack', 'allergies']","['girder', 'joist', 'Balance', 'Wood']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Kassette', 'Aufnahmeger\\u00e4t', 'VHS', 'VHS']","['Parrot', 'Pugwash', 'Rum', 'Bluebeard']","['tots', 'Taters', ""McDonald's"", 'Side']","['Swing', 'Green', '18', 'Mini', 'Persique', 'Persique']","['Asthma', 'Schlager', 'ersticken', 'HeleneFischer', 'HeleneFischer', 'Ersticken']","['oil', 'Vincent', 'Star', 'Plant', 'tall', 'seeds']","['Macron', 'Leiter', 'Roosevelt', 'Mr.', 'General', 'Washington']","['blowup', 'figureine', 'Raggedy', 'House', 'porcelain', 'Porcelain']","['Fore', 'par', 'Mini', 'Fairway', 'Wii', 'Mickelson']","['Soupirs', 'Rivi\\u00e8re', 'Suspendu', ""D'avignon"", 'Avignon', 'Avignon']","['Filming', ""Photographer's"", 'Nikon', 'shoot']","['Th\\u00e9\\u00e2tre', 'dollar', 'Sdb']","['fertile', 'Palmy', 'wonderwall', 'britpop', 'Gallagher', 'Mirage']","['below', 'fingers', 'reader', 'psychic', 'Hand', 'Tree']","['Plyometrics', 'Long', 'VanHalen', 'Trampoline', 'high', 'High']","['sugar', 'springs', 'Olive', 'Frond', 'reader', 'Reading']","['light', 'Hope', 'Gondor', 'Signal', 'lighthouse', 'lighthouse']","['Swatter', 'Plane', 'teetse', 'gnat', 'Soar', 'Pegasus']","['Caverne', 'Lascaut']","['Condiment', 'Amora', 'Mayonnaise', 'jaune', 'savora', 'Dijon']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Alone', 'loner', 'Solo', 'Recluse', 'Crab', 'Crab']","['Relics', 'building', 'Artifacts']","['\\u305b\\u3093\\u304b\\u3093', '\\u305b\\u3093\\u3057\\u3083', '\\u30e1\\u30fc\\u30ab\\u30fc', '\\u30ec\\u30f3\\u30ba\\u30e1\\u30fc\\u30ab\\u30fc']","['Shear', 'Cashmere', 'warm', 'Marino', 'sheep', 'Sheep']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Electrical', 'Tesla', 'Life', 'AAA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['storage', 'living', 'bed', 'spare', 'Retreat', 'Hotel']","['Cardamom', 'Saffron', 'Old', 'Girls', 'herb', 'flavoring']","['sleepover', 'Hilton', 'vacation', 'Vacation']","['Gang', 'bicycle', 'Reaction', 'links']","['Up', 'prison', 'pad', 'down', 'Smith', 'smith']","['cluster', 'Universe', 'chocolate', 'Samsung', 'spiral', 'spiral']","['Porte', 'Abba', '\\u00c9change', 'Deutschemark', 'Pi\\u00e9cettes', 'Funny']","['Lukewarm', 'Disappointing', 'England', 'Spring', 'Bubble', 'Tub']","['Cigarillos', 'Blague', 'sco', 'cigare', 'passer', 'Marlboro']","['Pirates', 'Drink', 'Alcohol', 'Bacardi', 'captain', 'jack']"
Mystery Word,Clock,Skate,Scorpion,Pharaon,Op\u00e9ration,Livre,Ordinateur,R\u00e2teau,Palm,Turm,Tip,Souris,Chouette,Couverture,Cane,Biscuit,Poudre,End,Lion,Pair,Peanut,Beam,Pearl,Rekorder,Pirate,Fries,Golf,Atemlos,Sunflower,Pr\u00e4sident,Doll,Golf,Pont,Camera,Pi\u00e8ce,Oasis,Palm,Jump,Palm,Beacon,Fly,Grotte,Moutarde,Crescent,Hermit,Museum,Cannon,Wool,Grape,Meerjungfrau,Battery,Anchor,Room,Spice,Hotel,Chain,Lock,Galaxy,Monnaie,Bath,Tabac,Rum
Guess,Clock,skating,scorpion,Pharaon,Op\u00e9ration,Livre,Ordinateur,,palm,Turm,Tip,souris,Hibou,couverture,Vodka,Ptitbeurre,Poudre,End,lion,Pair,peanut,beam,mussel,Rekorder,pirate,Fries,Golf,Atemlos,Sunflower,Pr\u00e4sident,Doll,Golf,Pont,Camera,,oasis,Palm,Jump,,Beacon,Fly,Grotte,Moutarde,Crescent,Introvert,,Cannon,wool,,Meerjungfrau,Battery,,room,Spice,Hotel,Chain,Jumpsuit,galaxy,Money,Bath,Tabac,Rum
