ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70
Table Number,478659392,478422662,478235572,478046635,478045007,477985503,478016852,477872726,477823291,477873715,477538017,477431939,477362659,476926184,476399588,476991567,476707108,476458559,476450279,476589521,476603957,476528287,476432181,475857014,476290316,475651136,475958414,475880258,475763612,475593224,475454611,475482051,475008692,474277157,474331197,474354037,474154420,473319518,473890082,473559102,472597677,472263103,472062316,471605757,470484755,470271899,469785842,468164131,468905512,465621249,465730615,465668036,465668546,464921867,463714023,459279309,457064795,451463411,443775902,431028987,426921218,396307534,387173467,381826421,381777020,366888891,348302073,344838144,338553253,319065151
Move,['91'],['5'],['7'],['9'],['7'],['9'],['59'],['28'],['18'],['71'],['59'],['19'],['11'],['45'],['41'],['25'],['42'],['34'],['37'],['36'],['86'],['33'],['37'],['5'],['55'],['46'],['16'],['29'],['16'],['63'],['70'],['91'],['52'],['41'],['12'],['48'],['63'],['36'],['9'],['110'],['50'],['88'],['84'],['66'],['64'],['47'],['69'],['22'],['90'],['70'],['27'],['32'],['33'],['35'],['57'],['40'],['36'],['40'],['1345'],['670'],['486'],['437'],['1224'],['701'],['1089'],['1187'],['2394'],['1486'],['1689'],['372']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Real-time • Normal speed (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only
Language,English,English,English,English,English,English,English,English,Français,English,Deutsch,English,English,Français,English,English,Français,English,Français,English,English,English,English,English,English,Deutsch,English,English,Français,English,English,English,Français,Français,English,Français,Français,Deutsch,English,Français,Français,English,Français,English,English,English,English,English,English,Français,English,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Quest', 'automobile', 'Andromeda', 'Andromeda']","['....erBoy', ""....er'sTan"", 'Dairy', 'Ant']","['Apple', 'Cake', 'crust', 'Pootang']","['trunks', 'Cozzie', 'Clothing', 'Edition', 'Speedo', 'Speedo']","['C4', 'Fuse', 'Atomic', 'detonate']","['Fish', 'boarding', 'Pupil', 'pupils', 'Startblok', 'college']","['Felkapaszkodik', 'fal', 'k\\u00f6t\\u00e9l', 'K\\u00faszik', 'hegyek', 'Hegy']","['stripes', 'Woods', 'Eye', 'Siberian']","['boulot', 'Coucher', 'Alarme', 'sonnerie', 'Dring', 'Driiiiiiing']","['Fuji', 'peak', 'Twin', 'volcano', 'Goat', 'himalaya']","['Mufasa', 'Thron', 'Heinrich', 'Lear', 'm\\u00e4nnlich', 'Schach']","['Illusion', 'hat', 'Penn', 'Teller', 'Orlando', 'cover-up']","['Book', 'Inch', 'Crawls', 'Dirt']","['Ogier', 'Plongeur', 'Souffle', 'Savon', 'savon', 'Savon']","['Rim', 'mill', 'Steering', 'Cylindrical', 'cheese']","['small', 'seedling', 'Brussels', 'vegetable']","['Chant', 'cALLIOPE', 'Pompiers', 'Ariel']","['Buket', 'Flowers', 'Pottery', 'potte', 'blomsterbeholder']","['Oxyg\\u00e8ne', 'Explosion', 'Lacrymog\\u00e8ne', 'Lacrymog\\u00e8ne', 'Pet', 'pet']","['wicked', 'Familiar', 'magic', 'Hazel', 'Salem', 'Salem']","['Coin', 'JungSun', 'Sabuk-eup', 'lasvegas', 'Vegas', 'Poker']","['Charger', 'Waihi', 'plus', 'minus', 'power', 'storage']","['Safari', 'Menagerie', 'Enclosures', 'chester', 'Enclosure', 'enclosure']","['Cranium', 'Safety', 'protection', 'skull']","['Who', 'Nurse', 'Pepper', 'Physician', 'Prescription', 'Wait']","['F\\u00fcllung', 'R\\u00fcckenlage', 'Bohren', 'Panik', 'Karius', 'Lachgas']","['Conjuction', 'Railroad', 'Joined', 'Conjunction', 'Trains']","['Laundry', 'suds', 'Dirty', 'Dish']","['Sp\\u00e9l\\u00e9ologie', 'Tani\\u00e8re', 'Lascaux', 'Cave']","['Thunderstorm', 'Zap', 'McQueen', 'Strikes', 'Bolt', 'Bolt']","['Chicken', 'mallard', 'Pond', 'swan', 'Donald']","['Reptile', 'Australia', 'Prehistoric', 'Alligator', 'Aligator', 'alligator']","['Pain', 'Roulette', 'Voile', 'D\\u00e9couper']","['Prince', 'F\\u00e9minin', 'Roi', 'Fille']","['Nuclear', 'Infestation', 'Bug', 'Bug', 'infestation', 'bug']","['Daffy', 'Riri', 'Magret', 'Cancane']","['Astre', 'croissant', 'satellite', 'Pleine', 'Pleine', 'Satelite']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Ha\\u00efti', 'Entre-deux', 'Putr\\u00e9fi\\u00e9', 'Daryl', 'Cranberries']","['Feu', 'Rouge', 'Lucifer', 'chariot', 'Enfer', 'Enfer']","['Pelosi', 'Talker', 'announcer', 'Amp', 'tweeter']","['croissant', '\\u00c9toiles', 'Fesses', 'S\\u00e9l\\u00e9nite', 'Satellite', 'Satellite']","['Ramparts', 'rook', 'Windsor', 'windsor']","['Girder', 'Cinema', 'Balance']","['martial', 'Chop', 'Macchio', 'Japanese', 'Miyagi', 'Kid']","['Kitchen', 'edge', 'carver', 'slice', 'carrots', 'sharp', 'Fork']","['Circus', 'Paarden', 'Borstel', 'Schoonmaken']","['Border', 'glasses', 'BLAME', 'Camera', 'door']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['Paladin', 'microns', 'tattoo', 'shirt-']","['Maracaibo', 'villain', 'Sparrow', 'Blackbeard']","['Devo', 'classic', 'Indianas', 'weapon']","[""Utility's"", 'mail', 'Clinton', 'ImJusta']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['maya', 'butine', 'Ruche', 'Travailleuses']","['Pod', 'Hemp', 'fertilize', 'Brand']","['Antarctica', 'Bird', 'waddle', 'cute']","['Camera', 'Wall', 'border', 'contain', 'Picture', 'Picture']","['Gravedigger', 'digging', 'Snow', 'Spade', 'Snow', 'Spade']","['Aldwych', 'Performance', 'New', 'Show']","['Yard', 'Education', 'Grad', 'Elementary']","['jogger', 'Louboutin', 'High', 'Achilles', 'Side', 'Side']","['Lieu', 'Ferry', 'Bateau', 'Parking', 'Plaisance', 'P\\u00eache']","['putter', 'association', 'Discotheque', 'Golf']","['Fly', 'Lures', 'Bass', 'rod', 'Angling', 'Hole']","['arena', 'LaPaloma', 'disco', 'prom']"
Mystery Word,Galaxy,Farm,Pie,Swimsuit,Bomb,School,Climb,Tiger,R\u00e9veil,Mountain,K\u00f6nig,Magician,Worm,Bulle,Wheel,Sprout,Sir\u00e8ne,Vase,Gaz,Witch,Casino,Battery,Zoo,Helmet,Doctor,Zahnarzt,Junction,Soap,Grotte,Lightning,Duck,Crocodile,Planche,Princesse,Cockroach,Canard,Lune,Puder,Dress,Zombie,Diable,Speaker,Lune,Castle,Beam,Karate,Knife,Whip,Frame,Patron,Sleeve,Pirate,Whip,Bill,Bouclier,Bande,Fox,Ninja,Abeille,Seed,Penguin,Frame,Shovel,Theater,School,Heel,Port,Club,Fishing,Ballroom
Guess,,farmer,Pie,Boxershorts,bomb,school,climbing,tiger,R\u00e9veil,Mountain,K\u00f6nig,Magician,Worm,apn\u00e9e,Wheel,Sprout,sir\u00e8ne,Vase,Gaz,Witch,casino,Battery,zoo,helmet,doctor,Zahnarzt,,Washing,Grotte,Lightning,duck,Crocodile,Couteau,Princesse,Bomb,canard,Lune,Russ,,zombie,Enfer,Speaker,Lune,,beam,Karate,Knife,Muizen,Frame,Coin,Sleeves,Pirate,Whip,Bills,Chevalier,,Fox,,abeille,Plant,penguin,frame,Cemetery,Theatre,School,Heel,Port,club,Fishing,Club
