ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42
Table Number,564548365,564083019,564326503,563853523,563814683,563997999,563734591,563862419,563118576,562754120,562737570,562524435,561984919,561960544,561849076,561759056,561268230,560761021,560678411,560134917,560486445,560216464,559495932,559165548,558671887,558251247,557923163,557532448,557334313,557225871,555376965,555037234,553424758,551020732,545799180,535437353,535201906,522327882,517095134,481212678,420552674,417255169
Move,['52'],['26'],['18'],['27'],['18'],['32'],['18'],['38'],['71'],['55'],['51'],['17'],['36'],['28'],['36'],['57'],['65'],['92'],['38'],['56'],['255'],['36'],['49'],['68'],['81'],['28'],['100'],['77'],['249'],['81'],['37'],['63'],['59'],['41'],['352'],['104'],['75'],['601'],['660'],['346'],['1065'],['2902']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,Français,English,English,English,English,English,English,English,Deutsch,Deutsch,English,Français,Français,English,Français,Français,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,Français,Français,Français,Français,English,English,English,Français,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Fruit', 'Jaune', 'R\\u00e9gime', 'Kong']","['Human', 'Cute', 'Belly', 'Birth']","['Olaf', 'Ball', 'Plow', 'skiing', 'winter', 'White']","['Gogh', 'Fibbonaci', 'Seed', 'Heliotropic', 'Butter']","['Orbit', 'Coup', 'Insurgence', '360', 'French', 'Change']","['Husband', 'Partnership', 'ceremony', 'reception', 'Anniversary', 'Bouquet']","['Bow', 'Trapper', 'Searcher', 'Killua', 'gatherer', 'Gatherer']","['Rail', 'Transport', '-politan', 'City']","['Ndrangheta', 'Betonf\\u00fc\\u00dfe', 'Yakuza', 'AlCapone']","['Frischobst', 'Mobil', 'Weihnachts', 'Gem\\u00fcse']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Lumiere', 'Orage', 'Tonnerre', 'Tonnerre']","['blood', 'Renaissance', 'Epoch', 'Punctuation']","['Police', 'dinde', 'Cuisse', 'Cuisse']","['Dore', 'Ronde', 'Solitaire', 'Alliance']","['Train', 'tracks', 'banister', 'guard']","['Holes', 'Hop', 'Peter', 'hat', 'HARE', 'Roger']","['lines', 'hand', 'tree', 'hand', 'tree', 'hand']","['Hawking', 'Brainy', 'Einstein', 'Einstein']","['Deadly', 'Laburnum', 'Intoxicant', 'Cooper']","['banana', 'loaf', 'Rye', 'Roll', 'Fluffy', 'Yeasty']","['Offerings', 'Food', 'Selections', 'Prices']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['civil', 'Frankie', 'poker', 'nuke', 'Troops', 'Troops']","['Lucht', 'Grey', 'Wit', 'White']","['bayonet', 'French', 'Gun', 'three', 'dumas', 'Dumas']","['Mario', 'Plomberie', 'Pompier', 'Arrosage', 'Arrosage']","['Arkansas', 'Gazette', 'NY', 'Times', 'Washington', 'Post']","['locket', 'Jewel', 'jewels', 'Chain', 'pendent', 'pearl']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Sirius', 'Mort', 'bateau', 'burka', 'hisser', 'vapeur']","['Aboutissement', 'D\\u00e9but', 'Svelte', 'Accomplie']","['R\\u00e9curer', 'Po\\u00eale', 'faitout', 'queue']","['Factory', 'SaltnPepper', 'rub', 'Wind', 'Wind']","['cashmere', 'Goat', 'me', 'Animal', 'wool', 'Wool']","['reflection', 'wall', 'View', 'see', 'Self', 'yourself']","['botanique', 'Paris', 'l\\u00e9gumes', 'PLant', 'Potager', 'Versailles']","['Bxl', 'Romanesco', 'Bruxelles', 'Rouge']","['25000', '100000', 'Sarcophagus', 'Burial', 'Luxor', 'Shape']","['hypothesis', 'Physics', 'chemistry', 'biology', 'biology', 'Chemistry']","['wish', 'Femur', 'Metatarsal', 'Tibia', 'Funny', 'Fibula']"
Mystery Word,Banane,Baby,Snow,Sunflower,Revolution,Marriage,Hunter,Metro,Mafia,Markt,Train,Pluie,\u00c9clair,Period,Poulet,Bague,Rail,Rabbit,Palm,Genius,Poison,Bread,Menu,Firefighter,War,Cloud,Musketeer,Tuyau,Newspaper,Necklace,Noisette,Voile,Fin,Casserole,Mill,Sheep,Mirror,Jardin,Chou,Pyramid,Science,Bone
Guess,Banane,baby,snow,Sunflower,Revolution,Wedding,hunter,Metro,Mafia,Essen,train,pluie,\u00c9clair,Period,Poulet,bague,Railway,Rabbit,Straight,Intelligent,Poison,Bread,Menu,Fireman,,Clouds,,Tuyau,newspaper,Necklace,Noisette,Voile,Fin,Casserole,Brisket,sheep,mirror,Jardin,chou,Pyramid,theory,Bone
