ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47
Table Number,576891011,576801775,576726272,576472757,576130352,576107152,575798268,575663745,575645342,575283404,575215975,574669691,574370813,573530837,574205270,573546126,573218567,573627935,572822891,571928192,572223118,571878839,571508244,571302579,571195661,571461893,570734438,570180987,569653565,569276510,568010964,567805289,567185190,567244889,567406997,562524435,562133986,558983329,555594558,555318049,542849457,539412516,527775627,517095134,511221983,480055062,420552674
Move,['8'],['16'],['9'],['6'],['12'],['27'],['5'],['36'],['80'],['43'],['37'],['29'],['47'],['57'],['68'],['58'],['103'],['56'],['48'],['72'],['30'],['64'],['34'],['6'],['37'],['57'],['36'],['51'],['77'],['59'],['61'],['51'],['57'],['67'],['226'],['17'],['11'],['26'],['115'],['115'],['997'],['195'],['736'],['748'],['1949'],['952'],['1159']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+
Language,English,English,English,English,English,English,English,English,English,Deutsch,English,Français,English,English,English,English,Français,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,Français,Français,Français,English,English,English,English,English,English,English,Français,English,Deutsch,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Tightrope', 'Tent', 'Clown', 'Big-top', 'BARNUM']","['Horeca', 'Order', 'restaurant', 'settings']","['Projector', 'Films', 'Movie', 'Popcorn', 'Popcorn', 'popcorn']","['Marty', 'Niles', 'construction', 'lifter', 'Seneca', 'Gamemaker']","['Research', 'Check-out', 'Dewey', 'Decimal', 'Books', 'Quiet']","['Polymer', 'artificial', 'Packaging', 'Igelit', 'Recyclable']","['Leadbelcher', 'Music', 'Heavy', 'Heavy']","['Earring', 'Bolts', 'poker', 'breeder', 'Hunk', 'silver']","['Penticton', 'Fruit', 'Orange', 'Apricot', 'Fuzzy', 'Fuzzy']","['Bewaffnet', 'R\\u00fcstung', '......mahl', 'Mittelalter', 'Kokosnuss', 'Lanze']","['Candy', 'Toblerone', 'Cocoa', 'black', 'chip', 'Kitkat']","['T\\u00e9nor', 'Casse-noisette', 'Ballet', 'lyrique']","['Sleep', 'cushion', 'Headrest.', 'soft', 'Zzz', 'bed']","['Iceberg', 'spill', 'advice', 'Gratuity', 'gratuity', 'gratuity']","['face', 'infant', 'Offspring', 'Googoo', 'back', 'ribs']","['knight', 'slays', 'riders', 'Pern', 'Crouching', 'Tiger']","['Braconnier', 'pr\\u00e9dateur', 'Lapin', 'Gibier', 'Fusil', 'Sachant']","['Mandinga', 'Belcebu', 'LUCIFER', 'Tasmania', 'luzbel', 'Posesi\\u00f3n']","['Decay', 'Plaque', 'Dentist', 'Shark', 'Fairy', 'Fairy']","['Detonator', 'Drop', 'Busters', 'Squad', 'Shelter', 'Nuke']","['Pretend', 'Creepy', 'face', 'rag', 'plaything', 'playing']","['Mammoth', 'Carlsbad', 'mine', 'tunnel', 'underground', 'deep']","['Atlas', 'thinker', 'Bronze', 'rodin', 'Liberty']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['texas', 'plant', 'Desert', 'mexico', 'Camel', 'Prickly']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Ascot', 'Run', 'road', 'marathon', 'Competition', 'competition']","['row', 'Pontoon', 'love', 'Love']","['Profession', 'Bread', 'cookies', 'creator', 'Butcher', 'Street']","['Burning', 'Bright', 'Frosted', 'Flakes', ""Cereal's"", 'Tony']","['Gregorian', 'Agenda', 'Monthly', 'Monthly']","['7.21', 'Days', 'date', 'November', 'reminder', 'schedule']","['Pluie', 'Blanche', 'Bonhomme', 'Boule', 'Blanc', 'Flocon']","['Boule', 'Cochonnet', 'Marseille', 'Ricard']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['T\\u00e1rsasj\\u00e1t\\u00e9k', 'Carcassonne', 'F\\u00fcrd\\u0151szoba', 'Nemtudom']","['aero', '747', 'jet', 'airbus', 'b52', 'paper']","['Dig', 'Spade', 'Scoop', 'Spade', 'Spade', 'Scoop']","['Dobby', 'Pair', 'Foot', 'Shoe', 'Puppet', 'Puppet']","['Rotating', 'Air', 'whirlwind', 'storm']","['u.people', 'groom', 'stroke', 'caress', 'paint']","['Tarzan', 'Lianes', 'Georges', 'Georges']","['Bikini', 'Beach', 'trunks', 'Speedo', 'speedo']","['B\\u00f6llerparty', 'Papstname', 'Sekt', 'Dinner41', 'Jahresendfeier', 'Jahresendfeier']","['chris', 'tree', 'evergreen', 'Cones', 'needle', 'Needles']"
Mystery Word,Circus,Menu,Cinema,Crane,Library,Plastic,Metal,Stud,Peach,Ritter,Chocolate,Op\u00e9ra,Pillow,Tip,Baby,Dragon,Chasseur,Devil,Tooth,Bomb,Doll,Cave,Statue,Medicine,Rose,Cactus,Couch,Race,Boat,Baker,Tiger,Calendar,Calendar,Neige,P\u00e9tanque,Pluie,Galaxy,Tile,Plane,Shovel,Sock,Tornado,Brush,Jungle,Swimsuit,Silvester,Pine
Guess,circus,Menu,Cinema,Crane,Library,Plastic,metal,metal,Peach,Ritter,chocolate,,Pillow,tea,Baby,Dragon,Chasseur,Diablo,Tooth,Bomb,Mask,CAVE,sculpture,Medicine,Rose,Cactus,Couch,Race,Boat,Baker,tiger,calendar,calendar,neige,P\u00e9tanque,pluie,galaxy,Tile,Plane,hole,Sock,Tornado,touch,jungle,swim,Sylvester,Pine
