ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48
Table Number,573530837,574192244,573695310,573732828,573266698,572939644,572978724,572893494,572496359,572483594,572394256,572378958,571302579,571195661,571529653,571565940,570591778,571461893,571281050,571155939,570662345,570316055,570414886,570126068,569521605,568820644,568877753,567969300,567247937,567928849,567805289,567606043,567157193,566662988,567090385,566409377,566195849,564865328,562524435,562133986,561337934,559608546,558785511,557419238,550187728,539412516,363390977,356959263
Move,['13'],['13'],['18'],['31'],['27'],['38'],['29'],['57'],['38'],['92'],['37'],['41'],['6'],['36'],['57'],['40'],['79'],['29'],['56'],['100'],['55'],['50'],['111'],['67'],['33'],['56'],['53'],['98'],['82'],['55'],['42'],['58'],['24'],['38'],['37'],['47'],['59'],['78'],['17'],['11'],['71'],['133'],['84'],['83'],['277'],['179'],['2618'],['2245']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,English,English,English,Français,Français,Français,English,Deutsch,English,English,English,English,English,Deutsch,Français,Français,Deutsch,English,English,Français,Deutsch,English,English,English,Deutsch,English,Deutsch,English,English,English,English,English,English,English,English,Français,English,English,Français,English,Français,Français,English,Français,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite
Clues,"['Battery', 'Felony', 'Credit', 'stampede', 'outlet', 'power']","['Oil', 'Clap', 'centre', 'gypsy', 'hand', 'hand']","['\\u3058\\u3083\\u3093\\u3051\\u3093\\u30de\\u30b7\\u30f3', '\\u30d1\\u30c1\\u30f3\\u30b3', '37.5', '\\u304d\\u3066\\u308b', '777', '777']","['Rec\\u00e8le', 'Cambriolage', 'Avion', 'Ciel']","['Environnement', 'Hi\\u00e9rarchie', 'Bordure', 'Salari\\u00e9']","['Tombe', 'Terre', 'Cercueil', 'Cercueil']","['King', 'Billie', 'Windsor', 'cake', 'Jewels', 'Coronation']","['Knast', 'Askaban', 'Zelle', 'Feilenkuchen']","['Party', 'beginning', '13th', 'Freaky', 'Calendar', 'fish']","['Suit', 'Clip-on', 'Draw', 'Knot']","['boring', 'Spear', 'lure', 'Bait', 'rod', 'Fish']","['bolt', 'phillips', 'Driver', 'Metal', 'Bolts']","['Pillen', 'Doctor', 'Forma\\u00e7\\u00e3o', 'Sa\\u00fade', 'Drugs', 'Krank']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Pipeline', 'Poutine', 'butane', 'propane']","['Inspecteur', 'Priv\\u00e9', 'Holmes', 'Enqu\\u00eateur']","['Rot', 'Rettung', 'Stange', 'THW']","['Transport', 'Electric', 'motor', 'mazda', 'Van', 'Toyota']","['creature', 'scampi', 'Brine', 'Paste', 'Shellfish', 'shell']","['Marecage', 'Saurien', 'Floride', 'Dundee', 'gavial', 'Gavial']","['Nasereiben', 'Schiff', 'Norden', 'Nordm\\u00e4nner', 'Obelix', 'Helm']","['terminal', 'Metro', 'Platform', 'Central']","['Hungry', 'Scream', 'Jaw', 'talker', 'Oral', 'dat']","['Crossroad', 'Artritis', 'roundabout', 'matrimonio']","['Steuermann', 'Auto', 'Cockpit', 'Bruch', 'Co']","['Crunchy', 'carapace', 'Scallop', 'pistachio', 'cockle', 'Game']","['Sony', 'Hardware', 'Freizeit', 'Technik', 'Mario', 'Spielen']","['Rolling', 'Weight', 'Masonry', 'Flint', 'Age']","['Dragon', 'Keeper', 'SM', 'BDSM']","['Straw', 'Cap', 'Bowler', 'Bobble', 'Stetson', 'toque']","['Cork', 'loose', 'Insert', 'top']","['Sumatran', 'Orange', 'Feline', 'Carnivore', 'Stripes', 'Stripes']","['single', 'penny', 'eh', '`', 'drawl', 'drawl']","['Preview', 'Content', 'Sun', 'Flat', 'movie', 'door']","['brain', 'hair', 'kopf', 'Top', 'Yuanling', 'Jinchizhanglao']","['feu', '18', 'borne', 'Uniforme', 'Bal', 'Incendie']","['drainage', 'Sanitation', 'Underground', 'TMNT', 'TMNT']","['lather', 'Detergent', 'hand', 'Opera', 'Suds']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Canne', 'Entass\\u00e9s', 'Cuisiner', 'Conserves', 'Poisson', 'Poissons']","['Ar\\u00eates', 'Mammif\\u00e8re', 'Baba', 'Squelette']","['Bellagio', 'spray', 'youth', 'chocolate', 'Soda', 'Bubbler']","['Graines', 'Jaune', 'fleur', '\\u00e9cale', 'professeur', 'Professeur']","['Qui', 'Aimait', 'Double', 'Infiltration', 'Agent', 'Agent']","['Pewdiepie', 'Ennemy', 'drama', 'episodes']","['Spiderverse', 'Girasol', 'Seed', 'Moonweed', 'Gogh']","['Protecting', 'Cherbourg', 'Rihanna', 'Academy', 'rihanna', 'Academy']"
Mystery Word,Charge,Palm,Fever,Vol,Cadre,Cimeti\u00e8re,Crown,Gef\u00e4ngnis,Friday,Tie,Fishing,Screw,Medicine,Rose,Gaz,D\u00e9tective,Feuerwehr,Car,Shrimp,Crocodile,Wikinger,Station,Mouth,Junction,Pilot,Shell,PlayStation,Stone,Dungeon,Hat,Screw,Tiger,Accent,Screen,Head,Pompier,Sewer,Soap,Pluie,Galaxy,Sardine,Os,Fountain,Tournesol,Espion,Series,Sunflower,Umbrella
Guess,Theft,,,Vol,Convention,sepulture,,Gefaengnis,Friday,Tie,Fishing,screw,Medicine,Rose,gaz,detective,Einsatz,car,Shrimp,Crocodile,Vikinger,Station,Mouth,Ring,Pilot,shell,Game,stone,Train,Hat,,Tiger,Cent,,head,Pompier,tunnel,Soap,pluie,galaxy,Armoires,poisson,fountain,Tournesol,espion,Series,plant,Crusade
