ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46
Table Number,565318762,565412427,565167216,565115517,564815758,564729136,564548365,563814683,564003282,563924079,563862419,563661446,563627140,563422455,562911036,563097724,562706994,562620652,562577325,562737570,562524435,562467402,561984919,561626574,561534650,561221178,561111634,560821183,560678411,559165548,559052537,558671887,557196012,555376965,555552287,554164028,555037234,551020732,543879156,539553561,527775627,522327882,517125895,481212678,422619886,363390977
Move,['8'],['7'],['9'],['14'],['7'],['20'],['57'],['18'],['28'],['31'],['43'],['36'],['43'],['40'],['20'],['20'],['49'],['54'],['65'],['51'],['17'],['43'],['36'],['63'],['27'],['75'],['95'],['121'],['45'],['68'],['90'],['81'],['60'],['37'],['83'],['58'],['63'],['41'],['211'],['93'],['481'],['601'],['406'],['346'],['894'],['2524']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,English,Deutsch,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,Français,English,English,English,English,Français,English,English,English,English,Français,Français,English,English,Français,Français,Français,English,English,Français,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['wheels', 'Roller', 'footwear', 'Ollie', 'heelflip']","['Huldigungsort', 'Gotteshaus', 'Heiligtum', 'Heiligtum']","['Emotion', 'fruit', 'Fervor', 'Enthusiasm', 'christ', 'Jesus']","['nutella', 'Iris', 'Eyes', 'Nut']","['Concert', 'sitcom', 'reveal', 'reveal']","['Horoszk\\u00f3p', 'Sz\\u00far', 'sz\\u00fclinapom', 'november']","['Translucide', 'Eternel', 'Brut', 'Brut']","['Orbit', 'Coup', 'Insurgence', '360', 'French', 'Change']","['Carneval', 'Protective', 'covid', 'Regalia', 'N95', 'The']","['Rain', 'Cover', 'Parasol', 'Company']","['Terminal', 'Location', 'Train', 'Stop']","['Arc', 'Ahh-ahh', 'Starburst', 'Light', 'Lightning', 'Gordon']","['Hawaii', 'Japan', 'JAMAICA', 'TROPICAL', 'Galapagos', 'Lone']","['Datenverarbeitung', 'Dell', 'Monitor', 'Monitor']","[""earth's"", 'pimples', 'Vesuvius', 'Lava']","['laqu\\u00e9', 'bird', 'donald', 'Mare', 'bec', 'Bec']","['Nicotine', 'Vape', 'plant', 'Cancer', 'Chewing', 'Chew']","['sand', 'Windsor', 'Neuschwanstein', 'Neuschwanstein', 'Mansion', 'Mansion']","['\\u307f\\u305a\\u304d\\u3042\\u3064\\u3051\\u3044', '\\u30de\\u30ea\\u30aa', 'tube', 'Tube']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Sty', 'Babe', 'Ham', 'Porky']","['Lumiere', 'Orage', 'Tonnerre', 'Tonnerre']","['Rise', 'Vertical', 'ascend', 'Ladder', 'ladder', 'Ladder']","['Destruction', 'Firearm', 'gun', 'scimitar', 'club', 'Offense']","['Dorito', 'Hypotenuse', 'percussion', 'Acute', 'Bermuda', 'Bermuda']","['Pebble', 'henge', 'rolling', 'rock', 'Skipping', 'Hard']","['Bactriane', 'Blatere', 'Animal', 'd\\u00e9sert', 'Bosse', 'Caravane']","['Reflection', 'Glass', 'Erised', 'vanity', 'rear-view', 'rearview']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['Red', 'Jam', 'daiquiri', 'Shortcake', 'Daiquiri', 'Shortcake']","['civil', 'Frankie', 'poker', 'nuke', 'Troops', 'Troops']","['m\\u00e9t\\u00e9o', 'hallebarde', 'Pr\\u00e9cipice', 'Eau', 'Intemp\\u00e9ries', 'Nuageux']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Film', 'Highlights', 'movie', 'short', 'preview', 'episode']","['jewel', 'Forever', 'Ring', '-ring']","['Sirius', 'Mort', 'bateau', 'burka', 'hisser', 'vapeur']","['R\\u00e9curer', 'Po\\u00eale', 'faitout', 'queue']","['M\\u00e2le', 'Reproducteur', 'Charo', 'Brad', 'cheval', 'Noir']","['Picking', 'Fruit', 'blonde', 'Flavour', 'Hope', 'Hope']","['k-pop', 'Music', 'eargasm', 'melody', 'Jam']","['botanique', 'Paris', 'l\\u00e9gumes', 'PLant', 'Potager', 'Versailles']","['Fruit', 'Manhattan', 'Dress', 'Napkin', 'Mixology', 'Gimlet']","['25000', '100000', 'Sarcophagus', 'Burial', 'Luxor', 'Shape']","['Sideways', 'Woodwind', 'Metal', 'Play']","['Love', 'Hispaniola', 'Fever', 'Archipelago', 'Archipelago']"
Mystery Word,Skate,Tempel,Passion,Hazel,Show,Scorpion,Diamant,Revolution,Mask,Umbrella,Station,Flash,Island,Computer,Volcano,Duck,Tobacco,Castle,Pipe,Train,Pluie,Pig,\u00c9clair,Climb,Weapon,Triangle,Stone,Chameau,Mirror,Firefighter,Strawberry,War,Pluie,Noisette,Trailer,Diamond,Voile,Casserole,\u00c9talon,Strawberry,Music,Jardin,Cocktail,Pyramid,Flute,Island
Guess,skate,Kirche,devotion,Hazel,,Scorpion,Eau,Revolution,,Umbrella,Station,,Island,Computer,Volcano,Duck,Tobacco,,pipe,train,pluie,Pig,\u00c9clair,jump,Weapon,Triangle,stone,Dromadaire,mirror,Fireman,Strawberry,,pluie,Noisette,Trailer,Gold,Voile,Casserole,,Strawberry,Song,Jardin,Cocktail,Pyramid,Flute,Hot
