ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45
Table Number,560891969,560761021,560579099,560449153,559673599,559111285,558853742,558744776,558508701,558578098,558274604,557490269,558327376,558172660,558178570,557241068,557483599,556162506,556887785,556105558,556005859,556146953,556107399,556032942,555594558,555848276,555658473,555376965,553847875,551617180,549836070,549679029,546837128,544337775,542060223,528022855,517125895,489194416,478910455,470247957,396307534,381777020,366888891,324381970,317609821
Move,['5'],['9'],['31'],['29'],['8'],['36'],['58'],['84'],['56'],['53'],['27'],['19'],['42'],['24'],['53'],['100'],['36'],['39'],['52'],['65'],['64'],['53'],['36'],['42'],['30'],['87'],['67'],['37'],['74'],['79'],['88'],['109'],['202'],['57'],['41'],['184'],['380'],['949'],['348'],['2346'],['724'],['1759'],['1489'],['2079'],['2327']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 8 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,English,English,English,English,English,Deutsch,English,English,Français,Deutsch,English,Français,Deutsch,English,English,Français,Français,Français,Français,English,English,English,English,English,English,Deutsch,Français,Deutsch,English,Deutsch,English,Français,Français,English,Français,English,Français,English,English,English,English,English,Français,Français
End,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Shakespeare', 'Fox', 'Hamlet', 'Opera']","['Eyes', 'Optical', 'dioptre', 'Bifocal', 'Spectacles', 'Sun']","['Saguaro', 'desert', 'barbie', 'flora']","['Adolescent', 'Major', 'Child', 'Ursa', 'Seventeen', 'small']","['Tandem', 'Schwinn', 'E.T.', 'Huffy', 'Specialized']","['Pearl-Krabs', 'The-Legendary-Fisherman', 'oldman', 'Pinocchio', 'Guishan-Island', 'Mammal']","['Dreamworks', 'Sumpf', 'gr\\u00fcn', 'Gr\\u00fcn']","['mall', 'Electrical', 'Power', 'Power']","['Cupid', 'crossbow', 'cursor', 'pointer', 'Green']","['Rond', 'Insecte', 'Tse-tse', 'Taon']","['Schneid', 'Elgin', 'Schneider', 'Fingerhut']","['Magazine', 'Paper', 'Daily', 'Read', 'Tribune', 'Times']","['enregistreuse', 'bi\\u00e8re', 'Boite', 'Supermarch\\u00e9']","['Tanz', 'Portman', 'Tschaikowsky', 'Ballett', 'Russe']","['hidden', 'Island', 'Chest', 'Find', 'X', 'X']","['Pumpkin', 'unrhymable', 'Clementines', 'Cheetos', '...juice', 'Juice']","['Trampoline', 'Bungee', 'Corde', 'Perche']","['Grenouille', 'Balai', 'm\\u00e9chante', 'magie']","['Tournez', 'Cheval', 'chevaux', 'lieu']","['Cambriolage', 'avion', 'Larcin', 'Oiseau', 'Oiseau', 'Oiseau']","['gouda', 'provolone', 'Wisconsin', 'Wheel', 'Swiss', 'Swiss']","['fight', 'fish', 'NINJA', 'Knife']","['Basil', 'Bristle', 'Broom', 'Dustpan']","['Shrek', 'Kong', 'Jackass', 'kong', 'ass']","['Wonderland', 'tire', 'Icy', 'solstice', 'season', 'season']","['quix', 'amarilla', 'Bob', 'Loza', 'Platos']","['Gedenkort', 'Grabstein', 'W\\u00e4rter', 'Ort', 'Ruhest\\u00e4tte', 'Ruhest\\u00e4tte']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Wasser', 'Rund', 'Cantaloupe', 'Obst', 'Schirm', 'Charme']","['Chucky', 'Henson', 'government', 'strings']","['Krabbenbirne', 'Sprengobst', 'Gesundfrucht', 'Persephone', 'rot']","['urgent', 'crisis', 'alert', 'danger', '911', 'Earthquake']","['Huile', 'Plong\\u00e9e', 'NAGER', 'PLONGEUR']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['reading', 'Scans', 'shoujo', 'comics']","['pasteque', 'orange', 'porto', 'serrano']","['Puddle', 'Olympic', 'Boy', 'Floatie', 'Spa', 'Car']","['br\\u00e9silien', 'accessoire', 'poignet', 'poignet']","['vehicle', 'guts', 'vroom', 'BIKE', 'cycle', 'cycle']","['flame', 'Elton', 'ritual', 'wick', 'wick', 'Wick']","['Plastic', 'Slurp', 'drinking', 'sucking', 'Drink', 'Drink']","['Orion', 'Suspenders', 'Championship', 'Sander']","['Face', 'Razor', 'shaver', 'Santa', 'papa', 'Papa']","['Oph\\u00e9lie', 'singer', 'd\\u00e9cembre', 'froid', 'mectine', 'saison']","['parole', 'Complainte', 'V\\u00e9ronique', 'despacito', 'Boulangerie', 'boulangerie']"
Mystery Word,Theater,Glasses,Cactus,Minor,Bicycle,Whale,Shrek,Outlet,Arrow,Mouche,N\u00e4hen,Newspaper,Caisse,Schwanensee,Treasure,Orange,Saut,Sorci\u00e8re,Man\u00e8ge,Vol,Cheese,Sword,Brush,Donkey,Winter,Sponge,Friedhof,Noisette,Melone,Puppet,Granatapfel,Emergency,Palme,Anneau,Manga,Melon,Pool,Bracelet,Motor,Candle,Straw,Belt,Beard,Hiver,Chanson
Guess,theatre,glasses,Cactus,kid,Bicycle,whale,Shrek,Outlet,Arrow,Mouche,n\u00e4hen,Newspaper,Caisse,Schwanensee,treasure,Orange,Extreme,Sorciere,Carrousel,vol,cheese,Sword,Brush,swamp,winter,esponja,Friedhof,Noisette,Melone,puppet,Granatapfel,emergency,Eau,Anneau,manga,Melon,Pool,String,engine,Candle,straw,Belt,beard,Hiver,Chanson
