ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68
Table Number,482797082,482766831,482835771,482686694,482658995,482728725,482542862,482421951,482419952,482142355,481823302,480834703,481118790,481212678,481332731,481021567,481065681,480824929,480478285,480965835,480442221,480770866,480686588,480225123,480055062,479750831,479740646,479731613,479131924,479290252,479243968,479108112,478910455,478977516,478747392,478625404,478154857,478232420,477823291,477731316,477431939,477362659,476993868,476717275,475857014,476227469,475748509,473319518,473890082,466086884,466084294,465621249,465728930,465661217,465665616,465435499,463714023,462438853,461036696,457064795,451463411,426921218,357001162,348838927,346689693,336562502,328236739,322628136
Move,['5'],['5'],['45'],['8'],['9'],['13'],['9'],['13'],['18'],['12'],['9'],['24'],['42'],['6'],['55'],['10'],['26'],['50'],['85'],['27'],['14'],['22'],['46'],['57'],['32'],['85'],['30'],['65'],['31'],['73'],['82'],['78'],['24'],['99'],['40'],['43'],['15'],['78'],['109'],['48'],['73'],['36'],['76'],['105'],['10'],['62'],['41'],['36'],['9'],['42'],['38'],['70'],['362'],['37'],['39'],['366'],['57'],['488'],['68'],['36'],['40'],['511'],['1836'],['1505'],['2655'],['1586'],['3370'],['4484']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only
Language,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,Deutsch,English,Deutsch,English,English,Français,Deutsch,English,Français,Français,English,English,English,English,English,English,Français,Français,Français,English,Français,Français,English,English,English,English,English,Français,English,Deutsch,English,English,English,Français,English,English,English,Deutsch,Français,Français,English,English,English,English,English,Français,Français,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Mat', 'Warm', 'small', 'carpet']","['Jail', 'Sentence', 'Dalton', 'Brothers']","['flutter', 'Caterpillar', 'Kutcher\\u2019s', 'Consequences', 'metamorphisis', 'Metamorphosis']","['Huckleberry', 'blueberry', 'Crust', 'crust', 'crust']","['Freshwater', 'Huron', 'Tahoe', 'Pond', 'Placid', 'Water']","['face', 'point', 'snot', 'cartilage', 'Mouth', 'Eyes']","['Granary', 'Catan', 'Thins', 'Germ', 'Grain', 'Flour']","['Ancient', 'ruler', 'Augustus', 'Roman', 'Qin', 'Dynasty']","['bake', 'tandoor', 'Bun', 'Microwave', 'Bread', 'Mitt']","['Podium', 'Silver', 'Bronze', 'Olympics', 'Bronze', 'Olympics']","['Road', 'Connection', 'Joint', 'choice', 'stoplight', 'Box']","['Corn', 'lobe', 'vertigo', 'Tinnitus', 'Wax']","['Crucifix', 'Hang', 'holy', 'jesus']","['Stockton', 'Thor', 'Lightning', 'zeus', 'Struck', 'struck']","['Dungeons', 'Creature', 'Smaug', 'Ancalagon', 'Imagine', 'Radioactive']","['Grotte', 'Travail', 'charbon', 'jeune']","['board', 'Patrick', 'Sirius', 'Twinkle', 'Spangled']","['clown', 'Acrobats', 'Tent', 'show', 'Show']","['Helene', 'Ribbeck', 'Kopf', 'Abate', 'Kernobst', 'Kernobst']","['Cumulus', 'Cotton', 'Rain', 'Sunshade', 'Puffy', 'Puff']","['Klein', 'Gimli', 'Bart', 'Moria']","['Sanctuary', 'Memory', 'Giant', 'Pachyderm', 'Babar', 'Babar']","['Thinker', 'Discobulus', 'Marble', 'Bronze', 'effigy', 'Michaelangelo\\u2019s..david']","['Biquette', 'Miel', 'Bouc', 'fromage']","['DonkeyKong', 'Kyoto', 'Wii', 'Mariokart', 'Spielekonsolenhersteller', 'Gameboy']","['champagne', 'chellar', 'Sauvignon', 'grape', 'Rioja', 'Beaujolais']","['Sentir', 'Narines', 'Odorat', 'Odorat']","['Complet', 'Christ', 'Pauvre', 'Polka', 'mie', 'P\\u00e9trit']","['Asparagus', 'mint', 'Pole', 'pierce']","['shuffle', 'Mushroom', 'Tuber', 'Oil', 'Pig', 'Pig']","['\\u304a\\u3068\\u306a\\u306e\\u304f\\u3046\\u304b\\u3093', 'tmc5', '\\u30d0\\u30ec\\u30a8', '\\u30ab\\u30a6\\u30f3\\u30bf\\u30fc', 'Dining']","['Red', 'candle', 'Lighter', 'Ignition']","['charm', 'holder', 'charms', 'silver', 'necklace', 'rist']","['nano', 'Florence', 'Robotic', 'Turing', 'vending', 'automated']","['Taxi', 'BMW', 'Twingo', 'Modus']","['Bernie', 'B\\u00eache', 'embrasser', 'rouler', 'Gueule', 'Trou']","['S\\u00e9curit\\u00e9', 'Verrouillage', 'Code', 'Verrouill\\u00e9']","['Healer', 'Appointment', 'Provider', 'House', 'medicare', 'Fellow']","['Petite', 'Langoustine', 'bouquet', 'chips', 'Grise', 'Grise']","['vin', 'prison', 'cellier', 'X']","['floating', 'Suds', 'Gas', 'Bath', 'soapy', 'Soap']","['Fuzzy', 'damp', 'Spore', 'spors']","['Lactate', 'Chocolate', 'cow', 'Harvey', 'Oat', 'soy']","['pink', 'Seafood', 'Prawn', 'Babagump', 'cocktail', 'cocktail']","['Newton', 'lab', 'biology', 'biology']","['lumineux', 'Baie', 'vitre', 'Vitre']","['Infectious', 'SARS', 'Corona', 'Pathogen']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['Cooperative', 'Tricktaker', 'Tricky', 'Seas']","['Birthday', 'Dessert', 'Going', 'Thedistance']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['Charcuterie', 'sliders', 'Nachos', 'Starter', 'Starter']","['Vadis', 'Tycoon', 'We', 'Bought']","['Not', 'Offense', 'Ofthe', 'Darkarts']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['Histoire', 'Temps', 'Haricots', 'D\\u00e9but', 'Terminus', 'Terminus']","['Sediment', 'Geode', 'granite', 'actor', 'salt', 'Gneiss']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['drum', 'sound', 'Gunshot', 'Big']","['Mosh', 'Hole', 'stop', 'Brad', 'Bull', 'Bull']","['Marie-Antoinette', '\\u00c9chafaud', 'tranchante', 'Barbier', 'L\\u00e9tale', 'D\\u00e9capitation']","['malhabile', 'banquises', 'mascotte', 'linux']","['Maillons', 'Ensemble', 'Tron\\u00e7onneuse', 'Anneaux', 'Prisonnier', 'Pendentif']","['guerlain', 'potpourri', 'scent', 'Dior', 'chanel']","['Arrow', 'strung', 'Quiver', 'curtsey', 'Violin']"
Mystery Word,Rug,Prison,Butterfly,Pie,Lake,Nose,Wheat,Emperor,Oven,Medal,Junction,Ear,Cross,Thunder,Dragon,Mineur,Star,Circus,Birne,Cloud,Zwerg,Elephant,Statue,Ch\u00e8vre,Nintendo,Wine,Nez,Pain,Spear,Truffle,Bar,Flame,Bracelet,Machine,Voiture,Pelle,Cadenas,Doctor,Crevette,Cave,Bubble,Mold,Milk,Shrimp,Science,Fen\u00eatre,Virus,Puder,Dress,Sail,Cake,Patron,Appetizer,Zoo,Defense,Poker,Bouclier,Fin,Rock,Fox,Ninja,Bang,Pit,Guillotine,Manchot,Cha\u00eene,Perfume,Bow
Guess,rug,Prisoner,Butterfly,Fruit,Lake,Nose,Wheat,Caesar,Oven,Second,junction,Ear,cross,Thunder,dragon,Mine,Star,Circus,Birne,cloud,Zwerg,Elephant,Statue,ch\u00e8vre,Nintendo,Wine,Nez,Pain,spear,Truffle,Bar,Flame,bracelet,Machine,Voiture,Pelle,Cadenas,Doctor,Crevette,cellule,Bubble,Mold,Milk,,Science,cochon,virus,Russ,,Crew,Cake,Coin,Appetizers,Zoo,Defense,Poker,Chevalier,Fin,rock,Fox,,Bang,pit,Guillotine,Manchot,Chaine,Perfume,Bow
