ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85
Table Number,471450962,471278119,471021839,470975672,470879205,470813149,470766270,470653537,470582883,470556675,470550354,470357896,470320149,470319199,470238100,470192675,470059345,469758423,469698127,469575310,469208058,469154900,468841644,468830344,468681757,468687660,468659555,468452127,468265600,468235924,468147883,468125819,468063879,468001936,467993701,467972395,467470842,467461176,467304181,467193910,467145665,466885385,466237768,466154882,466081205,466086694,466086884,466083684,466084384,466036389,465731184,465664137,465661217,465668656,465665616,465664206,465619295,465435499,465187133,465108118,465055432,464829747,464440486,463614863,463099060,462438853,459279309,458716764,457064795,457037078,454586755,453839362,451463411,449145581,446155644,445297184,431028987,421549329,417255169,396307534,357001162,346689693,344838144,322628136,313533300
Move,['6'],['24'],['19'],['25'],['18'],['9'],['24'],['6'],['20'],['27'],['27'],['14'],['27'],['37'],['77'],['48'],['37'],['79'],['6'],['22'],['101'],['36'],['46'],['58'],['6'],['30'],['66'],['54'],['65'],['50'],['48'],['9'],['42'],['65'],['50'],['32'],['90'],['61'],['67'],['114'],['90'],['67'],['54'],['64'],['16'],['11'],['11'],['17'],['16'],['72'],['7'],['7'],['7'],['7'],['7'],['7'],['32'],['156'],['56'],['33'],['81'],['64'],['92'],['100'],['63'],['276'],['39'],['19'],['36'],['95'],['11'],['82'],['40'],['73'],['37'],['32'],['605'],['95'],['1176'],['411'],['1824'],['2419'],['1486'],['4275'],['3420']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Deutsch,English,English,Français,English,Français,English,English,English,Français,English,Deutsch,English,English,English,Français,English,English,English,English,Français,Français,English,English,Deutsch,Deutsch,English,English,Français,English,English,English,English,English,Deutsch,English,Français,English,English,English,Français,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,English,English,Français,Français,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Hamlet', 'um1600', 'Stratford-upon-Avon', 'Sprachgenie', 'Dichter', 'Dichter']","['\\u041e\\u043a\\u0435\\u0430\\u043d', '\\u041a\\u0430\\u0448\\u0430\\u043b\\u043e\\u0442', '\\u041e\\u0433\\u0440\\u043e\\u043c\\u043d\\u044b\\u0439', '\\u041c\\u043b\\u0435\\u043a\\u043e\\u043f\\u0435\\u0442\\u0430\\u044e\\u0449\\u0435\\u0435', '\\u0421\\u0438\\u043d\\u0438\\u0439', '\\u0421\\u0438\\u043d\\u0438\\u0439']","['China', 'herbivore', 'Ling', 'Chinese', 'Bamboo', 'bamboo']","['Kowalski', 'manchot', 'Costume', 'Banquise', 'Frac', 'Froid']","['gratuity', 'Server', 'Hint', 'Fee', 'Advice', 'Advice']","['Jardin', 'Basse', 'Rase', 'multiplications', 'Ronde', 'ronde']","['sitting', 'Potato', 'potato', 'Lounge', 'lounge']","['Alcohol', 'Drink', 'bundaberg', 'balls', 'Pirate', 'Pirate']","['Festa', 'Espectacle', 'Teatre', 'Actuaci\\u00f3', 'Must', 'Go']","['Blockbuster', 'Fiction', 'Oeuvre', 'Fra\\u00eecheur', 'Pellicule', 'acteur']","['\\u3089\\u3063\\u304b', '\\u3052\\u3093\\u305d\\u304f', '\\u30af\\u30e9\\u30b2', 'skydiving']","['Gartenkamm', 'Laubsammler', 'Laub', 'ziehen']","['Chrysalis', 'Chrysalis', 'chrysalis', 'Chrysalis']","['flavour', 'Concord', 'Raisins', 'Purple', 'Wine', 'Wine']","['wear', 'cocktail', 'gown', 'Summer', 'code', 'Gala']","['Fries', 'Potatoes', 'Groot', 'batonnets', 'Belgique', 'Belgique']","['Trombone', 'water', 'PowerPoint', 'Slippery', 'Slippery', 'Powerpoint']","['Sandy', 'Bondi', 'Surf', 'Sandcastle']","['filament', 'Edison', 'Glass', 'Bright', 'Light', 'Roundish']","['Hat', 'Drink', 'Drinking', 'Bed']","['Somnolence', 'Radio', 'Matin', 'Radio', 'Matin', 'Matin']","['Tube', 'Cylindrique', 'Plombier', 'Arrosage', 'Arrosage', 'Arrosage']","['Pan', 'Whistle', 'Woodwind', 'Wind', 'Piccolo', 'piccolo']","['Wall-E', 'Robbie', 'R2D2', 'Automation']","['Augen', 'Sehschw\\u00e4che', 'Gl\\u00e4ser', 'Accessoire', 'Potter', 'Rahmen']","['Gesang', 'Prosodie', 'Noten', 'Noten', 'Lied', 'Lied']","['dump', 'mack', 'F150', 'tailgate', 'Lorry', 'Lorry']","['Pelikaan', 'vrijheid', 'Vreemde', 'Roodborstje']","['Rorqual', 'Chant', 'bosse', 'Cachalot']","['Drink', 'Pinacolada', 'Radler', 'Rumplesnuggler', 'mojito', 'party']","['Division', 'Graham', 'Church', 'Warning', 'Cow', 'Ringtone']","['changing', 'autumn', 'spice', 'Winter', 'Playoff', 'Summer']","['Randy', 'Football', 'Tree', 'Lichen', 'fluffy', 'Kate']","['grate', 'Rat', 'dirty', 'TMNT', 'Underground', 'Waste']","['W\\u00fcrfel', 'Diabetes', 'Niedlich', 'Salz', 'ungesund', 'ungesund']","['Investigator', 'Pet', 'Columbo', 'Marple']","['entremet', 'G\\u00e2teau', 'Pavlova', 'Tiramisu', 'mignardises', 'Yaourt']","['Profession', 'Sous', 'Michelin', 'Cook', 'Cook']","['Water', 'Green', 'Chesapeake', 'Fundy', 'Montego', 'area']","['water', 'Tahoe', 'swan', 'Huron', 'Ontario', 'Hillier']","['uppercut', 'napperon', 'Tricot', 'Hook', 'Capitaine', 'crocodile']","['Azul', 'clay', 'Rummikub', 'Floor']","['Skateboard', 'eddyeagle', 'Vonn', 'Snow', 'Yogurt', 'Yoghurt']","['R\\u00e9publique', 'Pompidou', 'dirigeant', 'Macron', 'Camembert', 'Camembert']","['Restrict', 'Eating', 'lite', 'soda']","['Theatre', 'Film', 'Fancy', 'Movie']","['Umbrella', 'Mushroom', 'Kirby', 'Ability']","['Quinoa', 'Adjacent', 'round', 'grain']","['-Quest', 'Farfaraway', 'samsung', 'phone']","['honeydew', 'Casaba', 'Cantaloupe', 'Water', 'Water', 'Cantaloupe']","['Adjustable', 'Grabbers', 'needlenose', 'torture']","['Cacao', 'Sweet', 'Charlieandthe', 'dark']","['Wonka', 'Hershey', 'finished', 'cocoa']","['Blitz', 'fancy', 'Dancing', 'dancing']","['JerrySpringer', 'emotional', 'Luggage', 'luggage']","['Jams', 'Tunes', 'Soundof', '-Man']","['Shot', 'Reading', '3D', 'BIFOCAL', 'Drinking', 'Drinking']","['Sternzeichen', 'Luise', 'Sternbild', 'Stier']","['Microraptor', 'jurassic', 'Ausgestorben', 'Triceratops', 'Stegosaurus']","['Roy', 'Siegfried', 'Tophat', 'Wand', 'performer', 'illusions']","['wrap', 'Bag', 'Rubber', 'recycle', 'surgery', 'Surgery']","['annoying', 'Valencia', 'Juice', 'Roy', 'Peel', 'Fruit']","['patch', 'Gourd', 'Pepita', 'carriage', 'Jack', 'squash']","['Window', 'Stained', 'Empty', 'reflect', 'Drinking', 'Drink']","['Sitina', 'Branisko', 'svetlo', 'koniec', '\\u017eelezni\\u010dn\\u00fd', 'tma']","['Hermione', 'Sabrina', 'Crochu', 'Balai', 'Charmed', 'Charmed']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['Persian', 'Aladdin', 'wig', 'area', 'mat', 'Mat']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Cowboy', 'Filmgenre', 'eastwood', 'indianer']","['suit', 'Yearly', 'Celebration', 'Badge']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","[""6'"", 'Marker', 'Mosuleum', 'Burial', 'Digger', 'Cemetery']","['Royal', 'Ramses', 'Egyptian', 'Ruler', 'ruler', 'Egypt']","['Farming', 'Vehicle', 'farmer', 'wagob', 'Con', 'Ex']","['sushi', 'rouge', 'poisson', 'mayonnaise']","['putter', 'association', 'Discotheque', 'Golf']","['Rainier', 'Fuji', 'Olympus', 'Alps', 'king']","['tawny', 'Hoot', 'Wingspan', 'wise', 'Nocturnal', 'nocturnal']"
Mystery Word,Shakespeare,Whale,Panda,Pingouin,Tip,Table,Couch,Rum,Show,Film,Parachute,Harke,Cocoon,Grape,Dress,Frites,Slide,Beach,Bulb,Straw,R\u00e9veil,Tuyau,Flute,Robot,Brille,Melodie,Truck,Bird,Baleine,Cocktail,Bell,Season,Moss,Sewer,Zucker,Detective,Dessert,Chef,Bay,Lake,Crochet,Tile,Ski,Pr\u00e9sident,Diet,Cinema,Parasol,Couscous,Galaxy,Melon,Pliers,Chocolate,Chocolate,Ballroom,Baggage,Music,Glasses,Widder,Dinosaurier,Magician,Plastic,Orange,Pumpkin,Glass,Tunnel,Sorci\u00e8re,Bande,Pearl,Fox,Rug,Crescent,Museum,Ninja,Dungeon,Battery,Western,Birthday,Rooster,Grave,Pharaoh,Tractor,Thon,Club,Mountain,Owl
Guess,Shakespeare,whale,panda,Pingouin,tip,Pelouse,Chair,Rum,Show,Film,parachute,Rechen,Platypus,Grape,Dress,Patate,,Beach,bulb,Straw,Fatigue,Joint,Flute,Robot,Brille,Rap,truck,Vogel,Baleine,cocktail,Bell,season,moss,sewer,Spritze,Detective,Dessert,chef,bay,Lake,Crochet,tile,Skiing,,Diet,Cinema,Float,couscous,galaxy,melon,Pliers,Chocolate,Chocolate,Ball,Reality,Music,Glasses,Widder,Dinosaurier,Magician,tire,orange,Pumpkin,glass,Tunnel,Sorci\u00e8re,,mussel,Fox,rug,Crescent,,,dungeon,Battery,Western,Birthday,DJ,Grave,Alexander,Tractor,Thon,club,Mountain,Owl
