ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36
Table Number,564635642,563993245,564273169,563782439,563804996,563924079,563268175,562911036,563137425,562908657,562577325,562737570,562524435,562467402,561752076,561700422,560826873,561337934,561440098,561343199,560761021,559495932,559608546,559165548,559052537,559111285,558983329,558559854,555376965,555427167,546837128,536949914,535201906,522327882,508130373,480055062
Move,['5'],['19'],['18'],['19'],['9'],['26'],['21'],['15'],['26'],['108'],['58'],['51'],['17'],['36'],['64'],['76'],['84'],['20'],['90'],['83'],['83'],['42'],['80'],['68'],['72'],['102'],['10'],['64'],['37'],['85'],['231'],['140'],['75'],['601'],['1634'],['853']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only
Language,English,English,Français,English,English,English,Français,English,English,Deutsch,English,English,Français,English,Français,English,Français,Français,English,English,English,English,Français,English,English,English,English,English,Français,English,Français,English,English,Français,English,Deutsch
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Standard,Infinite,Infinite,Infinite
Clues,"['graveyard', 'Lidcombe', 'tombstone', 'Tombstone']","['china', 'bear', 'Clumsy', 'Animal', 'Black', 'White']","['Chanson', 'compositeur', 'Note', 'Instrumental', 'sol', 'Partition']","['Body', 'cathedral', 'building', 'Acropolis', 'Hindu', 'Hinduism']","['Slumber', 'Lucid', 'Sleep', 'morpheus', 'Boat', 'Weaver']","['Aquatic', 'Mammal', 'Flipper', 'Animal']","['Pascal', 'B\\u00e9b\\u00e9', 'Hannibal', 'Gigot']","['Bind', 'Hands', 'climbing', 'string']","['cock', 'doodle', 'Sunrise', 'Call', 'bantam', 'barnyard']","['Tastorgan', 'Schn\\u00e4uzer', 'zwirbeln', 'Magnum', 'Rotzbremse', 'Rotzbremse']","['browser', 'CM\\u30bd\\u30f3\\u30b0', 'Mac', '\\u30ac\\u30eb\\u30fc\\u30e9']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Krusty', 'Circus', 'Bozo', 'Bozo']","['Prestidigitateur', 'Oudini', 'Copperfield', 'Illusioniste', 'sorcier', 'Sorcier']","['Scarface', 'family', 'Capone', 'Camorra', 'criminals']","['Douille', 'Culot', 'Cloque', 'pus', 'Filament', 'Filament']","['Frais\\u00e9', 'Docteur', 'M\\u00e9tier', 'Bouche', 'Metier', 'Bouche']","['shorts', 'Body', 'Clothing', 'Beach', 'speedo']","['Mail', 'Tramp', 'Office', 'Treskilling', 'postage', 'postage']","['piece', 'Candles', 'Biscuit', 'carrot', 'wedding', 'Walk']","['Satellite', 'Europa', 'Orbital', 'Lunar']","['Deux', 'Similaire', 'paire', 'enfant']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['Bounce', 'masquerade', 'Base', 'Catch', 'Bouncy', 'Sports']","['Sia-Elastic-Heart', 'Circus', 'dragon', 'people-dog', 'Nicolas', 'Din-Tai-Fung']","['Alv\\u00e1s', '\\u00c1lom', 'K\\u00e9s\\u0151n', 'Vacsi']","['tandem', 'Road', 'raindrops', 'vechile', 'Pump']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['Shake', 'javelin', 'polearm', 'head']","['bague', 'Minecraft', 'Pr\\u00e9cieux', 'Pr\\u00e9cieux']","['Finalise', 'Culmination', 'Week', 'Final', 'Conclusion', 'Complete']","['reflection', 'wall', 'View', 'see', 'Self', 'yourself']","['botanique', 'Paris', 'l\\u00e9gumes', 'PLant', 'Potager', 'Versailles']","['aircraft', 'Skyteam', 'Air', 'Ryanair', 'Boeing', 'Boeing']","['Quecksilberimzahn', 'Rouladeninhalt', 'Zahnersatzteil', 'Pralinen\\u00fcberraschung', 'Kisseninhalt', 'Kariesschadensausbesserung']"
Mystery Word,Cemetery,Panda,Musique,Temple,Dream,Dolphin,Agneau,Rope,Rooster,Schnurrbart,Safari,Train,Pluie,Clown,Magicien,Mafia,Ampoule,Dentiste,Swimsuit,Stamp,Cake,Moon,Jumelles,Firefighter,Ball,Cage,Evening,Bicycle,Noisette,Spear,Diamant,End,Mirror,Jardin,Plane,F\u00fcllung
Guess,Cemetery,Panda,musique,Temple,dream,Dolphin,cognomen,rope,rooster,Bart,Safari,train,pluie,Clown,magicien,mafia,Ampoule,Riche,Swimsuit,Stamp,Cake,moon,Jumeaux,Fireman,ball,cage,Night,Bike,Noisette,Spear,Diamant,end,mirror,Jardin,Plane,Amalgam
