ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55
Table Number,456972250,456889982,456328314,455963409,455805973,455340110,455330446,455334723,455275490,455082060,455045761,455017730,454706392,454671717,454581307,454540377,454507210,454359529,454126781,454079247,454052017,453868231,453839362,453786489,453260378,453157825,453042281,452217300,452098399,452024828,451704018,451564924,451359006,451102160,451040966,448202573,447297035,446704104,446585119,446514318,445628197,443958521,442941057,441488112,441032575,426921218,422619886,405054016,381826421,363390977,358827793,349338828,331907183,330741642,314877288
Move,['63'],['5'],['16'],['19'],['9'],['27'],['19'],['30'],['27'],['21'],['16'],['32'],['84'],['54'],['18'],['42'],['16'],['92'],['108'],['84'],['68'],['65'],['69'],['75'],['73'],['24'],['55'],['28'],['82'],['102'],['66'],['56'],['41'],['67'],['98'],['40'],['61'],['81'],['57'],['20'],['26'],['75'],['67'],['102'],['16'],['289'],['356'],['1042'],['573'],['1288'],['1598'],['4252'],['875'],['2520'],['3314']
Mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode
Speed,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,English,Français,Français,English,Français,English,English,English,Deutsch,English,Français,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,Deutsch,Français,English,Deutsch,English,Deutsch,English,English,Français,English,Français,Français,English,Deutsch,Deutsch,Deutsch,English,English,English,English,English,English,English,English,Français,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Prot\\u00e8ge', 'Rond', 'Protection', 'Chevalier']","['tractor', 'caboose', 'Pull', 'Behind']","['Nicholas', 'Luke', 'Johnny', 'UFC']","['Bill', 'horse', 'Mylittle', 'one-trick', 'tail', 'tiny']","['Pr\\u00e9puce', 'Idiot', 'P\\u00e2tisserie', 'Chene', 'Scrat', '\\u00e9cureuil']","['Avoir', 'Le', 'Portechef', 'Rond', 'vantarderie', 'pasteque']","['Creased', 'beach', 'Oil', 'Nutella', 'Trees', 'Tree']","['Olives', 'C\\u0153ur', 'P\\u00e9pin', 'ADN', 'Centre', 'Centre']","['profession', 'Spacefarer', 'Iss', 'Buzz', 'Gagarin', 'gagarin']","['tiny', 'stallion', 'Mule', 'Mare']","['precipitation', 'Dance', 'Downpour', 'Singing', 'Umbrella']","['Standesamt', 'Gravur', 'juwelier', 'Symbol']","['serpentine', 'leather', 'Orions', 'championship', 'waistband', 'Road']","['Sol', 'M\\u00e9lodie', 'Symphonie', 'festival', 'Chanson', 'Country']","['King', 'Adlige', 'Elisabeth', 'Corgis', 'Bohemian', 'Freddy']","['Ride', 'Gesture', 'Sine', 'Greeting', 'greet']","['FRUIT', 'Groente', 'Rood', 'Rood']","['Space', 'Andromeda', 'universe', 'Guardians', 'Nebula', 'Nebula']","['Whitaker', 'enchanted', 'Copse', 'Tarzan', 'Gump', 'Gump']","['Rounded', 'Pel\\u00e9', 'Play', 'Circle', 'super', 'Sphere']","['pipe', 'pipe', 'Cil\\u00edndrico', 'Cilindro']","['Rams\\u00e8s', 'Egypte', 'Aminem\\u00e9ph\\u00e8t', 'debbouze', 'Souverain', 'souverain']","['Glass', 'pane', 'Pane']","['Processing', 'mainboard', 'Microprocessor', 'Windows', 'Monitor', 'Personal']","['Phrase', 'Cent', 'Tails', 'witcher', 'Bit']","['Gunpowder', 'Nick', 'Warship', 'Stationary', 'Artillery', 'Artillery']","['Warm', 'Nachtbezug', 'Bezug', 'Einkuscheln', 'Laken', 'Daunenf\\u00fcllung']","['Ail', 'Limace', 'Entree', 'Mollusque']","['Crossroads', 'Pitchfork', 'Lucifer', 'Tasmanian', 'Tasmanian']","['Mais', 'Hafer', 'Feldanbau', 'Ressource', 'Weizen', 'Weizen']","['transform', 'silky', 'pupa', 'encased']","['Fischer', 'ausgepowert', 'Schlagertitel', 'Pneumonie', 'Schlager', 'Schlager']","['Animal', 'Slaughterer', 'Cutter', 'Cutter']","['Movie', 'Twister', 'Windy', 'Vortex', 'funnel', 'cloud']","['Imhotep', 'temple', 'Pharaon', 'Conservation', 'Bandelettes', 'Tombeau']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Centimes', 'Salle', 'Monnaie', 'Appartement']","['Communication', 'Chat', 'Glossite', 'vocabulaire', 'Bouche', 'Esp\\u00e9ranto']","['guacamole', 'Hat', 'Mexican', 'Mexican', 'hat', 'hat']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Zigaretten', 'Rauchen', 'Pflanze', 'nikotin', 'Nikotinhaltig', 'pflanzlich']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Guard', 'Jail', 'Inmate', 'Inmate']","['Place', 'Site', 'Card', 'Cineplex']","['Mountain', 'Train', 'dig', 'connect']","['Freaky', 'fifth', 'fish', 'TGI']","['wrist', 'spectate', 'Rolex', 'Timex', 'Timex']","['Sans', 'main', 'Mascotte', 'Linux']","['Disposable', 'Dab', 'Multilayered', 'Kleenex', 'Kleenex']","['Aria', 'Sydney', 'Carmen', 'Phantom', 'Phantom', 'Phantom']","['Suspendu', 'Laviolette', 'Avignon', 'Construction']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Bouclier,Trailer,Cage,Pony,Gland,Melon,Palm,Noyau,Astronaut,Pony,Rain,Ehering,Belt,Musique,Queen,Wave,Tomato,Galaxy,Forest,Ball,Tube,Pharaon,Window,Computer,Coin,Cannon,Bettdecke,Escargot,Devil,Getreide,Cocoon,Atemlos,Butcher,Tornado,Momie,Grape,Pi\u00e8ce,Langue,Sombrero,Meerjungfrau,Tabak,Nest,Bow,Anchor,Scale,Prison,Scene,Tunnel,Friday,Watch,Manchot,Tissue,Opera,Pont,Circle
Guess,casque,Trailer,Cage,Pony,Gland,Melon,,Noyau,Astronaut,Pony,rain,Ring,belt,Musique,Queen,thumb,Tomato,Galaxy,Forest,Ball,,Pharaon,,computer,Coin,Cannon,Bettdecke,Escargot,,Getreide,cocoon,atemlos,Butcher,Tornado,pyramide,,pi\u00e8ce,langue,Vegetable,Meerjungfrau,Tabak,,artist,,,Prison,Scene,Tunnel,friday,Watch,Manchot,tissue,Opera,Pont,Circle
