ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73
Table Number,449425569,449098708,449098245,448980049,448910094,448781326,448760628,448763906,448756375,448611183,448555622,448494580,448478666,448457902,448361517,448229159,448202573,448197521,448119726,447870828,447722850,447667140,447616638,447552243,447438212,447271305,447157793,447143013,447073159,446951295,446893723,446837104,446753981,446707104,446514318,446503684,446291423,445864849,445363392,445140501,445076145,445072361,444991324,444725155,444566721,443819359,443775902,443746698,443300228,443203411,443085305,442941057,442755037,441032575,440978972,440225058,440174401,438717097,438284391,438071472,435781132,430526833,429726886,422619886,393621459,381777020,374138794,348302073,343894377,328236739,319065151,314877288,312175859
Move,27,6,22,83,40,24,49,19,24,27,42,29,37,26,14,37,40,43,36,18,40,42,50,66,36,55,72,45,64,58,66,58,54,54,20,29,48,93,64,63,83,45,65,64,56,63,377,118,18,75,45,67,42,15,7,106,65,62,107,55,11,18,67,316,795,823,1059,2080,1906,2835,277,3314,1654
Clues,"['rodeo', 'Amuse', 'Krusty', 'harlequin', 'Creepy', 'Pennywise']","['Gryffondor', 'Armure', 'Excalibure', 'Mousquetaire', 'Fourreau', 'Fourreau']","['Classifieds', 'periodical', 'Gazette', 'printout', 'morning', 'Article']","['\\u3048\\u3093\\u305f\\u304f', '\\u3042\\u304d\\u3084\\u307e\\u308c\\u3093', '\\u30e6\\u30cb\\u30c3\\u30c8', '\\u307e\\u3082\\u308b']","['Away', 'Crusoe', 'Lonely', 'isolated', 'Greenland', 'water']","['Undead', 'Transylvania', 'Survivor', 'Bat', 'Diaries']","['run', 'marathon', '5K', 'Rat']","['spinnaker', 'Fish', 'Boat', 'Hydrofoil', 'AWOLnation', 'dock']","['African', 'Mediterranean', 'Rice', 'Kusksi', 'Semolina', 'Semolina']","['caribbean', 'Cyprus', 'remote', 'isolated', 'marooned', 'Galapagos']","['Deutschlandlied', 'Toupet', 'Sonnenbrille', 'Schlagers\\u00e4nger', 'schwarze', 'Barbara']","['Volta', 'D\\u00e9marreur', 'Pile', 'Artillerie', '\\u00c9lectrique', 'lithium']","['Gruff', 'mountain', 'Bleat', 'Billy', 'billy', 'Billy']","['artificial', 'Rock', 'Santas', 'Building', 'Cave', 'Garden']","['Deck', 'Birthday', 'Birthday', 'Birthday']","['Touch', 'Paint', 'Tooth', 'Paint', 'Tooth', 'Paint']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['John', 'Filmserie', 'Sly', 'Paraderolle']","['timut', 'Arvor', 'Moutarde', 'Piquant', 'Moulin', 'Sel']","['catamaran', 'kansas', 'Aerial', 'Spiral', 'Cyclone', 'Alley']","['covering', 'rainy', 'Rainy', 'rain', 'rain']","['Spaghetti', 'pasta', 'Pool', 'penne', 'Pho']","['cancer', 'smoke', 'Marlboro', 'Marlboro']","['tonfa', 'pistol', 'Dagger', 'Shiv', 'Arms', 'Siege']","['IG-88', 'Cyborg', 'Robbie', 'Asimov']","['Bure', 'mari\\u00e9e', 'Soir\\u00e9e', 'Jupe', 'V\\u00eatement', 'V\\u00eatement']","['Hitmonchan', 'Beverage', 'brawling', 'Haymaker', 'Fruit', '-drunk']","['bell', 'antenna', 'Fortification', 'Building', 'Rapunzel', 'Tall']","['Baudet', 'Peau', 'Hiiiihan', 'Gris', 'Bonnet', 'Bonnet']","['A23a', 'Tip', 'glacier', 'lettuce', 'Lettuce', 'Glacier']","['if', 'Foret', 'guirlande', 'Ornements', 'hors-piste', 'Cercueil']","['Wonka', 'Cacao', 'white', 'Sweet']","['Pavlova', 'oven', 'Wedding', 'fondant', 'dessert', 'Lie']","['X', 'Fois', 'lorraine', 'Morpion', 'Fer', 'crucifix']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['American', 'Climb', 'valley', 'Speaking']","['monster', 'F350', 'lorry', 'Tonka', 'Freight', 'driver']","['semolina', 'Pasta', 'Food', 'barley', 'Dish', 'Dish']","['neck-', 'Draw', 'cravat', 'Windsor', 'Knot', 'Knot']","['darker', 'Cigarette', 'zippo', 'Spark', 'zippo', 'Spark']","['Herb', 'Gilroy', 'deterrent', 'Vampire', 'clove', 'clove']","['weekly', 'night', 'thirteenth', 'Thirteenth', 'Freaky', 'freaky']","['Euchre', 'cheap', 'Magic', 'Illusion', 'Illusion', 'Magic']","['Mond', 'Ra', 'Sommer', 'Uv', 'Stern', 'Stern']","['Cayman', 'Kauai', 'archipelago', 'Australia', 'Hawaii', 'Love']","['Worsted', 'Alpaca', 'Spun', 'Steel', 'Merino', 'Merino']","['peste', 'surmulot', 'Souris', 'Atouille']","['Tree', 'Blower', 'Foliage', 'Maple', 'Frond', 'Autumn']","['Pink', 'Flying', 'Woolley', 'Mammoth', 'Horton', 'Babar']","['tentacles', 'oceanic', 'Soft', 'Ink', 'Cephalopod', 'Aquarium']","['S\\u00fcdpol', 'Happy', 'Feet', 'Kaiser', 'Vogel', 'Vogel']","['Respect', 'tie', 'tie', 'NA']","['Animal', 'Hunter', 'Coat', 'Leather', 'Coat', 'Leather']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['cloth', 'Square', 'Bib', 'Wipe', 'towelette', 'Towelette']","['Incisor', 'Buck', 'Molar', 'canine', 'Molar', 'Canine']","['Lonely', 'Meditation', 'Secluded', 'Loner', 'remote', 'Living']","['Salem', 'Hag', 'warlock', 'Cackle', 'Hunt', 'wicked']","['Pancakes', 'pour', 'tree', 'sticky', 'Sticky', 'sticky']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['0', 'X', 'browser', 'Browser']","['Bath', 'Air', 'Toes', 'Pop', 'Snot']","['Centre', 'Cay', 'Thousand', 'Dressing']","['Jeanpierre', 'roulette', 'glace', 'Freiner', 'd\\u00e9color\\u00e9']","['Luchador', 'Zorro', 'Cover', 'Halloween']","['bread', 'Ear', 'grain', 'Grain']","['Paques', 'Tinter', 'Eglise', 'Bruit', 'Bruit', 'Eglise']","['Huron', 'Superior', 'Erie', 'Erie']","['USA', 'Liberty', 'monument', 'bronce', 'sculpture']","['Garrotxa', 'Pompeii', 'Peak', ""Dante's""]","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']","['Mandala', 'Gra', 'Szary', 'Twardy']"
Mystery Word,Clown,\u00c9p\u00e9e,Newspaper,Knight,Island,Vampire,Race,Sail,Couscous,Island,Heino,Batterie,Goat,Grotto,Card,Brush,Grape,Rambo,Poivre,Tornado,Umbrella,Noodle,Cigarette,Weapon,Robot,Robe,Punch,Tower,\u00c2ne,Iceberg,Sapin,Chocolate,Cake,Croix,Meerjungfrau,Accent,Truck,Couscous,Tie,Lighter,Garlic,Friday,Trick,Sonne,Island,Wool,Rat,Leaf,Elephant,Octopus,Pinguin,Bow,Fur,Scale,Candle,Napkin,Tooth,Hermit,Witch,Syrup,Poil,Safari,Bubble,Island,Patin,Mask,Wheat,Cloche,Lake,Statue,Volcano,Circle,Stone
Guess,Clown,Chevalier,Newspaper,knight,Island,Vampire,Race,Sail,Couscous,Island,Heino,Batterie,goat,House,ship,screen,,Rambo,Poivre,Tornado,Blanket,Noodle,Cigarette,weapon,Robot,Robe,Punch,tower,\u00e2ne,,Sapin,chocolate,Cake,Croix,Meerjungfrau,Silicon,Truck,Wheat,Tie,flame,garlic,game,Trick,Sonne,island,wool,Rat,Leaf,Elephant,Octopus,,artist,Tiger,,,,Tooth,Alone,Witch,syrup,Poil,,Bubble,Island,Boule,Mask,corn,cloche,Lake,statue,Volcano,Circle,Stone
