ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66
Table Number,455303315,454973381,454918899,454799542,454780384,454723037,454706392,454698112,454546304,454517779,454347001,454282759,454112416,454079247,454009839,453839362,453780568,453577914,453452856,453260594,453219940,453157458,453131304,453055936,453052420,452782963,452785813,451961751,451907063,451909063,451770104,451564924,451217602,451028830,450820733,450758314,450631466,450259336,450053806,449982507,449750538,449639325,449496845,448673935,448202573,446514318,445975209,443958521,443300228,442941057,441488112,441032575,440978972,430526833,423771261,405054016,393621459,374138794,350481361,348302073,343894377,336562502,324806575,322628136,318673641,314877288
Move,6,9,9,10,19,42,18,49,39,10,18,18,72,38,36,32,20,64,9,15,39,36,57,81,65,85,36,21,99,73,68,44,38,60,43,43,66,36,66,76,55,52,83,83,40,20,74,75,31,67,102,15,7,18,1065,1037,862,1111,3869,2149,1992,1388,1571,4003,3206,3314
Clues,"['Peabody', 'Moody', 'Layton', 'Snape', 'Moriarty', 'Moriarty']","['leaning', 'Rapunzel', 'Orthanc', 'Turret', 'BAbel', 'Skyscraper']","['Fourche', 'Bambou', 'Herbe', 'Siroter', 'Foin', 'Foin']","['Paper', 'Clean', 'table', 'towel']","['Pointue', 'Durillon', '\\u00c9lan', 'Gazelle', 'Abondance', 'abondance']","['Blague', 'Noir', 'Caucasserie', 'Dr\\u00f4le', 'Drolatique', 'Dr\\u00f4lerie']","['ticker', 'Holm', 'cattle', 'bullion', 'trading', 'Out']","['Barbier', 'Per\\u00fcckenmacher', 'Haarstylist', 'Dauerwelle', 'Beruf', 'Schere']","['needle', 'timber', 'Siberian', 'Apple', 'Tree', 'Tree']","['Chivago', 'Myeyes', 'medic', 'physician']","['Menu', 'Vittles', 'Nutrition', 'Oat', 'Brunch', 'Dinner']","['Gr\\u00fcnschnittbewegerin', 'Auflockern', 'Laub', 'Laub', 'Garten', 'Gartenwerkzeug']","['Linus', 'Duvet', 'Quilt', 'Bedding']","['Food', 'Robuchon', 'Claude', 'Master', 'cook', 'Cook']","['Deep', 'Eleven', 'Eleven', 'eleven', 'Indian', 'Indian']","['bite', 'Shoot', 'Projectile']","['Atouts', 'Bras', 'Veston', 'Courte']","['Ricotta', 'photographing', 'Jarlsberg', 'Burger', 'Gouda', 'whiz']","['Quack', 'kreksiukas', 'rubber', 'Feather', 'Donald', 'Donald']","['glacier', 'bits', 'frozen', 'lettuce']","['Biscoff', 'cake', 'Oatmeal', 'milk', 'monster', 'oreo']","['Peinture', 'Internet', 'Picasso', 'De', 'Araignee', 'Araign\\u00e9']","['\\u30a6\\u30a9\\u30b7\\u30e5\\u30ec\\u30c3\\u30c8', '\\u306f\\u3044\\u3059\\u3044\\u3053\\u3046', '\\u3081\\u3044\\u3057', '\\u30de\\u30f3\\u30db\\u30fc\\u30eb', '\\u30de\\u30f3\\u30db\\u30fc\\u30eb', '\\u30de\\u30f3\\u30db\\u30fc\\u30eb']","['Evolved', 'mammoth', 'Asian', 'trunk', 'Nose', 'Mammal']","['Line', 'Scouts', 'lasso', 'knots', 'ADope']","['sheep', 'moon', 'Beast', 'Howl', 'dire-', 'dire']","['cone', 'Pinyon', 'Cones', 'Tree', 'scented', 'Ornament']","['Ovinomancer', 'Baa', 'Bopeep', 'Welsh']","['Barreaux', 'But', 'folles', 'Lapind', 'voli\\u00e8re', 'Barreau']","['Ayurvedic', 'Antibiotics', 'Panacea', 'Rx', 'Acetaminophen', 'pill']","['Zeedier', 'Ringen', 'Tentakels', 'Tentakels']","['gr\\u00fcn', 'kleiner', 'gr\\u00fcner', 'Feige', 'W\\u00fcste', 'W\\u00fcste']","['Crying', 'Tears', 'Layers', 'Shrek', 'vegetable', 'cippolini']","['Maple', 'Rake', 'foliage', 'oak']","['board', 'dude', 'peircing', 'nose', '2x4', '2x4']","['Rail', 'Point', 'Petticoat', 'coupling', 'Train', 'Pipe']","['Seigneurie', 'Meunier', 'Scie', 'Rouge', 'Rouge']","['Margaritifera', 'Mollusk', 'necklace', 'necklace', 'oyster', 'oyster']","['friction', 'Wave', 'Round', 'high', 'Sweltering', 'Temperature']","['Wasabi', 'Hotdog', 'plant', 'yellow', 'Dijon', 'Dijon']","['Calligraphie', 'Oiseaux', 'Pic', 'Jeu', 'Leger', 'Volatile']","['Rauchzeug', 'Pueblo', 'Zigarette', 'Pflanze']","['Alladin', 'Paillasson', 'Aladin', 'Volant', 'volant', 'Volant']","['Sinzelius', 'Schatzaufbewahrungskiste', 'Schatz', 'Kiste', 'Kiste']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Special', 'master', 'Boyardee', 'Food', 'Sous', 'Sous']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Blizzard', 'Penguins', 'powder', 'fallen', 'Let', 'It']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['0', 'X', 'browser', 'Browser']","['Requisiten', 'Broadway', 'Oper', 'Freilicht', '\\u00dcn\\u00f6']","['song', 'blanket', 'Manhole', 'Duotang']","['tuba', 'RADE', 'Visage', 'Chirurgical', 'Fer']","['scary', 'beetle', 'large', 'bug']","['Point', 'Ah-ah', 'Light', 'Photography']","['Kaiju', 'Orimiya', 'Lecture', 'MAELLE', 'one', 'piece']","['Baby', 'Chicken', 'Adee', 'Cheep']","['Particule', 'Moutarde', 'sable', 'bl\\u00e9', 'C\\u00e9r\\u00e9ales', 'Sel']","['Busy', 'Stripes', 'Waggle', 'Pollinate', 'Swarm', 'May']","['category', 'Club', 'Central', 'central', 'Comedy']","['fire', 'Jamie', 'Murdoch', 'Brown', 'Hound']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Professor,Tower,Paille,Napkin,Corne,Humour,Stock,Friseur,Pine,Doctor,Meal,Harke,Blanket,Chef,Ocean,Bullet,Manche,Cheese,Duck,Iceberg,Cookie,Toile,Sewer,Elephant,Rope,Wolf,Pine,Sheep,Cage,Medicine,Octopus,Kaktus,Onion,Leaf,Stud,Junction,Moulin,Pearl,Heat,Mustard,Plume,Tabak,Tapis,Truhe,Grape,Meerjungfrau,Chef,Nest,Snow,Bow,Anchor,Scale,Candle,Safari,B\u00fchne,Cover,Masque,Cockroach,Flash,Manga,Chick,Grain,Bee,Comedy,Fox,Circle
Guess,Professor,Tower,Bois,Napkin,Corne,Humour,,Friseur,pine,doctor,Food,,Blankets,Chef,,,Manche,Cheese,,Iceberg,Cookie,Toile,toilet,Elephant,Rope,Wolf,pine,Sheep,Cage,medicine,Inktvis,Kaktus,onion,leaf,surfer,Junction,Moulin,oyster,heat,Mustard,plume,Tabak,Tapis,Truhe,,Meerjungfrau,chef,,Snow,artist,,,,,Theater,Cover,masque,cockroach,Flash,Manga,chick,grain,Bee,Book,Paper,Circle
