ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65
Table Number,544033867,544105430,543791612,543654467,543282256,543288918,543375887,543621418,543098019,543089170,543159061,542498736,542826274,542555395,542741721,542644361,542382389,542604093,542540219,542183753,542267910,541902504,541693041,541623898,541638788,541117818,541159077,541085521,540551995,540915794,539937223,539877940,539797022,539746804,539660042,539174201,537929434,537515857,536784008,537725271,537036300,535380893,533993182,534528798,533904294,533093056,532275661,531294042,530819309,528822756,528624330,528244412,526405578,526272417,523793465,522327882,521791242,489469138,481212678,431028987,422619886,405054016,396307534,358827793,317609821
Move,['5'],['9'],['9'],['14'],['6'],['18'],['16'],['28'],['6'],['27'],['36'],['25'],['38'],['12'],['54'],['25'],['43'],['60'],['31'],['21'],['36'],['46'],['31'],['109'],['59'],['54'],['101'],['30'],['68'],['83'],['39'],['20'],['84'],['78'],['85'],['63'],['27'],['51'],['50'],['63'],['58'],['11'],['45'],['25'],['42'],['31'],['99'],['14'],['49'],['112'],['52'],['44'],['153'],['24'],['85'],['316'],['38'],['1042'],['265'],['1444'],['810'],['2748'],['665'],['2566'],['2175']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,Français,English,Français,English,English,English,English,English,English,English,Français,Deutsch,English,Deutsch,Français,English,Deutsch,English,English,Deutsch,Français,English,English,Français,English,Français,English,English,Deutsch,English,Deutsch,English,English,English,Français,English,English,English,English,Français,Deutsch,Français,English,Deutsch,Français,English,English,Français,English,English,English,English,Français,Français,English,Français,English,Français,English,English,English,English,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Onde', 'Ocean', 'Surf', 'Houle']","['Rhinoceros', 'neigh', 'Steed', 'Rainbow', 'Mythical', 'magical']","['standard', 'Ensemble', 'Ecole', 'Scolaire', 'tenue', 'tenue']","['Broadcast', 'Parked', 'Popeye', 'Ship\\u2019s']","['Headstone', 'Rip', 'Concern', 'digger', 'death', 'ground']","['Beverage', 'Fluid', 'WRLD', 'fruit', 'cranberry', 'liquid']","['Lebowski', 'alley', 'Ball', 'Split', 'Hat']","['Heirloom', 'marinara', 'Brandywine', 'Ketchup', 'ketchup', 'Ketchup']","['Glass', 'Ring', 'Gemstone', 'Crystal', 'Jewel', 'Precious']","['Bow', 'Reef', 'Knot', 'neck', 'Draw', 'Shoe']","['Valise', 'Scolaires', 'Repos', 'Voyage']","['Tagesschauende', '7-Tage-Vorhersage', 'Regen']","['Knight', 'human', 'Agents', 'Block', 'Buckler', 'hoplites']","['Superschlau', 'Einstein', 'IQ', '150', 'Person', 'Geisteskraft']","['d\\u00e9route', 'Jeu', 'd\\u00e9faite', 'Mat', 'Mat', 'Mat']","['Mountains', 'Axe', 'gnome', 'Grumpy', 'Thorin', 'Oakenshield']","['Abschnitt', 'fertig', 'Aus', 'Omega']","['Laboratory', 'Beaker', 'biology', 'Biology']","['Choker', 'Chain', 'Pearls', 'Amulet', 'Pendant', 'Locket']","['Luftspiegelung', 'Kamel', 'Muttersbiblekreis', 'Erleichterung']","['Laitue', 'Polaire', 'Tip', 'Glacier']","['acapella', 'Lid', 'hide', 'ground', 'Protect', 'Duck']","['Utensil', 'Cover', 'eye', 'top', 'Twist', 'Open']","['Mazagran', 'Zip', 'R\\u00e9cipient', 'Soucoupe', 'cafe', 'Caf\\u00e9']","['water', 'Desert', 'Wonderwall', 'Fountain', 'Mirage', 'Refuge']","['Popeye', 'Tuyau', 'Cigare', 'Turlutte', 'tabac', 'tabac']","['tyres', 'Ute', 'lorry', 'Skateboard', 'Ford', 'Mack']","['Motor', 'Transport', 'Honda', 'Lexus', 'Rally', 'Racing']","['Beatles', 'Zeitangabe', 'McCartney', 'Englisch', 'Dienstag', 'Vergangen']","['Cocktail', 'Academy', 'Poppins', 'Academy', 'Poppins', 'MaryPoppins']","['Troubadix', 'Film', 'Obelix', 'Comic', 'Idefix', 'Idefix']","['snoop', 'sleuth', 'espionage', 'Espionage']","['Dessert', 'Natural', 'Hallucination', 'Incredibles', 'Oasis', 'Oasis']","['linear', 'Gas', 'engine', 'Head', 'Power', 'power']","['Desperados', 'Paille', 'Hat', 'Muchachos', 'Chapeau', 'Mexique']","['Girl', 'Baby', 'Baby', 'Baby']","['Muffin', 'Butch', 'horse', 'Hottie', 'piercing', 'Bolt']","['Looking', 'Glass', 'On', 'wall']","['potato', 'Tree', 'Bottom', 'ginseng', 'cause', 'cause']","['course', 'textile', 'sol', 'sol']","['Expedition', 'K\\u00e4lte', 'Staatsfrei', 'Pol', 'S\\u00fcdpol']","['Collier', 'Doom', 'Bijou', 'Brillant', 'Hu\\u00eetre']","['Hemlock', 'Toxin', 'sick', 'Oak']","['Religion', 'Sanctuary', 'Indiana', 'Kerkelijk', 'prey']","['Trevi', 'Femme', 'abreuvoir', 'puit', 'Fable', 'Fable']","['Sea', 'Sail', 'Salty', 'Indian', 'Arctic', 'Tides']","['Mousse', 'Scrumdidilyumptious', 'Ganache', 'Ghirardelli', 'Bunny']","['Restaurant', 'Maigre', 'Service', 'Choix', 'Carte', 'Carte']","['It', 'Bozo', 'Funny', 'Smaldini', 'circus', 'makeup']","['Hot', 'Buns', 'Jesus', 'Tree']","['toothpaste', 'container', 'pipe', 'soft', 'you', 'inner']","['tuxedo', 'garfield', 'Nip', 'meow', 'meow', 'Meow']","['Gardien', 'Mac\\u00e9o', 'Dieu', 'Aur\\u00e9ole']","['Concert', 'Notes', 'note', 'm\\u00e9lodie']","['Paste', 'off', 'Hair', 'bristle', 'groom', 'paint']","['Chocolat', 'orage', 'electro', 'Lumi\\u00e8re', 'M\\u00e9teo', 'TampaBay']","['wool', 'mehhhh', 'Count', 'grass', 'soft', 'Animal']","['Ralentissement', 'Obturateur', 'embouteillage', 'li\\u00e8ge', 'Li\\u00e8ge', 'Li\\u00e8ge']","['Practicle', 'Jokes', 'Spades', 'Hearts', 'Or', 'Treat']","['Chocolate', 'Pub', 'Drinks', 'stool']","['imperial', 'Headdress', 'tooth', 'hat']","['Rule', 'Steep', 'playground', 'Playground']","['Underground', 'toilet', 'line', 'septic', 'drainage', 'drain']","['maillons', 'accroch\\u00e9s', 'Nebulaire', 'String']","['alt24', 'Archer', 'Projectile', 'Sagittaire', 'Jo', 'Cupidon']"
Mystery Word,Vague,Unicorn,Uniforme,Anchor,Grave,Juice,Bowling,Tomato,Diamond,Tie,Vacances,Wetterbericht,Shield,Genie,\u00c9chec,Dwarf,Ende,Science,Necklace,Oase,Iceberg,Cover,Lid,Tasse,Oasis,Pipe,Truck,Car,Yesterday,Umbrella,Asterix,Spy,Mirage,Motor,Sombrero,Chick,Stud,Mirror,Root,Tapis,Antarktis,Perle,Poison,Tempel,Fontaine,Ocean,Chocolate,Menu,Clown,Cross,Tube,Cat,Ange,Musique,Brush,\u00c9clair,Sheep,Bouchon,Trick,Bar,Crown,Slide,Sewer,Cha\u00eene,Fl\u00e8che
Guess,Vague,Unicorn,classe,Anchor,grave,Juice,Bowling,Tomatoe,diamond,Tie,Adulte,Wetterbericht,shield,Genie,Echec,Gimli,Ende,,necklace,oase,Iceberg,Cover,Lid,Tasse,oasis,Pipe,Pickup,Car,Gestern,glass,Asterix,Detective,Oasis,Line,Sombrero,Female,lightning,mirror,root,tapis,Antarktis,Perle,Poison,,fontaine,Ocean,Chocolate,Menu,clown,Cross,toothbrush,cat,,Musique,,\u00c9clair,sheep,bouchon,Tricks,Bar,Crown,Cliff,sewers,Chaine,fleche
