ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51
Table Number,513945485,513973547,513603313,512804262,512998864,513077559,513078720,512593105,512911490,512509104,512598970,512334360,512208215,512115878,511473406,512166193,512111683,511287549,511792637,511681898,511679656,511070791,511249713,511129871,510979110,510824814,510605123,510489244,510269410,509980948,509085681,508762408,508151957,508116165,507832390,507294423,506453655,505741993,505196983,504721368,504876059,503370597,503273217,499939612,496712411,493769667,493662581,488379380,478910455,343894377,322726720
Move,['9'],['18'],['6'],['58'],['20'],['49'],['36'],['17'],['36'],['60'],['37'],['76'],['68'],['47'],['25'],['42'],['46'],['83'],['66'],['102'],['37'],['15'],['112'],['20'],['49'],['51'],['44'],['100'],['33'],['73'],['50'],['99'],['23'],['66'],['22'],['93'],['74'],['65'],['83'],['67'],['24'],['49'],['38'],['72'],['271'],['57'],['49'],['79'],['235'],['2743'],['1263']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,Français,English,Français,English,English,English,English,Français,English,English,English,English,English,English,English,English,Français,English,English,English,Français,English,English,Français,Français,English,Français,English,English,English,English,English,English,English,English,English,Français,English,English,Français,English,Français,Français,English,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Infinite,Infinite
Clues,"['Diad\\u00e8me', 'F\\u00e8ve', 'Monnaie', 'Epiphanie', 'sceptre', 'Sceptre']","['preserved', 'Daddy', 'Cleopatra', 'Movie', 'embalmed', 'Embalm']","['Rond', 'ornement', 'Ostr\\u00e9iculture', 'Habor', 'Huitre', 'Huitre']","['Bronzong', 'chime', 'jingle', 'pepper']","['medical', 'building', 'discharge', 'ward', 'Surgeon', 'Emergency']","['hole', 'SHINEE', 'Piano', 'Skeleton', 'Unlock']","['tree', 'Avocado', 'Apple', 'Bartlett', 'Anjou', 'Shaped']","['Coupe', 'Cheveux', 'Metier', 'Brushing']","['rascal', 'sideshow', 'Lawn', 'womanizer', 'leaves', 'Leaf']","['Colada', 'Gimlet', 'martini', 'conception', 'Tom', 'Cruise']","['shortbread', 'Sweet', 'baked', 'crumbs', 'Snickerdoodle', 'Oatmeal']","['Auroro', 'Monsoon', 'Ororo', 'Brain', 'Thunder', 'Thunder']","['packaged', 'egg', 'milk', 'Cigarettes', 'Cigarettes']","['Toupee', 'Mat', 'Persian', 'Carpet', 'Shag', 'rats']","['basket', 'Enclosed', 'Frame', 'brief', 'Brief']","['Hannibal', 'ivory', 'animal', 'nose', 'Indian', 'Wrinkly']","['Carotte', 'Litt\\u00e9rature', 'cil', 'flemmardise']","['Tesla', 'car', 'head', 'Boat', 'mouth']","['Urgency', 'contact', 'room', 'department', 'Sudden', 'dire']","['pineapple', 'Bob', 'Scrub', 'squarepants', 'absorb', 'Absortion']","['airbus', 'Concorde', 'boeing', 'Boeing']","['Ancient', 'Execute', 'behead', 'Behead']","['Pasture', 'Cows', 'agriculture', 'Paddock', 'Myuna', 'Stardew']","['Samedi', 'Temp\\u00e9ratures', 'jaune', 'samedi-soir']","['Scene', 'Spectacle', 'Pi\\u00e8ce', 'De']","['Halloween', 'sour', 'confection', 'SWEET', 'Sweets']","['halloween', 'Cucurbitac\\u00e9e', 'Carrosse', 'cendrillon', 'Cendrillon', 'Cendrillon']","['Slot', 'Royale', 'bet', 'LasVegas', 'blackjack', 'Blackjack']","['Camoflauge', 'Outdoor', 'Person', 'food', 'Tracking', 'tracking']","['Islam', 'Waxing', 'Sliver', 'Moon', 'Roll', 'croissant']","['Deepdish', 'Circle', 'Margherita', 'Hawaiian']","['Hint', 'Iceberg', 'Gratuity', 'gratuity']","['Hamer', 'Lakken', 'Pijnlijk', 'Gereedschap']","['Megan', 'Sourgrapes', 'news', 'Coyote']","['Groundcover', 'leaf', 'Lucky', 'lucky']","['skyjump', 'Skydiving', 'Ripcord', 'Brolly', 'Airplane', 'Golden']","['fertile', 'P\\u00e2tisserie', 'Grandissant', 'Lune', 'Boulangerie', 'beurre']","['Chantrel', 'porcini', 'Fungi', 'cap', 'Chanterelle', 'chanterelle']","['Flight', 'Commander', 'captain', 'license', 'Honda']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['flowing', 'water', 'Amazon', 'Mississippi', 'Rapids', 'Pocahontas']","['Coco', 'bavard', 'Menthe', 'Zoo', 'Ara']","['Nutella', 'Amande', '\\u00e9cureuil', 'nourriture']","['Swine', 'Wilbur', 'oink', 'oink']","['Gym', 'Amazon', 'Fever', 'Bungle', 'Lion', 'Sleeps']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Computer', 'LCD', 'Fly', 'Genetic', 'Oled', 'Spf50']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['Red', 'ant', 'spots', 'beetle', 'aphid', 'eater']","['Orange', 'Drink', 'Fruit', 'Box']","['Asia', 'Bear', 'Eyes', 'Animal', 'Bamboo', 'Bamboo']"
Mystery Word,Couronne,Mummy,Perle,Bell,Hospital,Key,Pear,Coiffeur,Rake,Cocktail,Cookie,Storm,Carton,Rug,Case,Elephant,Poil,Motor,Emergency,Sponge,Avion,Guillotine,Farm,Fi\u00e8vre,Th\u00e9\u00e2tre,Candy,Citrouille,Casino,Hunter,Crescent,Pizza,Tip,Nail,Fox,Clover,Parachute,Croissant,Mushroom,Pilot,Vache,River,Perroquet,Noisette,Pig,Jungle,Spider,Screen,Poup\u00e9e,Ladybug,Juice,Panda
Guess,couronne,Mummy,Perle,Bell,hospital,key,pear,coiffeur,,Dwarf,Biscuit,Season,carton,Rug,gift,Elephant,Poil,Motor,emergency,sponge,Avion,guillotine,Farm,code,Th\u00e9\u00e2tre,Lemonheads,Citrouille,Casino,,Crescent,pizza,Problem,Nails,immigrant,clover,Parachute,Croissant,Mushroom,Pilot,Vache,river,Perroquet,Noisette,prg,jungle,Spider,Screen,Poup\u00e9e,ladybug,,
