ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47
Table Number,561485415,561221178,561394368,561249536,560943061,561063949,561172884,560283584,560087124,560486445,560201505,560319663,559673599,559660754,559369299,559111285,558785511,558891617,558983329,558251247,558178570,557890730,556691236,556270645,556269424,556032942,555855880,555376965,555066907,554164028,552904963,551020732,550187728,549836070,544337775,540361426,536050302,528822756,516738278,496712411,489194416,478910455,478416865,374138794,366888891,358827793,312552889
Move,['5'],['9'],['9'],['78'],['21'],['9'],['6'],['20'],['18'],['57'],['27'],['65'],['24'],['38'],['45'],['36'],['20'],['43'],['10'],['22'],['53'],['28'],['66'],['37'],['64'],['51'],['106'],['37'],['56'],['51'],['50'],['36'],['126'],['96'],['57'],['531'],['62'],['254'],['1161'],['841'],['976'],['348'],['1426'],['2166'],['1489'],['2844'],['2474']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,Français,English,English,English,English,English,Français,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,Français,English,English,English,Français,English,English,English,Français,Français,Deutsch,Français,English,English,English,English,English,Français,English,Français,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Symbole', 'Crucifix', 'Multiplication', 'Film...']","['Station', 'Band', 'Caboose', 'railway', 'Conductor', 'conductor']","['Devo', 'Indiana', 'lash', 'cream', 'Cowboy', 'Dominatrix']","['Spelunker', 'stalagmite', 'Bat', 'johnson', 'Flintstone']","['Shot', 'Ceramic', 'coffee', 'cup']","['Bird', 'Colourful', 'Tropical', 'Dead', 'macaw', 'shoulder']","['Merci', 'Einstein', 'enseignement', 'autorit\\u00e9']","['Schnee', 'Tennis', 'Volley...', 'Opern...']","['Silent', 'Slealthy', 'Warrior', 'Invisible', 'Shiruken', 'Shuriken']","['Damp', 'Glasfryn', 'Spores', 'Wethers']","['Claritin', 'tylenol', 'Prescribed', 'Pharmacist', 'Caduceus']","['cork', 'Toast', 'Bubbly', 'bubbly']","['Climate', 'Vane', 'Forecast', 'Inclement', 'Inclimate']","['Aperitif', 'Allergy', 'Roasted', 'Brittle', 'Goober', 'goober']","['Sucrose', 'Glucose', 'Dark', 'Molasses', 'Cane', 'Unhealthy']","['Pearl-Krabs', 'The-Legendary-Fisherman', 'oldman', 'Pinocchio', 'Guishan-Island', 'Mammal']","['Blossom', 'Bing', 'pit', 'Maraschino', 'cola', 'Cola']","['Tulip', 'Iris', 'Daffodil', 'Marigold', 'Petal', 'Petal']","['Alv\\u00e1s', '\\u00c1lom', 'K\\u00e9s\\u0151n', 'Vacsi']","['Klein', 'Eten', 'tarwe', 'Haver']","['hidden', 'Island', 'Chest', 'Find', 'X', 'X']","['Degrees', 'Appliance', 'Bun', 'Bake']","['Cassonade', 'Taux', 'roux', 'muscovado', 'Cafe', 'Canne']","['Militaire', 'Aviateur', 'Sauvetage', 'A\\u00e9rien', 'Saut', 'Saut']","['septum', 'nostrils', 'Frosty', 'button']","['PAX', 'mistletoe', 'Twelve', 'twelve', '12']","['Juice', 'marmalade', 'Color', 'Cheeto', 'Colour', 'Black']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['mount', 'donkey', 'Uber', 'Journey', 'Lyft', 'Cab']","['diamond', 'anklet', 'stone', 'gemstone']","[""'70s"", 'case', 'Musical', 'Talent']","['Abeille', 'Tartines', 'Apiculteur', 'Apiculteur']","['Sang', 'Mouvement', 'De', 'De', 'Judo', 'Judo']","['Blutwurst', 'Kalt', 'V', 'Zur\\u00fcckschlagen', 'RAMBO']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['Oreo', 'Spritz', 'Cutter', 'Dough']","['Bri', 'cheated', 'past', 'future']","['Buddhist', 'Mosque', 'Church', 'Church']","['After', 'Larvae']","['Me', 'Close-up', 'hat', 'Assistant', 'rabbit', 'Rabbit']","['Rocky', 'sport', 'rings', 'uppercut']","['vehicle', 'guts', 'vroom', 'BIKE', 'cycle', 'cycle']","['Marde', 'Boeuf', 'Compost', 'Poule', 'Caca', 'Caca']","['moon', 'road', 'lunar', 'curve']","['Face', 'Razor', 'shaver', 'Santa', 'papa', 'Papa']","['putter', 'fairway', 'Volkswagen', 'Green']","['Astronomy', 'Study', 'teacher', 'subject', 'Physics']"
Mystery Word,Croix,Train,Whip,Cave,Mug,Parrot,Professeur,Ball,Ninja,Mold,Medicine,Champagne,Weather,Peanut,Sugar,Whale,Cherry,Flower,Evening,Grain,Treasure,Oven,Sucre,Parachute,Nose,December,Orange,Noisette,Ride,Jewel,Show,Miel,Prise,Rache,Anneau,Cookie,Present,Temple,Cocoon,Magician,Boxe,Motor,Fumier,Crescent,Beard,Golf,Science
Guess,croix,Train,Whip,Cave,Mug,Parrot,,Ball,Ninja,Cellar,Medicine,,Weather,peanut,Syrup,whale,Cherry,Flower,Night,Koekje,treasure,oven,sucre,parachute,Nose,Hanging,Orange,Noisette,Ride,,show,miel,transfusion,Rache,Anneau,cookie,present,Church,Pupa,magician,Boxe,engine,Fumier,orbit,beard,Golf,Science
