ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63
Table Number,455510648,455385831,455330446,455334723,455017730,454799542,454694423,454698112,454635589,454507210,454496610,453839362,453705696,453630167,453329629,453260378,453244918,453157825,453131304,453055936,453015007,452980323,452970593,452776511,452672686,452543488,451640427,451595440,451357694,451128793,451028830,450820733,450758314,450709954,450600836,450311858,450259336,449939587,449780617,449727973,449724610,449496845,448202573,446585119,446514318,446200241,443958521,442941057,441488112,441032575,440676504,431028987,426921218,422619886,411382679,393621459,381777020,374138794,349338828,341401520,330741642,314877288,313533300
Move,['12'],['5'],['9'],['9'],['17'],['15'],['37'],['62'],['57'],['5'],['19'],['50'],['78'],['11'],['27'],['57'],['57'],['18'],['67'],['81'],['108'],['67'],['46'],['38'],['37'],['65'],['82'],['64'],['71'],['73'],['67'],['50'],['43'],['74'],['64'],['111'],['36'],['60'],['51'],['32'],['54'],['83'],['40'],['51'],['20'],['109'],['75'],['67'],['102'],['16'],['118'],['362'],['279'],['350'],['594'],['862'],['910'],['1121'],['4211'],['2284'],['2504'],['3314'],['3146']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,Français,Deutsch,English,English,Deutsch,Français,English,English,English,English,English,English,English,English,English,English,English,Français,Français,English,Français,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,Français,English,Français,Français,English,English,Deutsch,Français,Deutsch,English,English,English,English,English,English,English,English,Français,English,English,English,English,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['sad', 'scales', 'B-flat', 'trivial', 'insignificant', 'insignificant']","['Masquerade', 'N95', 'covering', 'hidden']","['fletcher', 'Legolas', 'Fletchling', 'Cupid', 'archer', 'archery']","['Verte', 'Chat', 'Marijuana', 'chanvre', 'Pelouse', 'Pelouse']","['Schlaginstrument', 'Klingen', 'Dreieck', 'Dreieck']","['Celebratory', 'Wine', 'Dom', 'P\\u00e9rignon']","['scissors', 'trims', 'Clippers', 'blades', 'Sheep', 'Sheep']","['Brettspiel', 'Ride', 'Eintrittskarte', '49\\u20ac', 'Billett', 'Billett']","['carapace', 'lettre', 'Courrier', 'Timbre']","['Bird', 'Wing', 'Mentaal', 'Positief']","['pachyderm', 'Massive', 'Dumbo', 'Trunk', 'Trunk', 'Trunk']","['Blooms', 'flowers', 'Cog']","['Astral', 'Betelgeuse', 'Light', 'celeb', 'Twinkle', 'Twinkle']","['Panes', 'Translucent', 'glass', 'view']","['Poinsettia', 'orchid', 'reproduction', 'Wisteria', 'Power', 'patch']","['Stradivari', 'Strings', 'strings', 'string', 'String']","['Celestial', 'Shadow', 'New', 'Cheese', 'Cheese']","['Love', 'Emotion', 'Fervor', 'Romance', 'Christ', 'Fruit']","['\\u3075\\u308d\\u3046\\u3075\\u3057', '\\u307f\\u308f\\u304f', '\\u30ea\\u30c8\\u30eb', '\\u304a\\u3093\\u306a', '\\u30a2\\u30f3\\u30c0\\u30fc\\u30b6\\u30b7\\u30fc', 'sea']","['Evolved', 'mammoth', 'Asian', 'trunk', 'Nose', 'Mammal']","['Hue', 'Staline', 'Dali', 'movember', 'vibrisse', 'chocolat']","['Arc', 'carquois', 'Notre-Dame', 'indication']","['Fruit', 'Washing', 'Gun', 'Gun']","['Enrob\\u00e9e', 'Cajou', 'Ap\\u00e9ritif', 'Arachide', 'Beurre', 'beurre']","['tragedy', 'slapstick', 'making', 'laugh', 'genre', 'jokes']","['Iridescent', 'Ariel', 'Dinglehopper', 'Fiji', 'Ursula', 'Fishtail']","['hearts', 'Business', 'Diving', 'TIE', 'Cufflinks']","['Splinter', 'Rodent', 'Poison', 'Rabies', 'R', 'Wistar']","['Needled', 'succulent', 'Green', 'Prickly']","['Living', 'Dining', 'Laundry', 'Bed', 'ba', 'Interior']","['Sand', 'Wheat', 'corn', 'corn']","['dune', 'worms', 'Garlic', 'Cumin', 'heat', 'paprika']","['Rail', 'Point', 'Petticoat', 'coupling', 'Train', 'Pipe']","['Sonne', 'Meteorologe', 'Voraussage', 'Nachrichten', 'Vorhersage']","['lamp', 'fire', 'Magma', 'magma']","['Drum', 'Jerboa', 'head', 'Lughole', 'Lobe', 'Lobe']","['Margaritifera', 'Mollusk', 'necklace', 'necklace', 'oyster', 'oyster']","['Flint', 'Rock', 'Cold', 'Creamery', 'mason', 'ore']","['Protestants', 'Mosqu\\u00e9', 'Eglise', 'Eglise']","['canned', 'tin', 'Salty', 'packed', 'oily']","['Monseigneur', 'tenaille', 'Linge', 'crabe', 'crabe', 'linge']","['Alladin', 'Paillasson', 'Aladin', 'Volant', 'volant', 'Volant']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Igneous', 'Sedimentary', 'And', 'Roll', 'hard', 'stone']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['Leurre', 'chim\\u00e8re', 'Illusion', 'D\\u00e9sert', 'D\\u00e9sert', 'Desert']","['br\\u00fcten', 'Kuckuck', 'Vogel', 'Eier', 'Vogel', 'Eier']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Touch', 'Green', 'Television', 'Monitor', 'projection', 'Presenn']","['Connection', 'Crossroad', 'Conjunction', 'Joining']","['Animal', 'Dromedary', 'Desert', 'Desert']","['Tv', 'Ghost', 'Tv', 'Ghost']","['Tylenol', 'Acetaminophen', '101', 'symptom', 'saturday']","['tuba', 'RADE', 'Visage', 'Chirurgical', 'Fer']","['Rebecca', 'Black', '13th', 'Freaky']","['morello', 'black', 'Blossom', 'Yoghurt']","['Wheel', 'Automobile', 'Volkswagen', 'Prius', 'Volvo']","['Supper', 'News', 'Straightening', 'Smoothing', 'After', 'Afternoon']","['Marguerite', 'Rose', 'Jacinthe', 'Iris']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']","['mountain', 'Lodge', 'Wax', 'cross-country', 'snowboard', 'Aspen']"
Mystery Word,Minor,Mask,Arrow,Herbe,Triangel,Champagne,Shears,Ticket,Enveloppe,Feather,Elephant,Spring,Star,Window,Flower,Violin,Moon,Passion,Mermaid,Elephant,Moustache,Fl\u00e8che,Machine,Cacahu\u00e8te,Comedy,Mermaid,Suit,Rat,Cactus,Room,Grain,Spice,Junction,Wetterbericht,Lava,Ear,Pearl,Stone,Temple,Sardine,Pince,Tapis,Grape,Rock,Meerjungfrau,Mirage,Nest,Bow,Anchor,Scale,Screen,Junction,Camel,Ring,Fever,Masque,Friday,Cherry,Car,Evening,Fleur,Circle,Ski
Guess,Minor,Mask,Elf,Feuille,Xylophon,Champagne,Barber,Ticket,Enveloppe,Feather,Elephant,Spring,Star,Window,flower,Violin,,passion,Witch,Elephant,moustache,Fleche,Basket,Noix,comedy,Mermaid,Suit,Rat,Cactus,Room,Grain,cook,Junction,Wetterbericht,,,oyster,stone,Musulmans,Sardine,Pince,Tapis,,Rock,Meerjungfrau,mensonge,,artist,,,screen,intersection,camel,ridiculous,Fever,masque,Friday,cherry,Car,Evening,Fleur,Circle,Ski
