ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56
Table Number,450610059,450371919,449767285,449716212,449639325,449579261,449428117,449210818,449191557,449157396,448876762,448756375,448435020,448202573,448048927,447983429,447963995,447952629,447878868,447271869,447268822,446669959,446614677,446545117,446514318,446384335,446200241,446016670,445702967,445612883,445147317,444843544,444706980,443994643,443524927,443300228,443085305,442941057,441488112,441328609,441032575,440978972,440225058,435781132,430526833,429726886,426921218,417255169,393621459,374138794,350584338,350481361,343894377,336562502,323499397,314877288
Move,15,9,30,9,5,18,36,11,18,36,22,36,91,40,61,57,81,47,93,29,68,83,27,36,20,78,73,80,101,88,57,36,104,68,49,18,45,67,102,83,15,7,107,11,18,67,227,825,812,1065,2822,3815,1921,1357,4315,3314
Clues,"['Waves', 'Fm', 'Frequency', 'Frequency']","['Repr\\u00e9sentation', 'Vivant', 'Clou', 'Divertissement', 'Concert', 'Concert']","['Loud', 'subwoofer', 'tweeter', 'mute', 'House', 'house']","['Straight', 'Cupid', 'pointing', 'Tip', 'Green', 'Feather']","['Primat', 'Banane', 'Schimpanse', 'Lemur']","['Sail', 'Row', 'Frigate', 'Sloop', 'SCHOONER', 'watercraft']","['Pot', 'Algue', 'Soisson', 'soissons']","['Box', 'Hammer', 'Spanner', 'Spanner']","['Boeing', 'flatland', 'Pontoons', 'air', 'Dimension', 'F-16']","['chute', 'Headfirst', 'Down', 'PowerPoint', 'Ice', 'park']","['Business', 'Paw', 'D.', 'Luffy']","['Pipe', 'Cloaca', 'Waste', 'Drainage', 'Rats', 'Rat']","['Emphysema', 'deathstick', 'Dart', 'Menthol', 'smoke', 'Kool']","['\\u30d5\\u30a1\\u30f3\\u30bf', '\\u3080\\u3089\\u3055\\u304d', '\\u305f\\u306a', '\\u304d\\u3075', '\\u3075\\u3055', '\\u30a8\\u30e9\\u30e0\\u30c0\\u30ea\\u30fc']","['Carbon', 'Monoxide', 'Stove', 'Fireplace']","['Drainpipe', 'Waste', 'Waterway', 'Suez', 'Toilet', 'Underground']","['granule', 'Anakin', 'pocket', 'hourglass', 'beach', 'Quartz']","['Cleaner', 'Microsoft', 'Frame', 'XP', 'porthole', 'dormer']","['Pruning', 'Clippers', 'Billy', 'Snips', 'Wool', 'wool']","['Carrot', 'Turnip', 'Radish', 'Root']","['Reptile', 'Carapace', 'Hare', 'contest']","['Autumn', 'Konoha', 'Fall', 'Branch', 'Clover', 'Page']","['nuke', 'Da', 'explosive', 'Explosive']","['Surprise', 'noire', 'Contenant', 'Cadeau', 'chocolat', 'Lauriane']","['Fabelwesen', 'schwimmen', 'Sebastian', 'MuschelBH', 'Flosse', 'Flosse']","['red', 'teeth', 'orifice', 'Gape', 'Speak', 'Speak']","['Pays-Bas', 'couleur', 'Am\\u00e8re', 'Agrume', 'peau', 'Mandarine']","['Blonder', 'Gefiedert', 'Himmelsbote', 'Kosename', 'Fl\\u00fcgel', 'Jahresendfl\\u00fcgelfigur']","['yellow', 'Star', 'Shining', 'bathe', 'Solar', 'Nova']","['Cosy', 'metamorphasise', 'Movie', 'Silk', 'Envelop']","['Occupation', 'slaughter', 'Cleaver', 'cleaver', 'Cleaver']","['Backsplash', 'Grout', 'Mosaic', 'Pattern', 'Ceramic', 'Ceramic']","['Foosball', 'Periodic', 'pool', 'Desk', 'desk', 'desk']","['Frigate', 'Sail', 'Captain', 'Fishing', 'Ship', 'transport']","['Tooth', 'Fairy', 'Fight', 'Feather', 'Neck', 'Rest']","['Pink', 'Flying', 'Woolley', 'Mammoth', 'Horton', 'Babar']","['S\\u00fcdpol', 'Happy', 'Feet', 'Kaiser', 'Vogel', 'Vogel']","['Respect', 'tie', 'tie', 'NA']","['support', 'Drag', 'Drop', 'Weight', 'Hyperlink', 'milk']","['Egypt', 'King', 'Tutankhamun', 'Tut']","['Measurement', 'measures', 'Weight', 'Heavy', 'Weighing', 'Weighing']","['Melted', 'Burn', 'Wax', 'Wax']","['cloth', 'Square', 'Bib', 'Wipe', 'towelette', 'Towelette']","['Repousse', 'Nu', 'pinceau', 'Crin', 'Incarn\\u00e9', 'Incarn\\u00e9']","['0', 'X', 'browser', 'Browser']","['Bath', 'Air', 'Toes', 'Pop', 'Snot']","['toot', 'trombone', 'honk', 'honk']","['Lemans', 'Baton', 'Caucasian', 'Marathon', 'Amazing', 'Amazing']","['poumpoum', 'toile', 'huit', 'Parker', 'Octopode']","['fastener', 'chocolate', 'benjamin', 'moon']","['Urticant', 'Chicoucougna', 'Insecte', '\\u00c9t\\u00e9']","['dawn', 'Leghorn', 'RWBY', 'Poultry']","['Play', 'Smallest', 'String', 'Instrument']","['sarcophage', 'pharaon', 'egypte', 'Kheops', 'bandelettes', 'Bandelettes']","['captain', 'Smee', 'Duck', ""Butcher's"", 'Tinkerbel', 'ceiling']","['\\u30df\\u30b9\\u30c6\\u30ea\\u30fc', 'radian', '3.14...', '\\u3069\\u3046\\u3058\\u3093\\u304b\\u3064\\u3069\\u3046', '\\u30c9\\u30eb\\u30a4\\u30c9']"
Mystery Word,Radio,Spectacle,Speaker,Arrow,Affe,Boat,Vase,Tool,Plane,Slide,Monkey,Sewer,Cigarette,Grape,Gas,Sewer,Sand,Window,Shears,Vegetable,Tortoise,Leaf,Bomb,Bo\u00eete,Meerjungfrau,Mouth,Orange,Engel,Sun,Cocoon,Butcher,Tile,Table,Boat,Pillow,Elephant,Pinguin,Bow,Anchor,Pharaoh,Scale,Candle,Napkin,Poil,Safari,Bubble,Horn,Race,Araign\u00e9e,Button,Moustique,Rooster,Violin,Momie,Hook,Circle
Guess,Radio,Spectacle,Speaker,Arrow,Affe,boat,fleur,NAIL,Airplane,Slide,,Sewer,cigarette,,Gas,sewer,sand,Window,scissors,Vegetable,Tortoise,Leaf,Bomb,Boite,Meerjungfrau,Mouth,Orange,Engel,Sun,cocoon,Butcher,Tile,Table,Boat,Pillow,Elephant,,artist,,Pharaoh,,,,Poil,,Bubble,Trumpet,Race,Araign\u00e9e,Button,Moustique,Rooster,Violin,Pyramide,Hook,Circle
