ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45
Table Number,564083019,563853523,564056411,564325409,563924079,563841938,563343971,563149544,562717810,562706994,562737570,562462155,562524435,562611596,562467402,562154436,561752076,561922230,561626574,561759056,561700422,561355348,560847963,560298054,560215188,559745939,559608546,559165548,558983329,558559854,557419238,558172660,558084150,555376965,554160523,552904963,552511060,546837128,542849457,521199099,496712411,493972187,422619886,381777020,317609821
Move,['5'],['19'],['18'],['6'],['15'],['24'],['38'],['38'],['17'],['37'],['51'],['31'],['17'],['58'],['28'],['24'],['55'],['50'],['54'],['50'],['67'],['19'],['67'],['65'],['122'],['46'],['68'],['68'],['10'],['64'],['27'],['48'],['103'],['37'],['79'],['78'],['78'],['231'],['640'],['631'],['884'],['664'],['889'],['1774'],['2364']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,English,English,English,Français,English,Français,English,English,English,Français,English,English,Deutsch,Français,Deutsch,English,Français,English,English,English,English,English,English,Français,English,English,English,Français,Deutsch,English,Français,English,English,English,Français,English,Français,English,English,English,English,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Shape', 'increasing', 'Moon', 'moon']","['Kool', 'Tobacco', 'Cigarillo', 'Camels', 'Carcinogen']","['Clinton', 'Sale', 'Utility', 'Dollar', 'Nye', 'Nye']","['Volleyball', 'Bikinis', 'Bum', 'Sand', 'Body', 'Life']","['Fraternal', 'Siblings', 'baseball', 'minnesota']","['Tasty', 'Pretzels', 'Yellow', ""French's"", ""Colman's"", 'seed']","['perdre', 'Expiration', 'Bouche', 'Tic-tac', 'Ail', 'Fennec']","['Porpoise', 'Predator', 'Bl\\u00e5haj', 'jump', 'Tiger', 'Amity']","['Noah', 'Djokovick', 'Wimbledon', 'Agassi']","['Bashful', 'miniature', 'Hobbit', 'Creature', 'Short', 'Short']","['locomotive', 'rail', 'Ticket', 'Preparing', 'Choochoo']","['Meteorit', 'Urzeit', 'Tod', 'Lieblingsspiel', 'Pal\\u00e4ontologie', 'Littlefoot']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Pin', 'Lane', 'Roll', 'Game', 'ball', 'shoes']","['Filet', 'Magnet', 'Baby', 'Baby']","['Schotter', 'Gleise', 'Gleis']","['f\\u00e9line', 'vulgaire', 'Cinquante', 'ag\\u00e9e', 'Jaguar', 'Fauve']","['S\\u00fcddeutsche', 'Bild', 'Journalist', 'Artikel', 'Tagesblatt', 'Gedruckt']","['Protection', 'domino', 'Hide', 'surgical', 'Batman', 'The']","['Artifice', 'Asiatique', 'son', 'brusque']","['Pringles', 'Micro', 'fragment', 'nacho', 'computer']","['Consistent', 'Equal', 'Outfit', 'School', 'Same', 'Same']","['Offence', 'Army', 'Armour', 'Attack']","['opal', 'precious', 'Singer', 'Nile', 'Emerald', 'Emerald']","['High', 'Hurdle', 'Rope', 'leap', 'Leap', 'Rope']","['legume', 'allergy', ""Planter's"", 'sharecropper']","['Proctection', 'averse', 'averse', 'protection']","['burning', 'infantry', ""pyromaniac's"", 'opposite', 'flame', 'waterer']","['Alv\\u00e1s', '\\u00c1lom', 'K\\u00e9s\\u0151n', 'Vacsi']","['tandem', 'Road', 'raindrops', 'vechile', 'Pump']","['Faraday', 'Amp\\u00e8res', 'panne', 'Tarif', 'Statique', 'statique']","['Franz', 'Herrschertitel', 'Wilhelm', 'morgens', 'Fu\\u00dfball']",['Usinger'],"['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['waist', 'Buckle', 'tighten', 'orion']","['caddy', 'tee', 'Four', 'Club']","['Manicotti', 'Pool', 'Ramyeon', 'Rigatoni', 'Spaghetti', 'Spaghetti']","['bague', 'Minecraft', 'Pr\\u00e9cieux', 'Pr\\u00e9cieux']","['Gulf', 'Leaves', 'Guantanamo', 'Michael', 'Haifa', 'Haifa']","['Grossesse', 'Grossesse']","['Canape', 'Crudite', 'small', 'food', 'before', 'dinner']","['Notice', 'undercover', 'observant', 'Bourne', 'CIA', 'secret']","['Magic', 'Pool', 'Pasta', 'Ramen']","['Package', 'Crate', 'Gift', 'Cube']","['Batman', 'oiseau', 'kinder', 'DeVito', 'Costard', 'Icecool']"
Mystery Word,Crescent,Cigarette,Bill,Beach,Twins,Mustard,Haleine,Shark,Tennis,Dwarf,Train,Dinosaur,Pluie,Bowling,Chick,Schiene,Cougar,Zeitung,Mask,P\u00e9tard,Chip,Uniform,Defense,Jewel,Jump,Peanut,Parapluie,Firefighter,Evening,Bicycle,\u00c9lectricit\u00e9,Kaiser,Sausage,Noisette,Belt,Golf,Noodle,Diamant,Bay,Enceinte,Appetizer,Spy,Noodle,Box,Pingouin
Guess,Tower,Cigarette,Bill,Beach,Twins,Mustard,haleine,Shark,Tennis,Dwarf,train,Dinosaur,pluie,golf,Knife,,cougar,Zeitung,Mask,P\u00e9tard,Chips,uniform,weapon,Jewel,,Peanut,xxxx,Fireman,Night,Bike,\u00c9lectrique,Kaiser,sausage,Noisette,belt,golf,Noodle,Diamant,Bay,Rhum,Appetizer,Spy,Noodle,Box,Pingouin
