ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49
Table Number,586053336,585897434,585875472,585905395,585819367,585574372,585472940,584999173,584628766,584587098,584457992,584345810,583653379,584063144,584077115,582937121,583762506,583845229,583657818,582631433,581764072,581551172,581369450,581343883,581067387,581767722,580592436,580245345,579557069,578349815,578335080,578524385,577854619,576920182,577548956,577180892,576413622,575723606,575403846,571815545,571195661,570734438,569665701,563368518,542849457,516738278,496712411,420552674,319065151
Move,['9'],['9'],['19'],['7'],['5'],['12'],['19'],['24'],['18'],['39'],['92'],['38'],['53'],['55'],['60'],['57'],['8'],['48'],['46'],['43'],['18'],['94'],['84'],['31'],['67'],['9'],['56'],['73'],['136'],['57'],['109'],['109'],['75'],['10'],['111'],['91'],['19'],['41'],['44'],['89'],['37'],['38'],['80'],['148'],['1203'],['1603'],['1116'],['1233'],['718']
Mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode
Speed,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,Deutsch,English,English,English,Deutsch,English,English,Français,English,English,English,English,English
End,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['chain', 'collar', 'Choker', 'Jewelry', 'jewelry', 'Jewelry']","['scaffolding', 'time', 'holder', 'surround', 'portrait', 'eye-glass']","['Mississippi', 'Ebb', 'Boat', 'Waitingforsolution', 'nile', 'Nile']","['Fresh', 'financial', 'Grocery', 'Grocery']","['crawler', 'medieval', 'under', 'castle']","['Lasvegas', 'Lieu', 'Machine', 'Sous', 'Poker', 'Poker']","['Electrical', 'plug', 'mall', 'Bargins', 'store', 'outlet']","['Sugary', 'sticky', 'sap', 'Simple', 'Simple']","['white', 'liquid', 'Cow', 'Goat', 'Shake', 'Dud']","['lake', 'face', 'Donald', 'waterfowl']","['Waltz', 'ballroom', 'Moonwalk', 'rumba', 'salsa', 'Salsa']","['Cavity', 'appointment', 'Periodontal', 'gingiva', 'Drill', 'X-ray']","['sound', 'melody', 'tune', 'orchestral', 'Composition']","['Display', 'Tickets', 'Time', 'visible', 'Broadway', 'Broadway']","['Eek', 'tail', 'Minnie', 'trap', 'Cheese', 'Rodent']","['Bury', 'Undertaker', 'death', 'Flowers', 'Graveyard', 'Buried']","['granule', 'Barley', 'Amber', 'silo', 'silo']","['tang', 'handle', 'Fileting', 'Boning', 'hone', 'whetstone']","['lobby', 'California', 'Guest', 'Inn.', 'Hostel', 'Stars']","['Pig', 'Oil', 'Delicacy', 'candy']","['Heaven', 'grandline', 'Coldplay', 'Vacation', 'Tranquility', '-lost']","['navigation', 'spinnaker', 'Raft', 'captain', 'Seas', 'Wind']","['Canteen', 'Container', 'beaker', 'Conical']","['LAST', 'WORKDAY', 'Shabbat', 'Finally']","[""coward's"", 'uppercut', 'Rum', 'Kick', 'Hawaiian', 'Hawaiian']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['bite-sized', 'snack', 'Starter', 'eat', 'Food', 'potstickers']","['Patch', 'Smashing', 'Carve', 'Carving', 'carving', 'Carving']","['Clap', 'Cats', 'Clouds', 'Rolling', 'Loud', 'Loud']","['drapes', 'Glass', 'Singular', '2000', 'Vista', 'Vista']","['Desert', 'saguaro', 'Prickly', 'succulent', 'prickly', 'Succulent']","['pourer', 'Speakeasy', 'Psi', 'Hershey', 'Bell', 'Tavern']","['lawn', 'Green', 'split', 'league', 'Alley', 'alley']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['grouper', 'koi', 'Bait', 'Piranha', 'barramundi', 'Food']","['tuichi', 'George', 'Liane', 'Mowgli']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Wolftrap', 'listen', 'Hollywood', 'Bowl']","['Jackie', 'Taekwondo', 'Smith', 'Jaden', 'Kid', 'kid']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['beating', 'pumps', 'shape', 'valve', 'barracuda', 'aeorta']","['Double', 'Longue-Vue', 'meme', 'uterus']","['Hen', 'Tikka', 'Rooster', 'Schnitzel', 'Fried', 'Fried']","['Drives', 'Berry']","['Great', 'Patch', 'squirrel', 'food', 'Spice', 'Pie']","['collect', 'Casanova', 'leaves', 'Broom', 'leaf', 'broom']","['ring', 'necklace', 'Gemstone', 'Precious']"
Mystery Word,Necklace,Frame,River,Market,Dungeon,Casino,Outlet,Syrup,Milk,Duck,Dance,Dentist,Music,Show,Mouse,Cemetery,Grain,Knife,Hotel,Truffle,Paradise,Sail,Flask,Friday,Punch,Medal,Appetizer,Pumpkin,Thunder,Window,Cactus,Bar,Bowling,Cup,Fish,Jungle,Frankreich,Concert,Karate,Sting,Rose,Couch,Heart,Jumelles,Chicken,Cherry,Pumpkin,Rake,Jewel
Guess,neck,frame,River,Market,dungeon,Casino,outlet,Syrup,Milk,duck,dance,Dentist,Music,screen,Mouse,grave,Beer,Knife,Hotel,Truffle,Paradise,sail,Goblet,Friday,punch,medal,Appetizer,Pumpkin,,light,Cactus,Keg,bowling,,Fish,Jungle,Frankreich,Music,kennedy,Sting,Rose,Couch,Heart,Jumelle,Chicken,Cherry,pumpkin,Romance,Jewel
