ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50
Table Number,515428104,515084407,515122642,514725811,514944916,514749950,514643573,514329376,514167014,514381694,513607109,513858127,513796379,513582527,513176546,513081149,513070439,513073439,512951598,512776292,512980717,512911490,512620650,512598970,512330060,512197315,512115878,512166193,511199752,511280628,510734812,510539771,510302310,510269410,509708893,508116165,504783443,505196983,504721368,504876059,494478774,493769667,488379380,464921867,405054016,343894377,341401520,337346134,322726720,312552889
Move,['19'],['27'],['44'],['85'],['47'],['56'],['27'],['21'],['44'],['52'],['78'],['50'],['84'],['65'],['47'],['22'],['90'],['84'],['92'],['39'],['31'],['73'],['74'],['65'],['106'],['24'],['65'],['67'],['66'],['98'],['156'],['53'],['85'],['33'],['100'],['66'],['31'],['83'],['67'],['24'],['815'],['57'],['79'],['114'],['2259'],['2758'],['3384'],['4520'],['1269'],['2320']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,English,Français,English,Français,English,English,Français,Deutsch,English,English,English,Deutsch,English,English,English,English,Deutsch,Français,English,English,English,English,Français,English,English,English,English,Français,English,English,English,Français,English,English,English,Français,English,English,English,Français,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['bubbly', 'France', 'Fl\\u00fbte', 'Bubbley', 'region', 'Bollinger']","[""De-l'avent"", ""De-l'ann\\u00e9e"", 'Planning', 'Jours']","['Wonka', 'lindt', 'Mousse', 'Ghirardellis']","['Terrified', 'Arachnid', 'Tarantula', 'recluse', 'charlotte']","['Cercle', 'Fl\\u00e8che', 'Courbe', 'Arbal\\u00e8te']","['goodbye', 'undulate', 'Moana', 'Length', 'Round', 'Greeting']","['Lago', 'K\\u00e9a', 'R\\u00e9p\\u00e8te', 'Ara', 'ara', 'Ara']","['skin', 'Helper', 'Puff', 'paper']","['UFC', 'confinement', 'Fence', 'Crate', 'animal', 'bars']","['Lac', 'Oiseaux', 'Foie', 'Gras']","['Drogen', 'Dope', 'N\\u00e4hmaschine', 'Materie']","['Guardians', 'Phone', 'Universe', 'trucker', 'Stars', 'Stars']","['Compost', 'wriggly', 'Nightcrawler', 'fishhook', 'apple', 'ground']","['change', 'Insert', 'Flippable', 'Collection', 'silver', 'currency']","['SCHLAGERS\\u00c4NGER', 'S\\u00e4nger', 'Hannelore', 'Sonnenbrille', 'Sonnenbrille', 'Hannelore']","['Closure', 'Last', 'Stop', 'Terminate']","['Fiesta', 'shadow', 'Headdress', 'Mexican', 'Mexican']","['Electrifying', 'iPhone', 'Arc', 'McQueen', 'Mcqueen']","['snaking', 'spiral', 'Mortal', 'curl', 'Spring', 'Spring']","['Regierungssitz', 'Republik', 'Stadtschloss', 'Buckingham', 'Prunkvoll', 'Wohnsitz']","['\\u00e9rable', 'Menthe', 'grenadine', 'sport', 'toux', 'Toux']","['Turkey', 'lawn', 'alley', 'Gutter', 'Columbine', 'Pins']","['Sash', ""Orion's"", 'Buckle', 'Waist', 'Black', 'black']","['intestines', 'Link', 'meat', 'Black', 'Frankfurter', 'Bangers']","['tombstone', 'Yard', 'Digger', 'Tomb', 'Tomb', 'Tomb']","['Givre', 'Hydroalcoolique', 'fixant', 'Coiffant', 'Coiffant', 'coiffant']","['Kate', 'Grass', 'Lichen', 'Caribou', 'Randy', 'algae']","['autunm', 'Canada', 'Oxygen', 'Green', 'Gold', 'Shrub']","['Fraser', 'Egyptian', 'Wrapped', 'Dead', 'TP', 'Costume']","['Rush', 'Midas', 'Au', 'Ingot', 'metal', 'retriever']","['Nid', 'douillet', '...', 'Chrysalide', 'Chenille', 'Chenille']","['palmeras', 'avion', 'Oasis', 'ilusion', 'Alucinaci\\u00f3n', 'Alucinaci\\u00f3n']","['OnePiece', 'Printed', 'reading', 'Evangelion', 'Novels', 'shojo']","['Camoflauge', 'Outdoor', 'Person', 'food', 'Tracking', 'tracking']","['Mort', 'tranche', 'Trancheuse', 'France', 'Marie-Antoinette', 'MarieAntoinette']","['Megan', 'Sourgrapes', 'news', 'Coyote']","['Cooker', 'Fan', 'Hot', 'Cooking']","['Flight', 'Commander', 'captain', 'license', 'Honda']","['Montb\\u0117liarde', 'Meuh', 'Ruminante', 'G\\u00e9nisse', 'Qui-rit', 'Taureau']","['flowing', 'water', 'Amazon', 'Mississippi', 'Rapids', 'Pocahontas']","[""Pan's"", 'Greek', 'Bowie', 'Maze', 'minotaur']","['Arachnid', 'Widow', 'Charlotte', 'Charlotte']","['Porcelaine', 'baigneur', 'Corolle', 'vaudou', 'Matriochka']","['Gun', 'noise', 'Chitty', 'Energy']","['Tug', 'Sail', 'Float', 'Canal']","['Pansy', 'Daffodil', 'Daisy', 'Poppy']","['One', 'Man', 'Liquid', 'Fruit', 'Uppercut', 'Jab']","['4', 'white.people.dont.do.this', 'Winter', 'salt', 'salt']","['Tick', 'Wire', 'Squad', 'Detonator', 'Boom', 'Tnt']","['sunkist', 'Creamsicle', 'Juice', 'clementine', 'Tangerine']"
Mystery Word,Champagne,Calendrier,Chocolate,Spider,Arc,Wave,Perroquet,Tissue,Cage,Canard,Stoff,Galaxy,Worm,Coin,Heino,End,Sombrero,Lightning,Coil,Palast,Sirop,Bowling,Belt,Sausage,Grave,Gel,Moss,Leaf,Mummy,Gold,Cocon,Mirage,Manga,Hunter,Guillotine,Fox,Oven,Pilot,Vache,River,Labyrinth,Spider,Poup\u00e9e,Bang,Boat,Flower,Punch,Season,Bomb,Orange
Guess,champagne,Jour,Chocolate,Spider,Arc,Wave,th\u00e9atre,powder,cage,Canard,Stoff,Galaxy,worm,Coin,Heino,End,,Shock,coil,Palast,Sirop,bowling,belt,Sausage,grave,gel,Moss,leaf,Mummy,Gold,Cocon,Desert,Manga,,guillotine,immigrant,fry,Pilot,Vache,river,Labyrinth,Spider,Poup\u00e9e,Bang,Boat,Flower,Punch,Season,Bomb,Orange
