ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72
Table Number,494310725,494341355,494232956,494123669,494101307,493924887,493583779,493867003,493813198,493836736,493700290,493539744,493356014,493355144,493183090,493159831,493153353,492972524,492989047,492924419,492926009,492677863,492620991,492749675,492103050,490945085,492021018,492091100,491114338,491858037,491355517,491305856,491087141,491327147,490930383,490814407,490280100,490196833,489645812,489708035,489393325,489221823,488443426,488042682,487940879,487721649,486624292,483967058,484682575,484435490,484206945,483310386,479677325,475857014,471793759,466081205,466083684,466084384,465731184,465733714,465664137,465664095,465664206,465664286,465668656,465435499,444471586,423771261,420552674,402108912,348838927,338553253
Move,['18'],['49'],['6'],['9'],['5'],['9'],['25'],['18'],['21'],['52'],['29'],['36'],['41'],['25'],['25'],['15'],['43'],['38'],['47'],['36'],['63'],['19'],['52'],['93'],['111'],['10'],['68'],['23'],['32'],['65'],['26'],['38'],['51'],['73'],['81'],['45'],['37'],['82'],['93'],['42'],['78'],['43'],['72'],['58'],['103'],['91'],['47'],['39'],['96'],['55'],['75'],['74'],['82'],['10'],['74'],['48'],['49'],['46'],['38'],['48'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['2074'],['637'],['1335'],['1610'],['1781']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+
Language,English,Deutsch,Français,Français,English,English,Deutsch,English,Français,English,English,English,English,Français,English,Deutsch,English,Français,Français,Français,Français,Français,English,English,Français,English,English,Français,English,English,Deutsch,Français,English,Français,Français,English,Français,English,English,Français,English,Français,English,Français,English,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,Deutsch,English,English,Français,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Shell', 'Metamorphosis', 'Metapod', 'Silk', 'Pupa', 'Enclosed']","['Roboter', 'K\\u00fcchen-', 'Fabrik', 'Arbeitsger\\u00e4t']","['Papillon', 'Rampant', 'Roue', 'Tank', 'Urticante', 'Cocon']","['Sels', 'immersion', 'Bassin', 'Spa', 'Moussant', 'Mousse']","['Drink', 'Bottle', 'Whiskey', 'Whiskey']","['Catholic', 'Religion', 'Rome', 'Papacy', 'Religious', 'religious']","['Huibu', 'Seele', 'Beetlejuice', 'Busters', 'Buh']","['Soliciter', 'Shark', 'barrister', 'advisor', 'Esquire', 'Lawyer']","['Mozart', 'Patisserie', 'Paris', 'Baryton']","['Ceramic', 'Carcassonne', 'Floor', 'Azul']","['cannon', 'Jugglers', 'Tent', 'Clowns', 'Rings', 'Rings']","['Maltese', 'Grumpy', 'X', 'anger', 'Crucifix', 'Cruxify']","['High', 'Olympics', 'Plyometrics', 'Vertical']","['\\u00e9couteurs', 'Visi\\u00e8re', 'Bleu', 'Moto', 'heaume', 'Heaume']","['Pendant', 'Chain', 'Treasure', 'Jewellery', 'Choker', 'Choker']","['Disney', 'Perser', 'Dschafar', 'Stra\\u00dfendieb']","['Dark', 'Moranis', 'head', 'armor', 'noggin', 'uninjured']","['Salp\\u00eatri\\u00e8re', 'Chimio', 'Urgences', 'Charit\\u00e9', 'urgences', 'Charit\\u00e9']","['Livre', 'Restaurant', 'Liste', 'Repas']","['Coca\\u00efne', 'Flocon', 'N\\u00e9v\\u00e9', 'hiver', 'bonhomme', 'Blanche']","['Perroquet', 'M\\u00e9sange', 'Mammif\\u00e8res', 'Plume', 'Moineau', 'Pie']","['Camion', 'sirenes', 'meurtrier', 'Chaud', 'Carbonisation', 'Destruction']","['Caboose', 'locomotive', 'Wreck', 'practice']","['\\u0418\\u041a\\u0410\\u0420', '\\u0441\\u0432\\u0435\\u0442\\u0438\\u043b\\u043e', '\\u0412\\u0441\\u043f\\u044b\\u0448\\u043a\\u0438', '\\u041b\\u0443\\u0447', '\\u0417\\u0430\\u0433\\u0430\\u0440', '\\u0417\\u0430\\u0433\\u0430\\u0440']","['transparent', 'Boire', 'Pied', 'Gobelet', 'murano', 'Murano']","['Kettingen', 'Knippen', 'Gereedschap', 'Gereedschap']","['Age', 'monument', 'Pebble', 'Rock', 'Granite', 'granite']","['voiture', 'lumi\\u00e8res', 'Littoral', 'Nuit']","['Staite', 'ruby', 'Faceted', 'Crown', 'Bellybutton']","['Fire', 'artillery', 'gunpowder', 'Camera']","['Ring', 'Liebesb\\u00fcndnis', 'Heirat', 'standesamtlich']","['Fanons', 'Bleue', 'Pinocchio', 'Jonas', 'Soutien-gorge', 'Poisson']","['Room', 'Clooney', 'Red', 'Alert', 'ambulance', 'accident']","['branchages', 'Abris', 'aire', 'douillet', 'Douillet', 'douillet']","['pachyderme', 'pantalon', 'Babar', 'Souris', 'Balan\\u00e7ait', 'ASie']","['\\u0411\\u0435\\u043b\\u0430\\u0440\\u0443\\u0441\\u044c', '\\u041c\\u0430\\u0441\\u043b\\u043e', '\\u041a\\u0430\\u0440\\u0442\\u043e\\u0448\\u043a\\u0430', '\\u0411\\u0443\\u0440\\u0433\\u0435\\u0440\\u043a\\u0438\\u043d\\u0433', '\\u041c\\u0430\\u043a\\u0434\\u043e\\u043d\\u0430\\u043b\\u044c\\u0434\\u0441', '\\u041c\\u0430\\u043a\\u0434\\u043e\\u043d\\u0430\\u043b\\u044c\\u0434\\u0441']","['RTL', 'd\\u00e9part', 'Sacoche', 'Bagage', 'Bagage', 'Bagage']","['golf', 'Pot', 'sink-', 'Dig', 'dig', 'Dig']","['buster', 'haunted', 'Swayze', 'soul', 'Casper', 'Casper']","['Hiboux', 'Nuit', 'Animaux', 'Potter']","['Translucent', 'Sand', 'Windows', 'Stemware']","['Boitier', 'Voiture', 'Tr\\u00e9sor', 'Banque']","['Cleansing', 'Duckie', 'soak', 'soak']","['contraire', 'attaque', 'Arche', 'Elephant', 'Self', 'Riposte']","['Shape', 'Circumference', 'Colosseum', 'cylinder', 'Round', 'Round']","['racket', 'Court', 'federer', 'serve', 'Djokovic', 'Djokovic']","['Hot', 'Eruption', 'Lava', 'Lava']","['R\\u00e9paration', 'Bricolage', 'Tournevis', 'Marteau']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Great', 'Chopping', 'Chop', 'Fire', 'hatchet', 'Hatchet']","['McDonald\\u2019s', 'Happy', 'Brunch', 'Supper', 'Snack', 'Breakfast']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['Newton', 'lab', 'biology', 'biology']","['Free', 'Bird', 'Nicolas', 'Bars', 'actor', 'avoidant']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['happy', 'annually', 'another', 'year']","['Crimson', 'and', 'lucky', 'irish']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['Carrot', 'pepper', 'Asparagus', 'Celery']","['Wechsel', 'Wolle', 'Samt', 'N\\u00e4hmaschine', 'Cord']","['liquid', 'solid', 'fart', 'petrol', 'methane', 'oxigen']","['Bianchi', 'Pedaled', 'Pennyfarthing', 'Huffy', 'Pedal', 'wheels']","['Molkky', 'Pastis', 'Cochonnet', 'Boules', 'cochonnet', 'Boules']","['Friend', 'Head', 'honeydew', 'Baller', 'Honeydew', 'baller']"
Mystery Word,Cocoon,Maschine,Chenille,Bain,Flask,Pope,Geist,Attorney,Op\u00e9ra,Tile,Circus,Cross,Jump,Casque,Necklace,Aladdin,Helmet,H\u00f4pital,Menu,Neige,Oiseau,Incendie,Train,Sun,Verre,Pliers,Stone,Phare,Jewel,Cannon,Ehe,Baleine,Emergency,Nid,\u00c9l\u00e9phant,Fries,Valise,Hole,Ghost,Chouette,Glass,Coffre,Bath,D\u00e9fense,Circle,Tennis,Volcano,Outil,Quarter,Root,Axe,Meal,Guard,Science,Cage,Coin,Bar,Stone,Birthday,Clover,Envelope,Plastic,Card,Soap,Mill,Poker,Vegetable,Stoff,Gas,Bicycle,P\u00e9tanque,Melon
Guess,Butterfly,Mixer,Chenille,Sauna,wine,Christian,Geist,Counselor,Op\u00e9ra,Tile,Circus,Rage,Jump,Casque,Gold,Aladin,Helmet,Hopital,Menu,Neige,Oiseau,Feu,TRAIN,sun,Verre,Nagels,Statue,Phare,Jewel,shoot,Hochzeit,Baleine,emergency,nid,\u00c9l\u00e9phant,fries,valise,hole,ghost,chouette,glass,Braquage,Soap,D\u00e9fense,Circle,Tennis,Volcano,Outil,mix,,Camp,Meal,guard,Science,cage,Coin,Bar,Stone,Birthday,Clover,Bag,Cosmetics,Card,Soap,Mill,Poker,Vegetable,Faden,Gas,bicycle,P\u00e9tanque,Best
