ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72
Table Number,486988616,486340249,485832443,485539344,485960603,485888388,485795559,485827335,485848918,485786319,485654350,485530531,485292173,485143719,485162954,484233694,484679550,484682575,484435490,484206945,484426235,484065329,483994780,484249985,484249693,483944277,484101197,483703728,483611237,483717581,483246241,483217278,482658995,481844555,481827880,481747388,481646065,481065681,480959759,480394644,479553934,479677325,478910455,478625404,478362907,478416865,475857014,475721696,475330261,473319518,473890082,470247957,466086694,466081205,466083684,466084384,465621249,465731184,465664137,465664095,465664206,465664286,465668656,465435499,463714023,374138794,358827793,356959263,346689693,343894377,336562502,317609821
Move,['13'],['25'],['28'],['7'],['29'],['25'],['46'],['35'],['57'],['32'],['48'],['16'],['44'],['46'],['45'],['55'],['74'],['96'],['55'],['29'],['36'],['49'],['22'],['63'],['66'],['47'],['30'],['83'],['76'],['62'],['55'],['66'],['57'],['49'],['110'],['37'],['92'],['99'],['100'],['69'],['78'],['82'],['54'],['67'],['66'],['167'],['10'],['108'],['58'],['36'],['9'],['509'],['42'],['48'],['49'],['46'],['70'],['38'],['40'],['44'],['38'],['43'],['40'],['366'],['57'],['1368'],['1994'],['1464'],['2788'],['2423'],['1623'],['1701']
Mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,Français,English,English,English,English,Français,English,English,English,English,Deutsch,Français,English,English,English,English,English,English,English,Français,English,English,English,Français,Français,English,English,Français,English,English,English,English,English,English,English,Français,English,English,English,Français,English,English,Français,English,Français,English,English,English,Deutsch,English,English,English,English,English,English,Français,English,English,English,English,English,English,Deutsch,Français,English,Français,English,Français,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Fallopian', 'Output', 'all', 'basket', 'faberge', 'quail']","['Cerne', 'Voyage', 'Bagage', 'Bagage']","['Grain', 'Thins', 'Chaff', 'Whole']","['snapple', 'grapefruit', 'Sunny-D', 'Electricity']","['Melody', 'lullaby', 'Instrumental', 'Birds', 'Grammys', 'ditty']","['Spock', 'Balance', 'Dumbo', 'Listening', 'cochlea']","['D\\u00e9barquement', 'Serviette', '\\u00c9tendue', 'Baule', 'Littoral', 'Arri\\u00e8re']","['Red', 'Gimli', 'Small', 'Version']","['Catan', 'Wales', 'Baaaaa', 'Animal', 'Lamb', 'Dog']","['tea', 'coaster', 'Big', 'Rootbeer', 'Cup', 'Cup']","['Czerwony', 'Nap\\u00f3j', 'Kieliszek', 'Domowe', 'Wytrawne', 'Po\\u0142s\\u0142odkie']","['Lichtschwert', 'Ausbildung', 'Ritter', 'Ritter', 'Ritter']","['D\\u00e9jeuner', 'R\\u00e9veil', 'r\\u00e9veil', 'Reveil']","['Baller', 'Cantaloupe', 'Water', 'Head', 'honeydew', 'honeydew']","['Black', 'Dangerous', 'Fungi', 'Mildew']","['viticulture', 'press', 'grapes', 'Vineyard', 'Merlot', 'Cask']","['residue', 'Cling', 'Fuji', 'Movie', 'Kodak', 'Platoon']","['pizza', 'half', '15', '15minutes']","['Beer', 'Tree', 'Anchor', 'Beginning', 'cause', 'ginseng']","['Lawn', 'lucky', 'Honey', 'Irish', 'Green', 'Green']","['Interdit', 'D\\u00e9tournement', 'Charbon', 'Grisou', 'Houill\\u00e8res', 'Enfant']","['-polis', 'Scheduled', 'Train', 'City']","['Szemcs\\u00e9s', 'Finom', '\\u00cdz', '\\u00cdzes\\u00edt']","['kindegarten', 'students', 'elementary', 'learning', 'Elementary', 'Learning']","['amuse', 'gueule', 'Dents', 'Canon', '\\u00c9gout', '\\u00c9gout']","['Taraud', 'mara', 'Dentiste', 'Baie', 'Rouge', 'rouge']","['mafia', 'honcho', 'CEO', 'President', 'Undercover', 'Baby']","['Megan', 'Hound', 'red', 'Sly', 'Red', 'Sly']","['Jaune', 'Cyclisme', 'Ketchup', 'Plage', 'Bikini', 'Monokini']","['ribs', 'brisket', 'sausage', 'Sizzle', 'propane', 'charcoal']","['residence', 'abode', 'Doctor', 'Gregory', 'Domicile', 'Colonial']","['Beckham', 'Ice', 'Nutmeg', 'Posh', 'sugar', 'Sugar']","['Boxing', 'Kick', 'Line', 'One', 'Jab', 'Jab']","['Orbit', 'Burn', 'Ray', 'Capri', 'Celestial']","['Everest', 'Dew', 'Bachelor', 'Shasta', 'Fuji', 'Sinai']","['Speak', 'Facial', 'lips', 'organ', 'Eat', 'Eat']","['Basquaise', 'Coq', 'Kentucky', 'Frites', 'Cuisse', 'Cuisse']","['Respiration', 'Life', 'Deep', 'Lungs', 'lungs']","['Triangle', 'element', 'Hearth', 'Flame', 'starter', 'Seaparks']","['Crab', 'Nomad', 'Wanderer', 'Woods', 'Alone', 'Alone']","['Fruit', 'bleuet', 'geni\\u00e8vre', 'Anges', 'Casseau', 'Hudson']","['Mouth', 'Policeman', 'block', 'Defend', 'Protect', 'Security']","['pre', 'adult', 'adolescent', 'juvenile', 'opposite', 'major']","['Termin\\u00e9', 'Maigre', 'arriv\\u00e9e', 'terminus', 'termination', 'dernier']","['Japeth', 'brilliant', 'shelly', 'paige', 'mind', 'mind']","['Jeter', 'Mer', 'Amarrer', 'Lourd', 'Arr\\u00eat', 'Bateau']","['Newton', 'lab', 'biology', 'biology']","['honey', 'Buzzing', 'pollinator', 'Queen', 'Bumble', 'Spelling']","['wager', 'ante', 'money', 'gamble', 'gamble', 'gamble']","['staubig', 'Pulver']","['fancy', 'gown', 'Flowing', 'Princess', 'Evening', 'Party']","['fort', 'soft', 'Boomerang', 'Top', 'sleep', 'Sleep']","[""e'rbody"", 'tipsy', 'caveman', 'cudgel']","['dime', 'nickel', 'counter', 'insurgency']","['Drinking', 'Locale', 'limbo', 'stick']","['-sour', 'Band', 'no', '-unturned']","['G\\u00e9om\\u00e9trie', 'sup\\u00e9rieur', 'Boss', 'Couture', 'Couture']","['happy', 'annually', 'another', 'year']","['Container', 'holder', 'Mail', 'mail']","['Mean', 'Girls', 'kardashian', 'face']","['YuGiOh', 'Heart', 'hallmark', 'scam']","['Dish', 'Liquid', 'sudsy', 'clean']","['grind', 'grain', 'walk', 'aimlessly']","['Face', 'Chips', 'Gl\\u00fccksspiel', 'Karten']","['moyen-age', 'Hylien', 'Chevalier', 'chevalier']","['oily', 'tinned', 'fish', 'fish']","['dolipranes', 'suppositoire', 'Vendu', 'Pharmacie']","['Amanda', 'legume', 'legume', 'Allergen', 'Allergy', 'allergy']","['p\\u00e9can', 'bresil', 'cajou', 'cajou']","['Fraser', 'Nile', 'Cry', 'Me']","['Calimero', 'erreur', 'Poussin', 'Casse', 'Escargot', 'Maison']","['Guerre', 'paratonnerre', 'Thor', 'Coup', 'Zeus', 'Zeus']"
Mystery Word,Egg,Valise,Wheat,Juice,Song,Ear,Plage,Dwarf,Sheep,Mug,Wine,Jedi,Matin,Melon,Mold,Wine,Film,Quarter,Root,Clover,Mineur,Metro,Spice,School,Bouche,Fraise,Boss,Fox,Maillot,Barbecue,House,Spice,Punch,Sun,Mountain,Mouth,Poulet,Breath,Fire,Hermit,Baie,Guard,Minor,Fin,Genius,Ancre,Science,Bee,Bet,Puder,Dress,Pillow,Club,Coin,Bar,Stone,Patron,Birthday,Envelope,Plastic,Card,Soap,Mill,Poker,Bouclier,Sardine,M\u00e9dicament,Peanut,Noix,River,Coquille,Foudre
Guess,egg,Valise,Wheat,juice,song,ear,Plage,,Sheep,Cup,wino,Jedi,Oeuf,,Mold,wine,Film,mix,,clover,coup,Subway,Lens,School,Bouche,,Boss,fox,maillot,grill,House,spice,Wrestling,Sun,Mountain,mouth,Poulet,Breath,Fire,Sasquatch,Baie,guard,minor,Fin,Genius,Ancre,Science,Bee,bet,Russ,,Pillow,Club,Coin,Bar,Stone,Coin,Birthday,Bag,Cosmetics,Card,Soap,Mill,Poker,Chevalier,fish,Medicaments,Peanut,Noix,River,Coquille,Eclair
