ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57
Table Number,528746343,528561821,528145981,528440602,528415366,528311600,528001631,528143029,528053058,527775627,527004996,526648467,527080808,527063265,527046211,527029597,526882439,526594990,526375460,526358735,526250626,525751531,525722050,525572868,525592590,525274507,524427244,523577529,523904835,523630319,523793465,523720593,523388276,522534931,522857720,522043003,521576994,521075789,520391399,520958200,520664076,517973951,517039024,515518017,511221983,507812897,508116165,504783443,498938279,489266717,480162112,470247957,420552674,417255169,374138794,363390977,322726720
Move,['12'],['9'],['9'],['8'],['15'],['40'],['18'],['9'],['19'],['8'],['8'],['27'],['46'],['101'],['42'],['5'],['58'],['38'],['18'],['55'],['25'],['85'],['68'],['69'],['73'],['72'],['67'],['38'],['74'],['65'],['85'],['49'],['19'],['18'],['6'],['5'],['11'],['54'],['21'],['58'],['94'],['17'],['35'],['31'],['972'],['82'],['75'],['31'],['2263'],['37'],['45'],['1601'],['861'],['2218'],['1820'],['2035'],['1311']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,Français,English,English,English,Français,English,English,Deutsch,English,English,English,English,English,English,English,English,English,Deutsch,Français,Français,Français,Français,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['delicacy', 'garlic', 'Slimey', 'Shell', 'Slimy', 'Shell']","['dough', 'Monster', 'Milk', 'Molasses', 'Oreo', 'Little']","['bounce', 'Peter', 'Bugs', 'Hopping', 'Roger', 'Hare']","['caiman', 'Green', 'Porosus', 'Irwin', 'Dundee']","['Fouett\\u00e9e', 'Hydratante', 'Hydratante']","['a4', 'jezisko', 'obalka', 'znamka', 'adresa', 'schranka']","['bill', 'Dynasty', 'Goose', 'quack', 'Mallard', 'Surface']","['Pinocchio', 'Master', 'kermit', 'Handhold', 'Marionette', 'Judy']","['Cheveux', 'T\\u00e9tons', 'pingre', 'monseigneur', 'Linge', 'linge']","['piece', 'tits', 'breast', 'mimic', 'pecs']","['baby', 'Vegetable', 'snowman', 'tuber', 'bunny']","['Tafelrunde', 'Jedi', 'Schwert', 'R\\u00fcstung', 'Mittelalter', 'Mittelalter']","['Wrap', 'Manila', 'Letter', 'Sealed', 'Letter', 'sealed']","['\\u3057\\u3052\\u3093\\u3054\\u307f', '\\u305b\\u304d\\u3086\\u305b\\u3044\\u3072\\u3093', '\\u3082\\u3048\\u306a\\u3044', '\\u30e2\\u30c7\\u30eb', '\\u30ec\\u30b8\\u3076\\u304f\\u308d', '\\u3076\\u3093\\u3079\\u3064']","['Moon', 'NASA', 'Armstrong', 'Spaceman', 'Aldrin', 'Aldrin']","['spare', 'reaps', 'weapon', 'fish']","['gargoyle', 'Pieta', 'monument', 'REDEEMER']","['Andromeda', 'Guardians', 'nebula', 'Theatre', 'theater', 'Theater']","['Salad', 'Saltwater', 'Fish', 'Ahi', 'Starkist', 'Starkist']","['polaroid', 'shy', 'nikon', 'Foto', 'Canon', 'Flash']","['Paperback', 'Fantasy', 'Novel', 'Story', 'club', 'signing']","['Paperback', 'Encyclopedia', 'Bios', 'Boardgames']","['Coul\\u00e9e', 'Fournaise', 'Nettoie', 'Volcan', 'Pompei', 'Br\\u00fblant']","['Kayak', 'Crue', 'Petit', 'Ruisseau', 'torrent', 'Torrent']","['vanity', 'samsonite', 'Voage', 'Train', 'Bagage', 'Roulante']","['Crocodile', 'Outil', 'Monseigneur', 'Crabe', 'Radin', 'Radin']","['Pines', 'hatstack', 'Acupuncture', 'sewing', 'Eye', 'Eye']","['Achigan', 'Pan\\u00e9', 'Rouge', 'filet', 'DAvril', 'barbote']","['Fraction', '0.25', 'Back', 'Fourth', 'Fourth', 'Fourth']","['sabbatical', 'Lampoon', 'Leisure', 'Christmas', 'Cruise', 'travel']","['Paste', 'off', 'Hair', 'bristle', 'groom', 'paint']","['Collection', 'Place', 'Menagerie', 'Menagerie']","['wasps', 'Ray', 'Bee', 'Bee', 'Ray', 'Bee']","['Yam-tat-wah', 'Popcorn', 'AllAroundYou', 'Film', 'boardway', 'Boardway']","['snow', 'Freezing', 'Olympics', 'Icicles', 'season', 'Season']","['Tail', 'Ride', 'Eeor', 'Grandad']","['Rail', 'watch', 'Protect', 'protect']","['eye', 'statue', 'Petrify', 'Petrificus']","['Choochoo', 'track', 'Transport', 'Rails', 'Shinkansen', 'rer']","['prawn', 'Hargow', 'Bubba', 'Sashimi', 'seafood', 'Seafood']","['schwarz', 'Strauchfrucht', 'Strauchfrucht']","['sea', 'Flat', 'ship', 'magain', 'Yacht']","['graduation', 'Bundt', 'Wedding', 'Antoinette']","['Bebe', 'Diminutive', 'Cire', 'Barbie', 'jouet', 'Jouet']","['gauntlet', 'cuffs', 'Covering', 'Tattoo', 'tattoo']","['yearn', 'Scented', 'needle', 'fresh', 'Coniferous', 'Norwegian']","['Nutmeg', 'Cinnamon', 'Cinnamon']","['Cooker', 'Fan', 'Hot', 'Cooking']","['Isosceles', 'Love', 'equilateral', 'pythagoras', 'traffic', 'yield']","['crossword', 'Printed', 'Headline', 'Journalist']","['Shamu', 'Orca', 'moby', 'dick', 'Fishy', 'Baluga']","['Wood', 'Confit', 'Peking', 'Mallard', 'Daffy', 'Daffy']","['device', 'earphone', 'soundbar', 'talker', 'talker', 'talker']","['Rigatoni', 'Farfelli', 'Penne', 'Ramin', 'ramen', 'Ramen']","['Ramses', 'shine', 'newspaper', 'hot']","['Porifera', 'Palmolive', 'Porous', 'soft', 'Daddy']","['Grinder', 'Corn', 'Flakes', 'Spicy', 'Sneeze', 'Black']"
Mystery Word,Snail,Cookie,Rabbit,Crocodile,Cr\u00e8me,Letter,Duck,Puppet,Pince,Chest,Carrot,Ritter,Envelope,Plastic,Astronaut,Spear,Statue,Galaxy,Tuna,Camera,Book,Handbuch,Lave,Rivi\u00e8re,Valise,Pince,Needle,Poisson,Quarter,Vacation,Brush,Zoo,Sting,Cinema,Winter,Donkey,Guard,Medusa,Train,Shrimp,Brombeere,Sail,Cake,Poup\u00e9e,Sleeve,Pine,Spice,Oven,Triangle,Newspaper,Whale,Duck,Speaker,Noodle,Sun,Sponge,Pepper
Guess,Shrimp,Cookie,Bunny,crocodile,Cr\u00e8me,list,duck,Puppet,pince,Chest,carrot,Ritter,tortilla,plastic,Astronaut,fishing,statue,Galaxy,Tuna,Camera,Book,Wissen,Lave,Cano\u00eb,Valise,Pince,Needle,Poisson,Quarter,vacation,,Box,Swarm,Movie,winter,Donkey,,glass,train,Shrimp,,sail,cake,Poup\u00e9e,Sleeve,Pine,Spice,fry,Triangle,Newspaper,whale,Duck,Speaker,Pasta,sun,Sponge,Pepper
