ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60
Table Number,580231488,579921472,579825466,579573988,578248813,579215113,579218406,579156197,578962134,578570399,578450103,578305134,578260616,578083576,576920182,577920932,577727335,577922074,577149863,577782037,577627991,577723052,576726272,576545693,576529403,576075945,576337027,576413622,576416928,575723606,575741847,575079648,574669691,574369566,574320934,573039165,571508244,571195661,570957594,570734438,570477684,569665701,569521605,568820644,567406997,567157193,563814683,562524435,562133986,555420350,550187728,543879156,537913892,527775627,508130373,496712411,480055062,363390977,336562502,317609821
Move,['34'],['8'],['15'],['9'],['12'],['10'],['19'],['18'],['65'],['57'],['20'],['27'],['20'],['18'],['10'],['63'],['36'],['32'],['27'],['100'],['55'],['69'],['84'],['24'],['51'],['43'],['40'],['18'],['94'],['10'],['49'],['103'],['64'],['52'],['73'],['63'],['59'],['37'],['56'],['38'],['50'],['43'],['81'],['110'],['269'],['73'],['73'],['17'],['11'],['332'],['334'],['241'],['2307'],['820'],['1967'],['1060'],['978'],['2669'],['2300'],['2456']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode
Speed,Real-time • Normal speed (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only
Language,English,English,Deutsch,English,English,Français,Français,English,English,Français,Français,English,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,Français,Deutsch,Deutsch,English,English,English,Français,English,English,English,English,Deutsch,English,English,English,English,Deutsch,English,Français,English,English,Français,English,English,Français,Français,English,English,English,English,Deutsch,English,Français,Français
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['\\u305c\\u3063\\u305f\\u3044\\u304a\\u3093\\u304b\\u3093', '\\u307e\\u3044\\u304f', 'karaoke', '\\u30e1\\u30ed\\u30c7\\u30a3\\u30fc']","['Battles', 'Vietnam', 'Hamas', 'Barracks', 'Hawk']","['Dommel', 'Hohlk\\u00f6rper', 'Kabel', 'Zucker']","['e-i-e-i-o', 'Crops', 'tractor', 'Agriculture', 'Animals', 'animals']","['Baaa', 'Ewe', 'Baaaaaa', 'Male', 'Sheep', '32GB']","['V\\u00e9lo', 'Tourne', 'Voiture', 'Avion']","['Casserole', 'Aluminium', 'fer', 'Acier', 'Acier', 'fer']","['Ugly', 'Face', 'felonious', 'photograph', 'pugs', 'in']","['Legislative', 'Executive', 'limb', 'libraries']","['Dard', 'Injection', 'Pansement', 'Ortie', 'moustique', 'Rappel']","['Tuches', 'Baton', 'Patate', 'Patate']","['Dijon', 'Vinegar', 'condiment', 'Spicy', 'colonel', 'Colonel']","['Mini', 'bar', 'Tipton', 'Transylvania', 'bell', 'lobby']","['Facedown', 'Pilates', 'Cedar', 'pirate', 'Exercise', 'exercise']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['Infant', 'suckle', 'spice', 'Jane', 'Boomer', 'darling']","['Squeal', 'Let', 'Pink', 'Oink', 'Peppa', 'Peppa']","['Sorcerer', 'Dynamo', 'profession', 'abracadabra', 'entertainment', 'Power']","['camp', 'Oasis', 'Beatles', 'Wagon', 'Drums', 'Queen']","['fulguration', 'prompt', 'H.potter', 'Cicatrice', 'G\\u00e9nie', 'Constellation....']","['Sandwich', 'salmon', 'Salad', 'bonito', 'Yellowtail', 'Piano']","['Albacore', 'canned', 'yellowfin', 'Halpert']","['Forest', 'Rainforest', 'Mowgli', 'Speed', 'Book', 'humid']","['Spiral', 'Wind', 'entwine', 'loop', 'Tesla', 'Spring']","['Esophagus', 'Cut', 'dry', 'Neck', 'swallowing', 'Swallow']","['To', 'Terabithia', 'Draw', 'Suspension', 'River', 'Louisville']","['sport', 'upercut', 'Tyson', 'Cassius']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Rigel', 'Taler', 'Sonne', 'Beteigeuze']","['Panic', 'hole', 'Elevator', 'Call']","['Rihanna', 'Rain', 'Wet', 'Collapsable', 'Brolly']","['Thor', 'MC', 'NAIL', 'throw', 'Tool.', 'Tool']","['Saumon', 'brouillard', 'Chicha', 'Chicha']","['Furniture', 'Chair', 'Dining', 'Dinning']","['Mono', 'Guard', 'Trains', 'Track.', 'Track', 'Track']","['Feathers', 'Flip', 'Word', 'Blue', 'wingspan', 'wingspan']","['spice', 'wabbit', 'Pepper', '525600', 'Autumn']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Federer', 'Ace', 'Wimbledon', 'Wimbledon']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Gaiden', 'Naruto', 'Nippon', 'Shuriken', 'Stealth', 'Stealth']","['Conjoined', 'Olsen', 'double', 'fetus', 'fraternal', 'two']","['Orient', 'Jasmin', 'Wunderlampe', 'M\\u00e4rchen', 'M\\u00e4rchen']","['Bread', 'Maximus', 'Soleil', 'Monkeys', 'Barnum', 'Barnum']","['Mariage', 'Charia', 'Bateau', 'Bateau']","['1st', 'course', 'whetting', 'snack', ""Starvin'"", 'Marvin']","['Spear', 'Rifle', 'Broadsword', 'Shotgun', 'Violent', 'Utilised']","['Flaque', 'Ond\\u00e9e', 'Mouill\\u00e9', 'Perturbations', 'nuage']","['Milky', 'Way', 'far', 'away']","['Choo-choo', 'Station', 'Thomas', 'Thomas']","['Friandise', 'Halloween', 'Malabar', 'Carambar', 'Sucrerie', 'Caramel']","['Casse', 'Huile', 'P\\u00e9can', 'Coco', 'Cajou', 'Cajou']","['This', 'shit', 'Peel', 'Runts', 'Foster', 'Penis']","['Clover', 'lucky', '4', 'black', 'Black']","['delay', 'Castamere', 'Storm', 'Downpour', 'Shower', 'Heavy']","['old', 'mcdonald', 'Dairy', 'Funny', 'Animals', 'Animal']","['Sportdisziplin', 'Dreierlei', 'eilig', 'drau\\u00dfen', 'Ausdauersport', '3']","['VCU', 'Argonauts', 'Battering', 'dodge', 'Truck']","['Routi\\u00e8re', 'IGN', 'Tr\\u00e9sor', 'Tarot', 'Jeu', 'Jeu']","['\\u00e0pain', 'cr\\u00e9mation', 'Micro-onde', 'Midable', 'Moulin', 'Moulin']"
Mystery Word,Song,War,Rohr,Farm,Ram,Roue,M\u00e9tal,Mug,Branch,Piq\u00fbre,Frites,Mustard,Hotel,Plank,Cup,Baby,Pig,Magician,Band,\u00c9clair,Tuna,Tuna,Jungle,Coil,Throat,Bridge,Boxe,Frankreich,Stern,Button,Umbrella,Hammer,Fum\u00e9e,Table,Rail,Bird,Season,Rose,Tennis,Couch,Ninja,Twins,Aladdin,Circus,Voile,Appetizer,Weapon,Pluie,Galaxy,Train,Bonbon,Noix,Banana,Clover,Rain,Farm,Triathlon,Ram,Carte,Four
Guess,harmony,war,,farming,ram,roue,Marmite,Mug,branch,Piq\u00fbre,Famille,Mustard,hotel,plank,,Baby,pig,Magician,band,Magicien,Fish,Tuna,Jungle,Current,Throat,Bridge,Boxe,Frankreich,Stern,button,,hammer,Fum\u00e9,Rocker,Conductor,bird,season,Rose,Tennis,Couch,Ninja,Twins,Aladin,circus,Robe,Appetizer,Weapon,pluie,galaxy,train,Bonbon,noix,Banana,clover,Rain,Farm,Dreisprung,ram,Carte,Four
