ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52
Table Number,587783205,587598007,587616092,586502227,587202988,586965630,586986986,585762823,586310211,586388110,586331830,585970944,585905395,585501963,585237097,585264762,584874230,584714078,584135448,584646277,584628766,584340810,584399813,584357853,584077115,582865844,582772237,582097141,581767722,581485531,581192154,579787056,578450103,576920182,577180892,576762350,576413622,575798268,571815545,571195661,570734438,567969300,562577325,557334313,543879156,539412516,517095134,511221983,484123113,481212678,420552674,312552889
Move,['9'],['16'],['9'],['9'],['12'],['12'],['36'],['40'],['24'],['6'],['6'],['50'],['50'],['31'],['71'],['25'],['31'],['64'],['50'],['44'],['43'],['64'],['41'],['60'],['80'],['38'],['58'],['61'],['9'],['101'],['98'],['60'],['36'],['10'],['91'],['26'],['19'],['35'],['89'],['37'],['38'],['287'],['435'],['716'],['267'],['261'],['870'],['2306'],['1588'],['389'],['1259'],['2565']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,No time limit • with friends only
Language,English,English,English,English,Français,English,English,English,Français,English,Français,English,English,Français,English,Français,English,Deutsch,English,English,English,English,English,English,English,English,English,English,English,English,Français,Deutsch,Français,English,Français,English,Deutsch,English,English,Deutsch,English,English,English,English,Français,English,Français,English,English,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Crumbs', 'wheat', 'Pumpernickel', 'Focaccia', 'Food', 'Sliced']","['Question', 'Tennessee', 'Phoenix', 'Mississippi', 'Rapids']","['Polenorth', 'Arctic', 'Collision', 'lettuce', 'Titanic', 'Titanic']","['rabbit', 'empty', 'Dig', 'Bore', 'Corn', 'Patch']","['Quatri\\u00e8me', 'sonore', 'Danse', 'Instrument', 'Art', 'art']","['truffle', 'Topping', 'Fungi', 'Cloud', 'fungus', 'Fungus']","['Trevi', 'Ekberg', 'Chokolate', 'Mountain', 'Bubbler', 'Spout']","['Dynasty', 'Napoleon', 'tamarin', 'King', 'Naruhito']","['Caf\\u00e9', 'Bon', 'R\\u00e9veille', 'Lev\\u00e9e', 'martin']","['Beauty', 'Sight', 'appeal', 'flirt', 'Disneyland', 'Ride']","['g\\u00e9ographie', 'moyen-age', 'Mati\\u00e8re', 'Chronologie', 'R\\u00e9cit', 'Antiquit\\u00e9']","['Comb', 'farm', 'Bird', 'Hen']","['Pop', 'Chocolate', 'Penny', 'Water']","['cerveau', 'boite', 'Calbombe', 'Oeuf', 'os', 't\\u00eate']","['Beep', 'honking', 'Ivory', 'Blow']","['Papillon', 'Transformation', 'Larve', 'Insecte']","['Brothers', 'Desert', 'Wonderwall', 'Wonderwall', 'Thirsty', 'Thirsty']","['Nager', 'Mickey', 'W\\u00fchl', 'K\\u00e4se', 'Feivel', 'Feivel']","['Ramsay', 'Top', 'kitchen', 'Yes']","['Shading', 'protection']","['Cure', 'Good', 'Who', 'Physicist', 'Medical', 'PhD']","['gale', 'blizzard', 'Gust']","['Marlboro', 'ashtray', 'fag', 'smoke']","['court', 'ping-pong', 'shoe', 'elbow', 'Navratilova', 'game']","['popcorn', 'Film', 'Hollywood', 'Fancy', 'Stars', 'Movie']","['Passage', 'Path', 'Tube', 'Slide', 'Underground', 'Underground']","['Palm', 'Maui', 'Dolphin', 'Archipelago']","['Ginger', 'Feline', 'Garfield', 'Tabby', 'Siamese', 'Pet']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Boom', 'Rumbling', 'Thor', 'Storm', 'Cloud', 'Cloud']","['insucc\\u00e8s', 'Fou', 'Dames', 'Ratage', 'Mat', 'Mat']","['Althusius', 'Gymnasium', 'Abend...', 'Lehrer', 'Lehrer']","['Punition', 'Enfant', 'Angle', 'Piece']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['kleenex', 'Therapist', 'Soft', 'Mucus', 'Skin', 'Apchi']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Falls', 'Autumn', 'Lettuce', 'Leave']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Seedless', 'distilled', 'Juice', 'Purple', 'Concord']","['bolt', 'Inch', '\\u30c8\\u30eb\\u30af\\u30ec\\u30f3\\u30c1', '\\u30d5\\u30af\\u30ed']","['Tupperware', 'Top', 'Slang', 'Hat', 'Stops', 'Spills']","['coron', 'grisou', 'Mines', 'Charbon', 'Majeur', 'Majeur']","['Bird', 'Superman', 'airCRAFT', 'fly']","['Munition', 'balle', 'Canon', 'canon']","['seventh', 'Sprinkles', 'bloody', 'Church', 'church']","['Yellow', 'Condiment', 'ketchup', 'mayonnaise', 'dijon', 'wasabi']","['Diamond', 'Sapphires', 'Amazon', 'Doorbell', 'Bell', 'Purity']","['of', 'contents', 'Time', 'Chair', 'fourlegged', 'center']","['comb', 'Sticky', 'Badger', 'sweetie', 'Sweet']"
Mystery Word,Bread,River,Iceberg,Hole,Musique,Mushroom,Fountain,Emperor,Matin,Attraction,Histoire,Rooster,Fountain,Cr\u00e2ne,Horn,Chenille,Oasis,Maus,Chef,Parasol,Doctor,Wind,Cigarette,Tennis,Cinema,Tunnel,Island,Cat,Medal,Thunder,\u00c9chec,Schule,Coin,Cup,Jungle,Tissue,Frankreich,Leaf,Sting,Rose,Couch,Grape,Nut,Lid,Mineur,Plane,Boulet,Sunday,Mustard,Ring,Table,Honey
Guess,Bread,River,Iceberg,Hole,Musique,Mushroom,Fountain,Emporer,Matin,Pretty,histoire,rooster,Fountain,Cr\u00e2ne,Horn,Chenille,Sahara,Maus,Chef,Awning,Doctor,STORM,cigarette,Tennis,CINEMA,Tunnel,Hawaii,Cat,medal,Thunder,\u00e9chec,Schule,Coin,,Jungle,Tissue,Frankreich,leaf,Sting,Rose,Couch,Grape,nut,lid,Nord,Plane,Fusil,Sunday,mustard,Ring,Table,Honey
