ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58,Scrapnumber59,Scrapnumber60,Scrapnumber61,Scrapnumber62,Scrapnumber63,Scrapnumber64,Scrapnumber65,Scrapnumber66,Scrapnumber67,Scrapnumber68,Scrapnumber69,Scrapnumber70,Scrapnumber71,Scrapnumber72,Scrapnumber73,Scrapnumber74,Scrapnumber75,Scrapnumber76,Scrapnumber77,Scrapnumber78,Scrapnumber79,Scrapnumber80,Scrapnumber81,Scrapnumber82,Scrapnumber83,Scrapnumber84,Scrapnumber85,Scrapnumber86,Scrapnumber87,Scrapnumber88,Scrapnumber89
Table Number,471828804,471666854,471665754,471538830,471450962,471384315,471377501,471263110,471168377,471021839,470813149,470762680,470653537,470582883,470556675,470550354,470357896,470319199,470059345,469792675,469750424,469758423,469698127,469607092,469575310,469208058,469154900,468870729,468830226,468836075,468830344,468681757,468687660,468659555,468508713,468452127,468369802,468265600,468125819,468063879,468001936,467993701,467488449,467461176,467304181,467144635,466961807,466885385,466237768,466154882,466081205,466086694,466086884,466083684,466084384,466036389,465731184,465664137,465661217,465668656,465665616,465664206,465619295,465485322,465435499,465187133,465108118,464829747,463614863,463099060,462438853,459279309,458716764,457064795,457037078,454586755,453839362,451463411,449145581,446155644,445297184,421549329,417255169,405054016,358827793,357001162,346689693,344838144,322628136
Move,['9'],['17'],['16'],['9'],['6'],['18'],['7'],['24'],['27'],['19'],['9'],['18'],['6'],['20'],['27'],['27'],['14'],['37'],['37'],['31'],['28'],['79'],['6'],['36'],['22'],['101'],['36'],['66'],['90'],['111'],['58'],['6'],['30'],['66'],['61'],['54'],['45'],['65'],['9'],['42'],['65'],['50'],['63'],['61'],['67'],['100'],['61'],['67'],['54'],['64'],['16'],['11'],['11'],['17'],['16'],['72'],['7'],['7'],['7'],['7'],['7'],['7'],['32'],['50'],['156'],['56'],['33'],['64'],['100'],['63'],['276'],['39'],['19'],['36'],['95'],['11'],['82'],['40'],['73'],['37'],['32'],['95'],['1176'],['1304'],['1793'],['1824'],['2419'],['1486'],['4275']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 3 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,English,Deutsch,English,English,English,English,English,Français,English,English,English,Français,English,Deutsch,English,English,English,English,English,English,Français,English,Français,Français,Deutsch,English,Français,English,Deutsch,Deutsch,English,Deutsch,English,Français,Français,English,English,English,Deutsch,English,English,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,English,English,English,English,Français,Français,English,English,English,English,English,English,English,English,Deutsch,English,English,English,Français,English,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['emphasize', 'Intonation', 'inflection', 'Scouse', 'British', 'British']","['Trump', 'Political', 'Election', 'Chief', 'kennedy']","['Bubbles', 'Suds', 'Lie', 'clean', 'clean']","['Plant', 'Vine', 'Green', 'Beefsteak', 'Ketchup', 'Ketchup']","['Hamlet', 'um1600', 'Stratford-upon-Avon', 'Sprachgenie', 'Dichter', 'Dichter']","['Jordan', 'Taco', 'Gruff', 'pants', 'Greatest', 'Bleat']","['Chef', 'Cooks', 'artisan', 'profession']","['Stone', 'object', 'Roll', 'guitar', 'Pebble']","['French', ""Bloomin'"", 'Tears', 'Garlic', 'Vidalia', 'Vidalia']","['China', 'herbivore', 'Ling', 'Chinese', 'Bamboo', 'bamboo']","['Jardin', 'Basse', 'Rase', 'multiplications', 'Ronde', 'ronde']","['Life', 'Naver', 'Parallel', 'Write', 'Backer', 'queue#']","['Alcohol', 'Drink', 'bundaberg', 'balls', 'Pirate', 'Pirate']","['Festa', 'Espectacle', 'Teatre', 'Actuaci\\u00f3', 'Must', 'Go']","['Blockbuster', 'Fiction', 'Oeuvre', 'Fra\\u00eecheur', 'Pellicule', 'acteur']","['\\u3089\\u3063\\u304b', '\\u3052\\u3093\\u305d\\u304f', '\\u30af\\u30e9\\u30b2', 'skydiving']","['Gartenkamm', 'Laubsammler', 'Laub', 'ziehen']","['flavour', 'Concord', 'Raisins', 'Purple', 'Wine', 'Wine']","['Trombone', 'water', 'PowerPoint', 'Slippery', 'Slippery', 'Powerpoint']","['red', 'flower', 'petals', 'fragrance']","['Barber', 'Decorator', 'beautician', 'hair']","['Sandy', 'Bondi', 'Surf', 'Sandcastle']","['filament', 'Edison', 'Glass', 'Bright', 'Light', 'Roundish']","['Myagi', 'Katta', 'Combat', 'Art', 'Kid', 'Kid']","['Hat', 'Drink', 'Drinking', 'Bed']","['Somnolence', 'Radio', 'Matin', 'Radio', 'Matin', 'Matin']","['Tube', 'Cylindrique', 'Plombier', 'Arrosage', 'Arrosage', 'Arrosage']","['high', 'dreads', 'Jamaika', 'Musikstil']","['Cauliflower', 'Hut', 'pineapples', 'anchovies', 'Crust', 'ceasers']","['Gauloise', 'Camel', 'nicotine', 'Chocolat', 'Marlboro', 'Marlboro']","['Wall-E', 'Robbie', 'R2D2', 'Automation']","['Augen', 'Sehschw\\u00e4che', 'Gl\\u00e4ser', 'Accessoire', 'Potter', 'Rahmen']","['Gesang', 'Prosodie', 'Noten', 'Noten', 'Lied', 'Lied']","['dump', 'mack', 'F150', 'tailgate', 'Lorry', 'Lorry']","['Puste', 'Schlagerhit', 'Nacht', 'Fischer', 'Helene', 'Helene']","['Pelikaan', 'vrijheid', 'Vreemde', 'Roodborstje']","['Assassin', 'Donatello', 'Tortues', 'Warrior', 'Katana', 'Masqu\\u00e9']","['Rorqual', 'Chant', 'bosse', 'Cachalot']","['changing', 'autumn', 'spice', 'Winter', 'Playoff', 'Summer']","['Randy', 'Football', 'Tree', 'Lichen', 'fluffy', 'Kate']","['grate', 'Rat', 'dirty', 'TMNT', 'Underground', 'Waste']","['W\\u00fcrfel', 'Diabetes', 'Niedlich', 'Salz', 'ungesund', 'ungesund']","['for', 'compliments', 'Pole', 'Hunting', 'angling', 'deep-sea']","['Profession', 'Sous', 'Michelin', 'Cook', 'Cook']","['Water', 'Green', 'Chesapeake', 'Fundy', 'Montego', 'area']","['Water', 'Ruler', 'Land', 'iceskating', 'slip', 'powerpoint']","['Bird', 'Sesame', 'Sunflower', 'Sperm', 'Plant', 'Plant']","['Azul', 'clay', 'Rummikub', 'Floor']","['Skateboard', 'eddyeagle', 'Vonn', 'Snow', 'Yogurt', 'Yoghurt']","['R\\u00e9publique', 'Pompidou', 'dirigeant', 'Macron', 'Camembert', 'Camembert']","['Restrict', 'Eating', 'lite', 'soda']","['Theatre', 'Film', 'Fancy', 'Movie']","['Umbrella', 'Mushroom', 'Kirby', 'Ability']","['Quinoa', 'Adjacent', 'round', 'grain']","['-Quest', 'Farfaraway', 'samsung', 'phone']","['honeydew', 'Casaba', 'Cantaloupe', 'Water', 'Water', 'Cantaloupe']","['Adjustable', 'Grabbers', 'needlenose', 'torture']","['Cacao', 'Sweet', 'Charlieandthe', 'dark']","['Wonka', 'Hershey', 'finished', 'cocoa']","['Blitz', 'fancy', 'Dancing', 'dancing']","['JerrySpringer', 'emotional', 'Luggage', 'luggage']","['Jams', 'Tunes', 'Soundof', '-Man']","['Shot', 'Reading', '3D', 'BIFOCAL', 'Drinking', 'Drinking']","['hat', 'wide', 'Protection', 'charreria']","['Sternzeichen', 'Luise', 'Sternbild', 'Stier']","['Microraptor', 'jurassic', 'Ausgestorben', 'Triceratops', 'Stegosaurus']","['Roy', 'Siegfried', 'Tophat', 'Wand', 'performer', 'illusions']","['annoying', 'Valencia', 'Juice', 'Roy', 'Peel', 'Fruit']","['Window', 'Stained', 'Empty', 'reflect', 'Drinking', 'Drink']","['Sitina', 'Branisko', 'svetlo', 'koniec', '\\u017eelezni\\u010dn\\u00fd', 'tma']","['Hermione', 'Sabrina', 'Crochu', 'Balai', 'Charmed', 'Charmed']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['gumiho', 'Vixen', 'Scully', 'Inari', 'Mulder', 'experiment']","['Persian', 'Aladdin', 'wig', 'area', 'mat', 'Mat']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['\\u304b\\u3048\\u308b', '\\u304b\\u3048\\u308b']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Cowboy', 'Filmgenre', 'eastwood', 'indianer']","['male', 'Annoying', 'Morning', 'chicken', 'Chicken', 'Chicken']","[""6'"", 'Marker', 'Mosuleum', 'Burial', 'Digger', 'Cemetery']","['Serena', 'Kid', 'Billy', 'Gruff']","[""d'avignon"", 'du-gard', 'petit', 'viaducs']","['Farming', 'Vehicle', 'farmer', 'wagob', 'Con', 'Ex']","['sushi', 'rouge', 'poisson', 'mayonnaise']","['putter', 'association', 'Discotheque', 'Golf']","['Rainier', 'Fuji', 'Olympus', 'Alps', 'king']"
Mystery Word,Accent,President,Soap,Tomato,Shakespeare,Goat,Baker,Rock,Onion,Panda,Table,Line,Rum,Show,Film,Parachute,Harke,Grape,Slide,Rose,Stylist,Beach,Bulb,Karat\u00e9,Straw,R\u00e9veil,Tuyau,Reggae,Pizza,Cigarette,Robot,Brille,Melodie,Truck,Atemlos,Bird,Ninja,Baleine,Season,Moss,Sewer,Zucker,Fishing,Chef,Bay,Slide,Seed,Tile,Ski,Pr\u00e9sident,Diet,Cinema,Parasol,Couscous,Galaxy,Melon,Pliers,Chocolate,Chocolate,Ballroom,Baggage,Music,Glasses,Sombrero,Widder,Dinosaurier,Magician,Orange,Glass,Tunnel,Sorci\u00e8re,Bande,Pearl,Fox,Rug,Crescent,Museum,Ninja,Dungeon,Battery,Western,Rooster,Grave,Goat,Pont,Tractor,Thon,Club,Mountain
Guess,accent,President,Bath,parsley,Shakespeare,Goat,,Band,onion,panda,Pelouse,line,Rum,Show,Film,parachute,Rechen,Grape,,Rose,Stylist,Beach,bulb,karate,Straw,Fatigue,Joint,Reggae,pizza,cigarette,Robot,Brille,Rap,truck,Atemlos,Vogel,Ninja,Baleine,season,moss,sewer,Spritze,fish,chef,bay,Slide,Seed,tile,Skiing,,Diet,Cinema,Float,couscous,galaxy,melon,Pliers,Chocolate,Chocolate,Ball,Reality,Music,Glasses,Sombrero,Widder,Dinosaurier,Magician,orange,glass,Tunnel,Sorci\u00e8re,,mussel,Fox,rug,Crescent,,,dungeon,Battery,Western,DJ,Grave,Goat,pont,Tractor,Thon,club,Mountain
