ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52,Scrapnumber53,Scrapnumber54,Scrapnumber55,Scrapnumber56,Scrapnumber57,Scrapnumber58
Table Number,584294096,583653379,584030440,583637824,584044332,583878438,583397452,583153606,583443864,583603715,583153790,582806135,582305792,582784470,582721947,581970799,582210814,582097141,581981495,581946877,581767722,581560970,581558822,581342951,580268249,580454340,580082226,580059879,579934037,579530410,579540094,579573988,578349815,578883648,578653649,578524385,578083576,576920182,577180892,576726272,576413622,575798268,575723606,571815545,571195661,570734438,566662988,558983329,555420350,551312356,550187728,528822756,516738278,509348231,489194416,484123113,466081205,464921867
Move,['12'],['10'],['5'],['18'],['42'],['12'],['31'],['43'],['10'],['6'],['24'],['57'],['30'],['38'],['13'],['80'],['86'],['31'],['44'],['40'],['9'],['19'],['62'],['25'],['46'],['28'],['57'],['106'],['26'],['100'],['83'],['66'],['48'],['83'],['74'],['82'],['36'],['10'],['91'],['113'],['19'],['20'],['41'],['89'],['37'],['38'],['56'],['37'],['381'],['530'],['377'],['395'],['1572'],['1820'],['1303'],['1533'],['770'],['773']
Mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode
Speed,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 4 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per 2 days (+
Language,English,English,English,Français,Français,English,Français,Français,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Français,English,English,English,English,Français,English,Deutsch,English,English,English,Deutsch,English,English,English,English,Français,Français,English,English,English,Français,English,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['fish', 'sea', 'Tin', 'Pilchard', 'Packed', 'Oil']","['Park', ""slippin'"", 'skate', 'Ice', 'PowerPoint']","['Small', 'Red', 'bumpy', 'pimple']","['Plongeur', ""D'or"", 'Plong\\u00e9e', 'Huile', 'huile', 'Plong\\u00e9e']","['Chanteur', 'aveugle', 'Festival', 'festival']","['Anakin', 'Dollar', 'Storm', 'Dune', 'Beach', 'Beach']","['Protection', 'UV', 'Protege', 'plage', 'Plage', 'Plage']","['Mangrove', 'Carr\\u00e9e', 'g\\u00e9n\\u00e9alogie', 'Mandragore']","['Shark', 'Song', 'Crib', 'Bottle']","['mackerel', 'Fish', 'Tin', 'Oily', 'canned', 'Canned']","['Smoke', 'Leaf', 'Golden', 'Virginia', 'chewable', 'fag']","['Citizen', 'Abel', 'Candy', 'limping', 'sugar', 'sugar']","['Groucho', 'Soup', 'Mallard', 'goose', 'Peking', 'Peking']","['Inches', 'Wrestler', 'Cad', 'Kitten', 'Cuban', 'Stiletto']","['feeling', 'fruit', 'Dedication', 'Excitement', 'Excitement']","['Honeydew', 'Galia', 'Water', 'seeds', 'Cantaloupe', 'Canary']","['monitor', 'blue', 'OLED', 'Touch', 'Panel', 'Green']","['Petrol', 'Casing', 'Hard', 'Suit', 'Conch', 'Conch']","['fraternal', 'same', 'Minnesota', 'Baseball', 'Copy', 'Siblings']","['Finder', 'earring', 'stallion', 'Horse', 'horse']","['Winner', 'award', 'bronze', 'Olympics', 'Olympic', 'olympic']","['Clam', 'Beach', 'Fish', 'Sea', 'Shotgun', 'Snail']","['Lab', 'Placebo', 'Institute', 'Subject', 'Master', 'of']","['For', 'Soup', 'Activity', 'Lawn', 'Columbine', 'Columbine']","['Multigrain', 'challah', 'fermentation', 'Dough', 'loaf', 'sourdough']","['mirage', 'Gallaghers', 'Fountain', 'Desert', 'Wonderwall', 'Wonderwall']","['Fall', 'Green', 'Tea', 'Page', 'Autumn', 'Autumn']","['jackalope', 'animal', 'bunny', 'hop', 'Jump', 'Easter']","['Abs', 'Board', 'core', 'Wooden', 'Walk']","['Black', 'Latte', 'Columbian', 'Espresso', 'Espresso']","['1\\u3064\\u3060\\u3051', '\\u3088\\u306d\\u3065', '\\u30aa\\u30ec\\u30f3\\u30b8\\u30ec\\u30f3\\u30b8', '\\u30ed\\u30f3\\u30b0\\u30b3\\u30fc\\u30c8\\u30c0\\u30c7\\u30a3', '\\u3076\\u30fc\\u3051', '\\u3075\\u3041\\u3044\\u3042\\u307e\\u308a\\u304a']","['Closing', 'Eye', 'Cover', 'unscrew', 'jar', 'Jar']","['malaria', 'Culicoidea', 'Wooden-Wonder', 'Vector-borneDisease', 'annoying', 'vampire']","['Daenerys', 'Virago', 'Krokmou', 'Smaug', 'Donjon', 'Peter']","['Dagobah', 'Milky', 'Space', 'samsung', 'Astronomy', 'LA']","['Disaster', 'Tri-State', 'Whirlpool', 'Fujita', 'Cyclone', 'Cyclone']","['Mayday', 'Matte', 'tattoos', 'long', 'card', 'jacket']","['Mug', 'goblet', 'Saucer', 'coffee', 'Jockstrap']","['tuichi', 'George', 'Liane', 'Mowgli']","['chrysanthemum', 'Polen', 'Plant', 'Tulip', 'Tulips', 'Plant']","['Land', 'Nizza', 'Nachbar', 'Wei\\u00dfbrot', 'Hahn', 'Libert\\u00e9']","['Jesus', 'Jewelery', 'Easter', 'Redemption']","['Wolftrap', 'listen', 'Hollywood', 'Bowl']","['Prick', 'Wasp', 'bee', 'Mosquito']","['Bl\\u00fcte', 'Strauch', 'Titanic', 'Dornen', 'Dornen', 'Dornen']","['Fouton', 'Leather', 'Potato', 'Pull-Out', 'Sofa', 'Sofa']","['Internet', 'Deacon', 'restaurant', 'computer', 'waitress', 'waiter']","['Hawaii', 'N\\u00f6v\\u00e9ny', 'Testr\\u00e9sz', 'Ujjak']","['Gazette', 'Dilbert', 'NYT', 'Article']","['Chaussures', 'Fun\\u00e8bres', 'Musculation', 'Gasoil', 'Shadock', 'Abdo']","['Edwige', 'Potter', 'Rapace', 'Couette', 'Cool', 'Hibou']","['Easter', 'sheep', 'Chops', 'chop']","['Book', 'Shop']","['Hooter', 'Hedwig', 'Pigwidgeon', 'Pigwidgeon']","['bourdon', 'moral', 'blatte', 'ravet']","['high-altitude', 'brake', 'ripcord', 'skydive', 'army', 'airborne']","['Film', 'House', 'fancy', 'theater']","['for', 'less', 'to', 'impress']"
Mystery Word,Sardine,Slide,Strawberry,Palme,Canne,Sand,Parasol,Racine,Baby,Sardine,Tobacco,Cane,Duck,Heel,Passion,Melon,Screen,Shell,Twins,Stud,Medal,Shell,Science,Bowling,Bread,Oasis,Leaf,Rabbit,Plank,Coffee,Flower,Lid,Mosquito,Dragon,Galaxy,Tornado,Sleeve,Cup,Jungle,Flower,Frankreich,Cross,Concert,Sting,Rose,Couch,Server,Palm,Newspaper,Pompe,Chouette,Lamb,Library,Owl,Cafard,Parachute,Cinema,Dress
Guess,Tuna,Slide,Cherry,silence,Montagnier,sand,Sun,Racine,Baby,tuna,tobacco,cane,Duck,heel,,Melon,screen,Shell,Twins,,medal,shell,Scientist,Bowl,Bread,VISION,Paper,Rabbit,hard,coffee,Flower,Open,mosquito,Dragon,Galaxy,Tornado,Sleeves,,Jungle,flower,Frankreich,cross,Music,Sting,Rose,Couch,,Palm,Newspaper,Pompe,Chouette,Lamb,Library,owl,Cafard,parachute,Studio,Dress
