ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49,Scrapnumber50,Scrapnumber51,Scrapnumber52
Table Number,466042467,466036389,465872342,465794703,465636304,465619295,465402709,465389100,465246185,464984063,464876793,464855305,464842137,464731998,464650611,464539974,464365933,463741555,463741503,463642650,463425731,463344834,463027594,462933673,462816417,462572935,462494850,461818753,461331618,461105701,461042734,459645657,459609832,459279309,459236908,458716764,458063347,457698776,456908720,455837502,454586755,453839362,451721423,449955800,449145581,446155644,431028987,405054016,358827793,346689693,344838144,322726720
Move,['5'],['6'],['8'],['31'],['20'],['6'],['29'],['12'],['31'],['18'],['46'],['9'],['32'],['42'],['19'],['50'],['27'],['37'],['37'],['43'],['29'],['37'],['77'],['83'],['65'],['82'],['74'],['73'],['31'],['24'],['82'],['60'],['49'],['39'],['84'],['19'],['74'],['49'],['50'],['225'],['11'],['82'],['282'],['209'],['72'],['36'],['512'],['1212'],['1686'],['2164'],['1486'],['1091']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Friendly mode,Normal mode,Normal mode
Speed,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Fast Turn-based • 12 moves per day (+,No time limit • with friends only,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,English,Français,English,English,English,Deutsch,English,Français,English,English,English,English,English,English,English,English,English,English,English,Deutsch,English,English,English,English,English,English,English,English,English,Deutsch,Deutsch,Français,English,English,English,English,English,Français,English,English,English,English,English,English,English,English,Français,Français,English,English
End,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Read', 'Headline', 'Reporter', 'Information']","['Washington', 'Silver', 'Fourth', '25%', 'Back', 'Fraction']","['Rice', 'Pasta', 'spicy', 'Wheatdish', 'Food']","['Soleil', 'Prince', 'Empereur', 'Champion']","['Grains', 'timer', 'Time', 'dunes', 'Desert', 'desert']","['Band', 'Barracuda', 'Love', 'Valentines', 'pump', 'blood']","['Jucar', 'Afluente', 'Guadalquivir', 'Desembocadura']","['NeuDelhi', 'Mann', 'Asien', 'Friedensbewegung', 'Indien', 'Ber\\u00fchmtheit']","['Mud', 'Alligator', 'Lacoste', 'hook', 'Reptile', 'Tears']","['Encre', 'Mahori', 'Peau', 'Yakuza', 'Ind\\u00e9l\\u00e9bile', 'Ind\\u00e9l\\u00e9bile']","['drift', 'fall', 'Capped', 'shovel', 'flakes', 'Flake']","['dissapear', 'Rabbit', 'Illusion', 'illusionist', 'Copperfield', 'Copperfield']","['fabric', 'Itchy', 'Warm', 'yarn', 'sheep', 'sheep']","['Dodo', 'Beak', 'canary', 'vulture', 'robin', 'parrot']","['Coop', 'Kfc', 'Fried', 'Wings', 'egg', 'animal']","['Bird', 'Home', 'Cozy', 'Birdie']","['pool', 'Shower', 'Domino', 'Tessellation', 'Ceramic', 'Ceramic']","['Slippery', 'PowerPoint', 'Slip', 'playground', 'slip', 'playground']","['Snake', 'Henry', 'father', 'Clubs', 'checkmate', 'Checkmate']","['Voice', 'Mark', 'Mark', 'Voice']","['Frog', 'filament', 'Lamp', '-asaur', 'Edison', 'TeslaEdison']","['Metall', 'Ritter', 'Waffe', 'Klinge', 'Klinge', 'Klinge']","['Gandalf', 'Rodolf\\u00f3', 'Cirkusz', 'Dumbledore', 'Houdini', 'Apprentice']","['bubbler', 'DeLeon', 'Trevi', 'Soda', 'Bellagio', 'Bellagio']","['Wasabi', 'hot', 'Abraham', 'Dijon', 'Sauce', 'Sauce']","['Mickey', 'Hantavirus', 'Minnie', 'Cheese', 'Cheese', 'Cheese']","['Aerobatics', 'Boarding', 'Plane', 'attendet', 'wings', 'Wings']","['Godmother', 'Magical', 'Tinkerbell', 'tooth', 'tale', 'lights']","['Szeg', '\\u00dct', 'Szeresz\\u00e1m', 'Sz\\u00f6g']","['House', 'Drinking', 'Blower', 'Shatter', 'Window', 'Window']","['cranberry', 'mango', 'Lizzo', 'Pomegranate', 'Fruit', 'Lemonade']","['Mogwai', '1984', 'Horrorfilm', 'Zweif\\u00e4ltig']","['Schwerelosigkeit', 'Neil', 'Testpilot', 'Trompeterber\\u00fchmtheit', 'Tour-de-France']","['groupe', 'Son', 'Bono', 'Copains', 'raidit', 'Gaze']","['playful', 'oceanic', 'mammal', 'Miami', 'flipper', 'Eco']","['Freshwater', 'Oyster', 'Clam', 'Necklace', 'Necklace', 'Necklace']","['Claymore', 'Falcata', 'rapier', 'Excaliber']","['Hull', 'Archery', 'Hawkeye', 'Bend', 'Curtsy', 'Curtsy']","['butterfly', 'shell', 'metamorphosis', 'caterpillar', 'shroud', 'chrysalis']","['Tente', 'Zavatta', 'trap\\u00e8ze', 'Pinder', 'Gavarnie', 'gavarnie']","['Sliver', 'sickle', 'Moon', 'Pilsbury', 'Shape']","['Relics', 'building', 'Artifacts']","['\\u30aa\\u30ec\\u30f3\\u30b8', '\\u3053\\u3084\\u3051', '\\u3053\\u3093\\u3070\\u3093\\u306f', '\\u3053\\u3093\\u3070\\u3093\\u306f']","['Cyclone', 'Beaufort', 'Pressure', 'Moving', 'blow', 'blow']","['castle', 'master', 'Underneath', 'keep']","['Electrical', 'Tesla', 'Life', 'AAA']","['Drone', 'Propeller', 'Chopper', 'Chopper']","['curtsy', 'arrow', 'tie', 'pasta']","['Kingkong', 'cheeath', 'primate', 'planete']","['Lestat', 'buffy', 'Alucard', 'alucard']","['putter', 'association', 'Discotheque', 'Golf']","['Checkmate', 'Squares', 'Gambit', 'Bishop', 'Game', 'Game']"
Mystery Word,Newspaper,Quarter,Couscous,Roi,Sand,Heart,River,Gandhi,Crocodile,Tatouage,Snow,Magician,Wool,Bird,Chicken,Nest,Tile,Slide,King,Accent,Bulb,Schwert,Magician,Fountain,Mustard,Mouse,Flight,Fairy,Hammer,Glass,Juice,Gremlins,Armstrong,Bande,Dolphin,Pearl,Sword,Bow,Cocoon,Cirque,Crescent,Museum,Evening,Wind,Dungeon,Battery,Helicopter,Bow,Singe,Vampire,Club,Chess
Guess,Newspaper,quarter,Steak,Roi,,Heart,River,Gandhi,crocodile,Tatouage,snow,magician,Wool,Bird,chicken,Cage,tile,Slide,,,Bulb,Schwert,Wizard,Fountain,Mustard,mouse,Flight,fairy,Hammer,Glass,Smoothie,Gremlins,Armstrong,,Dolphin,mussel,Sword,Bow,cocoon,Cirque,Crescent,,evening,blast,dungeon,Battery,helicopter,Bow,singe,Vampire,club,Chess
