ids,Scrapnumber1,Scrapnumber2,Scrapnumber3,Scrapnumber4,Scrapnumber5,Scrapnumber6,Scrapnumber7,Scrapnumber8,Scrapnumber9,Scrapnumber10,Scrapnumber11,Scrapnumber12,Scrapnumber13,Scrapnumber14,Scrapnumber15,Scrapnumber16,Scrapnumber17,Scrapnumber18,Scrapnumber19,Scrapnumber20,Scrapnumber21,Scrapnumber22,Scrapnumber23,Scrapnumber24,Scrapnumber25,Scrapnumber26,Scrapnumber27,Scrapnumber28,Scrapnumber29,Scrapnumber30,Scrapnumber31,Scrapnumber32,Scrapnumber33,Scrapnumber34,Scrapnumber35,Scrapnumber36,Scrapnumber37,Scrapnumber38,Scrapnumber39,Scrapnumber40,Scrapnumber41,Scrapnumber42,Scrapnumber43,Scrapnumber44,Scrapnumber45,Scrapnumber46,Scrapnumber47,Scrapnumber48,Scrapnumber49
Table Number,562121703,561648372,561714332,561504864,561440098,561457170,561417593,561221681,560826487,560915111,560847963,560087124,560557559,559801874,559656399,559639534,559052537,558983329,558627264,557504133,558251247,558296626,558178570,557890730,557196012,556691236,556270645,556269424,556107399,556032942,555855880,555376965,554164028,552904963,551020732,550187728,549836070,544337775,528822756,522327882,521199099,517095134,516738278,496712411,478910455,387173467,374138794,358827793,312552889
Move,['49'],['7'],['12'],['18'],['16'],['14'],['9'],['15'],['50'],['32'],['30'],['24'],['36'],['57'],['31'],['75'],['36'],['10'],['45'],['24'],['22'],['64'],['53'],['28'],['36'],['66'],['37'],['64'],['43'],['51'],['106'],['37'],['51'],['50'],['36'],['126'],['96'],['57'],['254'],['563'],['575'],['629'],['1161'],['841'],['348'],['2409'],['2166'],['2844'],['2474']
Mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Friendly mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Normal mode,Friendly mode,Normal mode,Friendly mode,Friendly mode,Normal mode
Speed,Real-time • Normal speed (+,Turn-based • 1 move per day (+,Fast Turn-based • 24 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,Turn-based • 4 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Fast Turn-based • 24 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 3 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 2 moves per day (+,No time limit • with friends only,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 4 moves per day (+,No time limit • with friends only,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 1 move per day (+,Turn-based • 1 move per 2 days (+,Turn-based • 2 moves per day (+,Turn-based • 1 move per day (+,Turn-based • 2 moves per day (+,Turn-based • 3 moves per day (+,Turn-based • 1 move per 2 days (+,No time limit • with friends only,Turn-based • 1 move per day (+,No time limit • with friends only,No time limit • with friends only,No time limit • with friends only
Language,English,English,Deutsch,English,English,English,Français,Deutsch,Français,English,English,English,Deutsch,English,English,Français,English,English,English,English,English,English,English,English,Français,Français,Français,English,English,English,English,Français,English,English,Français,Français,Deutsch,Français,English,Français,Français,Français,English,English,English,English,English,Français,English
End,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Infinite,Standard,Standard,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite
Clues,"['Mario', 'melba', 'Nectarine', 'Bald', 'Princess', 'Princess']","['Hurricane', 'breeze', 'Aire', 'Blow']","['Erz', 'Himmelsbewohner', 'Himmel', 'Besch\\u00fctzt', 'Fl\\u00fcgel', 'Fl\\u00fcgel']","['Glove', 'Toaster', 'Chips', 'Pie', 'Pizza', 'Pizza']","['juggling', 'tent', 'Soleil', 'Soleil', 'Tent']","['Lick', 'Summoning', 'himalayan', 'Kosher']","['Goupil', 'Roux', 'goupil', 'roux']","['Eagle', 'States', 'UsA', 'Columbus']","['Joconde', 'Peinture', 'Tableau', 'Tableau', 'Peinture']","['Barrister', 'Solicitor', 'Harvey', 'Birdman', 'personal', 'injury']","['sewing', 'needle', 'cotton', 'Cotton']","['Purple', 'Green', 'Leaves', 'Sour', 'Vine', 'Sultanas']","['Polar....', 'Sonne', 'Himmelsk\\u00f6rper', 'Himmelsk\\u00f6rper']","['fortress', 'Neuschwanstein', 'Ludwig', 'Urquhart', 'Hohenwerfen']","['Bottlenose', 'Omen', 'Flipper', 'Flipper']","['Zodiaque', 'Rugir', 'Force', 'Fauve', 'Crini\\u00e8re', 'paresseux']","['Tango', 'Jazz', 'waltz', 'Movements', 'Swing', 'Rumba']","['Alv\\u00e1s', '\\u00c1lom', 'K\\u00e9s\\u0151n', 'Vacsi']","['Growl', 'Cat', 'Stripes', 'Roar', 'stripped', 'bengal']","['Beer', 'Shiny', 'Olympic', 'honor', 'honorable']","['Klein', 'Eten', 'tarwe', 'Haver']","['Snatch', 'Basterds', 'Brad', 'Actor', 'Beelzebub', 'Demon']","['hidden', 'Island', 'Chest', 'Find', 'X', 'X']","['Degrees', 'Appliance', 'Bun', 'Bake']","['meunier', 'Escabeau', 'Gravir', 'Bois', 'Richter', 'Richter']","['Cassonade', 'Taux', 'roux', 'muscovado', 'Cafe', 'Canne']","['Militaire', 'Aviateur', 'Sauvetage', 'A\\u00e9rien', 'Saut', 'Saut']","['septum', 'nostrils', 'Frosty', 'button']","['Maiden', 'buckler', 'Buckler', 'Buckler']","['PAX', 'mistletoe', 'Twelve', 'twelve', '12']","['Juice', 'marmalade', 'Color', 'Cheeto', 'Colour', 'Black']","['Pommade', 'Beurre', 'Ecureuil', 'Casse', 'Marron', 'Amande']","['diamond', 'anklet', 'stone', 'gemstone']","[""'70s"", 'case', 'Musical', 'Talent']","['Abeille', 'Tartines', 'Apiculteur', 'Apiculteur']","['Sang', 'Mouvement', 'De', 'De', 'Judo', 'Judo']","['Blutwurst', 'Kalt', 'V', 'Zur\\u00fcckschlagen', 'RAMBO']","['boucle', 'Sauron', 'goloum', 'Alliance', 'Alliance', 'alliance']","['Buddhist', 'Mosque', 'Church', 'Church']","['Barbier', 'Styliste', 'Chantale', 'tete', 'Salon', 'salon']","['Palet', 'Speculoos']","['Service', 'Table', 'Lieu', 'Manger']","['After', 'Larvae']","['Me', 'Close-up', 'hat', 'Assistant', 'rabbit', 'Rabbit']","['vehicle', 'guts', 'vroom', 'BIKE', 'cycle', 'cycle']","['Pendant', 'Singapore', 'Koh-i-noor', 'Gold', 'crown', 'Crown']","['moon', 'road', 'lunar', 'curve']","['putter', 'fairway', 'Volkswagen', 'Green']","['Astronomy', 'Study', 'teacher', 'subject', 'Physics']"
Mystery Word,Peach,Wind,Engel,Oven,Circus,Salt,Renard,Amerika,Toile,Attorney,Thread,Grape,Stern,Castle,Dolphin,Lion,Dance,Evening,Tiger,Medal,Grain,Pit,Treasure,Oven,\u00c9chelle,Sucre,Parachute,Nose,Shield,December,Orange,Noisette,Jewel,Show,Miel,Prise,Rache,Anneau,Temple,Coiffeur,Biscuit,Restaurant,Cocoon,Magician,Motor,Jewel,Crescent,Golf,Science
Guess,moustache,Air,Engel,oven,trick,salt,,america,Tableau,lawyer,stitch,GRAPE,Kreis,Castle,dolphin,Lion,Dance,Night,Tiger,Trophy,Koekje,Pit,treasure,oven,\u00e9chelle,sucre,parachute,Nose,Virgin,Hanging,Orange,Noisette,,show,miel,transfusion,Rache,Anneau,Church,coiffeur,Biscuits,Restaurant,Pupa,magician,engine,Jewel,orbit,Golf,Science
